open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1772884800000,2026-03-07 12:00:00,0.0016140,0.0016160,0.0015740,0.0015840,88991348,1772899199999,2026-03-07 15:59:59,142180.5948310,2800,43274031,69255.9116220
1772899200000,2026-03-07 16:00:00,0.0015840,0.0015950,0.0015700,0.0015760,77078896,1772913599999,2026-03-07 19:59:59,122085.3801800,2742,36177429,57311.1282780
1772913600000,2026-03-07 20:00:00,0.0015760,0.0015800,0.0015470,0.0015610,87202724,1772927999999,2026-03-07 23:59:59,136500.0692410,2529,35781333,56050.7426570
1772928000000,2026-03-08 00:00:00,0.0015620,0.0015650,0.0015260,0.0015330,94662865,1772942399999,2026-03-08 03:59:59,146146.3687970,3032,48392032,74746.3210150
1772942400000,2026-03-08 04:00:00,0.0015330,0.0015480,0.0015150,0.0015420,134799355,1772956799999,2026-03-08 07:59:59,205926.5855860,3233,62303321,95227.6283880
1772956800000,2026-03-08 08:00:00,0.0015420,0.0015720,0.0015380,0.0015650,86709689,1772971199999,2026-03-08 11:59:59,134859.0118340,2910,47637869,74036.6025930
1772971200000,2026-03-08 12:00:00,0.0015640,0.0015760,0.0015470,0.0015650,119260118,1772985599999,2026-03-08 15:59:59,186593.4618110,4167,58320110,91240.4573400
1772985600000,2026-03-08 16:00:00,0.0015650,0.0016080,0.0015530,0.0015970,117301264,1772999999999,2026-03-08 19:59:59,184587.4058200,3921,57555280,90613.8627670
1773000000000,2026-03-08 20:00:00,0.0015970,0.0016100,0.0015620,0.0015970,180556295,1773014399999,2026-03-08 23:59:59,287420.8530690,5600,76944121,122519.7509570
1773014400000,2026-03-09 00:00:00,0.0015980,0.0016880,0.0015980,0.0016790,295451788,1773028799999,2026-03-09 03:59:59,486265.2590790,9103,145622475,239787.1744870
1773028800000,2026-03-09 04:00:00,0.0016790,0.0017420,0.0016270,0.0016310,524785192,1773043199999,2026-03-09 07:59:59,888969.7356110,14364,232810013,394178.2889020
1773043200000,2026-03-09 08:00:00,0.0016310,0.0016730,0.0016310,0.0016620,198013736,1773057599999,2026-03-09 11:59:59,327044.4438140,6224,94750706,156498.7689460
1773057600000,2026-03-09 12:00:00,0.0016630,0.0017500,0.0016590,0.0017430,364801398,1773071999999,2026-03-09 15:59:59,620523.0912400,9024,184279175,313629.1770600
