open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1683302400000,2023-05-05 16:00:00,0.0039485,0.0044583,0.0029441,0.0033442,198236121708,1683316799999,2023-05-05 19:59:59,684893948.3004799,2065426,98643396030,340732309.9998152
1683316800000,2023-05-05 20:00:00,0.0033461,0.0038300,0.0031300,0.0037211,107310619525,1683331199999,2023-05-05 23:59:59,365783841.7746508,1343282,54528191318,186018446.5485831
1683331200000,2023-05-06 00:00:00,0.0037212,0.0038333,0.0029291,0.0030321,112057009215,1683345599999,2023-05-06 03:59:59,372851397.4232230,1293812,54510337131,181538682.9812112
1683345600000,2023-05-06 04:00:00,0.0030333,0.0032889,0.0025794,0.0027573,133794577455,1683359999999,2023-05-06 07:59:59,387273406.6446743,1140532,64876985846,188097796.9702310
1683360000000,2023-05-06 08:00:00,0.0027552,0.0031639,0.0027275,0.0030846,109600220744,1683374399999,2023-05-06 11:59:59,322807481.0693969,1031294,56116895049,165429444.9460635
1683374400000,2023-05-06 12:00:00,0.0030832,0.0031071,0.0027300,0.0029296,116025094085,1683388799999,2023-05-06 15:59:59,339326358.6161040,1110380,57729629962,168943764.1409194
1683388800000,2023-05-06 16:00:00,0.0029295,0.0030684,0.0024468,0.0025779,115653173445,1683403199999,2023-05-06 19:59:59,320357508.8713860,1078654,55753556652,154775755.5909362
1683403200000,2023-05-06 20:00:00,0.0025776,0.0026760,0.0022908,0.0026200,120325237344,1683417599999,2023-05-06 23:59:59,298200897.9982063,1007992,59580738645,147833368.0770182
1683417600000,2023-05-07 00:00:00,0.0026197,0.0026899,0.0024348,0.0025990,73681164205,1683431999999,2023-05-07 03:59:59,189223318.4030113,718594,37371671577,96009062.8705997
1683432000000,2023-05-07 04:00:00,0.0025990,0.0026600,0.0024101,0.0026327,67363323611,1683446399999,2023-05-07 07:59:59,172810102.4571942,654047,33763666519,86656353.5861019
1683446400000,2023-05-07 08:00:00,0.0026328,0.0028680,0.0025104,0.0027692,89302490099,1683460799999,2023-05-07 11:59:59,239698370.5465460,812991,46189832120,124044240.6827489
1683460800000,2023-05-07 12:00:00,0.0027689,0.0030898,0.0027181,0.0028171,126573629543,1683475199999,2023-05-07 15:59:59,368100538.5550518,1100176,63583502886,184970939.7011294
1683475200000,2023-05-07 16:00:00,0.0028170,0.0029161,0.0026600,0.0028220,91887791952,1683489599999,2023-05-07 19:59:59,255718846.1149758,819544,46490240311,129514277.8578876
1683489600000,2023-05-07 20:00:00,0.0028219,0.0029056,0.0026916,0.0027902,59848668118,1683503999999,2023-05-07 23:59:59,167902021.9626871,625037,29300694756,82267945.9307554
1683504000000,2023-05-08 00:00:00,0.0027901,0.0028049,0.0024467,0.0025448,78860144193,1683518399999,2023-05-08 03:59:59,204849688.5795082,710477,38225214231,99314915.2521040
1683518400000,2023-05-08 04:00:00,0.0025448,0.0025600,0.0022242,0.0023053,86527323888,1683532799999,2023-05-08 07:59:59,205273107.3784096,646774,41070299985,97444242.7101248
1683532800000,2023-05-08 08:00:00,0.0023054,0.0023888,0.0021350,0.0022944,120608495097,1683547199999,2023-05-08 11:59:59,272805509.2365691,824832,60376065941,136657913.8551980
1683547200000,2023-05-08 12:00:00,0.0022944,0.0023200,0.0020230,0.0021238,184866219276,1683561599999,2023-05-08 15:59:59,397543107.1862104,1213564,90350764251,194353672.1036009
1683561600000,2023-05-08 16:00:00,0.0021238,0.0021770,0.0015351,0.0017255,413352550876,1683575999999,2023-05-08 19:59:59,749111926.2554185,2084431,203082328388,367998691.8616936
1683576000000,2023-05-08 20:00:00,0.0017255,0.0020561,0.0017140,0.0019464,193786239040,1683590399999,2023-05-08 23:59:59,369831640.5558289,1152719,100132164594,191085409.4683173
1683590400000,2023-05-09 00:00:00,0.0019462,0.0019571,0.0017687,0.0018626,116682626111,1683604799999,2023-05-09 03:59:59,218458257.6628207,734615,57679549423,108109593.2812110
1683604800000,2023-05-09 04:00:00,0.0018625,0.0020671,0.0017691,0.0020380,130859841485,1683619199999,2023-05-09 07:59:59,248544014.0928010,825461,68296976819,129987799.1721178
1683619200000,2023-05-09 08:00:00,0.0020387,0.0021000,0.0018672,0.0020648,156655812181,1683633599999,2023-05-09 11:59:59,308828161.0720885,1008018,77702690429,153342438.8198052
1683633600000,2023-05-09 12:00:00,0.0020647,0.0021350,0.0017886,0.0018467,194973326985,1683647999999,2023-05-09 15:59:59,381651841.2841150,1119480,97130315899,190304684.4938831
1683648000000,2023-05-09 16:00:00,0.0018467,0.0019785,0.0017400,0.0019621,153409051361,1683662399999,2023-05-09 19:59:59,285777166.1177353,894640,78476886506,146361127.2241494
1683662400000,2023-05-09 20:00:00,0.0019620,0.0020550,0.0019270,0.0020063,104737866217,1683676799999,2023-05-09 23:59:59,208236804.2282290,666836,53190685376,105826695.5275300
1683676800000,2023-05-10 00:00:00,0.0020065,0.0021339,0.0019560,0.0020176,88389377070,1683691199999,2023-05-10 03:59:59,179776582.3117948,564586,44332650981,90210438.0750608
1683691200000,2023-05-10 04:00:00,0.0020179,0.0020278,0.0018699,0.0019307,89399492386,1683705599999,2023-05-10 07:59:59,174837715.8408505,510277,41964132067,82134227.8284459
1683705600000,2023-05-10 08:00:00,0.0019305,0.0019628,0.0018713,0.0019376,79992497499,1683719999999,2023-05-10 11:59:59,153846650.6318337,499157,40189110168,77353046.5059419
1683720000000,2023-05-10 12:00:00,0.0019377,0.0020339,0.0018172,0.0018796,174441346206,1683734399999,2023-05-10 15:59:59,335080417.5970746,950170,86818721044,166939517.3884207
1683734400000,2023-05-10 16:00:00,0.0018795,0.0019399,0.0017095,0.0018357,115477140947,1683748799999,2023-05-10 19:59:59,210218060.2404374,636712,56465705442,102871395.1085356
1683748800000,2023-05-10 20:00:00,0.0018357,0.0019801,0.0018214,0.0019195,71773303990,1683763199999,2023-05-10 23:59:59,135524841.7349917,405452,37160186791,70206834.6562180
1683763200000,2023-05-11 00:00:00,0.0019195,0.0019400,0.0018004,0.0018074,58335712188,1683777599999,2023-05-11 03:59:59,108700290.1603685,304768,27416781241,51140690.2039370
1683777600000,2023-05-11 04:00:00,0.0018073,0.0018250,0.0016505,0.0016960,111187256651,1683791999999,2023-05-11 07:59:59,192725818.2797627,518564,53070011013,92015006.2460498
1683792000000,2023-05-11 08:00:00,0.0016961,0.0016966,0.0015610,0.0016229,163544373228,1683806399999,2023-05-11 11:59:59,265365835.5222973,718069,79967076999,129788523.0264604
1683806400000,2023-05-11 12:00:00,0.0016228,0.0016693,0.0015256,0.0015775,241394079726,1683820799999,2023-05-11 15:59:59,383888794.5489376,1065492,118419056866,188550105.2381866
1683820800000,2023-05-11 16:00:00,0.0015773,0.0016221,0.0012500,0.0013226,376910581679,1683835199999,2023-05-11 19:59:59,527287530.4753010,1429613,181585617379,254001511.3677367
1683835200000,2023-05-11 20:00:00,0.0013224,0.0014246,0.0013111,0.0013931,122884220618,1683849599999,2023-05-11 23:59:59,168500716.7270988,472010,62810170413,86148046.7827221
1683849600000,2023-05-12 00:00:00,0.0013930,0.0014089,0.0010839,0.0011559,272579541908,1683863999999,2023-05-12 03:59:59,334383152.2559333,922129,129365064296,158329198.0584443
1683864000000,2023-05-12 04:00:00,0.0011559,0.0012940,0.0010477,0.0012340,439346009326,1683878399999,2023-05-12 07:59:59,511756560.0924038,1494926,222640067839,259549444.7037692
1683878400000,2023-05-12 08:00:00,0.0012341,0.0013200,0.0011810,0.0012763,290039516871,1683892799999,2023-05-12 11:59:59,363840914.3143660,1175102,147594453816,185329864.1324312
1683892800000,2023-05-12 12:00:00,0.0012764,0.0013200,0.0011579,0.0011789,346069132611,1683907199999,2023-05-12 15:59:59,428604680.2292154,1247031,168446821062,208729384.9263780
1683907200000,2023-05-12 16:00:00,0.0011789,0.0014929,0.0011466,0.0014764,464148867122,1683921599999,2023-05-12 19:59:59,611834309.2443104,1717010,240620429926,317464502.5883873
1683921600000,2023-05-12 20:00:00,0.0014764,0.0019332,0.0014515,0.0017444,337347780224,1683935999999,2023-05-12 23:59:59,534150048.0625782,1309005,174109060130,276051853.2658487
1683936000000,2023-05-13 00:00:00,0.0017444,0.0017720,0.0015540,0.0016326,242310712596,1683950399999,2023-05-13 03:59:59,396446866.4455808,985522,121254154108,198495843.6398965
1683950400000,2023-05-13 04:00:00,0.0016328,0.0016906,0.0015373,0.0016314,191818857320,1683964799999,2023-05-13 07:59:59,308175307.2642913,845484,96996313229,155947352.6975114
1683964800000,2023-05-13 08:00:00,0.0016317,0.0020300,0.0016070,0.0019914,497405978843,1683979199999,2023-05-13 11:59:59,915796992.1484761,2172952,254099406266,468073025.9812162
1683979200000,2023-05-13 12:00:00,0.0019914,0.0020899,0.0018130,0.0019356,470647948569,1683993599999,2023-05-13 15:59:59,909533647.6319170,2030756,234558573015,453415316.4213149
1683993600000,2023-05-13 16:00:00,0.0019356,0.0019900,0.0017050,0.0018984,396668016971,1684007999999,2023-05-13 19:59:59,726839401.1487085,1739882,199371112521,365449103.8735708
1684008000000,2023-05-13 20:00:00,0.0018981,0.0019365,0.0018055,0.0018575,185322767462,1684022399999,2023-05-13 23:59:59,346518293.4478428,933647,93159342112,174270054.0665426
1684022400000,2023-05-14 00:00:00,0.0018571,0.0018900,0.0017400,0.0018494,175939377384,1684036799999,2023-05-14 03:59:59,318153211.1316083,829200,87826952996,158935317.0188220
1684036800000,2023-05-14 04:00:00,0.0018494,0.0019510,0.0018377,0.0019202,156134341598,1684051199999,2023-05-14 07:59:59,295530277.3885499,756907,79614093498,150779000.1281484
1684051200000,2023-05-14 08:00:00,0.0019202,0.0019289,0.0017901,0.0018167,161806996783,1684065599999,2023-05-14 11:59:59,300335384.2369325,759411,78337772513,145472874.2859964
1684065600000,2023-05-14 12:00:00,0.0018167,0.0018488,0.0017400,0.0018110,215174652486,1684079999999,2023-05-14 15:59:59,386348123.9478539,931835,107403135938,192940227.8429213
1684080000000,2023-05-14 16:00:00,0.0018111,0.0019000,0.0017468,0.0018167,192663835703,1684094399999,2023-05-14 19:59:59,352871187.9360753,880178,95981730139,175872418.1314065
1684094400000,2023-05-14 20:00:00,0.0018167,0.0018300,0.0017220,0.0017853,99639471543,1684108799999,2023-05-14 23:59:59,178290592.0774750,470006,49549577873,88697834.2097020
1684108800000,2023-05-15 00:00:00,0.0017853,0.0017853,0.0016101,0.0017226,217236608301,1684123199999,2023-05-15 03:59:59,366729249.9710574,846296,107431294011,181384815.5484600
1684123200000,2023-05-15 04:00:00,0.0017226,0.0017639,0.0017059,0.0017308,109025112731,1684137599999,2023-05-15 07:59:59,188643799.1670349,471372,54702669086,94682908.8956124
1684137600000,2023-05-15 08:00:00,0.0017306,0.0017377,0.0016504,0.0016607,128052408106,1684151999999,2023-05-15 11:59:59,217986673.0001529,513878,61037430742,103978140.5819657
1684152000000,2023-05-15 12:00:00,0.0016606,0.0016818,0.0016049,0.0016435,190314881942,1684166399999,2023-05-15 15:59:59,313985164.1601675,640196,95565203904,157723827.5362637
1684166400000,2023-05-15 16:00:00,0.0016435,0.0017457,0.0016317,0.0016679,179367630815,1684180799999,2023-05-15 19:59:59,302414741.5410668,657774,90027237909,151839875.2367218
1684180800000,2023-05-15 20:00:00,0.0016679,0.0017656,0.0016436,0.0017318,131256544929,1684195199999,2023-05-15 23:59:59,224386264.5662883,527161,67091781283,114715079.5613756
1684195200000,2023-05-16 00:00:00,0.0017318,0.0018202,0.0017130,0.0017233,176893392544,1684209599999,2023-05-16 03:59:59,312215057.2293134,667306,88779522645,156784109.4936259
1684209600000,2023-05-16 04:00:00,0.0017233,0.0017235,0.0016542,0.0016956,137426624443,1684223999999,2023-05-16 07:59:59,231214943.6087479,512375,68276947963,114899434.6886388
1684224000000,2023-05-16 08:00:00,0.0016956,0.0017164,0.0016300,0.0016753,113453899174,1684238399999,2023-05-16 11:59:59,189606296.1501464,444557,55779495043,93267198.2850618
1684238400000,2023-05-16 12:00:00,0.0016753,0.0017298,0.0016467,0.0017196,161612786617,1684252799999,2023-05-16 15:59:59,271537251.4934626,584916,82575605091,138819414.4590753
1684252800000,2023-05-16 16:00:00,0.0017197,0.0017500,0.0016616,0.0016640,155356333630,1684267199999,2023-05-16 19:59:59,264408000.2227239,591322,75818430637,129089784.4455256
1684267200000,2023-05-16 20:00:00,0.0016641,0.0016970,0.0016539,0.0016643,78364638228,1684281599999,2023-05-16 23:59:59,131024206.8207855,300382,38945905588,65119604.5324334
1684281600000,2023-05-17 00:00:00,0.0016644,0.0016911,0.0016100,0.0016728,120426887103,1684295999999,2023-05-17 03:59:59,199527447.2858169,441564,58549127108,97058718.7998596
1684296000000,2023-05-17 04:00:00,0.0016727,0.0016861,0.0015574,0.0015733,116481311521,1684310399999,2023-05-17 07:59:59,189299297.2219334,391830,54345673297,88362698.6567871
1684310400000,2023-05-17 08:00:00,0.0015726,0.0015797,0.0015062,0.0015269,171308140158,1684324799999,2023-05-17 11:59:59,265694950.7481682,505838,82510401100,128062925.1033149
1684324800000,2023-05-17 12:00:00,0.0015270,0.0015512,0.0014617,0.0015261,229616585858,1684339199999,2023-05-17 15:59:59,347303504.1541894,654486,114394026941,173144222.3080450
