fundingTime,fundingTime_dt,fundingRate,markPrice
1702656000000,2023-12-15 16:00:00,0.00392931,0.43700000
1702670400001,2023-12-15 20:00:00,0.00279311,0.55170000
1702684800000,2023-12-16 00:00:00,0.00279699,0.43040825
1702699200000,2023-12-16 04:00:00,0.00087150,0.43560000
1702713600000,2023-12-16 08:00:00,0.00135244,0.41613000
1702728000000,2023-12-16 12:00:00,0.00062159,0.44296800
1702742400001,2023-12-16 16:00:00,0.00087972,0.41797000
1702756800000,2023-12-16 20:00:00,0.00126103,0.39385450
1702771200000,2023-12-17 00:00:00,0.00149380,0.39956333
1702785600000,2023-12-17 04:00:00,0.00117520,0.35802142
1702800000000,2023-12-17 08:00:00,0.00092164,0.34575203
1702814400000,2023-12-17 12:00:00,0.00079058,0.30317000
1702828800000,2023-12-17 16:00:00,0.00039720,0.32160667
1702843200001,2023-12-17 20:00:00,0.00031619,0.32772911
1702857600000,2023-12-18 00:00:00,0.00034729,0.33000000
1702872000000,2023-12-18 04:00:00,0.00126372,0.31479000
1702886400001,2023-12-18 08:00:00,0.00054505,0.30262936
1702900800000,2023-12-18 12:00:00,0.00207223,0.27600333
1702915200000,2023-12-18 16:00:00,0.00068629,0.25747000
1702929600001,2023-12-18 20:00:00,0.00057031,0.27245989
1702944000000,2023-12-19 00:00:00,0.00007828,0.29139675
1702958400000,2023-12-19 04:00:00,0.00005000,0.31786667
1702972800000,2023-12-19 08:00:00,0.00005000,0.30628267
1702987200000,2023-12-19 12:00:00,0.00005000,0.29411000
1703001600000,2023-12-19 16:00:00,0.00072730,0.28811253
1703016000001,2023-12-19 20:00:00,0.00088071,0.29137747
1703030400000,2023-12-20 00:00:00,0.00038287,0.28392404
1703044800000,2023-12-20 04:00:00,0.00011648,0.29140000
1703059200000,2023-12-20 08:00:00,0.00005000,0.28376906
1703073600000,2023-12-20 12:00:00,0.00005000,0.28309667
1703088000000,2023-12-20 16:00:00,0.00005000,0.30931731
1703102400000,2023-12-20 20:00:00,-0.00001791,0.30787856
1703116800000,2023-12-21 00:00:00,0.00001662,0.31373000
1703131200007,2023-12-21 04:00:00,0.00101581,0.36398997
1703145600000,2023-12-21 08:00:00,0.00064139,0.35034000
1703160000000,2023-12-21 12:00:00,0.00080476,0.34189000
1703174400000,2023-12-21 16:00:00,0.00047049,0.31554950
1703188800000,2023-12-21 20:00:00,0.00059068,0.32199000
1703203200000,2023-12-22 00:00:00,0.00005000,0.33450008
1703217600001,2023-12-22 04:00:00,0.00069590,0.32430119
1703232000000,2023-12-22 08:00:00,0.00094701,0.31451492
1703246400000,2023-12-22 12:00:00,0.00080784,0.29993086
1703260800000,2023-12-22 16:00:00,0.00068428,0.30062422
1703275200000,2023-12-22 20:00:00,0.00062615,0.30236000
1703289600000,2023-12-23 00:00:00,0.00046805,0.31011000
1703304000000,2023-12-23 04:00:00,0.00082191,0.29224000
1703318400001,2023-12-23 08:00:00,0.00050485,0.30286358
1703332800000,2023-12-23 12:00:00,0.00032182,0.31973211
1703347200000,2023-12-23 16:00:00,0.00018390,0.31970667
1703361600000,2023-12-23 20:00:00,0.00031789,0.32584000
1703376000000,2023-12-24 00:00:00,0.00029113,0.32431319
1703390400000,2023-12-24 04:00:00,0.00042913,0.33627000
1703404800000,2023-12-24 08:00:00,0.00049547,0.32395000
1703419200000,2023-12-24 12:00:00,0.00061592,0.32423417
1703433600000,2023-12-24 16:00:00,0.00084399,0.31585000
1703448000000,2023-12-24 20:00:00,0.00079745,0.31638000
1703462400000,2023-12-25 00:00:00,0.00025458,0.31544667
1703476800000,2023-12-25 04:00:00,0.00045561,0.32250000
1703491200000,2023-12-25 08:00:00,0.00058260,0.33351081
1703505600000,2023-12-25 12:00:00,0.00037532,0.42847000
1703520000000,2023-12-25 16:00:00,0.00118180,0.42973000
1703534400000,2023-12-25 20:00:00,0.00076925,0.39700000
1703548800000,2023-12-26 00:00:00,0.00031746,0.41273333
1703563200000,2023-12-26 04:00:00,0.00058070,0.40793333
1703577600000,2023-12-26 08:00:00,0.00071190,0.38934000
1703592000001,2023-12-26 12:00:00,0.00114727,0.39453000
1703606400000,2023-12-26 16:00:00,0.00061714,0.38240422
1703620800000,2023-12-26 20:00:00,0.00020514,0.36437331
1703635200000,2023-12-27 00:00:00,0.00045328,0.37370431
1703649600000,2023-12-27 04:00:00,0.00077200,0.35575390
1703664000000,2023-12-27 08:00:00,0.00031772,0.35972395
1703678400001,2023-12-27 12:00:00,0.00062842,0.38359389
1703692800000,2023-12-27 16:00:00,0.00123323,0.36838269
1703707200000,2023-12-27 20:00:00,0.00114061,0.37182872
1703721600000,2023-12-28 00:00:00,0.00050160,0.36752833
1703736000000,2023-12-28 04:00:00,0.00045685,0.37849667
1703750400000,2023-12-28 08:00:00,0.00022944,0.35880158
1703764800000,2023-12-28 12:00:00,0.00123731,0.34642706
1703779200000,2023-12-28 16:00:00,0.00071266,0.33390000
1703793600000,2023-12-28 20:00:00,0.00047426,0.34326000
1703808000001,2023-12-29 00:00:00,0.00044867,0.33659078
1703822400000,2023-12-29 04:00:00,0.00046708,0.34453000
1703836800000,2023-12-29 08:00:00,0.00041046,0.33263369
1703851200000,2023-12-29 12:00:00,0.00052930,0.35054000
1703865600000,2023-12-29 16:00:00,0.00006062,0.33951000
1703880000000,2023-12-29 20:00:00,0.00067858,0.34875733
1703894400001,2023-12-30 00:00:00,0.00067220,0.34556000
1703908800000,2023-12-30 04:00:00,0.00018085,0.34356567
1703923200000,2023-12-30 08:00:00,0.00005000,0.33479000
1703937600000,2023-12-30 12:00:00,0.00023793,0.32569503
1703952000000,2023-12-30 16:00:00,0.00029467,0.33264000
1703966400000,2023-12-30 20:00:00,0.00085197,0.35776000
1703980800000,2023-12-31 00:00:00,0.00093518,0.34965000
1703995200001,2023-12-31 04:00:00,0.00080759,0.34036172
1704009600001,2023-12-31 08:00:00,0.00065350,0.35025333
1704024000000,2023-12-31 12:00:00,0.00043726,0.35148456
1704038400000,2023-12-31 16:00:00,0.00011205,0.33953000
