open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1628884800000,2021-08-13 20:00:00,12.938,13.458,12.874,13.332,2842170.2,1628899199999,2021-08-13 23:59:59,37472529.1050,83760,1288674.4,16992489.2031
1628899200000,2021-08-14 00:00:00,13.332,13.543,13.033,13.399,2666480.9,1628913599999,2021-08-14 03:59:59,35415519.5526,84541,1220740.3,16220866.7011
1628913600000,2021-08-14 04:00:00,13.395,13.468,13.150,13.401,2076101.8,1628927999999,2021-08-14 07:59:59,27653987.5938,61890,924220.1,12313200.4188
1628928000000,2021-08-14 08:00:00,13.399,13.880,12.729,13.106,7183901.1,1628942399999,2021-08-14 11:59:59,95316961.9153,204048,3137067.1,41611663.6603
1628942400000,2021-08-14 12:00:00,13.101,13.153,12.831,13.060,2628862.1,1628956799999,2021-08-14 15:59:59,34187006.7407,71830,1190264.1,15480094.5763
1628956800000,2021-08-14 16:00:00,13.062,13.147,12.889,13.106,1590904.6,1628971199999,2021-08-14 19:59:59,20702933.5306,49380,743603.9,9678114.7640
1628971200000,2021-08-14 20:00:00,13.102,13.150,12.842,13.000,1370680.1,1628985599999,2021-08-14 23:59:59,17796211.9064,43862,609152.0,7910453.7889
1628985600000,2021-08-15 00:00:00,13.000,13.130,12.845,12.907,1541302.4,1628999999999,2021-08-15 03:59:59,20029382.6931,50139,709888.1,9227151.0230
1629000000000,2021-08-15 04:00:00,12.906,12.986,12.000,12.364,3255962.8,1629014399999,2021-08-15 07:59:59,41083092.3828,94986,1315256.8,16613635.5904
1629014400000,2021-08-15 08:00:00,12.362,13.688,12.268,13.544,6243545.8,1629028799999,2021-08-15 11:59:59,81807573.3154,201524,2987091.7,39127502.4108
1629028800000,2021-08-15 12:00:00,13.547,13.875,13.170,13.386,6283414.3,1629043199999,2021-08-15 15:59:59,85093810.7260,211987,2991762.5,40536616.2987
1629043200000,2021-08-15 16:00:00,13.386,13.552,13.175,13.351,2226084.9,1629057599999,2021-08-15 19:59:59,29718335.7158,81303,1045680.5,13966636.5311
1629057600000,2021-08-15 20:00:00,13.355,13.615,13.295,13.370,1889002.8,1629071999999,2021-08-15 23:59:59,25417151.9133,69067,832648.4,11207637.2033
1629072000000,2021-08-16 00:00:00,13.370,13.920,13.268,13.394,3656904.0,1629086399999,2021-08-16 03:59:59,49638169.8452,122065,1665908.0,22626711.2809
1629086400000,2021-08-16 04:00:00,13.390,14.300,13.294,14.178,3510581.1,1629100799999,2021-08-16 07:59:59,48060278.1969,117504,1652620.6,22660852.2974
1629100800000,2021-08-16 08:00:00,14.184,14.422,13.610,13.684,5148024.9,1629115199999,2021-08-16 11:59:59,71976408.5410,162858,2325679.0,32545047.9277
1629115200000,2021-08-16 12:00:00,13.684,13.689,12.800,13.240,5525876.0,1629129599999,2021-08-16 15:59:59,73126920.7729,169027,2365365.9,31301443.4525
1629129600000,2021-08-16 16:00:00,13.240,13.458,13.040,13.076,2466387.2,1629143999999,2021-08-16 19:59:59,32807411.9271,76580,1071602.2,14260798.6635
1629144000000,2021-08-16 20:00:00,13.077,13.325,12.800,12.883,2749138.7,1629158399999,2021-08-16 23:59:59,35808917.2016,87636,1230422.6,16028304.5170
1629158400000,2021-08-17 00:00:00,12.884,13.265,12.547,13.173,3639527.3,1629172799999,2021-08-17 03:59:59,47181042.4381,119119,1644171.4,21328592.8631
1629172800000,2021-08-17 04:00:00,13.172,13.178,12.571,12.796,2953891.1,1629187199999,2021-08-17 07:59:59,37847282.3836,95697,1322768.1,16946037.5437
1629187200000,2021-08-17 08:00:00,12.794,13.629,12.750,13.509,4734724.0,1629201599999,2021-08-17 11:59:59,62386382.0986,149367,2182792.2,28788560.4851
1629201600000,2021-08-17 12:00:00,13.505,13.980,13.028,13.100,8601568.9,1629215999999,2021-08-17 15:59:59,116626889.1590,264735,3824768.4,51897029.7396
1629216000000,2021-08-17 16:00:00,13.100,13.335,12.900,13.026,4242728.7,1629230399999,2021-08-17 19:59:59,55636455.6613,122241,1964020.8,25770301.7141
1629230400000,2021-08-17 20:00:00,13.026,13.052,12.407,12.540,4153104.2,1629244799999,2021-08-17 23:59:59,52907552.0641,125342,1720058.1,21930180.2568
1629244800000,2021-08-18 00:00:00,12.542,12.701,11.203,12.078,6357170.4,1629259199999,2021-08-18 03:59:59,75811282.9325,183032,2845100.4,33928700.5766
1629259200000,2021-08-18 04:00:00,12.079,12.427,11.926,11.958,2897256.6,1629273599999,2021-08-18 07:59:59,35300325.3537,82598,1332416.0,16239274.3301
1629273600000,2021-08-18 08:00:00,11.955,12.362,11.558,11.691,3442184.3,1629287999999,2021-08-18 11:59:59,41311276.0568,99977,1566810.5,18820853.1811
1629288000000,2021-08-18 12:00:00,11.691,12.303,11.573,12.286,3121832.6,1629302399999,2021-08-18 15:59:59,37403651.2948,97459,1453692.3,17427122.1689
1629302400000,2021-08-18 16:00:00,12.282,12.372,11.737,11.770,2678576.7,1629316799999,2021-08-18 19:59:59,32476004.2659,81134,1247671.8,15138692.0024
1629316800000,2021-08-18 20:00:00,11.775,12.067,11.462,11.842,2994927.1,1629331199999,2021-08-18 23:59:59,35198184.2358,94068,1386830.4,16307229.0032
1629331200000,2021-08-19 00:00:00,11.841,12.200,11.552,11.614,3047809.6,1629345599999,2021-08-19 03:59:59,36124388.3852,102413,1374785.4,16297317.3257
1629345600000,2021-08-19 04:00:00,11.606,11.986,11.535,11.882,2231329.7,1629359999999,2021-08-19 07:59:59,26310215.3601,72286,1016855.5,11990638.5400
1629360000000,2021-08-19 08:00:00,11.879,12.517,11.730,11.942,4454499.2,1629374399999,2021-08-19 11:59:59,53917617.9690,133910,2112074.0,25577147.7819
1629374400000,2021-08-19 12:00:00,11.945,12.796,11.739,12.437,5356021.7,1629388799999,2021-08-19 15:59:59,66426520.3914,172178,2571092.9,31903773.2848
1629388800000,2021-08-19 16:00:00,12.436,12.696,12.160,12.629,2780037.8,1629403199999,2021-08-19 19:59:59,34659173.5008,91085,1321297.2,16471398.7295
