fundingTime,fundingTime_dt,fundingRate,markPrice
1762862400002,2025-11-11 12:00:00,0.00005000,0.00000000
1762876800009,2025-11-11 16:00:00,-0.00625930,0.57802769
1762891200000,2025-11-11 20:00:00,-0.00853447,0.56976239
1762905600000,2025-11-12 00:00:00,-0.00500877,0.46403326
1762920000000,2025-11-12 04:00:00,-0.00246875,0.44790000
1762934400002,2025-11-12 08:00:00,-0.00568180,0.45596276
1762948800000,2025-11-12 12:00:00,-0.00155005,0.44850000
1762963200000,2025-11-12 16:00:00,0.00005000,0.38374595
1762977600001,2025-11-12 20:00:00,-0.00022682,0.35460000
1762992000002,2025-11-13 00:00:00,-0.00006180,0.35090000
1763006400000,2025-11-13 04:00:00,0.00005000,0.32321284
1763020800000,2025-11-13 08:00:00,-0.00001266,0.28685306
1763035200001,2025-11-13 12:00:00,0.00002322,0.30020000
1763049600001,2025-11-13 16:00:00,0.00004115,0.25598613
1763064000004,2025-11-13 20:00:00,-0.00000996,0.22332401
1763078400000,2025-11-14 00:00:00,-0.00015221,0.24154009
1763092800000,2025-11-14 04:00:00,-0.00014124,0.23420000
1763107200000,2025-11-14 08:00:00,-0.00004175,0.23809099
1763121600001,2025-11-14 12:00:00,0.00005000,0.23810000
1763136000001,2025-11-14 16:00:00,0.00005000,0.24213545
1763150400000,2025-11-14 20:00:00,0.00005000,0.26370000
1763164800005,2025-11-15 00:00:00,0.00005000,0.24741351
1763179200015,2025-11-15 04:00:00,0.00005000,0.23442964
1763193600000,2025-11-15 08:00:00,-0.00000235,0.22060000
1763208000008,2025-11-15 12:00:00,-0.00129307,0.21090369
1763222400001,2025-11-15 16:00:00,0.00002388,0.21800536
1763236800003,2025-11-15 20:00:00,-0.00001242,0.21390000
1763251200001,2025-11-16 00:00:00,-0.00072792,0.20855333
1763265600003,2025-11-16 04:00:00,-0.00015199,0.20702464
1763280000000,2025-11-16 08:00:00,-0.00012750,0.20820000
1763294400003,2025-11-16 12:00:00,-0.00031466,0.19644532
1763308800000,2025-11-16 16:00:00,-0.00030079,0.19603514
1763323200000,2025-11-16 20:00:00,0.00005000,0.19689198
1763337600003,2025-11-17 00:00:00,0.00005000,0.21460000
1763352000001,2025-11-17 04:00:00,0.00005000,0.21180568
1763366400003,2025-11-17 08:00:00,0.00003186,0.20382703
1763380800000,2025-11-17 12:00:00,0.00005000,0.19827207
1763395200000,2025-11-17 16:00:00,-0.00007967,0.18692922
1763409600003,2025-11-17 20:00:00,0.00005000,0.19064054
1763424000002,2025-11-18 00:00:00,0.00005000,0.18850000
1763438400000,2025-11-18 04:00:00,0.00003685,0.18030000
1763452800004,2025-11-18 08:00:00,-0.00002205,0.17820000
1763467200000,2025-11-18 12:00:00,-0.00000753,0.17571865
1763481600000,2025-11-18 16:00:00,0.00005000,0.17960000
1763496000002,2025-11-18 20:00:00,0.00005000,0.18255252
1763510400000,2025-11-19 00:00:00,0.00005000,0.17570000
1763524800000,2025-11-19 04:00:00,0.00005000,0.18458532
1763539200000,2025-11-19 08:00:00,0.00005000,0.18029459
1763553600000,2025-11-19 12:00:00,0.00005000,0.18040541
1763568000008,2025-11-19 16:00:00,0.00005000,0.17610000
1763582400000,2025-11-19 20:00:00,0.00005000,0.15902703
1763596800000,2025-11-20 00:00:00,0.00005000,0.16820288
1763611200006,2025-11-20 04:00:00,0.00005000,0.16749730
1763625600000,2025-11-20 08:00:00,-0.00002781,0.16343234
1763640000003,2025-11-20 12:00:00,0.00005000,0.16360739
