fundingTime,fundingTime_dt,fundingRate,markPrice
1646726400002,2022-03-08 08:00:00,-0.00069948,
1646755200000,2022-03-08 16:00:00,0.00010000,
1646784000008,2022-03-09 00:00:00,0.00010000,
1646812800000,2022-03-09 08:00:00,-0.00017802,
1646841600004,2022-03-09 16:00:00,-0.00003514,
1646870400000,2022-03-10 00:00:00,0.00003648,
1646899200017,2022-03-10 08:00:00,-0.00110949,
1646928000000,2022-03-10 16:00:00,-0.00204150,
1646956800008,2022-03-11 00:00:00,-0.00126385,
1646985600000,2022-03-11 08:00:00,-0.00228872,
1647014400001,2022-03-11 16:00:00,-0.00229597,
1647043200010,2022-03-12 00:00:00,-0.00155563,
1647072000001,2022-03-12 08:00:00,-0.00311770,
1647100800002,2022-03-12 16:00:00,-0.00092304,
1647129600008,2022-03-13 00:00:00,-0.00110452,
1647158400000,2022-03-13 08:00:00,-0.00065069,
1647187200002,2022-03-13 16:00:00,-0.00042605,
1647216000014,2022-03-14 00:00:00,-0.00132060,
1647244800005,2022-03-14 08:00:00,-0.00077527,
1647273600002,2022-03-14 16:00:00,-0.00038037,
1647302400008,2022-03-15 00:00:00,-0.00027134,
1647331200000,2022-03-15 08:00:00,-0.00029296,
1647360000006,2022-03-15 16:00:00,-0.00018664,
1647388800013,2022-03-16 00:00:00,-0.00077462,
1647417600000,2022-03-16 08:00:00,-0.00030880,
1647446400008,2022-03-16 16:00:00,-0.00023328,
1647475200004,2022-03-17 00:00:00,-0.00046228,
1647504000000,2022-03-17 08:00:00,0.00010000,
1647532800004,2022-03-17 16:00:00,-0.00042200,
1647561600000,2022-03-18 00:00:00,-0.00019275,
1647590400000,2022-03-18 08:00:00,0.00010000,
1647619200017,2022-03-18 16:00:00,0.00010000,
1647648000008,2022-03-19 00:00:00,0.00010000,
1647676800015,2022-03-19 08:00:00,0.00010000,
1647705600000,2022-03-19 16:00:00,0.00010000,
1647734400000,2022-03-20 00:00:00,0.00010000,
1647763200001,2022-03-20 08:00:00,0.00010000,
1647792000002,2022-03-20 16:00:00,0.00010000,
1647820800013,2022-03-21 00:00:00,0.00010000,
1647849600004,2022-03-21 08:00:00,0.00010000,
1647878400010,2022-03-21 16:00:00,0.00010000,
1647907200012,2022-03-22 00:00:00,0.00010000,
1647936000001,2022-03-22 08:00:00,0.00010000,
1647964800022,2022-03-22 16:00:00,0.00010000,
1647993600007,2022-03-23 00:00:00,0.00010000,
1648022400000,2022-03-23 08:00:00,0.00010000,
1648051200006,2022-03-23 16:00:00,0.00010000,
1648080000013,2022-03-24 00:00:00,0.00010000,
1648108800006,2022-03-24 08:00:00,0.00010000,
1648137600020,2022-03-24 16:00:00,0.00010000,
1648166400010,2022-03-25 00:00:00,0.00010000,
1648195200001,2022-03-25 08:00:00,0.00010000,
1648224000014,2022-03-25 16:00:00,0.00010000,
1648252800020,2022-03-26 00:00:00,0.00010000,
1648281600006,2022-03-26 08:00:00,0.00010000,
1648310400000,2022-03-26 16:00:00,0.00010000,
