fundingTime,fundingTime_dt,fundingRate,markPrice
1737129600008,2025-01-17 16:00:00,0.00002514,0.32744000
1737144000005,2025-01-17 20:00:00,-0.00031134,0.34445272
1737158400000,2025-01-18 00:00:00,-0.00035738,0.39216000
1737172800003,2025-01-18 04:00:00,-0.00003040,0.32385656
1737187200007,2025-01-18 08:00:00,0.00108818,0.38897667
1737201600000,2025-01-18 12:00:00,0.00008533,0.36918000
1737216000000,2025-01-18 16:00:00,0.00203734,0.35895983
1737230400000,2025-01-18 20:00:00,0.00121682,0.49039339
1737244800000,2025-01-19 00:00:00,0.00104295,0.52579000
1737259200000,2025-01-19 04:00:00,0.00012891,0.50228333
1737273600000,2025-01-19 08:00:00,0.00116129,0.47385000
1737288000000,2025-01-19 12:00:00,0.00121876,0.53255539
1737302400000,2025-01-19 16:00:00,0.00029318,0.52488000
1737316800000,2025-01-19 20:00:00,0.00020596,0.50342000
1737331200000,2025-01-20 00:00:00,0.00109269,0.43914000
1737345600000,2025-01-20 04:00:00,0.00121283,0.44446000
1737360000009,2025-01-20 08:00:00,0.00080917,0.47917133
1737374400002,2025-01-20 12:00:00,0.00022744,0.43292439
1737388800000,2025-01-20 16:00:00,0.00005000,0.37462122
1737403200001,2025-01-20 20:00:00,0.00005000,0.41028477
1737417600000,2025-01-21 00:00:00,0.00005000,0.43974000
1737432000000,2025-01-21 04:00:00,0.00032372,0.41259000
1737446400000,2025-01-21 08:00:00,0.00013562,0.41356902
1737460800000,2025-01-21 12:00:00,0.00005000,0.39804138
1737475200000,2025-01-21 16:00:00,0.00018838,0.48269356
1737489600000,2025-01-21 20:00:00,0.00005000,0.58621111
1737504000000,2025-01-22 00:00:00,0.00065343,0.53084061
1737518400000,2025-01-22 04:00:00,0.00005000,0.61744283
1737532800000,2025-01-22 08:00:00,0.00005000,0.59707000
1737547200000,2025-01-22 12:00:00,0.00005000,0.59821573
1737561600000,2025-01-22 16:00:00,0.00005000,0.56982630
1737576000000,2025-01-22 20:00:00,0.00008221,0.58297100
1737590400001,2025-01-23 00:00:00,0.00109885,0.49469000
1737604800001,2025-01-23 04:00:00,0.00036430,0.47137000
1737619200000,2025-01-23 08:00:00,0.00005000,0.49168273
1737633600000,2025-01-23 12:00:00,0.00005000,0.48219057
1737648000000,2025-01-23 16:00:00,0.00005000,0.49189300
1737662400000,2025-01-23 20:00:00,0.00005000,0.47093000
1737676800000,2025-01-24 00:00:00,0.00027415,0.46142273
1737691200000,2025-01-24 04:00:00,0.00030731,0.41072500
1737705600000,2025-01-24 08:00:00,0.00005000,0.43883170
1737720000001,2025-01-24 12:00:00,0.00005000,0.47678000
1737734400000,2025-01-24 16:00:00,-0.00007385,0.41939000
1737748800000,2025-01-24 20:00:00,0.00005000,0.38867697
1737763200000,2025-01-25 00:00:00,0.00005000,0.35825687
1737777600000,2025-01-25 04:00:00,0.00005000,0.36383000
1737792000000,2025-01-25 08:00:00,0.00038234,0.34780000
1737806400000,2025-01-25 12:00:00,0.00005000,0.36019000
1737820800001,2025-01-25 16:00:00,0.00023649,0.36008847
1737835200001,2025-01-25 20:00:00,0.00005000,0.37297660
1737849600000,2025-01-26 00:00:00,0.00005000,0.35494800
1737864000000,2025-01-26 04:00:00,0.00005000,0.36890450
1737878400000,2025-01-26 08:00:00,0.00005000,0.33331770
1737892800000,2025-01-26 12:00:00,0.00011350,0.33058000
1737907200000,2025-01-26 16:00:00,0.00011400,0.30481000
1737921600000,2025-01-26 20:00:00,0.00005000,0.31371827
1737936000000,2025-01-27 00:00:00,0.00056711,0.26874600
1737950400000,2025-01-27 04:00:00,0.00056553,0.27519300
1737964800000,2025-01-27 08:00:00,0.00069019,0.26324873
1737979200001,2025-01-27 12:00:00,0.00006141,0.25242000
1737993600000,2025-01-27 16:00:00,0.00015524,0.30463000
1738008000000,2025-01-27 20:00:00,0.00005000,0.27766733
1738022400000,2025-01-28 00:00:00,0.00005000,0.34595400
1738036800000,2025-01-28 04:00:00,0.00005000,0.33408953
1738051200000,2025-01-28 08:00:00,0.00000263,0.30925087
1738065600000,2025-01-28 12:00:00,0.00005000,0.30109000
1738080000000,2025-01-28 16:00:00,0.00005000,0.28298937
1738094400000,2025-01-28 20:00:00,-0.00065502,0.31515500
1738108800000,2025-01-29 00:00:00,0.00047494,0.28651300
1738123200001,2025-01-29 04:00:00,0.00005000,0.30130153
1738137600000,2025-01-29 08:00:00,0.00005000,0.34618000
1738152000000,2025-01-29 12:00:00,0.00011484,0.35111400
1738166400000,2025-01-29 16:00:00,0.00005000,0.33426000
1738180800000,2025-01-29 20:00:00,0.00010793,0.39733500
1738195200000,2025-01-30 00:00:00,0.00048082,0.39719340
