open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1632787200000,2021-09-28 00:00:00,41.780,41.780,40.682,41.360,6748.7,1632801599999,2021-09-28 03:59:59,277628.3405,1817,3135.1,129174.6811
1632801600000,2021-09-28 04:00:00,41.366,41.533,39.281,39.559,37350.3,1632815999999,2021-09-28 07:59:59,1525311.7336,9862,14291.0,584993.4644
1632816000000,2021-09-28 08:00:00,39.622,41.486,39.401,41.359,32912.4,1632830399999,2021-09-28 11:59:59,1341708.2213,8028,14682.9,599350.4377
1632830400000,2021-09-28 12:00:00,41.325,41.674,38.446,38.545,36032.7,1632844799999,2021-09-28 15:59:59,1443428.8490,8514,12297.0,492459.1085
1632844800000,2021-09-28 16:00:00,38.544,39.498,38.040,39.038,25995.6,1632859199999,2021-09-28 19:59:59,1005144.3932,6668,8656.4,334852.0371
1632859200000,2021-09-28 20:00:00,39.043,39.953,38.000,38.312,19826.4,1632873599999,2021-09-28 23:59:59,778914.5265,6147,4992.2,195535.9066
1632873600000,2021-09-29 00:00:00,38.311,41.974,38.000,41.921,34837.6,1632887999999,2021-09-29 03:59:59,1408025.6217,9084,16077.2,650504.3213
1632888000000,2021-09-29 04:00:00,41.926,45.131,41.878,43.453,216591.9,1632902399999,2021-09-29 07:59:59,9538154.2631,28205,108381.4,4772669.0646
1632902400000,2021-09-29 08:00:00,43.453,44.061,42.500,43.816,98535.6,1632916799999,2021-09-29 11:59:59,4273482.2630,12398,49326.7,2140259.4002
1632916800000,2021-09-29 12:00:00,43.817,43.982,42.035,42.604,96698.8,1632931199999,2021-09-29 15:59:59,4156812.6648,14696,45966.5,1978742.3433
1632931200000,2021-09-29 16:00:00,42.607,44.159,39.194,39.404,211621.1,1632945599999,2021-09-29 19:59:59,8801508.5442,30991,99390.7,4142065.7230
1632945600000,2021-09-29 20:00:00,39.404,40.676,38.950,40.633,73252.4,1632959999999,2021-09-29 23:59:59,2905492.5392,10855,37696.1,1496726.8652
1632960000000,2021-09-30 00:00:00,40.640,43.609,40.180,43.032,86429.3,1632974399999,2021-09-30 03:59:59,3635507.8391,13706,46353.8,1953888.1120
1632974400000,2021-09-30 04:00:00,43.035,43.390,41.585,41.860,66118.2,1632988799999,2021-09-30 07:59:59,2815795.5169,9954,27270.5,1161056.3872
1632988800000,2021-09-30 08:00:00,41.858,42.113,40.926,41.615,41885.9,1633003199999,2021-09-30 11:59:59,1737151.8192,8079,20118.0,834469.7752
1633003200000,2021-09-30 12:00:00,41.577,42.635,41.464,41.670,41048.3,1633017599999,2021-09-30 15:59:59,1723727.1118,8124,19380.3,814888.2333
1633017600000,2021-09-30 16:00:00,41.672,43.334,41.259,42.651,54310.3,1633031999999,2021-09-30 19:59:59,2300266.1033,10508,27348.8,1160426.3531
1633032000000,2021-09-30 20:00:00,42.655,43.734,41.896,43.364,47965.1,1633046399999,2021-09-30 23:59:59,2058418.0351,9874,23528.8,1010891.5159
1633046400000,2021-10-01 00:00:00,43.356,43.959,42.566,43.354,39972.3,1633060799999,2021-10-01 03:59:59,1730033.4720,8910,17104.1,740803.9522
1633060800000,2021-10-01 04:00:00,43.344,46.520,43.044,46.348,98216.9,1633075199999,2021-10-01 07:59:59,4450114.8181,17706,51437.2,2335046.3339
1633075200000,2021-10-01 08:00:00,46.350,49.576,45.802,48.694,255870.5,1633089599999,2021-10-01 11:59:59,12213737.7651,35206,127863.4,6108255.2306
1633089600000,2021-10-01 12:00:00,48.698,48.946,47.450,48.277,151941.5,1633103999999,2021-10-01 15:59:59,7337177.4531,21808,67215.5,3248509.6935
1633104000000,2021-10-01 16:00:00,48.276,49.000,47.587,48.852,68561.0,1633118399999,2021-10-01 19:59:59,3312736.4500,12915,32959.9,1593468.0747
1633118400000,2021-10-01 20:00:00,48.882,49.143,47.744,48.867,62768.0,1633132799999,2021-10-01 23:59:59,3050034.1867,12109,26434.7,1285070.7170
1633132800000,2021-10-02 00:00:00,48.860,49.132,47.272,47.376,48051.4,1633147199999,2021-10-02 03:59:59,2323623.0883,10179,17947.8,869651.8430
1633147200000,2021-10-02 04:00:00,47.376,48.300,46.546,47.870,56930.3,1633161599999,2021-10-02 07:59:59,2698350.3411,9509,26633.4,1263302.4414
1633161600000,2021-10-02 08:00:00,47.874,49.048,47.181,48.960,57714.9,1633175999999,2021-10-02 11:59:59,2787014.7028,10570,30504.2,1474385.9725
1633176000000,2021-10-02 12:00:00,48.957,49.912,48.344,49.776,69384.0,1633190399999,2021-10-02 15:59:59,3414991.6591,12902,28999.8,1428219.8720
1633190400000,2021-10-02 16:00:00,49.778,54.285,48.760,54.234,135176.6,1633204799999,2021-10-02 19:59:59,6950402.0822,29044,66275.8,3420400.0782
