open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1782187200000,2026-06-23 04:00:00,0.4460000,0.4490000,0.3460000,0.3891000,75067474,1782201599999,2026-06-23 07:59:59,29140748.8484000,323600,35713821,13892357.7702000
1782201600000,2026-06-23 08:00:00,0.3892000,0.4144000,0.3486000,0.3641000,87384860,1782215999999,2026-06-23 11:59:59,33164919.8669000,349694,42753026,16239861.0825000
1782216000000,2026-06-23 12:00:00,0.3641000,0.3717000,0.3416000,0.3604000,60070895,1782230399999,2026-06-23 15:59:59,21430346.2250000,196243,28471236,10162948.0695000
1782230400000,2026-06-23 16:00:00,0.3604000,0.3760000,0.3133000,0.3311000,51798990,1782244799999,2026-06-23 19:59:59,17651211.6100000,177557,23565337,8048584.2617000
1782244800000,2026-06-23 20:00:00,0.3311000,0.3383000,0.3180000,0.3287000,16220731,1782259199999,2026-06-23 23:59:59,5320494.6570000,68639,8103769,2659566.3332000
1782259200000,2026-06-24 00:00:00,0.3289000,0.3462000,0.2954000,0.3068000,45633763,1782273599999,2026-06-24 03:59:59,14366031.3657000,162034,21513895,6784478.5124000
1782273600000,2026-06-24 04:00:00,0.3068000,0.3155000,0.2928000,0.3006000,27099394,1782287999999,2026-06-24 07:59:59,8289838.5692000,98544,12953550,3962421.7403000
1782288000000,2026-06-24 08:00:00,0.3006000,0.3094000,0.2859000,0.2910000,34108690,1782302399999,2026-06-24 11:59:59,10140044.6926000,102106,16639890,4951997.0863000
1782302400000,2026-06-24 12:00:00,0.2909000,0.2929000,0.2520000,0.2566000,62382029,1782316799999,2026-06-24 15:59:59,16881508.9498000,142945,29262222,7922918.8627000
1782316800000,2026-06-24 16:00:00,0.2566000,0.2688000,0.2548000,0.2632000,35727557,1782331199999,2026-06-24 19:59:59,9377401.2822000,87693,17954379,4715291.8957000
1782331200000,2026-06-24 20:00:00,0.2631000,0.2787000,0.2626000,0.2736000,22085709,1782345599999,2026-06-24 23:59:59,5975689.5141000,66320,11445061,3097497.1595000
1782345600000,2026-06-25 00:00:00,0.2736000,0.2809000,0.2406000,0.2454000,36393475,1782359999999,2026-06-25 03:59:59,9250154.5745000,109136,16656540,4237351.0144000
1782360000000,2026-06-25 04:00:00,0.2455000,0.2694000,0.2423000,0.2517000,26868718,1782374399999,2026-06-25 07:59:59,6893070.5268000,91511,12509580,3210238.3067000
1782374400000,2026-06-25 08:00:00,0.2515000,0.2536000,0.2355000,0.2462000,19610748,1782388799999,2026-06-25 11:59:59,4836528.7733000,55345,9076670,2242212.7203000
