open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1581076800000,2020-02-07 12:00:00,4.574,4.895,4.573,4.886,503220.27,1581091199999,2020-02-07 15:59:59,2399668.55043,6980,233389.93,1109894.93072
1581091200000,2020-02-07 16:00:00,4.874,4.950,4.782,4.948,319358.84,1581105599999,2020-02-07 19:59:59,1553118.87400,6647,162313.39,790727.51698
1581105600000,2020-02-07 20:00:00,4.948,4.948,4.771,4.822,143362.77,1581119999999,2020-02-07 23:59:59,692416.59279,2908,54220.42,261933.50442
1581120000000,2020-02-08 00:00:00,4.817,4.835,4.485,4.634,262087.40,1581134399999,2020-02-08 03:59:59,1220417.67162,3901,101702.61,473418.11434
1581134400000,2020-02-08 04:00:00,4.634,4.709,4.600,4.692,236450.40,1581148799999,2020-02-08 07:59:59,1100482.68744,2823,122606.79,570196.27054
1581148800000,2020-02-08 08:00:00,4.692,4.814,4.692,4.797,246698.22,1581163199999,2020-02-08 11:59:59,1174719.57281,2905,123283.63,587381.14021
1581163200000,2020-02-08 12:00:00,4.797,4.820,4.706,4.748,183733.00,1581177599999,2020-02-08 15:59:59,873949.09290,2948,78857.29,375245.30412
1581177600000,2020-02-08 16:00:00,4.745,4.763,4.684,4.719,158502.06,1581191999999,2020-02-08 19:59:59,749134.28006,2810,80305.61,379655.58066
1581192000000,2020-02-08 20:00:00,4.718,4.743,4.633,4.647,146934.94,1581206399999,2020-02-08 23:59:59,688951.72669,2306,56440.06,265199.08938
1581206400000,2020-02-09 00:00:00,4.642,4.761,4.642,4.731,126498.89,1581220799999,2020-02-09 03:59:59,597153.43566,1641,58012.51,273757.09848
1581220800000,2020-02-09 04:00:00,4.730,4.806,4.630,4.746,243069.64,1581235199999,2020-02-09 07:59:59,1152835.69330,3289,112196.18,532653.30649
1581235200000,2020-02-09 08:00:00,4.746,4.800,4.687,4.789,206191.07,1581249599999,2020-02-09 11:59:59,976065.40189,2905,94673.27,448584.36087
1581249600000,2020-02-09 12:00:00,4.796,4.810,4.626,4.699,197171.06,1581263999999,2020-02-09 15:59:59,929470.21352,3047,74159.20,350100.33065
1581264000000,2020-02-09 16:00:00,4.699,4.734,4.688,4.712,82200.66,1581278399999,2020-02-09 19:59:59,387621.87323,1831,38519.34,181687.06918
1581278400000,2020-02-09 20:00:00,4.713,4.770,4.687,4.760,130252.58,1581292799999,2020-02-09 23:59:59,616384.50157,1887,51599.01,244191.00860
1581292800000,2020-02-10 00:00:00,4.760,4.780,4.646,4.675,138555.86,1581307199999,2020-02-10 03:59:59,653575.54226,2675,56277.67,265438.98678
1581307200000,2020-02-10 04:00:00,4.676,4.754,4.547,4.714,232868.02,1581321599999,2020-02-10 07:59:59,1080719.89776,3638,112253.46,521080.93703
1581321600000,2020-02-10 08:00:00,4.718,4.741,4.580,4.629,207585.13,1581335999999,2020-02-10 11:59:59,967646.18716,4218,89552.60,417663.05617
1581336000000,2020-02-10 12:00:00,4.626,4.777,4.620,4.747,194170.09,1581350399999,2020-02-10 15:59:59,918170.74726,3563,102967.84,487024.34419
1581350400000,2020-02-10 16:00:00,4.747,4.758,4.669,4.696,106917.19,1581364799999,2020-02-10 19:59:59,503611.77861,2291,52467.67,247124.14537
1581364800000,2020-02-10 20:00:00,4.696,4.810,4.688,4.782,146306.25,1581379199999,2020-02-10 23:59:59,694282.89855,2894,73301.44,347989.54210
1581379200000,2020-02-11 00:00:00,4.774,4.813,4.735,4.798,176699.68,1581393599999,2020-02-11 03:59:59,844632.74265,2827,73036.86,349400.34155
1581393600000,2020-02-11 04:00:00,4.797,4.798,4.700,4.708,166265.58,1581407999999,2020-02-11 07:59:59,787092.44462,2738,79167.02,374809.89819
1581408000000,2020-02-11 08:00:00,4.708,4.882,4.696,4.877,236187.24,1581422399999,2020-02-11 11:59:59,1131823.59809,3991,137396.23,658697.84505
1581422400000,2020-02-11 12:00:00,4.879,5.063,4.871,4.988,714890.41,1581436799999,2020-02-11 15:59:59,3565407.77343,8222,360744.04,1799345.28566
1581436800000,2020-02-11 16:00:00,4.992,5.237,4.924,5.124,496423.19,1581451199999,2020-02-11 19:59:59,2542010.96665,9091,257744.81,1320824.35383
1581451200000,2020-02-11 20:00:00,5.124,5.161,5.090,5.118,156279.70,1581465599999,2020-02-11 23:59:59,800052.48015,3278,58173.75,298034.43165
1581465600000,2020-02-12 00:00:00,5.119,5.294,5.104,5.268,232274.59,1581479999999,2020-02-12 03:59:59,1204403.74295,3688,120427.70,624801.20765
1581480000000,2020-02-12 04:00:00,5.273,5.346,5.200,5.292,295835.84,1581494399999,2020-02-12 07:59:59,1559906.01982,4773,130568.63,689078.01248
1581494400000,2020-02-12 08:00:00,5.299,5.299,5.151,5.209,313130.29,1581508799999,2020-02-12 11:59:59,1635792.43565,5952,130658.05,682623.44743
1581508800000,2020-02-12 12:00:00,5.210,5.288,5.154,5.166,263422.84,1581523199999,2020-02-12 15:59:59,1374475.62159,5007,121021.07,631982.69387
1581523200000,2020-02-12 16:00:00,5.165,5.265,5.154,5.189,215709.72,1581537599999,2020-02-12 19:59:59,1123272.89206,3916,97836.25,509575.28995
1581537600000,2020-02-12 20:00:00,5.190,5.267,5.050,5.117,271899.89,1581551999999,2020-02-12 23:59:59,1411336.85799,4823,117642.59,611464.74158
1581552000000,2020-02-13 00:00:00,5.121,5.231,5.094,5.168,185385.96,1581566399999,2020-02-13 03:59:59,957387.27166,3010,87463.50,451759.59761
1581566400000,2020-02-13 04:00:00,5.179,5.274,5.111,5.119,290986.62,1581580799999,2020-02-13 07:59:59,1514434.30327,4930,128658.08,670356.49288
1581580800000,2020-02-13 08:00:00,5.118,5.146,4.838,4.930,598845.43,1581595199999,2020-02-13 11:59:59,2957497.08494,7142,217406.65,1071291.46973
1581595200000,2020-02-13 12:00:00,4.936,5.121,4.873,4.977,439412.91,1581609599999,2020-02-13 15:59:59,2197264.48518,6876,185478.95,928720.27545
1581609600000,2020-02-13 16:00:00,4.978,5.023,4.854,4.923,390354.93,1581623999999,2020-02-13 19:59:59,1920813.24287,5812,172422.43,849001.01557
