fundingTime,fundingTime_dt,fundingRate,markPrice
1780070400008,2026-05-29 16:00:00,0.00005000,1.18200000
1780084800000,2026-05-29 20:00:00,-0.00000334,1.15700000
1780099200000,2026-05-30 00:00:00,0.00005000,1.17561371
1780113600004,2026-05-30 04:00:00,-0.00016455,1.22807333
1780128000001,2026-05-30 08:00:00,-0.00004341,1.24261467
1780142400000,2026-05-30 12:00:00,-0.00001861,1.23434095
1780156800000,2026-05-30 16:00:00,0.00000076,1.20834029
1780171200000,2026-05-30 20:00:00,-0.00002039,1.20900000
1780185600000,2026-05-31 00:00:00,-0.00007560,1.19300000
1780200000006,2026-05-31 04:00:00,-0.00015125,1.19315390
1780214400000,2026-05-31 08:00:00,-0.00013815,1.16347086
1780228800005,2026-05-31 12:00:00,-0.00012272,1.18100000
1780243200004,2026-05-31 16:00:00,-0.00012782,1.15800000
1780257600010,2026-05-31 20:00:00,-0.00010663,1.15250000
1780272000001,2026-06-01 00:00:00,-0.00008598,1.18400000
1780286400006,2026-06-01 04:00:00,0.00000614,1.19990857
1780300800001,2026-06-01 08:00:00,0.00003734,1.16007429
1780315200000,2026-06-01 12:00:00,0.00005000,1.17100000
1780329600000,2026-06-01 16:00:00,0.00005000,1.17100000
1780344000000,2026-06-01 20:00:00,0.00005000,1.18900000
1780358400000,2026-06-02 00:00:00,0.00000913,1.17515581
1780372800008,2026-06-02 04:00:00,0.00005000,1.16700000
1780387200000,2026-06-02 08:00:00,0.00005000,1.15231333
1780401600002,2026-06-02 12:00:00,-0.00006279,1.16939714
1780416000000,2026-06-02 16:00:00,-0.00017704,1.14881314
1780430400000,2026-06-02 20:00:00,-0.00008573,1.13113124
1780444800013,2026-06-03 00:00:00,-0.00009088,1.12000000
1780459200000,2026-06-03 04:00:00,-0.00000015,1.10150000
1780473600000,2026-06-03 08:00:00,0.00002888,1.15100000
1780488000000,2026-06-03 12:00:00,0.00005000,1.16500000
1780502400001,2026-06-03 16:00:00,0.00005000,1.14600000
1780516800002,2026-06-03 20:00:00,0.00005000,1.12600000
1780531200009,2026-06-04 00:00:00,-0.00002063,1.12000000
1780545600000,2026-06-04 04:00:00,-0.00025890,1.06295714
1780560000000,2026-06-04 08:00:00,-0.00017447,1.01317048
1780574400002,2026-06-04 12:00:00,-0.00017619,1.01300000
1780588800003,2026-06-04 16:00:00,-0.00007266,1.03402690
1780603200001,2026-06-04 20:00:00,-0.00011389,1.05652143
1780617600000,2026-06-05 00:00:00,-0.00003232,1.02251704
1780632000001,2026-06-05 04:00:00,-0.00006332,0.98000000
1780646400004,2026-06-05 08:00:00,-0.00011254,0.96000000
1780660800000,2026-06-05 12:00:00,-0.00004649,0.95600000
1780675200009,2026-06-05 16:00:00,-0.00004296,0.92072724
1780689600000,2026-06-05 20:00:00,-0.00009091,0.92200000
1780704000000,2026-06-06 00:00:00,0.00000046,0.93138800
1780718400000,2026-06-06 04:00:00,-0.00004087,0.91147581
1780732800000,2026-06-06 08:00:00,-0.00005010,0.91300000
1780747200002,2026-06-06 12:00:00,-0.00009083,0.91100000
1780761600000,2026-06-06 16:00:00,-0.00007030,0.91485810
1780776000003,2026-06-06 20:00:00,-0.00002712,0.90300000
1780790400001,2026-06-07 00:00:00,0.00000118,0.92200000
1780804800000,2026-06-07 04:00:00,-0.00002774,0.93448686
