fundingTime,fundingTime_dt,fundingRate,markPrice
1770796800006,2026-02-11 08:00:00,0.00005000,0.01859390
1770811200000,2026-02-11 12:00:00,0.00005000,0.01914090
1770825600000,2026-02-11 16:00:00,0.00005000,0.01882390
1770840000003,2026-02-11 20:00:00,0.00005000,0.01848490
1770854400000,2026-02-12 00:00:00,0.00005000,0.01674310
1770868800000,2026-02-12 04:00:00,0.00005000,0.01726190
1770883200001,2026-02-12 08:00:00,-0.01287330,0.01988000
1770897600002,2026-02-12 12:00:00,0.00003317,0.02110617
1770912000001,2026-02-12 16:00:00,-0.00097713,0.02144000
1770926400006,2026-02-12 20:00:00,-0.00068212,0.02086000
1770940800007,2026-02-13 00:00:00,0.00005000,0.02046000
1770955200000,2026-02-13 04:00:00,-0.00060837,0.02118000
1770969600003,2026-02-13 08:00:00,-0.00052778,0.02168821
1770984000000,2026-02-13 12:00:00,-0.00071779,0.02343083
1770998400005,2026-02-13 16:00:00,0.00005000,0.02577000
1771012800006,2026-02-13 20:00:00,0.00005000,0.02843838
1771027200002,2026-02-14 00:00:00,0.00005000,0.02768000
1771041600007,2026-02-14 04:00:00,-0.00050709,0.02464673
1771056000004,2026-02-14 08:00:00,-0.00022171,0.02251000
1771070400000,2026-02-14 12:00:00,-0.00037206,0.02231396
1771084800002,2026-02-14 16:00:00,-0.00048220,0.02284000
1771099200000,2026-02-14 20:00:00,-0.00041676,0.02340000
1771113600000,2026-02-15 00:00:00,-0.00038070,0.02326000
1771128000000,2026-02-15 04:00:00,-0.00055846,0.02260542
1771142400002,2026-02-15 08:00:00,-0.00015641,0.02350329
1771156800005,2026-02-15 12:00:00,0.00001253,0.02519833
1771171200000,2026-02-15 16:00:00,-0.00088749,0.02292210
1771185600009,2026-02-15 20:00:00,-0.00091041,0.02202532
1771200000001,2026-02-16 00:00:00,-0.00127687,0.02156000
1771214400004,2026-02-16 04:00:00,-0.00111699,0.02159000
1771228800003,2026-02-16 08:00:00,-0.00097966,0.02207521
1771243200000,2026-02-16 12:00:00,-0.00039214,0.02272443
1771257600000,2026-02-16 16:00:00,-0.00019695,0.02229000
1771272000009,2026-02-16 20:00:00,-0.00005295,0.02223000
1771286400008,2026-02-17 00:00:00,-0.00020160,0.02284000
1771300800003,2026-02-17 04:00:00,-0.00019547,0.02222000
1771315200001,2026-02-17 08:00:00,-0.00024778,0.02148106
1771329600000,2026-02-17 12:00:00,-0.00054347,0.02145236
1771344000002,2026-02-17 16:00:00,-0.00037172,0.02073000
1771358400002,2026-02-17 20:00:00,0.00005000,0.02135597
1771372800000,2026-02-18 00:00:00,-0.00008651,0.02017000
1771387200000,2026-02-18 04:00:00,-0.00030266,0.01924000
1771401600000,2026-02-18 08:00:00,-0.00049593,0.01919351
1771416000007,2026-02-18 12:00:00,-0.00068149,0.01920113
1771430400011,2026-02-18 16:00:00,-0.00029896,0.01898000
1771444800004,2026-02-18 20:00:00,-0.00083548,0.01857481
1771459200013,2026-02-19 00:00:00,-0.00071301,0.01813645
1771473600003,2026-02-19 04:00:00,-0.00094823,0.01852528
1771488000000,2026-02-19 08:00:00,-0.00059883,0.01858000
1771502400011,2026-02-19 12:00:00,-0.00025817,0.01964700
1771516800003,2026-02-19 16:00:00,-0.00007969,0.01888229
1771531200000,2026-02-19 20:00:00,0.00003631,0.01957000
1771545600000,2026-02-20 00:00:00,0.00005000,0.01909500
1771560000003,2026-02-20 04:00:00,0.00001967,0.01951000
1771574400000,2026-02-20 08:00:00,-0.02000000,0.02692597
1771578000004,2026-02-20 09:00:00,-0.02000000,0.02747000
1771581600000,2026-02-20 10:00:00,-0.01455817,0.02721000
1771585200000,2026-02-20 11:00:00,-0.01474245,0.02858000
1771588800000,2026-02-20 12:00:00,-0.01295269,0.03222993
1771592400000,2026-02-20 13:00:00,-0.01000809,0.03244000
1771596000008,2026-02-20 14:00:00,-0.00861828,0.03092634
1771599600000,2026-02-20 15:00:00,-0.00558445,0.03161028
1771603200000,2026-02-20 16:00:00,-0.00477157,0.03044856
1771606800000,2026-02-20 17:00:00,-0.00385196,0.03129262
1771610400001,2026-02-20 18:00:00,-0.00249102,0.03027699
1771614000004,2026-02-20 19:00:00,-0.00298726,0.03036081
1771617600000,2026-02-20 20:00:00,-0.00293081,0.03096576
1771621200001,2026-02-20 21:00:00,-0.00252693,0.03109000
1771624800002,2026-02-20 22:00:00,-0.00206676,0.03065000
1771628400000,2026-02-20 23:00:00,-0.00193819,0.03120000
1771632000004,2026-02-21 00:00:00,-0.00184025,0.03218941
1771635600000,2026-02-21 01:00:00,-0.00306544,0.03177844
1771639200000,2026-02-21 02:00:00,-0.00327712,0.03399982
1771642800000,2026-02-21 03:00:00,-0.00364279,0.03302856
1771646400000,2026-02-21 04:00:00,-0.00397664,0.03267421
1771650000001,2026-02-21 05:00:00,-0.00566932,0.03656790
1771653600001,2026-02-21 06:00:00,-0.00564391,0.03634662
1771657200009,2026-02-21 07:00:00,-0.00456172,0.03550168
1771660800000,2026-02-21 08:00:00,-0.00342321,0.03612112
1771664400007,2026-02-21 09:00:00,-0.00311328,0.03685000
1771668000000,2026-02-21 10:00:00,-0.00295247,0.03604817
1771671600003,2026-02-21 11:00:00,-0.00313209,0.03642000
1771675200013,2026-02-21 12:00:00,-0.00304310,0.03544000
1771678800004,2026-02-21 13:00:00,-0.00266625,0.03500034
1771682400000,2026-02-21 14:00:00,-0.00221191,0.03465000
1771686000000,2026-02-21 15:00:00,-0.00194058,0.03453336
1771689600005,2026-02-21 16:00:00,-0.00169440,0.03427386
1771693200000,2026-02-21 17:00:00,-0.00150344,0.03365000
1771696800007,2026-02-21 18:00:00,-0.00145666,0.03373000
1771700400000,2026-02-21 19:00:00,-0.00151639,0.03296000
1771704000000,2026-02-21 20:00:00,-0.00166797,0.03260510
1771707600004,2026-02-21 21:00:00,-0.00177708,0.03194188
1771711200009,2026-02-21 22:00:00,-0.00194086,0.03285000
1771714800000,2026-02-21 23:00:00,-0.00193712,0.03332000
1771718400001,2026-02-22 00:00:00,-0.00218560,0.03376707
1771722000000,2026-02-22 01:00:00,-0.00286408,0.03486582
1771725600000,2026-02-22 02:00:00,-0.00323838,0.03508937
1771729200000,2026-02-22 03:00:00,-0.00282087,0.03345634
1771732800008,2026-02-22 04:00:00,-0.00262628,0.03292791
1771736400001,2026-02-22 05:00:00,-0.00256542,0.03236000
1771740000000,2026-02-22 06:00:00,-0.00216325,0.03305256
1771743600001,2026-02-22 07:00:00,-0.00193003,0.03230000
1771747200004,2026-02-22 08:00:00,-0.00152185,0.03196283
1771750800001,2026-02-22 09:00:00,-0.00167358,0.03120000
1771754400001,2026-02-22 10:00:00,-0.00181849,0.03134000
1771758000000,2026-02-22 11:00:00,-0.00163502,0.03062000
1771761600008,2026-02-22 12:00:00,-0.00144639,0.03071216
1771765200000,2026-02-22 13:00:00,-0.00141318,0.03046000
1771768800005,2026-02-22 14:00:00,-0.00136842,0.03121000
1771772400003,2026-02-22 15:00:00,-0.00161985,0.03051360
1771776000000,2026-02-22 16:00:00,-0.00186377,0.03025608
1771779600000,2026-02-22 17:00:00,-0.00183609,0.03093000
1771783200001,2026-02-22 18:00:00,-0.00183334,0.03095000
1771786800001,2026-02-22 19:00:00,-0.00158935,0.03107000
1771790400000,2026-02-22 20:00:00,-0.00142675,0.03098681
1771794000000,2026-02-22 21:00:00,-0.00133943,0.03129000
1771797600004,2026-02-22 22:00:00,-0.00118925,0.03062314
1771801200001,2026-02-22 23:00:00,-0.00122492,0.03106000
1771804800001,2026-02-23 00:00:00,-0.00117604,0.03053124
1771808400004,2026-02-23 01:00:00,-0.00121499,0.03015000
1771812000004,2026-02-23 02:00:00,-0.00086549,0.02727000
1771815600003,2026-02-23 03:00:00,-0.00093011,0.02783000
1771819200000,2026-02-23 04:00:00,-0.00093202,0.02728337
1771822800000,2026-02-23 05:00:00,-0.00129773,0.02810229
1771826400000,2026-02-23 06:00:00,-0.00144627,0.02807341
1771830000000,2026-02-23 07:00:00,-0.00133511,0.02773231
1771833600000,2026-02-23 08:00:00,-0.00124773,0.02794000
1771837200009,2026-02-23 09:00:00,-0.00144747,0.02735289
1771840800005,2026-02-23 10:00:00,-0.00148663,0.02794000
1771844400000,2026-02-23 11:00:00,-0.00195705,0.02802000
1771848000003,2026-02-23 12:00:00,-0.00187602,0.02775000
1771851600004,2026-02-23 13:00:00,-0.00170066,0.02802000
1771855200000,2026-02-23 14:00:00,-0.00137813,0.02757708
1771858800000,2026-02-23 15:00:00,-0.00118336,0.02733143
1771862400000,2026-02-23 16:00:00,-0.00116182,0.02728000
1771866000005,2026-02-23 17:00:00,-0.00108703,0.02675081
1771869600011,2026-02-23 18:00:00,-0.00104559,0.02670000
1771873200006,2026-02-23 19:00:00,-0.00080808,0.02662342
1771876800000,2026-02-23 20:00:00,-0.00075818,0.02647000
1771880400004,2026-02-23 21:00:00,-0.00082707,0.02682000
1771884000001,2026-02-23 22:00:00,-0.00069214,0.02667000
1771887600000,2026-02-23 23:00:00,-0.00044048,0.02678000
1771891200007,2026-02-24 00:00:00,-0.00038094,0.02691438
1771894800011,2026-02-24 01:00:00,-0.00071098,0.02627518
1771898400004,2026-02-24 02:00:00,-0.00073011,0.02531000
1771902000000,2026-02-24 03:00:00,-0.00052032,0.02494000
1771905600000,2026-02-24 04:00:00,-0.00044634,0.02464000
1771909200011,2026-02-24 05:00:00,-0.00057181,0.02413000
1771912800005,2026-02-24 06:00:00,-0.00107208,0.02425601
1771916400007,2026-02-24 07:00:00,-0.00092366,0.02405000
1771920000000,2026-02-24 08:00:00,-0.00097873,0.02352000
1771923600000,2026-02-24 09:00:00,-0.00092069,0.02361330
1771927200014,2026-02-24 10:00:00,-0.00098742,0.02345328
1771930800007,2026-02-24 11:00:00,-0.00077421,0.02372000
1771934400000,2026-02-24 12:00:00,-0.00078821,0.02388613
1771938000006,2026-02-24 13:00:00,-0.00082857,0.02404000
1771941600000,2026-02-24 14:00:00,-0.00097306,0.02423000
1771945200009,2026-02-24 15:00:00,-0.00070625,0.02459890
1771948800001,2026-02-24 16:00:00,-0.00048014,0.02528000
1771952400000,2026-02-24 17:00:00,-0.00035769,0.02572173
1771956000000,2026-02-24 18:00:00,-0.00038434,0.02574530
1771959600004,2026-02-24 19:00:00,-0.00024908,0.02590356
1771963200002,2026-02-24 20:00:00,-0.00018634,0.02656000
1771966800005,2026-02-24 21:00:00,-0.00023545,0.02604000
1771970400000,2026-02-24 22:00:00,-0.00020342,0.02552066
1771974000007,2026-02-24 23:00:00,-0.00016615,0.02526000
1771977600001,2026-02-25 00:00:00,-0.00016343,0.02497336
1771981200000,2026-02-25 01:00:00,-0.00036774,0.02519718
1771984800000,2026-02-25 02:00:00,-0.00031753,0.02591242
1771988400006,2026-02-25 03:00:00,-0.00032678,0.02576000
1771992000000,2026-02-25 04:00:00,-0.00046347,0.02506000
1771995600007,2026-02-25 05:00:00,-0.00033635,0.02514000
1771999200000,2026-02-25 06:00:00,-0.00034439,0.02494000
1772002800001,2026-02-25 07:00:00,-0.00036912,0.02485000
1772006400007,2026-02-25 08:00:00,-0.00036607,0.02473152
1772010000007,2026-02-25 09:00:00,-0.00042206,0.02448342
1772013600003,2026-02-25 10:00:00,-0.00032302,0.02437656
1772017200016,2026-02-25 11:00:00,-0.00026277,0.02464616
1772020800000,2026-02-25 12:00:00,-0.00020907,0.02490000
1772024400000,2026-02-25 13:00:00,-0.00024589,0.02469412
1772028000001,2026-02-25 14:00:00,-0.00029185,0.02471393
1772031600004,2026-02-25 15:00:00,-0.00018019,0.02534881
1772035200000,2026-02-25 16:00:00,-0.00025777,0.02529969
1772038800008,2026-02-25 17:00:00,-0.00004719,0.02626711
1772042400000,2026-02-25 18:00:00,-0.00009571,0.02626470
1772046000006,2026-02-25 19:00:00,-0.00018266,0.02622030
1772049600006,2026-02-25 20:00:00,-0.00023841,0.02742744
1772053200001,2026-02-25 21:00:00,-0.00005990,0.02708000
1772056800000,2026-02-25 22:00:00,-0.00006206,0.02752072
1772060400000,2026-02-25 23:00:00,-0.00008007,0.02676090
1772064000000,2026-02-26 00:00:00,-0.00010581,0.02612184
1772067600001,2026-02-26 01:00:00,-0.00014536,0.02630534
1772071200000,2026-02-26 02:00:00,-0.00020728,0.02759000
1772074800012,2026-02-26 03:00:00,-0.00024057,0.02639000
1772078400000,2026-02-26 04:00:00,-0.00021078,0.02600746
1772082000000,2026-02-26 05:00:00,-0.00029015,0.02533000
1772085600000,2026-02-26 06:00:00,-0.00022327,0.02465889
1772089200000,2026-02-26 07:00:00,-0.00012377,0.02458559
1772092800006,2026-02-26 08:00:00,-0.00019710,0.02460439
1772096400006,2026-02-26 09:00:00,-0.00015337,0.02467468
1772100000006,2026-02-26 10:00:00,-0.00004659,0.02491964
1772103600000,2026-02-26 11:00:00,-0.00007886,0.02415000
1772107200004,2026-02-26 12:00:00,-0.00012657,0.02429278
1772110800002,2026-02-26 13:00:00,-0.00002428,0.02486000
1772114400005,2026-02-26 14:00:00,-0.00001243,0.02428087
1772118000000,2026-02-26 15:00:00,-0.00004644,0.02419000
1772121600002,2026-02-26 16:00:00,-0.00001295,0.02363000
1772125200000,2026-02-26 17:00:00,-0.00004609,0.02312504
1772128800001,2026-02-26 18:00:00,-0.00002045,0.02308751
1772132400001,2026-02-26 19:00:00,-0.00001357,0.02346993
1772136000001,2026-02-26 20:00:00,-0.00001041,0.02345074
1772139600000,2026-02-26 21:00:00,-0.00006105,0.02315000
1772150400007,2026-02-27 00:00:00,-0.00020411,0.02310222
1772164800000,2026-02-27 04:00:00,-0.00129775,0.02361779
1772179200000,2026-02-27 08:00:00,0.00005000,0.02373067
1772193600000,2026-02-27 12:00:00,-0.00035679,0.02181000
1772208000001,2026-02-27 16:00:00,-0.00044608,0.02148453
1772222400007,2026-02-27 20:00:00,-0.00011494,0.02119000
1772236800000,2026-02-28 00:00:00,-0.00034548,0.02098000
1772251200002,2026-02-28 04:00:00,-0.00016309,0.02103619
1772265600000,2026-02-28 08:00:00,-0.00105991,0.02027000
1772280000001,2026-02-28 12:00:00,-0.00014591,0.01988000
1772294400004,2026-02-28 16:00:00,-0.00025489,0.02036000
1772308800000,2026-02-28 20:00:00,-0.00013402,0.02122000
1772323200005,2026-03-01 00:00:00,-0.00035250,0.02102678
1772337600000,2026-03-01 04:00:00,-0.00094112,0.02148000
1772352000000,2026-03-01 08:00:00,-0.00029714,0.02238000
1772366400000,2026-03-01 12:00:00,-0.00051987,0.02175000
1772380800002,2026-03-01 16:00:00,-0.00052466,0.02206000
1772395200001,2026-03-01 20:00:00,-0.00021168,0.02164486
1772409600001,2026-03-02 00:00:00,-0.00052978,0.02150000
1772424000001,2026-03-02 04:00:00,-0.00075788,0.02226000
1772438400007,2026-03-02 08:00:00,-0.00080768,0.02137000
1772452800002,2026-03-02 12:00:00,-0.00063332,0.02161000
1772467200000,2026-03-02 16:00:00,-0.00009732,0.02212000
1772481600000,2026-03-02 20:00:00,-0.00008970,0.02185000
1772496000000,2026-03-03 00:00:00,-0.00032489,0.02140000
1772510400009,2026-03-03 04:00:00,-0.00016614,0.02123000
1772524800000,2026-03-03 08:00:00,-0.00013373,0.02104000
1772539200017,2026-03-03 12:00:00,-0.00012125,0.02049000
1772553600007,2026-03-03 16:00:00,-0.00015205,0.02038000
1772568000000,2026-03-03 20:00:00,0.00002309,0.02066000
1772582400001,2026-03-04 00:00:00,-0.00018591,0.02051080
1772596800000,2026-03-04 04:00:00,-0.00038753,0.02105000
1772611200005,2026-03-04 08:00:00,-0.00008348,0.02150713
1772625600008,2026-03-04 12:00:00,-0.00119844,0.02330000
1772640000000,2026-03-04 16:00:00,-0.00028880,0.02398000
1772654400000,2026-03-04 20:00:00,-0.00015217,0.02383000
1772668800000,2026-03-05 00:00:00,0.00001379,0.02353334
1772683200000,2026-03-05 04:00:00,-0.00030658,0.02251000
1772697600000,2026-03-05 08:00:00,-0.00007524,0.02198000
1772712000000,2026-03-05 12:00:00,-0.00007927,0.02227000
1772726400004,2026-03-05 16:00:00,0.00001957,0.02170080
1772740800000,2026-03-05 20:00:00,-0.00017582,0.02145650
1772755200001,2026-03-06 00:00:00,-0.00026694,0.02141000
1772769600003,2026-03-06 04:00:00,0.00001507,0.02141198
1772784000001,2026-03-06 08:00:00,0.00005000,0.02175000
1772798400005,2026-03-06 12:00:00,-0.00007280,0.02082534
1772812800004,2026-03-06 16:00:00,-0.00007685,0.02022000
1772827200010,2026-03-06 20:00:00,-0.00012556,0.02046797
1772841600001,2026-03-07 00:00:00,-0.00020093,0.02043390
1772856000006,2026-03-07 04:00:00,-0.00137846,0.02143914
1772870400012,2026-03-07 08:00:00,-0.00042174,0.02157000
1772884800000,2026-03-07 12:00:00,-0.00024792,0.02173000
1772899200001,2026-03-07 16:00:00,-0.00005086,0.02174598
1772913600000,2026-03-07 20:00:00,0.00001178,0.02152000
1772928000001,2026-03-08 00:00:00,-0.00001078,0.02194000
1772942400010,2026-03-08 04:00:00,-0.00019702,0.02077696
1772956800000,2026-03-08 08:00:00,-0.00008013,0.02098483
1772971200002,2026-03-08 12:00:00,-0.00000535,0.02091978
1772985600002,2026-03-08 16:00:00,-0.00005499,0.02100800
1773000000000,2026-03-08 20:00:00,0.00005000,0.02117000
1773014400000,2026-03-09 00:00:00,-0.00002610,0.02059000
1773028800006,2026-03-09 04:00:00,0.00005000,0.02114000
1773043200004,2026-03-09 08:00:00,0.00005000,0.02144000
1773057600001,2026-03-09 12:00:00,0.00005000,0.02142000
1773072000003,2026-03-09 16:00:00,0.00005000,0.02174000
1773086400000,2026-03-09 20:00:00,0.00005000,0.02168000
1773100800012,2026-03-10 00:00:00,0.00005000,0.02144544
1773115200000,2026-03-10 04:00:00,0.00005000,0.02150756
1773129600002,2026-03-10 08:00:00,0.00005000,0.02195900
1773144000004,2026-03-10 12:00:00,0.00005000,0.02197667
1773158400001,2026-03-10 16:00:00,0.00000799,0.02179000
1773172800004,2026-03-10 20:00:00,-0.00010867,0.02158027
1773187200000,2026-03-11 00:00:00,-0.00007692,0.02148367
1773201600000,2026-03-11 04:00:00,0.00002270,0.02140166
1773216000007,2026-03-11 08:00:00,-0.00000117,0.02115000
1773230400003,2026-03-11 12:00:00,-0.00010938,0.02102000
1773244800010,2026-03-11 16:00:00,-0.00004418,0.02148000
1773259200004,2026-03-11 20:00:00,0.00004260,0.02175927
1773273600000,2026-03-12 00:00:00,0.00005000,0.02181347
1773288000001,2026-03-12 04:00:00,0.00000714,0.02157286
