fundingTime,fundingTime_dt,fundingRate,markPrice
1743868800000,2025-04-05 16:00:00,0.00005000,0.06061900
1743883200000,2025-04-05 20:00:00,0.00005000,0.06226840
1743897600000,2025-04-06 00:00:00,0.00005000,0.06399760
1743912000000,2025-04-06 04:00:00,0.00005000,0.06340880
1743926400000,2025-04-06 08:00:00,0.00005000,0.06304280
1743940800001,2025-04-06 12:00:00,0.00005000,0.06348070
1743955200002,2025-04-06 16:00:00,0.00005000,0.06381840
1743969600001,2025-04-06 20:00:00,0.00005000,0.06367500
1743984000000,2025-04-07 00:00:00,0.00005000,0.06336770
1743998400000,2025-04-07 04:00:00,0.00005000,0.06335290
1744012800000,2025-04-07 08:00:00,0.00005000,0.06927320
1744027200000,2025-04-07 12:00:00,0.00005000,0.07338760
1744041600000,2025-04-07 16:00:00,0.00005000,0.07052980
1744056000000,2025-04-07 20:00:00,0.00005000,0.06918260
1744070400000,2025-04-08 00:00:00,0.00005000,0.07337320
1744084800000,2025-04-08 04:00:00,0.00005000,0.07253310
1744099200000,2025-04-08 08:00:00,0.00005000,0.07267040
1744113600000,2025-04-08 12:00:00,0.00005000,0.07413050
1744128000000,2025-04-08 16:00:00,0.00005000,0.07502460
1744142400000,2025-04-08 20:00:00,0.00005000,0.07518220
1744156800000,2025-04-09 00:00:00,0.00005000,0.07267130
1744171200000,2025-04-09 04:00:00,0.00005000,0.07412260
1744185600001,2025-04-09 08:00:00,0.00005000,0.07480450
1744200000000,2025-04-09 12:00:00,0.00005000,0.06833920
1744214400000,2025-04-09 16:00:00,0.00005000,0.06679640
1744228800000,2025-04-09 20:00:00,0.00005000,0.07544310
1744243200000,2025-04-10 00:00:00,0.00005000,0.07604960
1744257600000,2025-04-10 04:00:00,0.00005000,0.07089430
1744272000000,2025-04-10 08:00:00,0.00005000,0.07418150
1744286400000,2025-04-10 12:00:00,-0.02000000,0.09500000
1744300800000,2025-04-10 16:00:00,-0.02000000,0.08292000
1744315200000,2025-04-10 20:00:00,-0.00856214,0.07989000
1744329600001,2025-04-11 00:00:00,-0.01096858,0.08353000
1744344000001,2025-04-11 04:00:00,-0.00924190,0.08009431
1744358400000,2025-04-11 08:00:00,-0.00794987,0.08199234
1744372800000,2025-04-11 12:00:00,-0.01627668,0.09083197
1744387200000,2025-04-11 16:00:00,-0.00549096,0.09410000
1744401600001,2025-04-11 20:00:00,-0.00631825,0.12144000
1744416000000,2025-04-12 00:00:00,-0.00104976,0.11194682
1744430400000,2025-04-12 04:00:00,-0.00478467,0.12810000
1744444800001,2025-04-12 08:00:00,-0.01457939,0.16133000
1744459200001,2025-04-12 12:00:00,-0.00324492,0.14505000
1744473600000,2025-04-12 16:00:00,-0.00235856,0.15646431
1744488000000,2025-04-12 20:00:00,-0.00121913,0.13894026
1744502400000,2025-04-13 00:00:00,-0.00226524,0.14030000
1744516800000,2025-04-13 04:00:00,-0.00917863,0.13699761
1744531200000,2025-04-13 08:00:00,-0.00166011,0.13115000
1744545600000,2025-04-13 12:00:00,-0.00605588,0.13508785
1744560000000,2025-04-13 16:00:00,-0.00179326,0.13547490
1744574400000,2025-04-13 20:00:00,-0.00040619,0.13874000
1744588800000,2025-04-14 00:00:00,-0.00008477,0.12287695
1744603200000,2025-04-14 04:00:00,-0.00083461,0.12837928
1744617600000,2025-04-14 08:00:00,-0.00032969,0.12410000
1744632000002,2025-04-14 12:00:00,-0.00007543,0.12244152
1744646400000,2025-04-14 16:00:00,0.00005000,0.10762000
1744660800000,2025-04-14 20:00:00,0.00005000,0.10393000
1744675200000,2025-04-15 00:00:00,0.00005000,0.10288318
1744689600001,2025-04-15 04:00:00,-0.00018562,0.10206918
1744704000000,2025-04-15 08:00:00,-0.00005593,0.10109774
1744718400000,2025-04-15 12:00:00,0.00005000,0.09557000
1744732800001,2025-04-15 16:00:00,0.00005000,0.09254000
1744747200000,2025-04-15 20:00:00,-0.00005103,0.09383730
1744761600000,2025-04-16 00:00:00,-0.00000069,0.09175000
1744776000000,2025-04-16 04:00:00,0.00003105,0.09199000
1744790400000,2025-04-16 08:00:00,-0.00003183,0.08867000
1744804800000,2025-04-16 12:00:00,0.00005000,0.08687582
1744819200000,2025-04-16 16:00:00,-0.00017016,0.08743000
1744833600000,2025-04-16 20:00:00,-0.00004935,0.08717000
