open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1744934400000,2025-04-18 00:00:00,0.0400000,0.0588620,0.0400000,0.0480100,1849831846,1745020799999,2025-04-18 23:59:59,93503581.5926990,766976,914612829,46242334.7471990
1745020800000,2025-04-19 00:00:00,0.0480000,0.0555500,0.0406010,0.0434800,3674791511,1745107199999,2025-04-19 23:59:59,174310205.9358020,2170355,1790466443,85043012.7638450
1745107200000,2025-04-20 00:00:00,0.0435060,0.0463990,0.0415000,0.0440880,1492204380,1745193599999,2025-04-20 23:59:59,65118051.5629550,1033323,717010572,31310554.0200950
1745193600000,2025-04-21 00:00:00,0.0440800,0.0537400,0.0417000,0.0466420,1879962304,1745279999999,2025-04-21 23:59:59,89085303.4872440,1138407,908417281,43089142.2728520
1745280000000,2025-04-22 00:00:00,0.0466420,0.0559720,0.0430060,0.0458020,1386843575,1745366399999,2025-04-22 23:59:59,65307595.2881700,843310,667900786,31481885.4522650
1745366400000,2025-04-23 00:00:00,0.0457880,0.0504370,0.0339110,0.0368370,1111151018,1745452799999,2025-04-23 23:59:59,46553367.6532650,700677,492038368,20615763.0175600
1745452800000,2025-04-24 00:00:00,0.0368300,0.0376710,0.0311110,0.0353430,872723895,1745539199999,2025-04-24 23:59:59,29808241.3753230,480707,420024996,14345425.4675830
1745539200000,2025-04-25 00:00:00,0.0353530,0.0361660,0.0300000,0.0349880,857680213,1745625599999,2025-04-25 23:59:59,28968407.1684610,411132,405568446,13718966.1943140
1745625600000,2025-04-26 00:00:00,0.0349890,0.0420000,0.0332470,0.0349500,890555602,1745711999999,2025-04-26 23:59:59,33252088.2025780,508286,414869417,15479743.7774230
1745712000000,2025-04-27 00:00:00,0.0349510,0.0363770,0.0311860,0.0358550,527478051,1745798399999,2025-04-27 23:59:59,18123026.6905860,311930,254411038,8748802.0538000
1745798400000,2025-04-28 00:00:00,0.0358690,0.0369830,0.0334800,0.0361140,470096970,1745884799999,2025-04-28 23:59:59,16522240.2646130,249029,220717702,7758288.5153750
1745884800000,2025-04-29 00:00:00,0.0361120,0.0425990,0.0352140,0.0381590,766512588,1745971199999,2025-04-29 23:59:59,29460159.4545000,400388,364651429,14043269.1765590
