open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1731916800000,2024-11-18 08:00:00,0.3230000,0.3230000,0.2798000,0.3219000,46724141,1731931199999,2024-11-18 11:59:59,14283298.0897000,64823,22939773,7015549.0523000
1731931200000,2024-11-18 12:00:00,0.3217000,0.3475000,0.2707000,0.2811000,202680937,1731945599999,2024-11-18 15:59:59,61406081.7246000,306946,91672114,27833705.9640000
1731945600000,2024-11-18 16:00:00,0.2811000,0.3096000,0.2720000,0.2806000,81924924,1731959999999,2024-11-18 19:59:59,23715621.8240000,134208,37333856,10823359.9497000
1731960000000,2024-11-18 20:00:00,0.2804000,0.3103000,0.2750000,0.2836000,49509816,1731974399999,2024-11-18 23:59:59,14410298.8929000,85042,22742043,6624396.7647000
1731974400000,2024-11-19 00:00:00,0.2838000,0.3406000,0.2755000,0.3139000,107014415,1731988799999,2024-11-19 03:59:59,32883490.3063000,175625,48769757,14974272.8775000
1731988800000,2024-11-19 04:00:00,0.3141000,0.3168000,0.2765000,0.2796000,88076744,1732003199999,2024-11-19 07:59:59,25535598.9461000,145845,37715090,10945396.0540000
1732003200000,2024-11-19 08:00:00,0.2795000,0.2875000,0.2400000,0.2578000,224700661,1732017599999,2024-11-19 11:59:59,57528345.0680000,280499,101096310,25881229.4221000
1732017600000,2024-11-19 12:00:00,0.2579000,0.2624000,0.2313000,0.2442000,166271541,1732031999999,2024-11-19 15:59:59,40910146.3286000,208499,75739620,18656302.9148000
1732032000000,2024-11-19 16:00:00,0.2443000,0.2520000,0.2356000,0.2394000,89586792,1732046399999,2024-11-19 19:59:59,21785481.8194000,119254,41680105,10142113.4760000
1732046400000,2024-11-19 20:00:00,0.2394000,0.2643000,0.2264000,0.2551000,134694859,1732060799999,2024-11-19 23:59:59,32780796.5272000,170250,64163968,15630388.9401000
1732060800000,2024-11-20 00:00:00,0.2550000,0.2816000,0.2404000,0.2480000,181480862,1732075199999,2024-11-20 03:59:59,46703216.7746000,257479,86518388,22272810.4497000
1732075200000,2024-11-20 04:00:00,0.2480000,0.2674000,0.2400000,0.2563000,137977741,1732089599999,2024-11-20 07:59:59,34855219.4190000,166175,64962372,16415882.5674000
