fundingTime,fundingTime_dt,fundingRate,markPrice
1605686400006,2020-11-18 08:00:00,-0.00076504,
1605715200000,2020-11-18 16:00:00,0.00010000,
1605744000008,2020-11-19 00:00:00,0.00010000,
1605772800000,2020-11-19 08:00:00,0.00010000,
1605801600001,2020-11-19 16:00:00,0.00010000,
1605830400003,2020-11-20 00:00:00,0.00010000,
1605859200005,2020-11-20 08:00:00,0.00010000,
1605888000000,2020-11-20 16:00:00,0.00012877,
1605916800000,2020-11-21 00:00:00,0.00010405,
1605945600000,2020-11-21 08:00:00,0.00022111,
1605974400001,2020-11-21 16:00:00,0.00107588,
1606003200005,2020-11-22 00:00:00,0.00058910,
1606032000000,2020-11-22 08:00:00,0.00010000,
1606060800000,2020-11-22 16:00:00,0.00010000,
1606089600005,2020-11-23 00:00:00,0.00042356,
1606118400000,2020-11-23 08:00:00,0.00024203,
1606147200003,2020-11-23 16:00:00,0.00112837,
1606176000000,2020-11-24 00:00:00,0.00058762,
1606204800000,2020-11-24 08:00:00,0.00232399,
1606233600005,2020-11-24 16:00:00,0.00010000,
1606262400005,2020-11-25 00:00:00,0.00010593,
1606291200005,2020-11-25 08:00:00,0.00070604,
1606320000015,2020-11-25 16:00:00,0.00126199,
1606348800012,2020-11-26 00:00:00,0.00010000,
1606377600002,2020-11-26 08:00:00,0.00010000,
1606406400001,2020-11-26 16:00:00,0.00010000,
1606435200001,2020-11-27 00:00:00,0.00010000,
1606464000000,2020-11-27 08:00:00,0.00010000,
1606492800007,2020-11-27 16:00:00,0.00010000,
1606521600007,2020-11-28 00:00:00,0.00010000,
1606550400012,2020-11-28 08:00:00,0.00010000,
1606579200000,2020-11-28 16:00:00,0.00010000,
1606608000007,2020-11-29 00:00:00,0.00010000,
1606636800000,2020-11-29 08:00:00,0.00010000,
1606665600000,2020-11-29 16:00:00,0.00010000,
1606694400004,2020-11-30 00:00:00,0.00010000,
1606723200007,2020-11-30 08:00:00,0.00010000,
1606752000000,2020-11-30 16:00:00,0.00010000,
1606780800000,2020-12-01 00:00:00,0.00010000,
1606809600003,2020-12-01 08:00:00,0.00012765,
1606838400000,2020-12-01 16:00:00,0.00010000,
1606867200001,2020-12-02 00:00:00,0.00010000,
1606896000011,2020-12-02 08:00:00,0.00010000,
1606924800005,2020-12-02 16:00:00,0.00010000,
1606953600001,2020-12-03 00:00:00,0.00010000,
1606982400031,2020-12-03 08:00:00,0.00044964,
1607011200000,2020-12-03 16:00:00,0.00010768,
1607040000006,2020-12-04 00:00:00,0.00010000,
1607068800009,2020-12-04 08:00:00,0.00036230,
1607097600000,2020-12-04 16:00:00,0.00010000,
1607126400000,2020-12-05 00:00:00,0.00010000,
1607155200000,2020-12-05 08:00:00,0.00010000,
1607184000000,2020-12-05 16:00:00,0.00010000,
1607212800004,2020-12-06 00:00:00,0.00010000,
1607241600000,2020-12-06 08:00:00,0.00010000,
1607270400001,2020-12-06 16:00:00,0.00010000,
1607299200000,2020-12-07 00:00:00,0.00010000,
1607328000008,2020-12-07 08:00:00,0.00010000,
1607356800000,2020-12-07 16:00:00,0.00010000,
1607385600003,2020-12-08 00:00:00,0.00010000,
1607414400003,2020-12-08 08:00:00,0.00010000,
1607443200033,2020-12-08 16:00:00,-0.00170997,
1607472000000,2020-12-09 00:00:00,-0.00225621,
1607500800010,2020-12-09 08:00:00,-0.00101922,
1607529600000,2020-12-09 16:00:00,0.00010000,
1607558400000,2020-12-10 00:00:00,0.00055393,
1607587200000,2020-12-10 08:00:00,0.00047973,
1607616000007,2020-12-10 16:00:00,0.00047797,
1607644800000,2020-12-11 00:00:00,0.00010000,
1607673600016,2020-12-11 08:00:00,0.00010288,
1607702400010,2020-12-11 16:00:00,0.00026674,
1607731200009,2020-12-12 00:00:00,0.00022127,
1607760000002,2020-12-12 08:00:00,0.00010000,
1607788800000,2020-12-12 16:00:00,0.00010000,
1607817600007,2020-12-13 00:00:00,0.00015433,
1607846400000,2020-12-13 08:00:00,0.00047136,
1607875200000,2020-12-13 16:00:00,0.00010000,
1607904000000,2020-12-14 00:00:00,0.00010000,
1607932800000,2020-12-14 08:00:00,0.00010000,
1607961600000,2020-12-14 16:00:00,0.00010000,
1607990400006,2020-12-15 00:00:00,0.00010000,
1608019200001,2020-12-15 08:00:00,0.00085272,
1608048000000,2020-12-15 16:00:00,0.00067834,
1608076800001,2020-12-16 00:00:00,0.00010000,
1608105600000,2020-12-16 08:00:00,0.00071845,
1608134400000,2020-12-16 16:00:00,0.00062666,
1608163200000,2020-12-17 00:00:00,0.00042604,
1608192000000,2020-12-17 08:00:00,0.00011915,
1608220800011,2020-12-17 16:00:00,0.00072256,
1608249600000,2020-12-18 00:00:00,0.00069567,
1608278400000,2020-12-18 08:00:00,0.00010000,
1608307200000,2020-12-18 16:00:00,0.00010000,
1608336000000,2020-12-19 00:00:00,0.00050213,
1608364800018,2020-12-19 08:00:00,0.00057903,
1608393600000,2020-12-19 16:00:00,0.00158727,
1608422400001,2020-12-20 00:00:00,0.00125027,
1608451200011,2020-12-20 08:00:00,0.00102479,
1608480000023,2020-12-20 16:00:00,0.00123667,
1608508800011,2020-12-21 00:00:00,0.00077233,
1608537600000,2020-12-21 08:00:00,0.00015098,
1608566400000,2020-12-21 16:00:00,0.00010000,
1608595200001,2020-12-22 00:00:00,0.00010000,
1608624000006,2020-12-22 08:00:00,0.00010000,
1608652800000,2020-12-22 16:00:00,0.00010000,
1608681600000,2020-12-23 00:00:00,0.00011684,
1608710400000,2020-12-23 08:00:00,0.00010000,
1608739200000,2020-12-23 16:00:00,0.00010000,
1608768000012,2020-12-24 00:00:00,0.00010000,
1608796800009,2020-12-24 08:00:00,0.00010000,
1608825600001,2020-12-24 16:00:00,0.00010000,
1608854400000,2020-12-25 00:00:00,0.00010000,
1608883200000,2020-12-25 08:00:00,0.00010000,
1608912000000,2020-12-25 16:00:00,0.00010000,
1608940800009,2020-12-26 00:00:00,0.00010000,
1608969600001,2020-12-26 08:00:00,0.00010000,
1608998400006,2020-12-26 16:00:00,0.00010000,
1609027200000,2020-12-27 00:00:00,0.00010000,
1609056000000,2020-12-27 08:00:00,0.00010000,
1609084800001,2020-12-27 16:00:00,0.00010000,
1609113600015,2020-12-28 00:00:00,0.00010000,
1609142400019,2020-12-28 08:00:00,0.00010000,
1609171200000,2020-12-28 16:00:00,0.00010000,
1609200000004,2020-12-29 00:00:00,0.00010000,
1609228800003,2020-12-29 08:00:00,0.00010000,
1609257600000,2020-12-29 16:00:00,0.00010000,
1609286400001,2020-12-30 00:00:00,0.00010000,
1609315200001,2020-12-30 08:00:00,0.00024615,
1609344000012,2020-12-30 16:00:00,0.00010000,
1609372800009,2020-12-31 00:00:00,0.00010000,
1609401600000,2020-12-31 08:00:00,0.00010000,
1609430400010,2020-12-31 16:00:00,0.00010000,
1609459200002,2021-01-01 00:00:00,0.00054387,
1609488000006,2021-01-01 08:00:00,0.00046329,
1609516800003,2021-01-01 16:00:00,0.00010000,
1609545600000,2021-01-02 00:00:00,0.00010000,
1609574400000,2021-01-02 08:00:00,0.00010000,
1609603200006,2021-01-02 16:00:00,0.00010000,
1609632000018,2021-01-03 00:00:00,0.00010000,
1609660800000,2021-01-03 08:00:00,0.00012067,
1609689600002,2021-01-03 16:00:00,0.00100908,
1609718400000,2021-01-04 00:00:00,0.00088726,
1609747200000,2021-01-04 08:00:00,0.00294739,
1609776000000,2021-01-04 16:00:00,0.00025728,
1609804800020,2021-01-05 00:00:00,0.00010000,
1609833600003,2021-01-05 08:00:00,0.00015054,
1609862400003,2021-01-05 16:00:00,0.00077973,
1609891200010,2021-01-06 00:00:00,0.00041467,
1609920000003,2021-01-06 08:00:00,0.00146976,
1609948800000,2021-01-06 16:00:00,0.00239697,
1609977600007,2021-01-07 00:00:00,0.00118294,
1610006400000,2021-01-07 08:00:00,0.00198752,
1610035200004,2021-01-07 16:00:00,0.00276251,
1610064000000,2021-01-08 00:00:00,0.00029942,
1610092800000,2021-01-08 08:00:00,0.00010000,
1610121600000,2021-01-08 16:00:00,0.00017166,
1610150400009,2021-01-09 00:00:00,0.00010000,
1610179200004,2021-01-09 08:00:00,0.00087047,
1610208000000,2021-01-09 16:00:00,0.00160125,
1610236800000,2021-01-10 00:00:00,0.00226221,
1610265600005,2021-01-10 08:00:00,0.00246760,
1610294400000,2021-01-10 16:00:00,0.00030273,
1610323200000,2021-01-11 00:00:00,0.00010000,
1610352000012,2021-01-11 08:00:00,0.00010000,
1610380800000,2021-01-11 16:00:00,0.00010000,
1610409600000,2021-01-12 00:00:00,0.00010000,
1610438400000,2021-01-12 08:00:00,0.00010000,
1610467200008,2021-01-12 16:00:00,0.00010000,
1610496000001,2021-01-13 00:00:00,0.00010000,
1610524800000,2021-01-13 08:00:00,0.00010000,
1610553600003,2021-01-13 16:00:00,0.00010000,
1610582400000,2021-01-14 00:00:00,0.00010000,
1610611200012,2021-01-14 08:00:00,0.00010000,
1610640000000,2021-01-14 16:00:00,0.00010000,
1610668800002,2021-01-15 00:00:00,0.00010000,
1610697600000,2021-01-15 08:00:00,0.00010000,
1610726400004,2021-01-15 16:00:00,0.00010000,
1610755200000,2021-01-16 00:00:00,0.00010000,
1610784000008,2021-01-16 08:00:00,0.00010000,
1610812800000,2021-01-16 16:00:00,0.00074849,
1610841600009,2021-01-17 00:00:00,0.00010222,
1610870400000,2021-01-17 08:00:00,0.00010000,
1610899200001,2021-01-17 16:00:00,0.00010000,
1610928000000,2021-01-18 00:00:00,0.00035039,
1610956800004,2021-01-18 08:00:00,0.00010000,
1610985600000,2021-01-18 16:00:00,0.00101454,
1611014400000,2021-01-19 00:00:00,0.00010000,
1611043200005,2021-01-19 08:00:00,0.00087235,
1611072000012,2021-01-19 16:00:00,0.00144538,
1611100800012,2021-01-20 00:00:00,0.00010000,
1611129600001,2021-01-20 08:00:00,0.00030833,
1611158400001,2021-01-20 16:00:00,0.00010000,
1611187200000,2021-01-21 00:00:00,0.00010000,
1611216000000,2021-01-21 08:00:00,0.00047086,
1611244800004,2021-01-21 16:00:00,0.00010000,
1611273600012,2021-01-22 00:00:00,0.00010000,
1611302400003,2021-01-22 08:00:00,0.00010000,
1611331200001,2021-01-22 16:00:00,0.00010000,
1611360000000,2021-01-23 00:00:00,0.00010000,
1611388800002,2021-01-23 08:00:00,0.00050591,
1611417600000,2021-01-23 16:00:00,0.00010000,
1611446400001,2021-01-24 00:00:00,0.00010000,
1611475200011,2021-01-24 08:00:00,0.00010000,
1611504000005,2021-01-24 16:00:00,0.00059845,
1611532800007,2021-01-25 00:00:00,0.00031757,
1611561600012,2021-01-25 08:00:00,0.00023379,
1611590400000,2021-01-25 16:00:00,0.00145025,
1611619200007,2021-01-26 00:00:00,0.00042120,
1611648000000,2021-01-26 08:00:00,0.00013043,
1611676800000,2021-01-26 16:00:00,0.00010000,
1611705600000,2021-01-27 00:00:00,0.00010000,
1611734400011,2021-01-27 08:00:00,0.00010000,
1611763200003,2021-01-27 16:00:00,0.00010000,
1611792000000,2021-01-28 00:00:00,0.00010000,
1611820800000,2021-01-28 08:00:00,0.00078784,
1611849600000,2021-01-28 16:00:00,0.00098202,
1611878400009,2021-01-29 00:00:00,0.00045752,
1611907200000,2021-01-29 08:00:00,0.00137458,
1611936000000,2021-01-29 16:00:00,0.00127390,
1611964800000,2021-01-30 00:00:00,0.00109552,
1611993600000,2021-01-30 08:00:00,0.00045006,
1612022400000,2021-01-30 16:00:00,0.00160758,
1612051200009,2021-01-31 00:00:00,0.00127004,
1612080000000,2021-01-31 08:00:00,0.00118206,
1612108800000,2021-01-31 16:00:00,0.00142622,
1612137600001,2021-02-01 00:00:00,0.00027299,
1612166400014,2021-02-01 08:00:00,0.00124707,
1612195200000,2021-02-01 16:00:00,0.00138956,
1612224000000,2021-02-02 00:00:00,0.00123952,
1612252800006,2021-02-02 08:00:00,0.00057697,
1612281600000,2021-02-02 16:00:00,0.00190337,
1612310400009,2021-02-03 00:00:00,0.00117354,
1612339200006,2021-02-03 08:00:00,0.00251395,
1612368000006,2021-02-03 16:00:00,0.00206828,
1612396800005,2021-02-04 00:00:00,0.00357660,
1612425600000,2021-02-04 08:00:00,0.00315619,
1612454400011,2021-02-04 16:00:00,0.00156792,
1612483200009,2021-02-05 00:00:00,0.00204335,
1612512000004,2021-02-05 08:00:00,0.00432064,
1612540800000,2021-02-05 16:00:00,0.00454032,
1612569600008,2021-02-06 00:00:00,0.00245791,
1612598400009,2021-02-06 08:00:00,0.00025023,
1612627200000,2021-02-06 16:00:00,0.00163166,
1612656000000,2021-02-07 00:00:00,0.00199569,
1612684800005,2021-02-07 08:00:00,0.00112825,
1612713600001,2021-02-07 16:00:00,0.00093914,
1612742400000,2021-02-08 00:00:00,0.00010000,
1612771200001,2021-02-08 08:00:00,0.00138089,
1612800000000,2021-02-08 16:00:00,0.00327077,
1612828800010,2021-02-09 00:00:00,0.00286431,
1612857600006,2021-02-09 08:00:00,0.00440298,
1612886400007,2021-02-09 16:00:00,0.00396342,
1612915200009,2021-02-10 00:00:00,0.00359978,
1612944000014,2021-02-10 08:00:00,0.00528547,
1612972800005,2021-02-10 16:00:00,0.00244119,
1613001600000,2021-02-11 00:00:00,0.00059518,
1613030400000,2021-02-11 08:00:00,0.00292995,
1613059200000,2021-02-11 16:00:00,0.00289557,
1613088000000,2021-02-12 00:00:00,0.00340088,
1613116800000,2021-02-12 08:00:00,0.00159739,
1613145600000,2021-02-12 16:00:00,0.00454084,
1613174400001,2021-02-13 00:00:00,0.00481707,
1613203200003,2021-02-13 08:00:00,0.00693193,
1613232000000,2021-02-13 16:00:00,0.00237040,
1613260800013,2021-02-14 00:00:00,0.00414002,
1613289600000,2021-02-14 08:00:00,0.00392980,
1613318400008,2021-02-14 16:00:00,0.00392095,
1613347200000,2021-02-15 00:00:00,0.00185434,
1613376000006,2021-02-15 08:00:00,0.00060378,
1613404800000,2021-02-15 16:00:00,0.00059481,
1613433600001,2021-02-16 00:00:00,0.00022463,
1613462400000,2021-02-16 08:00:00,0.00010000,
1613491200010,2021-02-16 16:00:00,0.00029755,
1613520000005,2021-02-17 00:00:00,0.00053030,
1613548800010,2021-02-17 08:00:00,0.00117464,
1613577600008,2021-02-17 16:00:00,0.00174402,
1613606400012,2021-02-18 00:00:00,0.00302999,
1613635200000,2021-02-18 08:00:00,0.00230232,
1613664000009,2021-02-18 16:00:00,0.00199078,
1613692800010,2021-02-19 00:00:00,0.00232722,
1613721600002,2021-02-19 08:00:00,0.00250651,
1613750400008,2021-02-19 16:00:00,0.00361115,
1613779200000,2021-02-20 00:00:00,0.00370317,
1613808000009,2021-02-20 08:00:00,0.00426207,
1613836800000,2021-02-20 16:00:00,0.00448638,
1613865600007,2021-02-21 00:00:00,0.00080467,
1613894400012,2021-02-21 08:00:00,0.00010000,
1613923200001,2021-02-21 16:00:00,0.00074371,
1613952000006,2021-02-22 00:00:00,0.00121160,
1613980800002,2021-02-22 08:00:00,0.00076705,
1614009600000,2021-02-22 16:00:00,0.00010000,
1614038400000,2021-02-23 00:00:00,0.00010000,
1614067200006,2021-02-23 08:00:00,0.00010000,
1614096000000,2021-02-23 16:00:00,0.00010000,
1614124800012,2021-02-24 00:00:00,0.00010000,
1614153600016,2021-02-24 08:00:00,0.00010000,
1614182400011,2021-02-24 16:00:00,0.00010000,
1614211200007,2021-02-25 00:00:00,0.00010000,
1614240000000,2021-02-25 08:00:00,0.00010000,
1614268800010,2021-02-25 16:00:00,0.00010000,
1614297600000,2021-02-26 00:00:00,0.00010000,
1614326400025,2021-02-26 08:00:00,0.00010000,
1614355200010,2021-02-26 16:00:00,0.00010000,
1614384000001,2021-02-27 00:00:00,0.00010000,
1614412800000,2021-02-27 08:00:00,0.00010000,
1614441600000,2021-02-27 16:00:00,0.00010000,
1614470400021,2021-02-28 00:00:00,0.00010000,
1614499200009,2021-02-28 08:00:00,0.00010000,
1614528000000,2021-02-28 16:00:00,0.00010000,
1614556800000,2021-03-01 00:00:00,0.00010000,
1614585600003,2021-03-01 08:00:00,0.00010000,
1614614400001,2021-03-01 16:00:00,0.00010000,
1614643200000,2021-03-02 00:00:00,0.00020171,
1614672000000,2021-03-02 08:00:00,0.00022066,
1614700800004,2021-03-02 16:00:00,0.00046796,
1614729600000,2021-03-03 00:00:00,0.00017033,
1614758400016,2021-03-03 08:00:00,0.00010000,
1614787200000,2021-03-03 16:00:00,0.00025288,
1614816000000,2021-03-04 00:00:00,0.00012804,
1614844800015,2021-03-04 08:00:00,0.00066934,
1614873600001,2021-03-04 16:00:00,0.00054278,
1614902400000,2021-03-05 00:00:00,0.00021343,
1614931200002,2021-03-05 08:00:00,0.00010000,
1614960000008,2021-03-05 16:00:00,0.00010000,
1614988800000,2021-03-06 00:00:00,0.00038716,
1615017600000,2021-03-06 08:00:00,0.00010000,
1615046400000,2021-03-06 16:00:00,0.00010000,
1615075200006,2021-03-07 00:00:00,0.00010000,
1615104000005,2021-03-07 08:00:00,0.00085425,
1615132800008,2021-03-07 16:00:00,0.00115749,
1615161600000,2021-03-08 00:00:00,0.00047055,
1615190400000,2021-03-08 08:00:00,0.00096791,
1615219200006,2021-03-08 16:00:00,0.00134317,
1615248000000,2021-03-09 00:00:00,0.00140914,
1615276800000,2021-03-09 08:00:00,0.00125023,
1615305600000,2021-03-09 16:00:00,0.00098620,
1615334400009,2021-03-10 00:00:00,0.00135940,
1615363200006,2021-03-10 08:00:00,0.00057815,
1615392000008,2021-03-10 16:00:00,0.00051756,
1615420800000,2021-03-11 00:00:00,0.00037886,
1615449600000,2021-03-11 08:00:00,0.00010000,
1615478400014,2021-03-11 16:00:00,0.00132656,
1615507200002,2021-03-12 00:00:00,0.00107368,
1615536000005,2021-03-12 08:00:00,0.00080002,
1615564800011,2021-03-12 16:00:00,0.00010000,
1615593600000,2021-03-13 00:00:00,0.00010000,
1615622400002,2021-03-13 08:00:00,0.00010000,
1615651200000,2021-03-13 16:00:00,0.00068010,
1615680000011,2021-03-14 00:00:00,0.00130055,
1615708800000,2021-03-14 08:00:00,0.00056781,
1615737600000,2021-03-14 16:00:00,0.00030087,
1615766400012,2021-03-15 00:00:00,0.00140202,
1615795200016,2021-03-15 08:00:00,0.00181903,
1615824000030,2021-03-15 16:00:00,0.00010000,
1615852800005,2021-03-16 00:00:00,0.00078923,
