fundingTime,fundingTime_dt,fundingRate,markPrice
1742227200000,2025-03-17 16:00:00,0.00005000,0.14888000
1742241600000,2025-03-17 20:00:00,-0.00022940,0.14226167
1742256000000,2025-03-18 00:00:00,0.00005000,0.14510000
1742270400000,2025-03-18 04:00:00,-0.01642955,0.19130000
1742284800000,2025-03-18 08:00:00,-0.00823486,0.19430000
1742299200001,2025-03-18 12:00:00,-0.00607985,0.26408333
1742313600000,2025-03-18 16:00:00,-0.01992075,0.27554900
1742328000000,2025-03-18 20:00:00,-0.00339918,0.24629099
1742342400000,2025-03-19 00:00:00,-0.00263008,0.26600000
1742356800000,2025-03-19 04:00:00,-0.00111544,0.24370000
1742371200000,2025-03-19 08:00:00,-0.00103791,0.22331680
1742385600000,2025-03-19 12:00:00,-0.00006326,0.22191982
1742400000000,2025-03-19 16:00:00,-0.00008988,0.22018050
1742414400000,2025-03-19 20:00:00,-0.00037414,0.21500000
1742428800000,2025-03-20 00:00:00,0.00005000,0.23030000
1742443200000,2025-03-20 04:00:00,0.00005000,0.22731754
1742457600000,2025-03-20 08:00:00,0.00005000,0.23440000
1742472000000,2025-03-20 12:00:00,-0.00009649,0.22221749
1742486400000,2025-03-20 16:00:00,-0.00015882,0.19983247
1742500800000,2025-03-20 20:00:00,-0.00051321,0.19781470
1742515200000,2025-03-21 00:00:00,-0.00067912,0.20030000
1742529600000,2025-03-21 04:00:00,0.00005000,0.19756942
1742544000000,2025-03-21 08:00:00,0.00005000,0.19011016
1742558400000,2025-03-21 12:00:00,0.00005000,0.18370247
1742572800000,2025-03-21 16:00:00,0.00005000,0.17916829
1742587200000,2025-03-21 20:00:00,0.00005000,0.18462682
1742601600000,2025-03-22 00:00:00,0.00005000,0.18091583
1742616000001,2025-03-22 04:00:00,0.00005000,0.17794139
1742630400004,2025-03-22 08:00:00,0.00005000,0.17786792
1742644800013,2025-03-22 12:00:00,0.00005000,0.18710000
1742659200000,2025-03-22 16:00:00,0.00005000,0.17593052
1742673600001,2025-03-22 20:00:00,0.00000339,0.17560000
1742688000000,2025-03-23 00:00:00,-0.00009255,0.17074536
1742702400000,2025-03-23 04:00:00,-0.00024229,0.17075384
1742716800000,2025-03-23 08:00:00,-0.00000557,0.16330000
1742731200000,2025-03-23 12:00:00,0.00005000,0.16940000
1742745600000,2025-03-23 16:00:00,0.00005000,0.16960000
1742760000000,2025-03-23 20:00:00,0.00005000,0.16700000
1742774400000,2025-03-24 00:00:00,0.00005000,0.16662652
1742788800000,2025-03-24 04:00:00,0.00003484,0.16784206
1742803200000,2025-03-24 08:00:00,0.00005000,0.16979674
1742817600000,2025-03-24 12:00:00,0.00005000,0.16840000
1742832000000,2025-03-24 16:00:00,0.00005000,0.16599771
1742846400004,2025-03-24 20:00:00,0.00005000,0.16494564
1742860800001,2025-03-25 00:00:00,0.00005000,0.16831916
1742875200000,2025-03-25 04:00:00,-0.00004856,0.15640000
1742889600000,2025-03-25 08:00:00,-0.00001850,0.15630000
1742904000000,2025-03-25 12:00:00,-0.00030980,0.15281668
1742918400000,2025-03-25 16:00:00,0.00005000,0.15030778
1742932800000,2025-03-25 20:00:00,0.00005000,0.15180000
1742947200000,2025-03-26 00:00:00,0.00005000,0.15228757
1742961600001,2025-03-26 04:00:00,0.00005000,0.15303302
1742976000000,2025-03-26 08:00:00,0.00005000,0.15037712
