fundingTime,fundingTime_dt,fundingRate,markPrice
1632729600001,2021-09-27 08:00:00,0.00010000,
1632758400000,2021-09-27 16:00:00,0.00010000,
1632787200000,2021-09-28 00:00:00,0.00010000,
1632816000014,2021-09-28 08:00:00,0.00010000,
1632844800000,2021-09-28 16:00:00,0.00010000,
1632873600000,2021-09-29 00:00:00,0.00010000,
1632902400002,2021-09-29 08:00:00,0.00010000,
1632931200000,2021-09-29 16:00:00,0.00010000,
1632960000000,2021-09-30 00:00:00,0.00010000,
1632988800004,2021-09-30 08:00:00,0.00010000,
1633017600005,2021-09-30 16:00:00,0.00010000,
1633046400012,2021-10-01 00:00:00,0.00010000,
1633075200008,2021-10-01 08:00:00,0.00010000,
1633104000000,2021-10-01 16:00:00,0.00010000,
1633132800000,2021-10-02 00:00:00,0.00010000,
1633161600002,2021-10-02 08:00:00,0.00010000,
1633190400011,2021-10-02 16:00:00,0.00010000,
1633219200019,2021-10-03 00:00:00,0.00010000,
1633248000011,2021-10-03 08:00:00,0.00010000,
1633276800004,2021-10-03 16:00:00,0.00010000,
1633305600004,2021-10-04 00:00:00,0.00010000,
1633334400000,2021-10-04 08:00:00,0.00010000,
1633363200000,2021-10-04 16:00:00,0.00010000,
1633392000007,2021-10-05 00:00:00,0.00010000,
1633420800007,2021-10-05 08:00:00,0.00022242,
1633449600004,2021-10-05 16:00:00,0.00013296,
1633478400002,2021-10-06 00:00:00,0.00026374,
1633507200000,2021-10-06 08:00:00,0.00011372,
1633536000003,2021-10-06 16:00:00,0.00010000,
1633564800007,2021-10-07 00:00:00,0.00013538,
1633593600002,2021-10-07 08:00:00,0.00036050,
1633622400000,2021-10-07 16:00:00,0.00043016,
1633651200011,2021-10-08 00:00:00,0.00022534,
1633680000003,2021-10-08 08:00:00,0.00037903,
1633708800002,2021-10-08 16:00:00,0.00056696,
1633737600006,2021-10-09 00:00:00,0.00042735,
1633766400003,2021-10-09 08:00:00,0.00029607,
1633795200000,2021-10-09 16:00:00,0.00020274,
1633824000000,2021-10-10 00:00:00,0.00030984,
1633852800008,2021-10-10 08:00:00,0.00040449,
1633881600000,2021-10-10 16:00:00,0.00020377,
1633910400002,2021-10-11 00:00:00,0.00010000,
1633939200001,2021-10-11 08:00:00,0.00018427,
1633968000006,2021-10-11 16:00:00,0.00010000,
1633996800008,2021-10-12 00:00:00,0.00010000,
1634025600013,2021-10-12 08:00:00,0.00010000,
1634054400003,2021-10-12 16:00:00,0.00010000,
1634083200003,2021-10-13 00:00:00,0.00010000,
1634112000015,2021-10-13 08:00:00,0.00010000,
1634140800000,2021-10-13 16:00:00,0.00010000,
1634169600011,2021-10-14 00:00:00,0.00010000,
1634198400017,2021-10-14 08:00:00,0.00038453,
1634227200000,2021-10-14 16:00:00,0.00041652,
1634256000005,2021-10-15 00:00:00,0.00035116,
1634284800002,2021-10-15 08:00:00,0.00048386,
1634313600005,2021-10-15 16:00:00,0.00013483,
1634342400009,2021-10-16 00:00:00,0.00035739,
1634371200000,2021-10-16 08:00:00,0.00046345,
1634400000003,2021-10-16 16:00:00,0.00037863,
1634428800001,2021-10-17 00:00:00,0.00036978,
1634457600002,2021-10-17 08:00:00,0.00014143,
1634486400002,2021-10-17 16:00:00,0.00044943,
1634515200006,2021-10-18 00:00:00,0.00022184,
1634544000004,2021-10-18 08:00:00,0.00015424,
1634572800001,2021-10-18 16:00:00,0.00016492,
1634601600002,2021-10-19 00:00:00,0.00010000,
1634630400000,2021-10-19 08:00:00,0.00017501,
1634659200000,2021-10-19 16:00:00,0.00017774,
1634688000017,2021-10-20 00:00:00,0.00010000,
1634716800004,2021-10-20 08:00:00,0.00010000,
1634745600020,2021-10-20 16:00:00,0.00027535,
1634774400000,2021-10-21 00:00:00,0.00057390,
1634803200000,2021-10-21 08:00:00,0.00087946,
1634832000008,2021-10-21 16:00:00,0.00066623,
1634860800005,2021-10-22 00:00:00,0.00033275,
1634889600005,2021-10-22 08:00:00,0.00041685,
1634918400018,2021-10-22 16:00:00,0.00046266,
1634947200005,2021-10-23 00:00:00,0.00023883,
1634976000001,2021-10-23 08:00:00,0.00034438,
1635004800004,2021-10-23 16:00:00,0.00010000,
1635033600006,2021-10-24 00:00:00,0.00054667,
1635062400012,2021-10-24 08:00:00,0.00071138,
1635091200001,2021-10-24 16:00:00,0.00036133,
1635120000012,2021-10-25 00:00:00,0.00028777,
1635148800002,2021-10-25 08:00:00,0.00050668,
1635177600022,2021-10-25 16:00:00,0.00063040,
1635206400005,2021-10-26 00:00:00,0.00088864,
1635235200016,2021-10-26 08:00:00,0.00099993,
1635264000000,2021-10-26 16:00:00,0.00066406,
1635292800004,2021-10-27 00:00:00,0.00092075,
1635321600000,2021-10-27 08:00:00,0.00088424,
1635350400002,2021-10-27 16:00:00,0.00010000,
1635379200002,2021-10-28 00:00:00,0.00010000,
1635408000000,2021-10-28 08:00:00,0.00010000,
1635436800005,2021-10-28 16:00:00,0.00010000,
1635465600000,2021-10-29 00:00:00,0.00010000,
1635494400007,2021-10-29 08:00:00,0.00010000,
1635523200001,2021-10-29 16:00:00,0.00010000,
1635552000000,2021-10-30 00:00:00,0.00010000,
1635580800001,2021-10-30 08:00:00,0.00047976,
1635609600013,2021-10-30 16:00:00,0.00036891,
1635638400008,2021-10-31 00:00:00,0.00024152,
1635667200010,2021-10-31 08:00:00,0.00058652,
1635696000001,2021-10-31 16:00:00,0.00023581,
1635724800009,2021-11-01 00:00:00,0.00031493,
1635753600014,2021-11-01 08:00:00,0.00017374,
1635782400001,2021-11-01 16:00:00,0.00051712,
1635811200000,2021-11-02 00:00:00,0.00040065,
1635840000007,2021-11-02 08:00:00,0.00068027,
1635868800010,2021-11-02 16:00:00,0.00074910,
1635897600019,2021-11-03 00:00:00,0.00069248,
1635926400000,2021-11-03 08:00:00,0.00086172,
1635955200005,2021-11-03 16:00:00,0.00056648,
1635984000006,2021-11-04 00:00:00,0.00066681,
1636012800004,2021-11-04 08:00:00,0.00062526,
1636041600004,2021-11-04 16:00:00,0.00072908,
1636070400000,2021-11-05 00:00:00,0.00057630,
1636099200013,2021-11-05 08:00:00,0.00057115,
1636128000016,2021-11-05 16:00:00,0.00034737,
1636156800010,2021-11-06 00:00:00,0.00032727,
1636185600000,2021-11-06 08:00:00,0.00050582,
1636214400007,2021-11-06 16:00:00,0.00010536,
1636243200013,2021-11-07 00:00:00,0.00018724,
1636272000005,2021-11-07 08:00:00,0.00047860,
1636300800004,2021-11-07 16:00:00,0.00067869,
1636329600001,2021-11-08 00:00:00,0.00073047,
1636358400000,2021-11-08 08:00:00,0.00060072,
1636387200000,2021-11-08 16:00:00,0.00069321,
1636416000000,2021-11-09 00:00:00,0.00058003,
1636444800014,2021-11-09 08:00:00,0.00067102,
1636473600001,2021-11-09 16:00:00,0.00057597,
1636502400000,2021-11-10 00:00:00,0.00079051,
1636531200003,2021-11-10 08:00:00,0.00068458,
1636560000001,2021-11-10 16:00:00,0.00087571,
1636588800008,2021-11-11 00:00:00,0.00010000,
1636617600012,2021-11-11 08:00:00,0.00010000,
1636646400007,2021-11-11 16:00:00,0.00010000,
1636675200000,2021-11-12 00:00:00,0.00016902,
1636704000000,2021-11-12 08:00:00,0.00010000,
1636732800004,2021-11-12 16:00:00,0.00010000,
1636761600000,2021-11-13 00:00:00,0.00010000,
1636790400004,2021-11-13 08:00:00,0.00010000,
1636819200006,2021-11-13 16:00:00,0.00020281,
1636848000010,2021-11-14 00:00:00,0.00013658,
1636876800001,2021-11-14 08:00:00,0.00027726,
1636905600000,2021-11-14 16:00:00,0.00030030,
1636934400008,2021-11-15 00:00:00,0.00044021,
1636963200000,2021-11-15 08:00:00,0.00061726,
1636992000000,2021-11-15 16:00:00,0.00044973,
1637020800000,2021-11-16 00:00:00,0.00033917,
1637049600001,2021-11-16 08:00:00,0.00010000,
1637078400018,2021-11-16 16:00:00,0.00010000,
1637107200005,2021-11-17 00:00:00,0.00010000,
1637136000007,2021-11-17 08:00:00,0.00010000,
1637164800003,2021-11-17 16:00:00,0.00010000,
1637193600017,2021-11-18 00:00:00,0.00010000,
1637222400007,2021-11-18 08:00:00,0.00010000,
1637251200011,2021-11-18 16:00:00,0.00010000,
1637280000000,2021-11-19 00:00:00,0.00010000,
1637308800000,2021-11-19 08:00:00,0.00010000,
1637337600005,2021-11-19 16:00:00,0.00010000,
1637366400012,2021-11-20 00:00:00,0.00010000,
1637395200000,2021-11-20 08:00:00,0.00010000,
1637424000007,2021-11-20 16:00:00,0.00010000,
1637452800000,2021-11-21 00:00:00,0.00010000,
1637481600006,2021-11-21 08:00:00,0.00010000,
1637510400000,2021-11-21 16:00:00,0.00010000,
1637539200004,2021-11-22 00:00:00,0.00010000,
1637568000000,2021-11-22 08:00:00,0.00010000,
1637596800000,2021-11-22 16:00:00,0.00010000,
1637625600004,2021-11-23 00:00:00,0.00010000,
1637654400010,2021-11-23 08:00:00,0.00010000,
1637683200005,2021-11-23 16:00:00,0.00016819,
1637712000001,2021-11-24 00:00:00,0.00027497,
1637740800003,2021-11-24 08:00:00,0.00041760,
1637769600010,2021-11-24 16:00:00,0.00021767,
1637798400000,2021-11-25 00:00:00,0.00029852,
1637827200010,2021-11-25 08:00:00,0.00042546,
1637856000000,2021-11-25 16:00:00,0.00054058,
1637884800000,2021-11-26 00:00:00,0.00058038,
1637913600000,2021-11-26 08:00:00,0.00034297,
1637942400016,2021-11-26 16:00:00,0.00010000,
1637971200005,2021-11-27 00:00:00,0.00010000,
1638000000008,2021-11-27 08:00:00,0.00010000,
1638028800007,2021-11-27 16:00:00,0.00010000,
1638057600018,2021-11-28 00:00:00,0.00010000,
1638086400000,2021-11-28 08:00:00,0.00010000,
1638115200004,2021-11-28 16:00:00,0.00010000,
1638144000002,2021-11-29 00:00:00,0.00010000,
1638172800004,2021-11-29 08:00:00,0.00010000,
1638201600000,2021-11-29 16:00:00,0.00010000,
1638230400000,2021-11-30 00:00:00,0.00010000,
1638259200006,2021-11-30 08:00:00,0.00010000,
1638288000000,2021-11-30 16:00:00,0.00010000,
1638316800000,2021-12-01 00:00:00,0.00010000,
1638345600000,2021-12-01 08:00:00,0.00010000,
1638374400001,2021-12-01 16:00:00,0.00016696,
1638403200000,2021-12-02 00:00:00,0.00010000,
1638432000007,2021-12-02 08:00:00,0.00010000,
1638460800008,2021-12-02 16:00:00,0.00010000,
1638489600004,2021-12-03 00:00:00,0.00010000,
1638518400002,2021-12-03 08:00:00,0.00010000,
1638547200006,2021-12-03 16:00:00,0.00010000,
1638576000006,2021-12-04 00:00:00,0.00010000,
1638604800004,2021-12-04 08:00:00,0.00001108,
1638633600000,2021-12-04 16:00:00,0.00010000,
1638662400003,2021-12-05 00:00:00,0.00010000,
1638691200008,2021-12-05 08:00:00,0.00010000,
1638720000007,2021-12-05 16:00:00,0.00010000,
1638748800009,2021-12-06 00:00:00,0.00010000,
1638777600001,2021-12-06 08:00:00,0.00010000,
1638806400000,2021-12-06 16:00:00,0.00010000,
1638835200018,2021-12-07 00:00:00,0.00010000,
1638864000000,2021-12-07 08:00:00,0.00010000,
1638892800000,2021-12-07 16:00:00,0.00010000,
1638921600000,2021-12-08 00:00:00,0.00010000,
1638950400018,2021-12-08 08:00:00,0.00010000,
1638979200010,2021-12-08 16:00:00,0.00010000,
1639008000010,2021-12-09 00:00:00,-0.00011130,
1639036800000,2021-12-09 08:00:00,0.00010000,
1639065600000,2021-12-09 16:00:00,0.00010000,
1639094400000,2021-12-10 00:00:00,-0.00007816,
1639123200008,2021-12-10 08:00:00,-0.00031513,
1639152000012,2021-12-10 16:00:00,0.00010000,
1639180800009,2021-12-11 00:00:00,0.00010000,
1639209600008,2021-12-11 08:00:00,0.00010000,
1639238400000,2021-12-11 16:00:00,0.00010000,
1639267200001,2021-12-12 00:00:00,0.00010000,
1639296000015,2021-12-12 08:00:00,0.00010000,
1639324800011,2021-12-12 16:00:00,0.00010000,
1639353600006,2021-12-13 00:00:00,0.00010000,
1639382400019,2021-12-13 08:00:00,0.00010000,
1639411200000,2021-12-13 16:00:00,0.00010000,
1639440000004,2021-12-14 00:00:00,0.00009785,
1639468800000,2021-12-14 08:00:00,0.00010000,
1639497600015,2021-12-14 16:00:00,0.00010000,
1639526400000,2021-12-15 00:00:00,0.00010000,
1639555200008,2021-12-15 08:00:00,0.00010000,
1639584000005,2021-12-15 16:00:00,0.00010000,
1639612800006,2021-12-16 00:00:00,0.00010000,
1639641600009,2021-12-16 08:00:00,0.00010000,
1639670400000,2021-12-16 16:00:00,-0.00011599,
1639699200000,2021-12-17 00:00:00,0.00010000,
1639728000005,2021-12-17 08:00:00,0.00010000,
1639756800006,2021-12-17 16:00:00,0.00010000,
1639785600014,2021-12-18 00:00:00,0.00010000,
1639814400012,2021-12-18 08:00:00,0.00010000,
1639843200000,2021-12-18 16:00:00,0.00010000,
1639872000031,2021-12-19 00:00:00,0.00010000,
1639900800000,2021-12-19 08:00:00,0.00010000,
1639929600003,2021-12-19 16:00:00,0.00010000,
1639958400015,2021-12-20 00:00:00,0.00010000,
1639987200007,2021-12-20 08:00:00,0.00010000,
1640016000005,2021-12-20 16:00:00,0.00010000,
1640044800003,2021-12-21 00:00:00,0.00010000,
1640073600012,2021-12-21 08:00:00,0.00005740,
1640102400005,2021-12-21 16:00:00,0.00010000,
1640131200000,2021-12-22 00:00:00,0.00000595,
1640160000001,2021-12-22 08:00:00,0.00010000,
1640188800006,2021-12-22 16:00:00,0.00010000,
1640217600011,2021-12-23 00:00:00,0.00010000,
1640246400000,2021-12-23 08:00:00,0.00010000,
1640275200000,2021-12-23 16:00:00,0.00010000,
1640304000005,2021-12-24 00:00:00,0.00010000,
1640332800000,2021-12-24 08:00:00,0.00010000,
1640361600011,2021-12-24 16:00:00,0.00010000,
1640390400000,2021-12-25 00:00:00,0.00010000,
1640419200001,2021-12-25 08:00:00,0.00010000,
1640448000005,2021-12-25 16:00:00,0.00010000,
1640476800004,2021-12-26 00:00:00,0.00010000,
1640505600002,2021-12-26 08:00:00,0.00010000,
1640534400000,2021-12-26 16:00:00,0.00010000,
1640563200002,2021-12-27 00:00:00,0.00010000,
1640592000005,2021-12-27 08:00:00,0.00010000,
1640620800000,2021-12-27 16:00:00,0.00010000,
1640649600000,2021-12-28 00:00:00,0.00010000,
1640678400012,2021-12-28 08:00:00,0.00010000,
