open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1734710400000,2024-12-20 16:00:00,0.2200000,0.2589900,0.2200000,0.2290000,19998408,1734724799999,2024-12-20 19:59:59,4828610.7982400,38579,9195475,2221697.0361500
1734724800000,2024-12-20 20:00:00,0.2293200,0.2528800,0.2148800,0.2174500,44893758,1734739199999,2024-12-20 23:59:59,10514016.2167000,102004,20984593,4915510.4749600
1734739200000,2024-12-21 00:00:00,0.2178400,0.2298000,0.2100000,0.2160000,24500413,1734753599999,2024-12-21 03:59:59,5340897.8437700,59169,12354691,2696270.3097300
1734753600000,2024-12-21 04:00:00,0.2157100,0.2540100,0.2149600,0.2414700,36541386,1734767999999,2024-12-21 07:59:59,8823092.1026400,79253,17403960,4201393.8905200
1734768000000,2024-12-21 08:00:00,0.2414000,0.2500000,0.2233600,0.2409100,30005985,1734782399999,2024-12-21 11:59:59,7161117.7145900,63034,14275811,3408079.2485000
1734782400000,2024-12-21 12:00:00,0.2407800,0.2829500,0.2230000,0.2644300,107665196,1734796799999,2024-12-21 15:59:59,28092374.5586000,216099,52370162,13677774.5931600
1734796800000,2024-12-21 16:00:00,0.2644600,0.2739800,0.2474400,0.2558300,91769103,1734811199999,2024-12-21 19:59:59,24026616.6057800,182668,43523309,11401403.7458800
1734811200000,2024-12-21 20:00:00,0.2558300,0.2636000,0.2310500,0.2432100,50682695,1734825599999,2024-12-21 23:59:59,12291637.6681700,89523,24009167,5820546.3688700
1734825600000,2024-12-22 00:00:00,0.2433300,0.2510000,0.2146700,0.2263500,56982842,1734839999999,2024-12-22 03:59:59,12971325.6816500,114160,27046808,6155490.6519700
1734840000000,2024-12-22 04:00:00,0.2263600,0.2292300,0.2111300,0.2161900,35680307,1734854399999,2024-12-22 07:59:59,7788931.5679800,73413,17019473,3716181.9819000
1734854400000,2024-12-22 08:00:00,0.2163500,0.2267200,0.2123600,0.2223500,36382673,1734868799999,2024-12-22 11:59:59,7986563.3847300,69842,17816539,3909164.4229400
1734868800000,2024-12-22 12:00:00,0.2223600,0.2381400,0.2161000,0.2234400,42924012,1734883199999,2024-12-22 15:59:59,9667538.3689000,93018,20176469,4549275.2128800
1734883200000,2024-12-22 16:00:00,0.2235100,0.2262700,0.2040500,0.2065200,41289680,1734897599999,2024-12-22 19:59:59,8868717.0431600,75149,19545126,4204985.5447400
1734897600000,2024-12-22 20:00:00,0.2064700,0.2082900,0.1908400,0.1949100,54424518,1734911999999,2024-12-22 23:59:59,10824215.5158700,81643,26326033,5238945.9374100
1734912000000,2024-12-23 00:00:00,0.1949100,0.2403100,0.1933800,0.2358300,49568629,1734926399999,2024-12-23 03:59:59,10402798.3372800,90925,22997621,4824379.2139700
1734926400000,2024-12-23 04:00:00,0.2359300,0.2403700,0.2080000,0.2092900,36418819,1734940799999,2024-12-23 07:59:59,8076543.3104500,82039,16986665,3762787.4696900
1734940800000,2024-12-23 08:00:00,0.2093100,0.2555000,0.2092400,0.2471400,120844045,1734955199999,2024-12-23 11:59:59,29335228.8112900,234331,60759227,14744389.9698300
1734955200000,2024-12-23 12:00:00,0.2471800,0.2485800,0.2233300,0.2265500,65689093,1734969599999,2024-12-23 15:59:59,15466122.5106400,144948,31208425,7347128.5421100
1734969600000,2024-12-23 16:00:00,0.2265600,0.2397200,0.2208500,0.2345900,42850332,1734983999999,2024-12-23 19:59:59,9802975.3982900,109981,21509394,4921480.2112500
1734984000000,2024-12-23 20:00:00,0.2349700,0.2413300,0.2316900,0.2337400,35442643,1734998399999,2024-12-23 23:59:59,8386941.2852500,83676,17331279,4102264.3346200
1734998400000,2024-12-24 00:00:00,0.2337400,0.2430000,0.2311200,0.2396200,32326482,1735012799999,2024-12-24 03:59:59,7665324.4171100,80709,15636492,3705154.3921600
1735012800000,2024-12-24 04:00:00,0.2396100,0.2579900,0.2372200,0.2459500,40978052,1735027199999,2024-12-24 07:59:59,10195066.3544600,97332,19909609,4952738.6632200
1735027200000,2024-12-24 08:00:00,0.2459600,0.2572600,0.2408800,0.2518600,36055527,1735041599999,2024-12-24 11:59:59,8987411.9624700,80886,17627912,4392847.2093000
1735041600000,2024-12-24 12:00:00,0.2518000,0.2715000,0.2500000,0.2608900,36277232,1735055999999,2024-12-24 15:59:59,9498402.2375400,86299,17895723,4685226.3446700
1735056000000,2024-12-24 16:00:00,0.2608900,0.2885700,0.2558900,0.2723500,60237956,1735070399999,2024-12-24 19:59:59,16679641.6339500,130391,30062388,8320987.6600800
1735070400000,2024-12-24 20:00:00,0.2723600,0.2758200,0.2636900,0.2644800,23896625,1735084799999,2024-12-24 23:59:59,6434926.3234800,67005,11647801,3138790.8667000
1735084800000,2024-12-25 00:00:00,0.2646400,0.2946600,0.2646400,0.2898400,51539284,1735099199999,2024-12-25 03:59:59,14470686.7567100,130033,25338516,7109095.9165800
