fundingTime,fundingTime_dt,fundingRate,markPrice
1760428800000,2025-10-14 08:00:00,0.00005000,0.00000000
1760443200000,2025-10-14 12:00:00,-0.00113152,0.16653365
1760457600000,2025-10-14 16:00:00,0.00319780,0.37481336
1760472000000,2025-10-14 20:00:00,0.00049962,0.43085833
1760486400006,2025-10-15 00:00:00,0.00231897,0.58465365
1760500800001,2025-10-15 04:00:00,0.00088540,0.62064000
1760515200002,2025-10-15 08:00:00,0.00106249,0.77170969
1760529600005,2025-10-15 12:00:00,0.00169869,0.58523976
1760544000000,2025-10-15 16:00:00,0.00091383,0.66027743
1760558400004,2025-10-15 20:00:00,0.00145056,0.66657463
1760572800000,2025-10-16 00:00:00,0.00083425,0.54921537
1760587200000,2025-10-16 04:00:00,0.00005000,0.43065000
1760601600003,2025-10-16 08:00:00,0.00005000,0.42807531
1760616000000,2025-10-16 12:00:00,0.00005000,0.41585996
1760630400002,2025-10-16 16:00:00,0.00034259,0.39264000
1760644800003,2025-10-16 20:00:00,0.00036538,0.38506735
1760659200001,2025-10-17 00:00:00,0.00022493,0.36756000
1760673600001,2025-10-17 04:00:00,0.00033325,0.37100810
1760688000005,2025-10-17 08:00:00,0.00023457,0.33939417
1760702400000,2025-10-17 12:00:00,0.00099295,0.33652774
1760716800003,2025-10-17 16:00:00,0.00073577,0.34763964
1760731200004,2025-10-17 20:00:00,0.00045426,0.30770721
1760745600000,2025-10-18 00:00:00,0.00064630,0.31368657
1760760000000,2025-10-18 04:00:00,0.00005000,0.33160000
1760774400002,2025-10-18 08:00:00,0.00005000,0.34540000
1760788800007,2025-10-18 12:00:00,0.00005000,0.43422711
1760803200001,2025-10-18 16:00:00,0.00020406,0.39121723
1760817600000,2025-10-18 20:00:00,0.00042145,0.42001223
1760832000001,2025-10-19 00:00:00,0.00034141,0.40230000
1760846400000,2025-10-19 04:00:00,0.00037997,0.40346613
1760860800001,2025-10-19 08:00:00,0.00015021,0.38357159
1760875200000,2025-10-19 12:00:00,0.00029498,0.37348674
1760889600001,2025-10-19 16:00:00,0.00024407,0.34151203
1760904000000,2025-10-19 20:00:00,0.00023682,0.34660000
1760918400004,2025-10-20 00:00:00,0.00035331,0.32780000
1760932800000,2025-10-20 04:00:00,0.00021983,0.33430000
1760947200001,2025-10-20 08:00:00,0.00005536,0.33699846
1760961600000,2025-10-20 12:00:00,0.00020440,0.32605274
1760976000000,2025-10-20 16:00:00,0.00046170,0.30858496
1760990400000,2025-10-20 20:00:00,0.00049584,0.31774953
1761004800009,2025-10-21 00:00:00,0.00026925,0.32197075
1761019200003,2025-10-21 04:00:00,0.00017833,0.31622484
1761033600000,2025-10-21 08:00:00,0.00056048,0.31795988
1761048000000,2025-10-21 12:00:00,0.00040762,0.32804794
1761062400000,2025-10-21 16:00:00,0.00068350,0.41518936
1761076800001,2025-10-21 20:00:00,0.00087326,0.36153156
1761091200004,2025-10-22 00:00:00,0.00038611,0.36401378
1761105600000,2025-10-22 04:00:00,0.00049711,0.38817312
1761120000000,2025-10-22 08:00:00,0.00024556,0.38099302
1761134400000,2025-10-22 12:00:00,0.00033882,0.38905334
1761148800000,2025-10-22 16:00:00,0.00044931,0.37434760
