open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1760428800000,2025-10-14 08:00:00,0.1800000,0.1956000,0.1500000,0.1669200,165549265,1760443199999,2025-10-14 11:59:59,27683758.8936600,232662,82797134,13878205.6352000
1760443200000,2025-10-14 12:00:00,0.1669200,0.5501600,0.1505800,0.3763500,1426907376,1760457599999,2025-10-14 15:59:59,473748958.3547100,3558715,718401973,237856783.0998000
1760457600000,2025-10-14 16:00:00,0.3763500,0.4488000,0.3620200,0.4312300,467758161,1760471999999,2025-10-14 19:59:59,188551897.5682700,1705440,232677790,93913013.9788500
1760472000000,2025-10-14 20:00:00,0.4311900,0.5979700,0.4220000,0.5852200,368298168,1760486399999,2025-10-14 23:59:59,184256221.4258100,1820880,185332628,92846948.4757500
1760486400000,2025-10-15 00:00:00,0.5852000,0.6955000,0.5513600,0.6199700,385757140,1760500799999,2025-10-15 03:59:59,238477032.8363600,2369998,191589432,118540633.3628700
1760500800000,2025-10-15 04:00:00,0.6199000,0.8488800,0.6127200,0.7807600,367489235,1760515199999,2025-10-15 07:59:59,278563977.8178300,2407079,184952867,140172855.9028400
1760515200000,2025-10-15 08:00:00,0.7805500,0.8064000,0.5585700,0.5865800,381734827,1760529599999,2025-10-15 11:59:59,252371905.5557900,1857802,185435448,122744992.8218700
1760529600000,2025-10-15 12:00:00,0.5866200,0.7580000,0.5707500,0.6612500,275569554,1760543999999,2025-10-15 15:59:59,179319828.4635300,1342287,137491832,89527605.9043900
1760544000000,2025-10-15 16:00:00,0.6610600,0.7874100,0.6210100,0.6671100,156973252,1760558399999,2025-10-15 19:59:59,111226784.6849400,939223,77238926,54812217.8448400
1760558400000,2025-10-15 20:00:00,0.6673100,0.6866400,0.5282200,0.5495300,96815753,1760572799999,2025-10-15 23:59:59,61037612.2613700,583527,46389551,29391190.3650200
1760572800000,2025-10-16 00:00:00,0.5499700,0.5599200,0.4064400,0.4305900,168595620,1760587199999,2025-10-16 03:59:59,78736444.6032000,811709,84056816,39182468.4990800
1760587200000,2025-10-16 04:00:00,0.4306100,0.4507600,0.4000000,0.4267400,126885622,1760601599999,2025-10-16 07:59:59,54151831.2059100,523968,63231092,26994343.0328300
1760601600000,2025-10-16 08:00:00,0.4270100,0.4727000,0.3862000,0.4158800,162995416,1760615999999,2025-10-16 11:59:59,68904947.4616000,639276,80956813,34288673.3903400
1760616000000,2025-10-16 12:00:00,0.4159100,0.4240000,0.3793300,0.3924500,117088789,1760630399999,2025-10-16 15:59:59,46894106.4593300,459401,55591937,22282477.8877200
1760630400000,2025-10-16 16:00:00,0.3926100,0.3944600,0.3520000,0.3848700,122062186,1760644799999,2025-10-16 19:59:59,45565575.2344200,397258,60329693,22536613.5039800
1760644800000,2025-10-16 20:00:00,0.3849800,0.3897200,0.3544000,0.3675600,60695874,1760659199999,2025-10-16 23:59:59,22586296.7086300,251105,29886930,11109297.7535200
