fundingTime,fundingTime_dt,fundingRate,markPrice
1758787200001,2025-09-25 08:00:00,-0.00009763,0.36417388
1758801600000,2025-09-25 12:00:00,-0.00092966,0.23051999
1758816000000,2025-09-25 16:00:00,-0.00024450,0.24706306
1758830400000,2025-09-25 20:00:00,-0.00204193,0.24427920
1758844800000,2025-09-26 00:00:00,-0.00346429,0.21938000
1758859200002,2025-09-26 04:00:00,-0.00124470,0.24089291
1758873600000,2025-09-26 08:00:00,0.00005000,0.17662692
1758888000000,2025-09-26 12:00:00,0.00082139,0.14786675
1758902400008,2025-09-26 16:00:00,0.00117743,0.13885034
1758916800005,2025-09-26 20:00:00,0.00095772,0.16150013
1758931200000,2025-09-27 00:00:00,0.00110086,0.17294299
1758945600000,2025-09-27 04:00:00,0.00128720,0.15768809
1758960000010,2025-09-27 08:00:00,0.00129622,0.16341000
1758974400003,2025-09-27 12:00:00,0.00120565,0.16798000
1758988800003,2025-09-27 16:00:00,0.00172655,0.19260000
1759003200002,2025-09-27 20:00:00,0.00097815,0.22220507
1759017600000,2025-09-28 00:00:00,0.00037034,0.20677162
1759032000002,2025-09-28 04:00:00,0.00029631,0.18427003
1759046400000,2025-09-28 08:00:00,0.00032731,0.19867470
1759060800000,2025-09-28 12:00:00,0.00027630,0.20412740
1759075200000,2025-09-28 16:00:00,0.00015277,0.19274810
1759089600004,2025-09-28 20:00:00,0.00005000,0.18348764
1759104000000,2025-09-29 00:00:00,0.00005000,0.17653174
1759118400000,2025-09-29 04:00:00,0.00031444,0.20105093
1759132800002,2025-09-29 08:00:00,0.00011805,0.19784635
1759147200000,2025-09-29 12:00:00,0.00040455,0.19853797
1759161600001,2025-09-29 16:00:00,0.00053290,0.19808000
1759176000000,2025-09-29 20:00:00,0.00028090,0.19576000
1759190400002,2025-09-30 00:00:00,0.00036919,0.20332000
1759204800000,2025-09-30 04:00:00,0.00027585,0.21517777
1759219200005,2025-09-30 08:00:00,0.00045580,0.21786136
1759233600000,2025-09-30 12:00:00,0.00146924,0.21497322
1759248000000,2025-09-30 16:00:00,0.00054898,0.20682604
1759262400000,2025-09-30 20:00:00,0.00092015,0.21539000
1759276800000,2025-10-01 00:00:00,0.00114216,0.22253191
1759291200008,2025-10-01 04:00:00,0.00055817,0.21257000
1759305600000,2025-10-01 08:00:00,0.00094728,0.20783026
1759320000007,2025-10-01 12:00:00,0.00069980,0.20049000
1759334400000,2025-10-01 16:00:00,0.00113559,0.21367000
1759348800001,2025-10-01 20:00:00,0.00172440,0.24655395
1759363200000,2025-10-02 00:00:00,0.00153659,0.24761787
1759377600001,2025-10-02 04:00:00,0.00152375,0.30792000
1759392000013,2025-10-02 08:00:00,0.00169672,0.40048000
1759406400000,2025-10-02 12:00:00,0.00143993,0.38434702
1759420800000,2025-10-02 16:00:00,0.00071147,0.32726785
1759435200000,2025-10-02 20:00:00,0.00076480,0.32319000
1759449600006,2025-10-03 00:00:00,0.00055987,0.31739000
1759464000000,2025-10-03 04:00:00,0.00062964,0.30695000
1759478400006,2025-10-03 08:00:00,0.00049509,0.34209617
1759492800000,2025-10-03 12:00:00,0.00079023,0.38628000
1759507200000,2025-10-03 16:00:00,0.00047819,0.31889842
1759521600002,2025-10-03 20:00:00,0.00044877,0.33910000
1759536000001,2025-10-04 00:00:00,0.00073117,0.34316963
1759550400006,2025-10-04 04:00:00,0.00089375,0.35612470
1759564800000,2025-10-04 08:00:00,0.00107839,0.38772000
1759579200000,2025-10-04 12:00:00,0.00098954,0.39465000
1759593600000,2025-10-04 16:00:00,0.00061735,0.41089071
1759608000003,2025-10-04 20:00:00,0.00041261,0.38253000
1759622400000,2025-10-05 00:00:00,0.00074796,0.39450000
1759636800000,2025-10-05 04:00:00,0.00062392,0.38804329
1759651200003,2025-10-05 08:00:00,0.00052035,0.38664000
1759665600000,2025-10-05 12:00:00,0.00045110,0.36395128
1759680000009,2025-10-05 16:00:00,0.00084521,0.41058448
1759694400004,2025-10-05 20:00:00,0.00065760,0.42224672
1759708800004,2025-10-06 00:00:00,0.00064003,0.38862017
1759723200003,2025-10-06 04:00:00,0.00088148,0.43295030
1759737600002,2025-10-06 08:00:00,0.00290947,0.93832361
1759752000000,2025-10-06 12:00:00,0.00899166,2.60466000
1759766400004,2025-10-06 16:00:00,0.00471670,2.58282000
1759780800002,2025-10-06 20:00:00,0.00494941,2.29494545
1759795200000,2025-10-07 00:00:00,0.00504885,2.41808000
1759809600001,2025-10-07 04:00:00,0.00243944,2.20535000
1759824000003,2025-10-07 08:00:00,0.00345886,1.79263478
1759838400005,2025-10-07 12:00:00,0.00340034,2.36623000
1759852800000,2025-10-07 16:00:00,0.00527778,3.14565197
1759867200002,2025-10-07 20:00:00,0.00409595,2.97869758
1759881600000,2025-10-08 00:00:00,0.00417390,3.00296000
1759896000002,2025-10-08 04:00:00,0.00296964,3.28469989
1759910400006,2025-10-08 08:00:00,0.00205201,3.38305000
1759924800003,2025-10-08 12:00:00,0.00217174,3.92731403
1759939200002,2025-10-08 16:00:00,0.00481105,4.58886897
1759953600000,2025-10-08 20:00:00,0.00347391,4.95108000
1759968000001,2025-10-09 00:00:00,0.00343349,5.36226773
1759982400003,2025-10-09 04:00:00,0.00224859,5.40875804
1759996800000,2025-10-09 08:00:00,0.00145568,5.17103000
1760011200002,2025-10-09 12:00:00,0.00137975,5.56462247
1760025600000,2025-10-09 16:00:00,0.00160670,5.80501310
1760040000010,2025-10-09 20:00:00,0.00204137,5.86016790
1760054400005,2025-10-10 00:00:00,0.00184920,5.28946932
1760068800001,2025-10-10 04:00:00,0.00077333,6.16755447
1760083200002,2025-10-10 08:00:00,0.00076042,6.60000000
1760097600004,2025-10-10 12:00:00,0.00046994,7.04632899
1760112000014,2025-10-10 16:00:00,0.00017321,6.95719840
1760126400003,2025-10-10 20:00:00,0.00051212,6.94100000
1760140800000,2025-10-11 00:00:00,0.00369146,6.68100000
1760155200000,2025-10-11 04:00:00,0.00110901,5.84393399
1760169600003,2025-10-11 08:00:00,0.00040128,6.85808832
1760184000003,2025-10-11 12:00:00,0.00046175,5.88852016
1760198400000,2025-10-11 16:00:00,-0.00033401,4.55095421
1760212800001,2025-10-11 20:00:00,-0.00128849,6.80602066
1760227200004,2025-10-12 00:00:00,-0.00011110,7.76910668
1760241600001,2025-10-12 04:00:00,-0.00408871,7.98500000
1760256000002,2025-10-12 08:00:00,-0.02000000,6.50247227
1760259600000,2025-10-12 09:00:00,-0.00813709,6.31240338
1760263200000,2025-10-12 10:00:00,-0.00242134,6.03204468
1760266800004,2025-10-12 11:00:00,-0.00452737,6.23735862
1760270400001,2025-10-12 12:00:00,-0.00516498,6.86460059
1760274000000,2025-10-12 13:00:00,-0.00637231,7.83800000
1760277600000,2025-10-12 14:00:00,-0.00287551,7.82600000
1760281200000,2025-10-12 15:00:00,-0.00413038,8.19700000
1760284800000,2025-10-12 16:00:00,-0.00893936,8.86200000
1760288400000,2025-10-12 17:00:00,-0.00685101,9.39200000
1760292000000,2025-10-12 18:00:00,-0.01261824,9.87762415
1760295600000,2025-10-12 19:00:00,-0.02000000,10.45979765
1760299200000,2025-10-12 20:00:00,-0.02000000,11.34700000
1760302800005,2025-10-12 21:00:00,-0.02000000,9.13300000
1760306400000,2025-10-12 22:00:00,-0.02000000,8.41489120
1760310000005,2025-10-12 23:00:00,-0.02000000,9.40152672
1760313600003,2025-10-13 00:00:00,-0.02000000,10.60700000
1760317200009,2025-10-13 01:00:00,-0.01518517,9.22538157
1760320800000,2025-10-13 02:00:00,-0.01263675,8.77052625
1760324400000,2025-10-13 03:00:00,-0.00426753,7.86667471
1760328000000,2025-10-13 04:00:00,-0.02000000,9.75200000
1760331600003,2025-10-13 05:00:00,-0.02000000,11.09300000
1760335200000,2025-10-13 06:00:00,-0.01105432,9.39400000
1760338800001,2025-10-13 07:00:00,-0.00482626,8.88700000
1760342400002,2025-10-13 08:00:00,-0.00129496,9.13869067
1760346000000,2025-10-13 09:00:00,-0.00370304,8.97713134
1760349600000,2025-10-13 10:00:00,-0.00204537,9.59200000
1760353200000,2025-10-13 11:00:00,-0.00157222,9.05300000
1760356800001,2025-10-13 12:00:00,-0.00112978,8.70900000
1760360400001,2025-10-13 13:00:00,-0.00075105,8.03000000
1760364000007,2025-10-13 14:00:00,-0.00065816,8.03801876
1760367600000,2025-10-13 15:00:00,-0.00296772,7.68100000
1760371200003,2025-10-13 16:00:00,-0.00146081,7.36200000
1760374800000,2025-10-13 17:00:00,-0.00061310,6.80400000
1760378400001,2025-10-13 18:00:00,-0.00100413,7.89349681
1760382000001,2025-10-13 19:00:00,-0.00177948,7.02085751
1760385600002,2025-10-13 20:00:00,-0.00092561,6.78200000
1760389200000,2025-10-13 21:00:00,-0.00123115,6.48500000
1760392800000,2025-10-13 22:00:00,-0.00083049,5.98000000
1760396400002,2025-10-13 23:00:00,-0.00053741,5.79507362
1760400000000,2025-10-14 00:00:00,-0.00022242,5.73900000
1760403600001,2025-10-14 01:00:00,-0.00148384,6.28400000
1760407200000,2025-10-14 02:00:00,-0.01757651,6.96706487
1760410800004,2025-10-14 03:00:00,-0.02000000,7.42564750
1760414400000,2025-10-14 04:00:00,-0.00444866,5.80500000
1760418000004,2025-10-14 05:00:00,-0.00252181,5.99507278
1760421600000,2025-10-14 06:00:00,-0.00191289,6.03875493
1760425200002,2025-10-14 07:00:00,-0.00300274,6.60600000
1760428800000,2025-10-14 08:00:00,-0.00289837,7.08437994
1760432400000,2025-10-14 09:00:00,-0.00142833,7.29600000
1760436000000,2025-10-14 10:00:00,-0.00113977,7.29300000
1760439600004,2025-10-14 11:00:00,-0.00107710,7.78200000
1760443200000,2025-10-14 12:00:00,-0.00142091,8.20747780
1760446800001,2025-10-14 13:00:00,-0.00188083,8.84000000
1760450400001,2025-10-14 14:00:00,-0.00104364,8.62925828
1760454000000,2025-10-14 15:00:00,-0.00072959,8.53300000
1760457600000,2025-10-14 16:00:00,-0.00071863,8.94200000
1760461200006,2025-10-14 17:00:00,-0.00060626,8.92700000
1760464800004,2025-10-14 18:00:00,-0.00064369,9.05700000
1760468400000,2025-10-14 19:00:00,-0.00078557,8.88500000
1760472000000,2025-10-14 20:00:00,-0.00050155,8.65542114
1760475600002,2025-10-14 21:00:00,-0.00010527,8.95700000
