open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1615348800000,2021-03-10 04:00:00,0.37520,0.42419,0.37520,0.41075,4827246,1615363199999,2021-03-10 07:59:59,1972010.48147,8994,2146894,876596.81692
1615363200000,2021-03-10 08:00:00,0.41062,0.48338,0.40954,0.45063,37324038,1615377599999,2021-03-10 11:59:59,16629583.93882,58946,16700291,7458105.49811
1615377600000,2021-03-10 12:00:00,0.45196,0.46779,0.42934,0.44180,22875474,1615391999999,2021-03-10 15:59:59,10176363.94628,35452,9373569,4179218.61583
1615392000000,2021-03-10 16:00:00,0.44176,0.44436,0.40248,0.41060,17913266,1615406399999,2021-03-10 19:59:59,7529749.21483,29105,6996198,2944610.04968
1615406400000,2021-03-10 20:00:00,0.41041,0.43540,0.38458,0.40795,14933300,1615420799999,2021-03-10 23:59:59,6122579.50624,24913,6261613,2570788.73527
1615420800000,2021-03-11 00:00:00,0.40795,0.41873,0.39607,0.40424,6298071,1615435199999,2021-03-11 03:59:59,2559890.25910,11312,2378901,968958.24046
1615435200000,2021-03-11 04:00:00,0.40435,0.43482,0.40100,0.40992,12239291,1615449599999,2021-03-11 07:59:59,5095331.15474,20477,5408117,2255559.82163
1615449600000,2021-03-11 08:00:00,0.40925,0.41054,0.38800,0.39898,10520543,1615463999999,2021-03-11 11:59:59,4196902.39775,18175,4343218,1734709.29606
1615464000000,2021-03-11 12:00:00,0.39891,0.40362,0.36263,0.37875,33971669,1615478399999,2021-03-11 15:59:59,12878974.38241,42467,13830628,5246251.15153
1615478400000,2021-03-11 16:00:00,0.37769,0.38849,0.37118,0.37399,11507104,1615492799999,2021-03-11 19:59:59,4361840.44769,16697,4789789,1818169.97086
1615492800000,2021-03-11 20:00:00,0.37399,0.39408,0.36510,0.37294,17536683,1615507199999,2021-03-11 23:59:59,6620766.26198,22793,7492307,2835071.16228
1615507200000,2021-03-12 00:00:00,0.37338,0.38701,0.36269,0.38242,10763186,1615521599999,2021-03-12 03:59:59,4043293.63040,15622,4443007,1670911.61180
1615521600000,2021-03-12 04:00:00,0.38331,0.38332,0.36216,0.36945,13889837,1615535999999,2021-03-12 07:59:59,5147795.57325,23805,4947778,1836067.07295
1615536000000,2021-03-12 08:00:00,0.37017,0.39400,0.36412,0.36903,22820263,1615550399999,2021-03-12 11:59:59,8626005.35738,33186,9318740,3526572.84069
1615550400000,2021-03-12 12:00:00,0.36959,0.37832,0.32873,0.35449,29246776,1615564799999,2021-03-12 15:59:59,10228284.69586,40439,11752712,4113397.39158
1615564800000,2021-03-12 16:00:00,0.35451,0.35737,0.33333,0.34200,8416501,1615579199999,2021-03-12 19:59:59,2909393.53490,10318,3501358,1212607.83255
1615579200000,2021-03-12 20:00:00,0.34217,0.35250,0.32391,0.34101,12270585,1615593599999,2021-03-12 23:59:59,4123531.91922,14586,5339122,1797013.02132
1615593600000,2021-03-13 00:00:00,0.34156,0.34206,0.31104,0.32132,12826566,1615607999999,2021-03-13 03:59:59,4156772.17513,16289,5699537,1851344.71335
1615608000000,2021-03-13 04:00:00,0.32132,0.39112,0.32000,0.38613,22311967,1615622399999,2021-03-13 07:59:59,8092219.73567,30754,10578604,3836389.33404
1615622400000,2021-03-13 08:00:00,0.38601,0.39123,0.35200,0.35726,17588705,1615636799999,2021-03-13 11:59:59,6474684.14206,21835,7516468,2768712.96907
1615636800000,2021-03-13 12:00:00,0.35715,0.38000,0.35509,0.36610,13897738,1615651199999,2021-03-13 15:59:59,5126015.32065,17972,6306710,2328422.55161
1615651200000,2021-03-13 16:00:00,0.36604,0.38152,0.35995,0.36500,10577186,1615665599999,2021-03-13 19:59:59,3902614.55027,15522,4825643,1783845.39712
