open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1722484800000,2024-08-01 04:00:00,0.259,0.270,0.253,0.266,126335945.6,1722499199999,2024-08-01 07:59:59,33021115.8643,59043,64481242.5,16861710.9071
1722499200000,2024-08-01 08:00:00,0.266,0.286,0.264,0.282,249421273.5,1722513599999,2024-08-01 11:59:59,68875011.6627,112392,127655337.9,35281106.2051
1722513600000,2024-08-01 12:00:00,0.282,0.285,0.273,0.273,306105889.8,1722527999999,2024-08-01 15:59:59,85766920.4616,99932,152389370.8,42733169.7189
1722528000000,2024-08-01 16:00:00,0.274,0.285,0.269,0.282,309904165.9,1722542399999,2024-08-01 19:59:59,85684807.9821,104608,157562363.8,43588033.1296
1722542400000,2024-08-01 20:00:00,0.283,0.292,0.277,0.286,142234573.6,1722556799999,2024-08-01 23:59:59,40735979.9677,72641,71613301.0,20528361.2120
1722556800000,2024-08-02 00:00:00,0.286,0.290,0.278,0.284,140478700.3,1722571199999,2024-08-02 03:59:59,39823376.0987,61106,68883879.9,19533261.0613
1722571200000,2024-08-02 04:00:00,0.283,0.285,0.274,0.274,211165004.0,1722585599999,2024-08-02 07:59:59,58927675.0393,68542,103191228.4,28806576.5719
1722585600000,2024-08-02 08:00:00,0.274,0.288,0.271,0.285,173969858.9,1722599999999,2024-08-02 11:59:59,48944980.4819,70134,89761526.0,25262445.7493
1722600000000,2024-08-02 12:00:00,0.285,0.287,0.261,0.266,234470160.4,1722614399999,2024-08-02 15:59:59,63948244.7810,102448,113314862.0,30897685.5379
1722614400000,2024-08-02 16:00:00,0.267,0.279,0.262,0.273,231813100.6,1722628799999,2024-08-02 19:59:59,63097451.1350,72691,116156791.9,31615620.3367
1722628800000,2024-08-02 20:00:00,0.273,0.290,0.270,0.289,143510419.7,1722643199999,2024-08-02 23:59:59,40048530.4355,76290,74151176.5,20710715.1959
1722643200000,2024-08-03 00:00:00,0.289,0.291,0.274,0.275,143462343.5,1722657599999,2024-08-03 03:59:59,40469698.5724,74612,69904454.0,19719073.7774
1722657600000,2024-08-03 04:00:00,0.276,0.288,0.273,0.285,94500406.1,1722671999999,2024-08-03 07:59:59,26751715.9788,50960,49900533.2,14126931.4840
1722672000000,2024-08-03 08:00:00,0.285,0.286,0.273,0.277,113951494.2,1722686399999,2024-08-03 11:59:59,31874300.1436,53899,55104502.9,15417323.7753
1722686400000,2024-08-03 12:00:00,0.276,0.289,0.274,0.278,151777215.4,1722700799999,2024-08-03 15:59:59,42898585.9556,74678,74164857.7,20973776.1420
1722700800000,2024-08-03 16:00:00,0.278,0.278,0.246,0.248,218399267.6,1722715199999,2024-08-03 19:59:59,56580655.6805,103689,101309061.5,26243515.4212
1722715200000,2024-08-03 20:00:00,0.248,0.253,0.245,0.252,113525824.5,1722729599999,2024-08-03 23:59:59,28234654.1466,51505,56883007.3,14154469.3357
1722729600000,2024-08-04 00:00:00,0.252,0.257,0.247,0.251,94221389.3,1722743999999,2024-08-04 03:59:59,23710189.7145,57279,45895510.6,11547778.4202
1722744000000,2024-08-04 04:00:00,0.250,0.261,0.250,0.256,73715082.4,1722758399999,2024-08-04 07:59:59,18845807.1314,52023,36681352.5,9377748.1891
1722758400000,2024-08-04 08:00:00,0.257,0.260,0.253,0.257,51994233.7,1722772799999,2024-08-04 11:59:59,13356057.5890,46424,25979433.0,6676351.3553
1722772800000,2024-08-04 12:00:00,0.257,0.260,0.238,0.239,114138994.3,1722787199999,2024-08-04 15:59:59,28375199.3036,66241,52040084.1,12975072.7262
1722787200000,2024-08-04 16:00:00,0.239,0.246,0.231,0.242,164486535.5,1722801599999,2024-08-04 19:59:59,39109605.6365,73355,85349375.2,20303459.5510
1722801600000,2024-08-04 20:00:00,0.242,0.251,0.237,0.244,87306797.1,1722815999999,2024-08-04 23:59:59,21256509.2976,53114,42680047.7,10396108.8454
1722816000000,2024-08-05 00:00:00,0.244,0.248,0.203,0.212,472858702.1,1722830399999,2024-08-05 03:59:59,104392978.5493,168780,231153987.5,51064642.4557
1722830400000,2024-08-05 04:00:00,0.212,0.216,0.189,0.205,428997949.0,1722844799999,2024-08-05 07:59:59,87530776.7321,132010,207670272.2,42396063.9457
1722844800000,2024-08-05 08:00:00,0.205,0.207,0.179,0.188,298126860.3,1722859199999,2024-08-05 11:59:59,57402563.6859,77836,146962990.4,28338407.3177
1722859200000,2024-08-05 12:00:00,0.188,0.215,0.186,0.212,313726001.3,1722873599999,2024-08-05 15:59:59,62744366.1778,92213,158734802.7,31806347.1556
1722873600000,2024-08-05 16:00:00,0.212,0.219,0.203,0.207,156980195.6,1722887999999,2024-08-05 19:59:59,33155602.7687,56039,78723797.9,16631187.9591
1722888000000,2024-08-05 20:00:00,0.206,0.214,0.205,0.209,92669125.6,1722902399999,2024-08-05 23:59:59,19393022.8852,38117,46424020.8,9720459.7229
1722902400000,2024-08-06 00:00:00,0.208,0.226,0.208,0.220,120931724.2,1722916799999,2024-08-06 03:59:59,26581356.8108,55201,59763391.5,13127836.2668
1722916800000,2024-08-06 04:00:00,0.219,0.225,0.218,0.224,98497346.0,1722931199999,2024-08-06 07:59:59,21871200.4366,41573,48769690.5,10834412.2220
1722931200000,2024-08-06 08:00:00,0.224,0.225,0.217,0.221,124078227.6,1722945599999,2024-08-06 11:59:59,27414862.5093,52671,62283175.1,13768628.7718
1722945600000,2024-08-06 12:00:00,0.220,0.240,0.216,0.229,209241305.2,1722959999999,2024-08-06 15:59:59,47948146.8156,71876,102589015.6,23494852.5877
1722960000000,2024-08-06 16:00:00,0.228,0.232,0.223,0.224,158118549.3,1722974399999,2024-08-06 19:59:59,35992935.7800,44827,78371594.6,17849589.0257
1722974400000,2024-08-06 20:00:00,0.224,0.238,0.222,0.229,134562469.7,1722988799999,2024-08-06 23:59:59,30832746.3669,49396,66183142.3,15162806.5534
1722988800000,2024-08-07 00:00:00,0.228,0.240,0.224,0.236,132278481.5,1723003199999,2024-08-07 03:59:59,30716518.2372,54283,66754696.3,15505906.0869
1723003200000,2024-08-07 04:00:00,0.236,0.244,0.235,0.240,104122042.8,1723017599999,2024-08-07 07:59:59,25027155.0815,53081,52318664.8,12577055.8518
1723017600000,2024-08-07 08:00:00,0.239,0.242,0.232,0.236,94529273.6,1723031999999,2024-08-07 11:59:59,22371189.9895,37356,46150670.2,10924811.2299
1723032000000,2024-08-07 12:00:00,0.236,0.241,0.226,0.234,165537493.6,1723046399999,2024-08-07 15:59:59,38861487.0446,63315,82602769.0,19395232.3569
1723046400000,2024-08-07 16:00:00,0.234,0.238,0.230,0.235,140321167.3,1723060799999,2024-08-07 19:59:59,32825641.9521,62047,70578042.1,16516919.3980
1723060800000,2024-08-07 20:00:00,0.236,0.239,0.226,0.232,101437072.6,1723075199999,2024-08-07 23:59:59,23644818.1202,51577,49760899.0,11601586.6552
