open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1580803200000,2020-02-04 08:00:00,115.50,115.50,108.47,110.75,13350.075,1580817599999,2020-02-04 11:59:59,1485999.99215,5899,6728.185,748577.26057
1580817600000,2020-02-04 12:00:00,110.75,111.30,109.26,111.25,6479.356,1580831999999,2020-02-04 15:59:59,713063.28359,4840,2956.127,325721.30980
1580832000000,2020-02-04 16:00:00,111.25,111.98,110.50,110.50,3202.952,1580846399999,2020-02-04 19:59:59,356514.18867,4465,1064.119,118499.58515
1580846400000,2020-02-04 20:00:00,110.50,112.70,110.01,111.29,3595.832,1580860799999,2020-02-04 23:59:59,400055.95197,4698,1942.810,216315.94473
1580860800000,2020-02-05 00:00:00,111.29,111.80,110.04,111.16,3074.638,1580875199999,2020-02-05 03:59:59,340708.07804,4373,1499.080,166028.89571
1580875200000,2020-02-05 04:00:00,111.16,115.00,110.90,114.15,12328.381,1580889599999,2020-02-05 07:59:59,1400661.28024,5876,5920.442,672762.79340
1580889600000,2020-02-05 08:00:00,114.15,121.56,113.78,120.51,24307.322,1580903999999,2020-02-05 11:59:59,2858763.94172,5564,12871.907,1513734.62146
1580904000000,2020-02-05 12:00:00,120.56,124.76,119.53,122.46,39063.696,1580918399999,2020-02-05 15:59:59,4767140.49807,8175,20042.359,2447417.86591
1580918400000,2020-02-05 16:00:00,122.42,124.73,120.52,120.76,19665.671,1580932799999,2020-02-05 19:59:59,2415426.94576,4609,9542.363,1172216.86709
1580932800000,2020-02-05 20:00:00,120.68,123.14,120.51,122.94,10156.720,1580947199999,2020-02-05 23:59:59,1236685.20344,3358,5600.977,681863.90392
1580947200000,2020-02-06 00:00:00,123.09,125.35,120.08,124.28,7813.683,1580961599999,2020-02-06 03:59:59,953714.21364,4014,3662.081,447041.93973
1580961600000,2020-02-06 04:00:00,124.50,125.36,122.25,123.20,6200.482,1580975999999,2020-02-06 07:59:59,767659.90697,2829,2526.412,313052.06655
1580976000000,2020-02-06 08:00:00,123.41,123.76,121.38,122.84,7660.385,1580990399999,2020-02-06 11:59:59,938582.14195,3314,3267.675,400571.74371
1580990400000,2020-02-06 12:00:00,122.85,124.09,117.15,120.65,22725.597,1581004799999,2020-02-06 15:59:59,2749469.09260,10290,9516.122,1152637.02603
1581004800000,2020-02-06 16:00:00,120.65,121.40,118.93,119.96,5596.279,1581019199999,2020-02-06 19:59:59,674444.86281,3187,2294.234,276622.83580
1581019200000,2020-02-06 20:00:00,119.96,121.24,119.37,120.87,2419.986,1581033599999,2020-02-06 23:59:59,291575.02269,1742,1211.817,146060.50237
1581033600000,2020-02-07 00:00:00,120.84,123.38,120.62,121.10,10372.982,1581047999999,2020-02-07 03:59:59,1265350.62190,5059,5051.101,616206.90002
1581048000000,2020-02-07 04:00:00,121.11,121.48,119.17,119.66,8080.509,1581062399999,2020-02-07 07:59:59,971864.34981,4634,3984.500,479129.96221
1581062400000,2020-02-07 08:00:00,119.66,121.47,118.90,119.56,11028.062,1581076799999,2020-02-07 11:59:59,1327473.67380,5250,5033.245,606145.00194
1581076800000,2020-02-07 12:00:00,119.56,120.55,118.42,119.47,9526.593,1581091199999,2020-02-07 15:59:59,1136694.23900,4474,4237.958,505756.99165
1581091200000,2020-02-07 16:00:00,119.54,120.49,118.51,119.08,8034.110,1581105599999,2020-02-07 19:59:59,959760.89823,4769,3608.699,430904.87457
1581105600000,2020-02-07 20:00:00,119.08,119.29,118.26,118.88,3664.484,1581119999999,2020-02-07 23:59:59,435177.51888,2228,1585.371,188272.94912
1581120000000,2020-02-08 00:00:00,118.88,119.94,113.16,115.48,13750.319,1581134399999,2020-02-08 03:59:59,1597325.73171,6380,5645.461,656735.59326
1581134400000,2020-02-08 04:00:00,115.53,129.75,115.42,126.30,54085.545,1581148799999,2020-02-08 07:59:59,6794435.44018,23690,28281.255,3548482.48219
1581148800000,2020-02-08 08:00:00,126.25,129.11,126.16,127.20,19128.123,1581163199999,2020-02-08 11:59:59,2439205.47869,8283,10197.856,1300978.17888
1581163200000,2020-02-08 12:00:00,127.17,129.55,123.96,125.24,24932.813,1581177599999,2020-02-08 15:59:59,3161267.57766,10289,11186.322,1418931.53518
1581177600000,2020-02-08 16:00:00,125.24,132.32,124.95,129.47,26902.655,1581191999999,2020-02-08 19:59:59,3469262.92301,12705,13867.860,1787489.64439
1581192000000,2020-02-08 20:00:00,129.47,130.19,126.32,126.64,11690.999,1581206399999,2020-02-08 23:59:59,1499603.45034,5244,5273.978,676937.63019
1581206400000,2020-02-09 00:00:00,126.56,131.41,126.56,130.57,13684.798,1581220799999,2020-02-09 03:59:59,1766296.06625,5518,6289.829,811704.34722
1581220800000,2020-02-09 04:00:00,130.57,130.80,128.21,129.34,11304.814,1581235199999,2020-02-09 07:59:59,1464480.88180,5223,6203.183,804009.33597
1581235200000,2020-02-09 08:00:00,129.35,129.62,126.66,127.52,11152.114,1581249599999,2020-02-09 11:59:59,1427307.69793,5045,4305.953,551505.01012
1581249600000,2020-02-09 12:00:00,127.52,129.26,124.00,127.20,12469.631,1581263999999,2020-02-09 15:59:59,1581438.12879,6695,5366.314,680901.54169
1581264000000,2020-02-09 16:00:00,127.20,128.53,126.86,127.36,6449.135,1581278399999,2020-02-09 19:59:59,823591.37399,3231,2613.064,333680.06518
1581278400000,2020-02-09 20:00:00,127.36,129.00,126.98,128.67,3932.266,1581292799999,2020-02-09 23:59:59,503050.97711,2595,2234.174,285789.54884
1581292800000,2020-02-10 00:00:00,128.73,129.18,126.39,126.73,7229.936,1581307199999,2020-02-10 03:59:59,923050.94851,4108,3444.309,439716.78160
1581307200000,2020-02-10 04:00:00,126.67,127.19,124.00,126.32,9134.696,1581321599999,2020-02-10 07:59:59,1147029.23510,5938,3780.197,475069.39155
1581321600000,2020-02-10 08:00:00,126.32,126.94,122.95,123.89,7903.269,1581335999999,2020-02-10 11:59:59,983173.68973,5851,3448.622,429241.81153
1581336000000,2020-02-10 12:00:00,123.89,128.55,123.50,127.34,9986.471,1581350399999,2020-02-10 15:59:59,1261296.28005,5535,3974.446,500817.34105
1581350400000,2020-02-10 16:00:00,127.33,128.73,126.74,127.49,7967.921,1581364799999,2020-02-10 19:59:59,1018417.54830,4952,3747.724,478984.00384
1581364800000,2020-02-10 20:00:00,127.49,128.56,126.76,127.84,4811.895,1581379199999,2020-02-10 23:59:59,614824.35996,2906,2439.703,311667.46822
1581379200000,2020-02-11 00:00:00,127.88,128.30,124.44,124.65,8563.522,1581393599999,2020-02-11 03:59:59,1078234.05373,5210,3923.382,493899.67094
1581393600000,2020-02-11 04:00:00,124.66,126.65,124.18,124.48,7319.866,1581407999999,2020-02-11 07:59:59,915154.81712,4393,3347.062,418475.63362
1581408000000,2020-02-11 08:00:00,124.48,126.75,124.14,126.40,7928.049,1581422399999,2020-02-11 11:59:59,997105.54303,4003,3149.611,396046.80922
1581422400000,2020-02-11 12:00:00,126.40,129.02,125.80,128.76,13241.082,1581436799999,2020-02-11 15:59:59,1685901.97688,7172,6652.601,847402.35911
1581436800000,2020-02-11 16:00:00,128.82,134.30,128.36,131.45,29647.278,1581451199999,2020-02-11 19:59:59,3888979.30296,15810,15356.897,2014645.91450
1581451200000,2020-02-11 20:00:00,131.58,132.09,128.93,129.83,13249.181,1581465599999,2020-02-11 23:59:59,1728170.70961,9452,6511.390,849561.81564
1581465600000,2020-02-12 00:00:00,129.93,134.30,128.94,132.43,17032.941,1581479999999,2020-02-12 03:59:59,2245329.34306,12951,8671.443,1142964.39822
1581480000000,2020-02-12 04:00:00,132.43,137.67,132.19,136.22,17212.538,1581494399999,2020-02-12 07:59:59,2324035.96593,8436,7841.037,1058620.63153
1581494400000,2020-02-12 08:00:00,136.28,136.77,133.44,135.43,19460.445,1581508799999,2020-02-12 11:59:59,2628827.11530,11340,9032.554,1220445.07401
1581508800000,2020-02-12 12:00:00,135.40,135.61,131.46,132.28,16405.462,1581523199999,2020-02-12 15:59:59,2190679.68602,7208,6857.598,915198.20245
1581523200000,2020-02-12 16:00:00,132.27,135.20,132.27,134.76,13399.245,1581537599999,2020-02-12 19:59:59,1792166.96402,6206,6750.917,903432.67769
1581537600000,2020-02-12 20:00:00,134.76,135.63,132.01,133.70,10709.927,1581551999999,2020-02-12 23:59:59,1434893.58240,5413,4374.043,586262.97720
1581552000000,2020-02-13 00:00:00,133.70,134.67,132.92,134.00,9803.370,1581566399999,2020-02-13 03:59:59,1311599.60991,5496,5898.759,789551.34403
1581566400000,2020-02-13 04:00:00,134.00,138.74,132.82,133.74,22957.249,1581580799999,2020-02-13 07:59:59,3113133.62231,12968,10048.567,1363878.25190
1581580800000,2020-02-13 08:00:00,133.66,134.43,127.00,128.70,32653.198,1581595199999,2020-02-13 11:59:59,4240962.17394,14961,13514.558,1754470.37941
1581595200000,2020-02-13 12:00:00,128.69,135.83,128.01,131.56,23012.919,1581609599999,2020-02-13 15:59:59,3038032.53577,11682,10258.483,1355554.19853
1581609600000,2020-02-13 16:00:00,131.48,132.60,129.20,131.93,11751.238,1581623999999,2020-02-13 19:59:59,1538919.52918,4167,5390.742,705910.35660
