open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1722484800000,2024-08-01 04:00:00,5.36300000,5.38000000,5.26100000,5.35900000,490621.24000000,1722499199999,2024-08-01 07:59:59,2611176.76005000,15322,205336.99000000,1092877.29374000
1722499200000,2024-08-01 08:00:00,5.35900000,5.38300000,5.33700000,5.36900000,251133.19000000,1722513599999,2024-08-01 11:59:59,1347648.21353000,6769,124870.42000000,670215.14473000
1722513600000,2024-08-01 12:00:00,5.36900000,5.38500000,5.12700000,5.16300000,1342023.11000000,1722527999999,2024-08-01 15:59:59,7026143.96817000,33899,665660.06000000,3484920.17544000
1722528000000,2024-08-01 16:00:00,5.16400000,5.21200000,5.02600000,5.20200000,1477817.51000000,1722542399999,2024-08-01 19:59:59,7558343.24308000,37758,809357.06000000,4139822.35566000
1722542400000,2024-08-01 20:00:00,5.20100000,5.36800000,5.17100000,5.34000000,498931.73000000,1722556799999,2024-08-01 23:59:59,2638519.87021000,12238,257881.22000000,1364055.54539000
1722556800000,2024-08-02 00:00:00,5.34100000,5.36900000,5.22900000,5.27900000,333816.84000000,1722571199999,2024-08-02 03:59:59,1769383.63890000,10491,142831.37000000,756968.78105000
1722571200000,2024-08-02 04:00:00,5.27900000,5.28900000,5.15100000,5.24200000,366959.08000000,1722585599999,2024-08-02 07:59:59,1917364.99749000,10506,172554.64000000,900957.13598000
1722585600000,2024-08-02 08:00:00,5.24100000,5.28000000,5.18400000,5.23700000,627511.62000000,1722599999999,2024-08-02 11:59:59,3290096.70572000,10820,360136.23000000,1888622.11258000
1722600000000,2024-08-02 12:00:00,5.23500000,5.28700000,5.00000000,5.12600000,1206486.69000000,1722614399999,2024-08-02 15:59:59,6196092.68893000,32430,522296.92000000,2685930.49772000
1722614400000,2024-08-02 16:00:00,5.12400000,5.13500000,5.05000000,5.10800000,556655.97000000,1722628799999,2024-08-02 19:59:59,2835661.54065000,14839,229130.84000000,1167666.66043000
1722628800000,2024-08-02 20:00:00,5.10800000,5.15200000,5.04800000,5.12200000,463254.54000000,1722643199999,2024-08-02 23:59:59,2364497.96820000,14784,196340.53000000,1002502.39928000
1722643200000,2024-08-03 00:00:00,5.12300000,5.15400000,5.00000000,5.13600000,497971.33000000,1722657599999,2024-08-03 03:59:59,2528928.13119000,15759,221861.14000000,1128130.45616000
1722657600000,2024-08-03 04:00:00,5.13700000,5.20900000,5.12000000,5.18100000,259879.85000000,1722671999999,2024-08-03 07:59:59,1342752.34692000,8257,122169.49000000,631458.83685000
1722672000000,2024-08-03 08:00:00,5.18000000,5.18500000,5.14200000,5.16200000,284866.60000000,1722686399999,2024-08-03 11:59:59,1470033.76272000,6718,130660.19000000,674309.42494000
1722686400000,2024-08-03 12:00:00,5.16100000,5.20400000,5.05000000,5.05700000,320340.65000000,1722700799999,2024-08-03 15:59:59,1648699.98905000,7453,142713.91000000,734278.79538000
1722700800000,2024-08-03 16:00:00,5.05600000,5.07300000,4.85400000,4.88700000,1136362.31000000,1722715199999,2024-08-03 19:59:59,5627059.78185000,28637,516823.09000000,2560010.56702000
1722715200000,2024-08-03 20:00:00,4.88700000,5.13300000,4.86700000,5.04500000,627523.22000000,1722729599999,2024-08-03 23:59:59,3128859.89743000,12280,352316.74000000,1755735.37712000
1722729600000,2024-08-04 00:00:00,5.04400000,5.09700000,5.02100000,5.07000000,317240.18000000,1722743999999,2024-08-04 03:59:59,1604637.30967000,6569,164632.97000000,832671.01817000
1722744000000,2024-08-04 04:00:00,5.07400000,5.08000000,4.95100000,4.95400000,510382.47000000,1722758399999,2024-08-04 07:59:59,2559637.44794000,8458,153245.45000000,769296.93978000
1722758400000,2024-08-04 08:00:00,4.95400000,5.00000000,4.90000000,4.90300000,457201.83000000,1722772799999,2024-08-04 11:59:59,2263616.64455000,9723,222039.68000000,1099823.21404000
1722772800000,2024-08-04 12:00:00,4.90200000,4.91100000,4.71500000,4.71900000,1252968.66000000,1722787199999,2024-08-04 15:59:59,6021833.86209000,25044,595434.68000000,2861279.55610000
1722787200000,2024-08-04 16:00:00,4.72000000,4.78900000,4.53400000,4.76900000,1747447.49000000,1722801599999,2024-08-04 19:59:59,8128659.62071000,36243,817249.61000000,3804550.83334000
1722801600000,2024-08-04 20:00:00,4.76800000,4.82900000,4.67100000,4.68800000,591383.61000000,1722815999999,2024-08-04 23:59:59,2816755.82400000,10782,249592.95000000,1188303.61019000
1722816000000,2024-08-05 00:00:00,4.68800000,4.72600000,3.97300000,4.01300000,6206304.42000000,1722830399999,2024-08-05 03:59:59,26020746.31260000,122894,2889233.88000000,12098363.25774000
1722830400000,2024-08-05 04:00:00,4.01300000,4.05900000,3.59000000,4.01600000,6626251.46000000,1722844799999,2024-08-05 07:59:59,25654190.95303000,117222,3111202.66000000,12064931.65074000
1722844800000,2024-08-05 08:00:00,4.01700000,4.02000000,3.72100000,3.89100000,3099105.52000000,1722859199999,2024-08-05 11:59:59,12084709.99886000,64605,1516960.56000000,5922650.84053000
1722859200000,2024-08-05 12:00:00,3.89100000,4.25000000,3.77900000,4.23800000,3312595.55000000,1722873599999,2024-08-05 15:59:59,13386438.81130000,81934,1619234.39000000,6543963.12217000
1722873600000,2024-08-05 16:00:00,4.23800000,4.29200000,4.07200000,4.12400000,1971649.98000000,1722887999999,2024-08-05 19:59:59,8256137.76642000,37043,953984.43000000,3992803.92763000
1722888000000,2024-08-05 20:00:00,4.12300000,4.28500000,4.11700000,4.20000000,781796.00000000,1722902399999,2024-08-05 23:59:59,3282963.33916000,15463,414873.82000000,1741587.41750000
1722902400000,2024-08-06 00:00:00,4.19900000,4.42100000,4.19400000,4.34300000,897927.81000000,1722916799999,2024-08-06 03:59:59,3896345.11957000,20288,405693.64000000,1759798.26405000
1722916800000,2024-08-06 04:00:00,4.34400000,4.45500000,4.32700000,4.43600000,780693.95000000,1722931199999,2024-08-06 07:59:59,3432683.89476000,21108,374425.30000000,1646210.95423000
1722931200000,2024-08-06 08:00:00,4.43600000,4.43900000,4.30800000,4.34500000,712251.68000000,1722945599999,2024-08-06 11:59:59,3099123.50980000,21661,332484.73000000,1446614.80077000
1722945600000,2024-08-06 12:00:00,4.34400000,4.49300000,4.26900000,4.49100000,1236260.70000000,1722959999999,2024-08-06 15:59:59,5416082.00815000,28248,534736.88000000,2344718.41560000
1722960000000,2024-08-06 16:00:00,4.49100000,4.60400000,4.47100000,4.55100000,1220927.40000000,1722974399999,2024-08-06 19:59:59,5551708.13540000,28899,447042.52000000,2032275.56494000
1722974400000,2024-08-06 20:00:00,4.55100000,4.58500000,4.48100000,4.50900000,649226.05000000,1722988799999,2024-08-06 23:59:59,2936527.97340000,17730,285899.02000000,1292688.46732000
1722988800000,2024-08-07 00:00:00,4.50900000,4.63400000,4.47700000,4.54600000,556423.09000000,1723003199999,2024-08-07 03:59:59,2533742.12552000,15689,226405.60000000,1031209.24174000
1723003200000,2024-08-07 04:00:00,4.54300000,4.59800000,4.53000000,4.57000000,413240.32000000,1723017599999,2024-08-07 07:59:59,1887307.49342000,11168,183349.65000000,837115.42695000
1723017600000,2024-08-07 08:00:00,4.57000000,4.62300000,4.53700000,4.54100000,815994.31000000,1723031999999,2024-08-07 11:59:59,3736322.67585000,17919,416571.99000000,1907571.18950000
1723032000000,2024-08-07 12:00:00,4.54200000,4.64100000,4.40300000,4.51200000,1536246.43000000,1723046399999,2024-08-07 15:59:59,6964165.70097000,33027,762237.02000000,3455155.22879000
