fundingTime,fundingTime_dt,fundingRate,markPrice
1773936000003,2026-03-19 16:00:00,0.00005000,0.65282500
1773950400000,2026-03-19 20:00:00,0.00005000,0.66737600
1773964800002,2026-03-20 00:00:00,0.00005000,0.62882900
1773979200008,2026-03-20 04:00:00,0.00005000,0.69230100
1773993600000,2026-03-20 08:00:00,0.00005000,0.66919200
1774008000000,2026-03-20 12:00:00,0.00005000,0.64030800
1774022400000,2026-03-20 16:00:00,0.00005000,0.66054600
1774036800007,2026-03-20 20:00:00,0.00005000,0.67179300
1774051200000,2026-03-21 00:00:00,0.00005000,0.70980900
1774065600002,2026-03-21 04:00:00,0.00005000,0.70636600
1774080000000,2026-03-21 08:00:00,0.00005000,0.71657600
1774094400003,2026-03-21 12:00:00,0.00005000,0.70639500
1774108800014,2026-03-21 16:00:00,0.00005000,0.70143100
1774123200000,2026-03-21 20:00:00,0.00005000,0.70883600
1774137600012,2026-03-22 00:00:00,0.00005000,0.69389000
1774152000003,2026-03-22 04:00:00,0.00005000,0.67197500
1774166400007,2026-03-22 08:00:00,0.00005000,0.69465100
1774180800000,2026-03-22 12:00:00,0.00005000,0.69756600
1774195200002,2026-03-22 16:00:00,0.00005000,0.76014300
1774209600000,2026-03-22 20:00:00,0.00005000,0.75444800
1774224000000,2026-03-23 00:00:00,0.00005000,0.74870200
1774238400000,2026-03-23 04:00:00,0.00005000,0.78110800
1774252800003,2026-03-23 08:00:00,0.00005000,0.74136300
1774267200000,2026-03-23 12:00:00,0.00005000,0.74856800
1774281600002,2026-03-23 16:00:00,0.00005000,0.68777900
1774296000000,2026-03-23 20:00:00,0.00005000,0.71840300
1774310400000,2026-03-24 00:00:00,0.00005000,0.73464700
1774324800001,2026-03-24 04:00:00,0.00005000,0.68552600
1774339200000,2026-03-24 08:00:00,0.00005000,0.69849800
1774353600000,2026-03-24 12:00:00,0.00005000,0.70076700
1774368000003,2026-03-24 16:00:00,0.00005000,0.70897800
1774382400000,2026-03-24 20:00:00,0.00005000,0.69816600
1774396800000,2026-03-25 00:00:00,0.00005000,0.69746300
1774411200000,2026-03-25 04:00:00,0.00005000,0.70398200
1774425600000,2026-03-25 08:00:00,0.00005000,0.68562400
1774440000005,2026-03-25 12:00:00,0.00005000,0.69939100
1774454400013,2026-03-25 16:00:00,0.00005000,0.69597900
1774468800001,2026-03-25 20:00:00,0.00005000,0.69635900
1774483200001,2026-03-26 00:00:00,0.00005000,0.69844100
1774497600002,2026-03-26 04:00:00,0.00005000,0.69606700
1774512000001,2026-03-26 08:00:00,0.00005000,0.69462400
1774526400000,2026-03-26 12:00:00,0.00005000,0.67662300
1774540800000,2026-03-26 16:00:00,0.00005000,0.66583300
1774555200003,2026-03-26 20:00:00,0.00005000,0.66172900
1774569600006,2026-03-27 00:00:00,0.00005000,0.65381100
1774584000001,2026-03-27 04:00:00,0.00005000,0.63653500
1774598400000,2026-03-27 08:00:00,0.00005000,0.61395200
1774612800002,2026-03-27 12:00:00,0.00005000,0.59687600
1774627200000,2026-03-27 16:00:00,0.00005000,0.57184600
1774641600000,2026-03-27 20:00:00,0.00005000,0.54111700
1774656000005,2026-03-28 00:00:00,0.00005000,0.55075200
1774670400003,2026-03-28 04:00:00,0.00005000,0.55160100
1774684800005,2026-03-28 08:00:00,0.00005000,0.57231800
1774699200006,2026-03-28 12:00:00,0.00005000,0.55775600
1774713600000,2026-03-28 16:00:00,0.00005000,0.59208500
1774728000003,2026-03-28 20:00:00,0.00005000,0.58860900
1774742400003,2026-03-29 00:00:00,0.00005000,0.59392400
1774756800000,2026-03-29 04:00:00,0.00005000,0.59132100
1774771200001,2026-03-29 08:00:00,0.00005000,0.58221100
1774785600000,2026-03-29 12:00:00,0.00005000,0.56908700
1774800000000,2026-03-29 16:00:00,0.00005000,0.56061000
1774814400000,2026-03-29 20:00:00,0.00005000,0.54594900
1774828800000,2026-03-30 00:00:00,0.00005000,0.55269700
1774843200012,2026-03-30 04:00:00,0.00005000,0.56341200
1774857600005,2026-03-30 08:00:00,0.00005000,0.55712200
1774872000005,2026-03-30 12:00:00,0.00005000,0.54537000
1774886400000,2026-03-30 16:00:00,0.00005000,0.51688300
1774900800000,2026-03-30 20:00:00,0.00005000,0.53612600
1774915200000,2026-03-31 00:00:00,0.00005000,0.54589700
1774929600000,2026-03-31 04:00:00,0.00005000,0.53225200
1774944000000,2026-03-31 08:00:00,0.00005000,0.52997400
1774958400001,2026-03-31 12:00:00,0.00005000,0.51981300
1774972800000,2026-03-31 16:00:00,-0.00256630,0.64053916
1774987200002,2026-03-31 20:00:00,0.00007438,0.66962541
1775001600000,2026-04-01 00:00:00,-0.00000734,0.65555914
1775016000004,2026-04-01 04:00:00,0.00003684,0.61947348
1775030400000,2026-04-01 08:00:00,0.00005000,0.65845193
1775044800000,2026-04-01 12:00:00,-0.00016242,0.65010000
1775059200000,2026-04-01 16:00:00,0.00005000,0.67375093
1775073600000,2026-04-01 20:00:00,-0.00032895,0.68152659
1775088000003,2026-04-02 00:00:00,-0.00008964,0.69460000
1775102400003,2026-04-02 04:00:00,0.00000942,0.74510000
1775116800001,2026-04-02 08:00:00,-0.00039238,0.68470000
1775131200003,2026-04-02 12:00:00,-0.00033544,0.68328538
1775145600001,2026-04-02 16:00:00,-0.00001608,0.70267712
