open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1722484800000,2024-08-01 04:00:00,3178.22000000,3189.80000000,3136.47000000,3166.81000000,49372.25080000,1722499199999,2024-08-01 07:59:59,156320249.69745300,309067,22822.32970000,72273122.20023500
1722499200000,2024-08-01 08:00:00,3166.82000000,3194.23000000,3165.52000000,3188.39000000,23439.85970000,1722513599999,2024-08-01 11:59:59,74629873.89802600,137449,12837.50850000,40872985.46374900
1722513600000,2024-08-01 12:00:00,3188.39000000,3207.00000000,3102.40000000,3117.18000000,75856.17910000,1722527999999,2024-08-01 15:59:59,239163064.90374200,368105,33843.81500000,106729052.68934900
1722528000000,2024-08-01 16:00:00,3117.18000000,3136.00000000,3080.02000000,3131.64000000,73912.62390000,1722542399999,2024-08-01 19:59:59,229510181.48522500,441758,33974.51440000,105527678.65188700
1722542400000,2024-08-01 20:00:00,3131.64000000,3219.34000000,3121.73000000,3203.40000000,47314.14940000,1722556799999,2024-08-01 23:59:59,150244191.34993000,247551,23776.04450000,75518448.83487400
1722556800000,2024-08-02 00:00:00,3203.40000000,3218.60000000,3136.41000000,3168.27000000,34860.96210000,1722571199999,2024-08-02 03:59:59,110678968.21507800,231325,16360.51680000,51938041.17288700
1722571200000,2024-08-02 04:00:00,3168.28000000,3175.52000000,3127.00000000,3147.42000000,29937.75700000,1722585599999,2024-08-02 07:59:59,94340395.48597700,224398,15623.81720000,49248268.78795500
1722585600000,2024-08-02 08:00:00,3147.41000000,3166.95000000,3134.26000000,3153.73000000,29653.65510000,1722599999999,2024-08-02 11:59:59,93507988.58872600,175941,14361.89220000,45293747.21616800
1722600000000,2024-08-02 12:00:00,3153.73000000,3182.80000000,2985.13000000,3038.99000000,173912.41370000,1722614399999,2024-08-02 15:59:59,533957421.86525100,666454,76622.74400000,235636369.90436700
1722614400000,2024-08-02 16:00:00,3039.00000000,3048.59000000,2995.00000000,3011.64000000,55041.98540000,1722628799999,2024-08-02 19:59:59,166439148.80722300,394438,25829.95880000,78139513.61368000
1722628800000,2024-08-02 20:00:00,3011.64000000,3041.91000000,2967.00000000,2989.61000000,62297.26620000,1722643199999,2024-08-02 23:59:59,186671004.55258800,412169,29043.99870000,87071422.53391900
1722643200000,2024-08-03 00:00:00,2989.61000000,3003.53000000,2913.56000000,2982.50000000,68097.78410000,1722657599999,2024-08-03 03:59:59,201228566.71543000,403629,31790.72080000,94007946.97732500
1722657600000,2024-08-03 04:00:00,2982.49000000,2996.63000000,2961.04000000,2983.90000000,27043.97100000,1722671999999,2024-08-03 07:59:59,80586262.03005900,130991,13428.96770000,40018111.61146100
1722672000000,2024-08-03 08:00:00,2983.81000000,3006.64000000,2974.50000000,2997.21000000,30768.42150000,1722686399999,2024-08-03 11:59:59,91928865.56242000,142987,12345.59600000,36883523.88778500
1722686400000,2024-08-03 12:00:00,2997.20000000,3018.02000000,2938.88000000,2942.40000000,39003.71220000,1722700799999,2024-08-03 15:59:59,116558199.31231200,234253,15900.25720000,47562294.95095800
1722700800000,2024-08-03 16:00:00,2942.40000000,2955.39000000,2878.00000000,2893.53000000,119955.40090000,1722715199999,2024-08-03 19:59:59,349666228.76265700,573215,50107.94260000,146090629.92512300
1722715200000,2024-08-03 20:00:00,2893.53000000,2922.41000000,2859.00000000,2903.64000000,59726.02600000,1722729599999,2024-08-03 23:59:59,173052670.36920500,312942,27968.20390000,81086921.97259800
1722729600000,2024-08-04 00:00:00,2903.65000000,2935.46000000,2876.22000000,2915.78000000,32211.26700000,1722743999999,2024-08-04 03:59:59,93697021.41600400,202806,16023.28760000,46615583.80684400
1722744000000,2024-08-04 04:00:00,2915.79000000,2922.00000000,2888.00000000,2893.24000000,25281.23040000,1722758399999,2024-08-04 07:59:59,73481416.71387800,130261,11936.85530000,34687551.02077000
1722758400000,2024-08-04 08:00:00,2893.24000000,2925.00000000,2876.93000000,2914.22000000,23191.05240000,1722772799999,2024-08-04 11:59:59,67389072.78049100,143995,10418.24340000,30278252.06814500
1722772800000,2024-08-04 12:00:00,2914.22000000,2925.80000000,2819.50000000,2826.98000000,88217.18390000,1722787199999,2024-08-04 15:59:59,252660742.05193400,394023,37218.49960000,106688468.69648200
