open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1722484800000,2024-08-01 04:00:00,2.330300,2.344100,2.260300,2.304500,264923,1722499199999,2024-08-01 07:59:59,608731.215300,6536,123820,284693.653000
1722499200000,2024-08-01 08:00:00,2.304400,2.335000,2.301100,2.322300,133268,1722513599999,2024-08-01 11:59:59,308966.595400,3538,79030,183304.595900
1722513600000,2024-08-01 12:00:00,2.322200,2.342200,2.232900,2.241200,276891,1722527999999,2024-08-01 15:59:59,632584.585800,7988,131120,300035.828200
1722528000000,2024-08-01 16:00:00,2.241800,2.247000,2.159700,2.203700,422879,1722542399999,2024-08-01 19:59:59,929149.068300,11401,186735,410760.199000
1722542400000,2024-08-01 20:00:00,2.202600,2.326900,2.192100,2.303100,196783,1722556799999,2024-08-01 23:59:59,446184.806700,6129,103969,235470.843000
1722556800000,2024-08-02 00:00:00,2.302800,2.326900,2.257500,2.294900,141587,1722571199999,2024-08-02 03:59:59,324317.906900,4849,70313,161071.261100
1722571200000,2024-08-02 04:00:00,2.293500,2.298600,2.216800,2.244300,166448,1722585599999,2024-08-02 07:59:59,376325.222400,5090,81052,183382.755800
1722585600000,2024-08-02 08:00:00,2.244500,2.262700,2.226900,2.233900,102470,1722599999999,2024-08-02 11:59:59,230369.150900,3190,49882,112171.741000
1722600000000,2024-08-02 12:00:00,2.233400,2.261900,2.093300,2.148900,603066,1722614399999,2024-08-02 15:59:59,1314049.875000,13751,291028,634204.544500
1722614400000,2024-08-02 16:00:00,2.149900,2.152900,2.063900,2.082300,258155,1722628799999,2024-08-02 19:59:59,543964.298700,6491,128647,271030.434200
1722628800000,2024-08-02 20:00:00,2.082200,2.101400,2.048600,2.069300,219990,1722643199999,2024-08-02 23:59:59,455984.291600,5806,104153,215983.625900
1722643200000,2024-08-03 00:00:00,2.069200,2.121400,2.021100,2.111900,269078,1722657599999,2024-08-03 03:59:59,555751.180200,8316,139454,288257.608100
