fundingTime,fundingTime_dt,fundingRate,markPrice
1734724800000,2024-12-20 20:00:00,0.00013548,1.13433000
1734739200000,2024-12-21 00:00:00,0.00114393,1.05500000
1734753600000,2024-12-21 04:00:00,0.00052371,0.94766900
1734768000000,2024-12-21 08:00:00,0.00079655,0.85304943
1734782400000,2024-12-21 12:00:00,0.00005000,0.89090000
1734796800001,2024-12-21 16:00:00,0.00005000,0.84910000
1734811200000,2024-12-21 20:00:00,0.00027959,0.79546900
1734825600000,2024-12-22 00:00:00,0.00013454,0.79819044
1734840000000,2024-12-22 04:00:00,0.00042398,0.79130000
1734854400000,2024-12-22 08:00:00,0.00019834,0.80480000
1734868800000,2024-12-22 12:00:00,0.00005000,0.79493000
1734883200000,2024-12-22 16:00:00,0.00005000,0.76246483
1734897600000,2024-12-22 20:00:00,0.00005000,0.72520000
1734912000000,2024-12-23 00:00:00,0.00017931,0.69783333
1734926400000,2024-12-23 04:00:00,0.00070870,0.72370000
1734940800000,2024-12-23 08:00:00,0.00005000,0.65189756
1734955200000,2024-12-23 12:00:00,0.00011578,0.67610000
1734969600001,2024-12-23 16:00:00,0.00039131,0.61582878
1734984000000,2024-12-23 20:00:00,0.00005000,0.74907133
1734998400000,2024-12-24 00:00:00,0.00005000,0.80181000
1735012800000,2024-12-24 04:00:00,0.00005000,0.74320000
1735027200000,2024-12-24 08:00:00,0.00002823,0.78456333
1735041600000,2024-12-24 12:00:00,0.00005000,0.88287722
1735056000001,2024-12-24 16:00:00,-0.00010407,0.99119644
1735070400000,2024-12-24 20:00:00,0.00005000,1.08618633
1735084800001,2024-12-25 00:00:00,0.00021132,1.21520000
1735099200001,2024-12-25 04:00:00,0.00072878,1.26560122
1735113600000,2024-12-25 08:00:00,0.00038439,1.16457000
1735128000000,2024-12-25 12:00:00,0.00028752,1.16240000
1735142400000,2024-12-25 16:00:00,0.00022253,1.16721411
1735156800000,2024-12-25 20:00:00,0.00013101,1.11771078
1735171200000,2024-12-26 00:00:00,0.00023777,1.18843828
1735185600001,2024-12-26 04:00:00,0.00006960,1.14348689
1735200000000,2024-12-26 08:00:00,0.00050465,0.98157600
1735214400000,2024-12-26 12:00:00,0.00005000,0.99064333
1735228800000,2024-12-26 16:00:00,0.00005000,0.93910000
1735243200001,2024-12-26 20:00:00,0.00005000,0.91574333
1735257600000,2024-12-27 00:00:00,0.00005000,0.97790411
1735272000000,2024-12-27 04:00:00,0.00005000,0.97338822
1735286400000,2024-12-27 08:00:00,0.00005000,1.00925822
1735300800000,2024-12-27 12:00:00,0.00005000,1.13063678
1735315200000,2024-12-27 16:00:00,0.00005000,0.94938533
1735329600001,2024-12-27 20:00:00,-0.00006366,0.97960000
1735344000001,2024-12-28 00:00:00,0.00005000,0.87509778
1735358400000,2024-12-28 04:00:00,0.00005000,0.89441333
1735372800000,2024-12-28 08:00:00,0.00005000,0.87348333
1735387200000,2024-12-28 12:00:00,0.00006409,0.86354460
1735401600000,2024-12-28 16:00:00,0.00005000,0.86939833
1735416000000,2024-12-28 20:00:00,0.00020365,0.93693644
1735430400000,2024-12-29 00:00:00,0.00005000,0.98500000
1735444800000,2024-12-29 04:00:00,0.00005000,0.98180589
1735459200000,2024-12-29 08:00:00,0.00007069,1.02236822
1735473600000,2024-12-29 12:00:00,0.00020329,0.93319700
1735488000000,2024-12-29 16:00:00,0.00006664,0.90040000
1735502400000,2024-12-29 20:00:00,0.00005000,0.82522000
1735516800000,2024-12-30 00:00:00,0.00005000,0.86617333
1735531200001,2024-12-30 04:00:00,0.00005000,0.85610000
1735545600001,2024-12-30 08:00:00,0.00008989,0.83320000
