fundingTime,fundingTime_dt,fundingRate,markPrice
1742371200000,2025-03-19 08:00:00,0.00010000,0.00000000
1742385600000,2025-03-19 12:00:00,0.00005000,1.63480000
1742400000000,2025-03-19 16:00:00,0.00005000,1.81401768
1742414400000,2025-03-19 20:00:00,0.00005000,1.76581821
1742428800000,2025-03-20 00:00:00,0.00005000,1.74190079
1742443200000,2025-03-20 04:00:00,0.00005000,1.69558784
1742457600000,2025-03-20 08:00:00,0.00005000,1.68530000
1742472000000,2025-03-20 12:00:00,0.00005000,1.96980000
1742486400000,2025-03-20 16:00:00,0.00005000,1.84356630
1742500800000,2025-03-20 20:00:00,0.00005000,1.78387721
1742515200000,2025-03-21 00:00:00,0.00005000,1.87248726
1742529600000,2025-03-21 04:00:00,0.00005000,1.84023532
1742544000000,2025-03-21 08:00:00,0.00005000,1.78107498
1742558400000,2025-03-21 12:00:00,0.00005000,1.75960000
1742572800000,2025-03-21 16:00:00,0.00005000,1.82700000
1742587200000,2025-03-21 20:00:00,0.00005000,1.83310014
1742601600000,2025-03-22 00:00:00,0.00005000,1.83250000
1742616000001,2025-03-22 04:00:00,0.00005000,1.84979300
1742630400004,2025-03-22 08:00:00,0.00005000,1.83557955
1742644800013,2025-03-22 12:00:00,0.00005000,1.83497434
1742659200000,2025-03-22 16:00:00,0.00005000,1.86522813
1742673600001,2025-03-22 20:00:00,0.00005000,1.83470000
1742688000000,2025-03-23 00:00:00,0.00005000,1.86006979
1742702400000,2025-03-23 04:00:00,0.00005000,1.77762695
1742716800000,2025-03-23 08:00:00,0.00005000,1.74640000
1742731200000,2025-03-23 12:00:00,0.00005000,1.88910000
1742745600000,2025-03-23 16:00:00,0.00005000,1.95040541
1742760000000,2025-03-23 20:00:00,0.00005000,2.03740000
1742774400000,2025-03-24 00:00:00,0.00005000,2.03023360
1742788800000,2025-03-24 04:00:00,0.00005000,1.95400000
1742803200000,2025-03-24 08:00:00,0.00005000,1.93369165
1742817600000,2025-03-24 12:00:00,0.00005000,2.12760000
1742832000000,2025-03-24 16:00:00,0.00005000,2.14019093
1742846400004,2025-03-24 20:00:00,0.00005000,2.53817452
1742860800001,2025-03-25 00:00:00,0.00005000,2.44829100
1742875200000,2025-03-25 04:00:00,0.00004537,2.48480000
1742889600000,2025-03-25 08:00:00,0.00005000,2.48399786
1742904000000,2025-03-25 12:00:00,0.00000446,2.41610000
1742918400000,2025-03-25 16:00:00,0.00005000,2.38844373
1742932800000,2025-03-25 20:00:00,0.00005000,2.40874776
1742947200000,2025-03-26 00:00:00,0.00005000,2.38916306
1742961600001,2025-03-26 04:00:00,0.00005000,2.40800000
1742976000000,2025-03-26 08:00:00,0.00005000,2.29718104
1742990400000,2025-03-26 12:00:00,0.00004243,2.29670000
1743004800001,2025-03-26 16:00:00,0.00005000,2.32415418
1743019200000,2025-03-26 20:00:00,0.00005000,2.34449573
1743033600001,2025-03-27 00:00:00,0.00005000,2.27950000
1743048000000,2025-03-27 04:00:00,0.00005000,2.28790000
1743062400001,2025-03-27 08:00:00,0.00005000,2.29490000
1743076800000,2025-03-27 12:00:00,0.00005000,2.34410000
1743091200002,2025-03-27 16:00:00,0.00001268,2.36787809
1743105600000,2025-03-27 20:00:00,0.00005000,2.39781811
1743120000001,2025-03-28 00:00:00,0.00001898,2.43380000
1743134400000,2025-03-28 04:00:00,0.00005000,2.37230000
1743148800001,2025-03-28 08:00:00,0.00005000,2.39235888
1743163200000,2025-03-28 12:00:00,0.00005000,2.43485417
1743177600000,2025-03-28 16:00:00,0.00005000,2.31010000
1743192000000,2025-03-28 20:00:00,0.00005000,2.30284212
1743206400000,2025-03-29 00:00:00,0.00005000,2.25486039
1743220800001,2025-03-29 04:00:00,0.00005000,2.21650000
1743235200000,2025-03-29 08:00:00,0.00005000,2.19441557
1743249600000,2025-03-29 12:00:00,0.00005000,2.24640000
1743264000000,2025-03-29 16:00:00,0.00005000,2.21540000
1743278400000,2025-03-29 20:00:00,0.00005000,2.20210000
1743292800000,2025-03-30 00:00:00,0.00005000,2.20676595
1743307200000,2025-03-30 04:00:00,0.00005000,2.21318605
1743321600000,2025-03-30 08:00:00,0.00005000,2.23458256
1743336000000,2025-03-30 12:00:00,0.00002430,2.21221857
1743350400000,2025-03-30 16:00:00,0.00005000,2.30891853
1743364800000,2025-03-30 20:00:00,0.00003182,2.35980000
1743379200000,2025-03-31 00:00:00,0.00005000,2.32020000
1743393600000,2025-03-31 04:00:00,0.00005000,2.35960000
1743408000000,2025-03-31 08:00:00,0.00002068,2.35550000
1743422400000,2025-03-31 12:00:00,0.00005000,2.38140000
1743436800000,2025-03-31 16:00:00,0.00005000,2.40750000
1743451200000,2025-03-31 20:00:00,0.00005000,2.36360000
1743465600000,2025-04-01 00:00:00,0.00005000,2.31685819
1743480000001,2025-04-01 04:00:00,0.00005000,2.35100000
1743494400001,2025-04-01 08:00:00,0.00005000,2.32400000
1743508800000,2025-04-01 12:00:00,0.00004864,2.26455309
1743523200000,2025-04-01 16:00:00,0.00005000,2.28470000
1743537600003,2025-04-01 20:00:00,0.00005000,2.26973812
1743552000001,2025-04-02 00:00:00,0.00005000,2.23849116
1743566400001,2025-04-02 04:00:00,0.00005000,2.17870000
1743580800000,2025-04-02 08:00:00,0.00005000,2.08371053
1743595200002,2025-04-02 12:00:00,0.00005000,2.12753253
1743609600000,2025-04-02 16:00:00,0.00005000,2.20547519
1743624000000,2025-04-02 20:00:00,0.00005000,2.20867866
1743638400000,2025-04-03 00:00:00,0.00005000,2.17900000
1743652800000,2025-04-03 04:00:00,0.00005000,2.13429371
1743667200000,2025-04-03 08:00:00,0.00005000,2.14902159
1743681600000,2025-04-03 12:00:00,0.00005000,2.08800000
1743696000000,2025-04-03 16:00:00,0.00005000,2.13631951
1743710400000,2025-04-03 20:00:00,0.00005000,2.14900000
1743724800000,2025-04-04 00:00:00,0.00005000,2.18454003
1743739200000,2025-04-04 04:00:00,0.00005000,2.14315109
1743753600000,2025-04-04 08:00:00,0.00005000,2.12322426
1743768000000,2025-04-04 12:00:00,0.00005000,2.09420000
1743782400000,2025-04-04 16:00:00,0.00005000,2.13070000
1743796800001,2025-04-04 20:00:00,0.00005000,2.15490000
1743811200000,2025-04-05 00:00:00,0.00005000,2.17100000
1743825600000,2025-04-05 04:00:00,0.00005000,2.15656337
1743840000000,2025-04-05 08:00:00,0.00005000,2.13218234
1743854400000,2025-04-05 12:00:00,0.00005000,2.13040425
1743868800000,2025-04-05 16:00:00,0.00005000,2.11500000
1743883200000,2025-04-05 20:00:00,0.00005000,2.11990000
1743897600000,2025-04-06 00:00:00,0.00005000,2.17421961
1743912000000,2025-04-06 04:00:00,0.00005000,2.13421740
1743926400000,2025-04-06 08:00:00,0.00005000,2.10290000
1743940800001,2025-04-06 12:00:00,0.00005000,2.10750000
1743955200002,2025-04-06 16:00:00,0.00004233,1.88954848
1743969600001,2025-04-06 20:00:00,0.00005000,1.93420429
1743984000000,2025-04-07 00:00:00,0.00005000,1.91592726
1743998400000,2025-04-07 04:00:00,0.00005000,1.88920000
1744012800000,2025-04-07 08:00:00,0.00005000,2.03398167
1744027200000,2025-04-07 12:00:00,0.00005000,2.00180000
1744041600000,2025-04-07 16:00:00,0.00005000,2.08232098
1744056000000,2025-04-07 20:00:00,0.00005000,2.01201217
1744070400000,2025-04-08 00:00:00,0.00005000,1.98448531
1744084800000,2025-04-08 04:00:00,0.00005000,2.01354874
1744099200000,2025-04-08 08:00:00,0.00005000,1.96419961
1744113600000,2025-04-08 12:00:00,0.00005000,1.99879525
1744128000000,2025-04-08 16:00:00,0.00005000,1.92070000
1744142400000,2025-04-08 20:00:00,0.00005000,1.92958573
1744156800000,2025-04-09 00:00:00,0.00005000,1.94905622
1744171200000,2025-04-09 04:00:00,0.00005000,1.96680000
1744185600001,2025-04-09 08:00:00,0.00005000,2.02170000
1744200000000,2025-04-09 12:00:00,0.00005000,2.01830000
