fundingTime,fundingTime_dt,fundingRate,markPrice
1760011200002,2025-10-09 12:00:00,0.00229427,97.67748424
1760025600000,2025-10-09 16:00:00,0.00242291,86.78000000
1760040000010,2025-10-09 20:00:00,0.00185109,88.36362837
1760054400005,2025-10-10 00:00:00,0.00192728,88.23187554
1760068800001,2025-10-10 04:00:00,0.00096884,82.76484236
1760083200002,2025-10-10 08:00:00,0.00105483,89.68259473
1760097600004,2025-10-10 12:00:00,0.00015323,94.46000000
1760112000014,2025-10-10 16:00:00,0.00137394,104.87000000
1760126400003,2025-10-10 20:00:00,0.00075442,122.70742432
1760140800000,2025-10-11 00:00:00,0.01141151,106.35440540
1760155200000,2025-10-11 04:00:00,0.00170657,127.85614547
1760169600003,2025-10-11 08:00:00,0.00165201,130.19176025
1760184000003,2025-10-11 12:00:00,0.00006334,121.83875484
1760198400000,2025-10-11 16:00:00,0.00131839,127.71935919
1760212800001,2025-10-11 20:00:00,0.00036142,116.60000000
1760227200004,2025-10-12 00:00:00,0.00223263,130.70342018
1760241600001,2025-10-12 04:00:00,0.00184096,143.47000000
1760256000002,2025-10-12 08:00:00,0.00101902,129.48880732
1760270400001,2025-10-12 12:00:00,0.00015056,135.17786590
1760284800000,2025-10-12 16:00:00,0.00235898,154.15095979
1760299200000,2025-10-12 20:00:00,0.00024777,150.30692399
1760313600003,2025-10-13 00:00:00,0.00031973,141.49379665
1760328000000,2025-10-13 04:00:00,0.00069620,143.66000000
1760342400002,2025-10-13 08:00:00,0.00005000,138.53619731
1760356800001,2025-10-13 12:00:00,0.00005000,131.33910646
1760371200003,2025-10-13 16:00:00,0.00044603,131.18000000
1760385600002,2025-10-13 20:00:00,0.00050601,134.49553456
1760400000000,2025-10-14 00:00:00,0.00005000,129.89811260
1760414400000,2025-10-14 04:00:00,0.00058101,126.39000000
1760428800000,2025-10-14 08:00:00,0.00038464,118.53306334
1760443200000,2025-10-14 12:00:00,0.00005280,115.28000000
1760457600000,2025-10-14 16:00:00,0.00128365,123.87000000
1760472000000,2025-10-14 20:00:00,0.00049663,128.33260916
1760486400006,2025-10-15 00:00:00,0.00016259,131.48000000
1760500800001,2025-10-15 04:00:00,0.00069720,128.06000000
1760515200002,2025-10-15 08:00:00,0.00074683,127.09000000
1760529600005,2025-10-15 12:00:00,0.00053274,125.39593245
1760544000000,2025-10-15 16:00:00,0.00008850,117.71000000
1760558400004,2025-10-15 20:00:00,0.00005000,111.47000000
1760572800000,2025-10-16 00:00:00,-0.00010221,103.90252188
1760587200000,2025-10-16 04:00:00,-0.00009939,112.96000000
1760601600003,2025-10-16 08:00:00,-0.00007222,117.54117297
1760616000000,2025-10-16 12:00:00,0.00018460,123.44000000
1760630400002,2025-10-16 16:00:00,-0.00030275,111.90000000
1760644800003,2025-10-16 20:00:00,0.00020517,111.55000000
1760659200001,2025-10-17 00:00:00,0.00143458,118.33000000
1760673600001,2025-10-17 04:00:00,0.00037956,122.15000000
1760688000005,2025-10-17 08:00:00,0.00037187,108.16000000
1760702400000,2025-10-17 12:00:00,0.00161052,119.44144576
1760716800003,2025-10-17 16:00:00,0.00148410,116.86230517
1760731200004,2025-10-17 20:00:00,0.00028693,115.87104678
1760745600000,2025-10-18 00:00:00,0.00056014,116.56000000
1760760000000,2025-10-18 04:00:00,0.00116114,118.08000000
1760774400002,2025-10-18 08:00:00,0.00077674,118.44496866
1760788800007,2025-10-18 12:00:00,0.00005000,111.73225972
1760803200001,2025-10-18 16:00:00,0.00021888,107.94161821
1760817600000,2025-10-18 20:00:00,0.00030271,114.14126316
1760832000001,2025-10-19 00:00:00,0.00056110,113.25670175
1760846400000,2025-10-19 04:00:00,0.00107678,112.97000000
1760860800001,2025-10-19 08:00:00,0.00077004,109.15000000
1760875200000,2025-10-19 12:00:00,0.00102983,111.31043734
1760889600001,2025-10-19 16:00:00,0.00148216,117.46709074
1760904000000,2025-10-19 20:00:00,0.00074406,116.87662011
1760918400004,2025-10-20 00:00:00,0.00063813,116.87758252
1760932800000,2025-10-20 04:00:00,0.00038363,117.92612136
1760947200001,2025-10-20 08:00:00,0.00086105,121.03251923
1760961600000,2025-10-20 12:00:00,-0.00027594,113.68291873
1760976000000,2025-10-20 16:00:00,0.00014654,129.38361008
1760990400000,2025-10-20 20:00:00,0.00078175,125.32037616
1761004800009,2025-10-21 00:00:00,0.00005000,126.08152690
1761019200003,2025-10-21 04:00:00,0.00058552,121.42786648
1761033600000,2025-10-21 08:00:00,0.00078374,129.36946665
1761048000000,2025-10-21 12:00:00,0.00005000,126.92759695
1761062400000,2025-10-21 16:00:00,0.00037838,129.80640382
1761076800001,2025-10-21 20:00:00,0.00008594,123.88056503
1761091200004,2025-10-22 00:00:00,0.00005000,117.49918062
1761105600000,2025-10-22 04:00:00,0.00035292,118.61638279
1761120000000,2025-10-22 08:00:00,0.00111348,122.93281425
1761134400000,2025-10-22 12:00:00,0.00113060,119.86500000
1761148800000,2025-10-22 16:00:00,0.00037763,115.62298345
1761163200004,2025-10-22 20:00:00,0.00061748,110.44595161
1761177600000,2025-10-23 00:00:00,0.00060558,111.23418224
1761192000000,2025-10-23 04:00:00,0.00062880,113.93798106
1761206400001,2025-10-23 08:00:00,0.00037649,114.00430012
1761220800000,2025-10-23 12:00:00,0.00020795,108.87459639
1761235200004,2025-10-23 16:00:00,0.00049973,104.90543407
1761249600000,2025-10-23 20:00:00,0.00054085,107.15822246
1761264000000,2025-10-24 00:00:00,0.00059395,110.85560132
1761278400002,2025-10-24 04:00:00,0.00005000,107.06000000
1761292800000,2025-10-24 08:00:00,0.00046604,103.92243910
1761307200002,2025-10-24 12:00:00,0.00035220,101.54749123
1761321600009,2025-10-24 16:00:00,0.00042755,90.47281524
1761336000000,2025-10-24 20:00:00,0.00016582,91.76000000
1761350400000,2025-10-25 00:00:00,0.00110355,89.65000000
1761364800000,2025-10-25 04:00:00,0.00098910,273.42000000
1761379200001,2025-10-25 08:00:00,0.00048465,221.66680217
1761393600000,2025-10-25 12:00:00,0.00009356,251.62088261
1761408000001,2025-10-25 16:00:00,0.00007304,228.28000000
1761422400002,2025-10-25 20:00:00,0.00005000,233.94000000
1761436800001,2025-10-26 00:00:00,0.00026843,234.01000000
1761451200000,2025-10-26 04:00:00,0.00035117,238.52000000
1761465600001,2025-10-26 08:00:00,0.00039877,231.51000000
1761480000002,2025-10-26 12:00:00,0.00005000,218.31107930
1761494400000,2025-10-26 16:00:00,0.00015281,213.89590749
1761508800000,2025-10-26 20:00:00,0.00005000,189.89000000
1761523200000,2025-10-27 00:00:00,0.00005000,186.50626872
1761537600000,2025-10-27 04:00:00,0.00005000,179.11940529
1761552000005,2025-10-27 08:00:00,0.00005000,188.73633847
1761566400003,2025-10-27 12:00:00,0.00005000,185.66791410
1761580800000,2025-10-27 16:00:00,0.00005000,183.90794926
1761595200001,2025-10-27 20:00:00,0.00005000,168.52000000
1761609600000,2025-10-28 00:00:00,0.00005000,170.08777093
1761624000004,2025-10-28 04:00:00,0.00005000,174.26529515
1761638400000,2025-10-28 08:00:00,0.00005000,177.82000000
1761652800000,2025-10-28 12:00:00,0.00005000,164.77467988
1761667200004,2025-10-28 16:00:00,0.00005000,162.65670925
1761681600004,2025-10-28 20:00:00,0.00005000,167.11000000
1761696000004,2025-10-29 00:00:00,0.00005000,168.07356828
1761710400005,2025-10-29 04:00:00,0.00005000,163.90525184
1761724800005,2025-10-29 08:00:00,0.00005000,148.87086957
1761739200011,2025-10-29 12:00:00,0.00005000,143.96268874
1761753600000,2025-10-29 16:00:00,0.00005000,133.62893478
1761768000008,2025-10-29 20:00:00,0.00005000,129.59702643
1761782400004,2025-10-30 00:00:00,0.00005000,130.10524229
1761796800001,2025-10-30 04:00:00,0.00005000,125.46217391
1761811200008,2025-10-30 08:00:00,0.00005000,116.58356828
1761825600006,2025-10-30 12:00:00,0.00005000,103.49280942
1761840000001,2025-10-30 16:00:00,0.00005000,104.86000000
1761854400000,2025-10-30 20:00:00,0.00005000,107.97269897
1761868800000,2025-10-31 00:00:00,0.00005000,104.66072834
1761883200000,2025-10-31 04:00:00,0.00005000,92.97178414
1761897600008,2025-10-31 08:00:00,0.00005000,97.15684348
1761912000008,2025-10-31 12:00:00,0.00005000,99.63000000
1761926400007,2025-10-31 16:00:00,0.00005000,93.16327262
1761940800001,2025-10-31 20:00:00,0.00005000,93.61000000
1761955200001,2025-11-01 00:00:00,0.00005000,95.09432792
1761969600000,2025-11-01 04:00:00,0.00005000,105.14530686
1761984000000,2025-11-01 08:00:00,0.00005000,94.72554272
1761998400000,2025-11-01 12:00:00,0.00005000,93.06000000
1762012800000,2025-11-01 16:00:00,0.00005000,88.78000000
1762027200003,2025-11-01 20:00:00,0.00005000,91.93328039
1762041600007,2025-11-02 00:00:00,0.00005000,93.47758965
1762056000002,2025-11-02 04:00:00,0.00005000,91.36000000
1762070400000,2025-11-02 08:00:00,0.00005000,91.61522984
1762084800001,2025-11-02 12:00:00,0.00005000,84.89902527
1762099200001,2025-11-02 16:00:00,0.00005000,83.65387726
1762113600001,2025-11-02 20:00:00,0.00005000,83.41678095
1762128000000,2025-11-03 00:00:00,0.00005000,84.53000000
1762142400003,2025-11-03 04:00:00,0.00005000,76.76000000
1762156800010,2025-11-03 08:00:00,0.00005000,74.19539290
1762171200002,2025-11-03 12:00:00,-0.00005544,59.08617381
1762185600000,2025-11-03 16:00:00,-0.00016697,69.29632143
1762200000008,2025-11-03 20:00:00,0.00005000,64.27218833
1762214400002,2025-11-04 00:00:00,0.00005000,59.74000000
1762228800000,2025-11-04 04:00:00,0.00005000,59.13716667
1762243200004,2025-11-04 08:00:00,-0.00008103,47.73234777
1762257600000,2025-11-04 12:00:00,-0.00108349,90.32006490
1762272000000,2025-11-04 16:00:00,0.00005000,82.35135439
1762286400001,2025-11-04 20:00:00,0.00005000,110.07780952
1762300800000,2025-11-05 00:00:00,0.00005000,106.45158454
1762315200005,2025-11-05 04:00:00,0.00005000,99.11955836
1762329600000,2025-11-05 08:00:00,0.00008786,128.80000000
1762344000000,2025-11-05 12:00:00,0.00006546,129.83838448
1762358400004,2025-11-05 16:00:00,0.00005000,175.68805054
1762372800001,2025-11-05 20:00:00,0.00039458,237.29440714
1762387200001,2025-11-06 00:00:00,0.00016491,260.16205298
1762401600009,2025-11-06 04:00:00,0.00021275,229.20021661
1762416000000,2025-11-06 08:00:00,0.00005000,223.26240417
1762430400001,2025-11-06 12:00:00,0.00005000,231.59000000
1762444800001,2025-11-06 16:00:00,0.00005000,190.34098155
1762459200006,2025-11-06 20:00:00,0.00005000,207.29000000
1762473600005,2025-11-07 00:00:00,0.00005000,210.50286282
1762488000000,2025-11-07 04:00:00,0.00005000,187.74000000
1762502400003,2025-11-07 08:00:00,0.00005000,179.83000000
1762516800005,2025-11-07 12:00:00,0.00005000,147.51119615
1762531200005,2025-11-07 16:00:00,0.00005000,163.82010714
1762545600000,2025-11-07 20:00:00,0.00005000,162.67933512
1762560000011,2025-11-08 00:00:00,0.00005000,158.40599579
1762574400001,2025-11-08 04:00:00,0.00005000,139.14000000
1762588800015,2025-11-08 08:00:00,0.00005000,129.94000000
1762603200000,2025-11-08 12:00:00,0.00005000,138.78000000
1762617600001,2025-11-08 16:00:00,0.00004595,122.76886402
1762632000006,2025-11-08 20:00:00,0.00005000,130.57000000
1762646400004,2025-11-09 00:00:00,0.00005000,127.31998304
1762660800000,2025-11-09 04:00:00,0.00001641,143.34000000
1762675200000,2025-11-09 08:00:00,-0.00001039,167.99852976
1762689600000,2025-11-09 12:00:00,-0.00139520,192.14000000
1762704000005,2025-11-09 16:00:00,-0.00022759,158.54797783
1762718400010,2025-11-09 20:00:00,-0.00055542,171.52000000
1762732800000,2025-11-10 00:00:00,0.00005000,165.71093920
1762747200005,2025-11-10 04:00:00,0.00003413,159.56303810
1762761600000,2025-11-10 08:00:00,-0.00057263,168.03000000
1762776000003,2025-11-10 12:00:00,0.00005000,165.82022202
1762790400003,2025-11-10 16:00:00,0.00002702,153.49432560
1762804800000,2025-11-10 20:00:00,0.00004717,154.89406758
1762819200007,2025-11-11 00:00:00,0.00005000,157.02084176
1762833600003,2025-11-11 04:00:00,0.00005000,162.96000000
1762848000000,2025-11-11 08:00:00,0.00005000,152.83092857
1762862400002,2025-11-11 12:00:00,0.00005000,155.36753791
1762876800009,2025-11-11 16:00:00,0.00005000,169.05949076
1762891200000,2025-11-11 20:00:00,0.00005000,157.19583929
1762905600000,2025-11-12 00:00:00,0.00005000,153.66406845
1762920000000,2025-11-12 04:00:00,0.00005000,156.34000000
1762934400002,2025-11-12 08:00:00,0.00005000,165.85748988
1762948800000,2025-11-12 12:00:00,0.00005000,164.32000000
1762963200000,2025-11-12 16:00:00,0.00005000,169.28785714
1762977600001,2025-11-12 20:00:00,0.00004590,173.28000000
1762992000002,2025-11-13 00:00:00,0.00005000,167.47911310
1763006400000,2025-11-13 04:00:00,0.00000160,165.64000000
1763020800000,2025-11-13 08:00:00,0.00005000,171.12311372
1763035200001,2025-11-13 12:00:00,0.00005000,167.93000000
1763049600001,2025-11-13 16:00:00,0.00000830,156.80444043
1763064000004,2025-11-13 20:00:00,0.00005000,149.43000000
1763078400000,2025-11-14 00:00:00,0.00005000,153.17000000
1763092800000,2025-11-14 04:00:00,0.00005000,148.00000000
1763107200000,2025-11-14 08:00:00,0.00005000,146.21814107
1763121600001,2025-11-14 12:00:00,0.00005000,141.57361673
1763136000001,2025-11-14 16:00:00,0.00001524,144.29447834
1763150400000,2025-11-14 20:00:00,0.00000351,145.84051564
1763164800005,2025-11-15 00:00:00,0.00005000,141.71000000
1763179200015,2025-11-15 04:00:00,0.00001919,143.11000000
1763193600000,2025-11-15 08:00:00,0.00004369,143.82000000
1763208000008,2025-11-15 12:00:00,0.00004443,147.99042118
1763222400001,2025-11-15 16:00:00,0.00000923,145.52000000
1763236800003,2025-11-15 20:00:00,0.00000757,144.43053309
1763251200001,2025-11-16 00:00:00,0.00005000,143.89176053
1763265600003,2025-11-16 04:00:00,0.00005000,144.28000000
1763280000000,2025-11-16 08:00:00,0.00001838,143.28000000
1763294400003,2025-11-16 12:00:00,0.00005000,138.23000000
1763308800000,2025-11-16 16:00:00,0.00003612,135.08000000
1763323200000,2025-11-16 20:00:00,0.00005000,128.62000000
1763337600003,2025-11-17 00:00:00,0.00005000,131.19190313
1763352000001,2025-11-17 04:00:00,0.00002953,132.17000000
1763366400003,2025-11-17 08:00:00,0.00005000,131.55000000
1763380800000,2025-11-17 12:00:00,0.00005000,134.21154753
1763395200000,2025-11-17 16:00:00,0.00005000,133.15166065
1763409600003,2025-11-17 20:00:00,0.00005000,134.39540132
1763424000002,2025-11-18 00:00:00,0.00005000,131.12827557
1763438400000,2025-11-18 04:00:00,0.00005000,137.09106498
1763452800004,2025-11-18 08:00:00,0.00005000,140.15250963
1763467200000,2025-11-18 12:00:00,0.00005000,134.21000000
1763481600000,2025-11-18 16:00:00,0.00004635,135.49000000
1763496000002,2025-11-18 20:00:00,0.00005000,135.88689049
1763510400000,2025-11-19 00:00:00,0.00005000,139.98000000
1763524800000,2025-11-19 04:00:00,0.00005000,136.85000000
1763539200000,2025-11-19 08:00:00,0.00005000,135.87000000
1763553600000,2025-11-19 12:00:00,0.00005000,138.87132130
1763568000008,2025-11-19 16:00:00,0.00005000,132.78000000
1763582400000,2025-11-19 20:00:00,0.00001210,122.21098676
1763596800000,2025-11-20 00:00:00,0.00000644,130.58000000
1763611200006,2025-11-20 04:00:00,0.00005000,129.04000000
1763625600000,2025-11-20 08:00:00,0.00005000,129.05491637
1763640000003,2025-11-20 12:00:00,0.00005000,125.64900903
1763654400000,2025-11-20 16:00:00,0.00002097,120.39000000
1763668800002,2025-11-20 20:00:00,0.00005000,111.29000000
1763683200001,2025-11-21 00:00:00,0.00000522,113.06000000
1763697600000,2025-11-21 04:00:00,0.00002335,114.50009085
1763712000000,2025-11-21 08:00:00,0.00005000,109.73266185
1763726400001,2025-11-21 12:00:00,0.00005000,103.81000000
1763740800001,2025-11-21 16:00:00,0.00005000,104.81124789
1763755200000,2025-11-21 20:00:00,0.00005000,107.41203369
1763769600004,2025-11-22 00:00:00,0.00005000,106.50000000
1763784000000,2025-11-22 04:00:00,0.00005000,99.35185620
1763798400000,2025-11-22 08:00:00,0.00005000,100.35444043
1763812800000,2025-11-22 12:00:00,0.00005000,102.05000000
1763827200000,2025-11-22 16:00:00,0.00005000,98.80000000
1763841600001,2025-11-22 20:00:00,0.00005000,101.57000000
1763856000000,2025-11-23 00:00:00,0.00005000,102.82544886
1763870400000,2025-11-23 04:00:00,0.00005000,112.00683755
1763884800008,2025-11-23 08:00:00,0.00005000,110.25689410
1763899200000,2025-11-23 12:00:00,0.00005000,107.78724128
1763913600003,2025-11-23 16:00:00,0.00002567,106.67646607
1763928000003,2025-11-23 20:00:00,0.00005000,107.98000000
1763942400004,2025-11-24 00:00:00,0.00005000,106.07741276
1763956800000,2025-11-24 04:00:00,0.00005000,107.09465824
1763971200000,2025-11-24 08:00:00,0.00001848,102.85000000
1763985600000,2025-11-24 12:00:00,0.00005000,104.42000000
1764000000006,2025-11-24 16:00:00,0.00005000,105.64343381
1764014400003,2025-11-24 20:00:00,0.00005000,111.15000000
1764028800000,2025-11-25 00:00:00,0.00005000,110.86438628
1764043200000,2025-11-25 04:00:00,0.00005000,109.56663988
1764057600009,2025-11-25 08:00:00,0.00001907,113.31966606
1764072000002,2025-11-25 12:00:00,0.00005000,111.07410469
1764086400007,2025-11-25 16:00:00,0.00001226,109.42067285
1764100800009,2025-11-25 20:00:00,0.00000669,107.44590614
1764115200001,2025-11-26 00:00:00,0.00005000,111.57000000
1764129600006,2025-11-26 04:00:00,0.00004638,113.11228761
1764144000001,2025-11-26 08:00:00,0.00005000,110.96000000
1764158400001,2025-11-26 12:00:00,0.00004499,108.07000000
1764172800000,2025-11-26 16:00:00,0.00003962,113.35000000
1764187200001,2025-11-26 20:00:00,0.00005000,119.02117750
1764201600013,2025-11-27 00:00:00,0.00005000,121.42000000
1764216000007,2025-11-27 04:00:00,0.00005000,118.33001384
1764230400000,2025-11-27 08:00:00,0.00005000,117.72462094
1764244800002,2025-11-27 12:00:00,0.00005000,115.82000000
1764259200004,2025-11-27 16:00:00,0.00005000,117.11000000
1764273600004,2025-11-27 20:00:00,0.00005000,120.92732852
1764288000008,2025-11-28 00:00:00,0.00005000,118.00000000
1764302400000,2025-11-28 04:00:00,0.00004400,117.95549699
1764316800000,2025-11-28 08:00:00,0.00003661,116.54000000
