fundingTime,fundingTime_dt,fundingRate,markPrice
1780070400008,2026-05-29 16:00:00,0.00005000,0.01616600
1780084800000,2026-05-29 20:00:00,0.00005000,0.01607571
1780099200000,2026-05-30 00:00:00,0.00005000,0.01601000
1780113600004,2026-05-30 04:00:00,0.00005000,0.01620948
1780128000001,2026-05-30 08:00:00,0.00005000,0.01623817
1780142400000,2026-05-30 12:00:00,0.00005000,0.01621150
1780156800000,2026-05-30 16:00:00,0.00005000,0.01593288
1780171200000,2026-05-30 20:00:00,0.00005000,0.01615833
1780185600000,2026-05-31 00:00:00,0.00005000,0.01598000
1780200000006,2026-05-31 04:00:00,0.00012332,0.01610657
1780214400000,2026-05-31 08:00:00,0.00005000,0.01606000
1780228800005,2026-05-31 12:00:00,0.00005000,0.01618000
1780243200004,2026-05-31 16:00:00,0.00005000,0.01594000
1780257600010,2026-05-31 20:00:00,0.00005000,0.01588293
1780272000001,2026-06-01 00:00:00,0.00005000,0.01627121
1780286400006,2026-06-01 04:00:00,0.00005000,0.01660000
1780300800001,2026-06-01 08:00:00,0.00011226,0.01614000
1780315200000,2026-06-01 12:00:00,0.00014051,0.01626774
1780329600000,2026-06-01 16:00:00,0.00005391,0.01622683
1780344000000,2026-06-01 20:00:00,0.00005000,0.01646733
1780358400000,2026-06-02 00:00:00,0.00005000,0.01661000
1780372800008,2026-06-02 04:00:00,0.00005083,0.01646000
1780387200000,2026-06-02 08:00:00,0.00012082,0.01613798
1780401600002,2026-06-02 12:00:00,0.00005000,0.01775574
1780416000000,2026-06-02 16:00:00,0.00005000,0.01538000
1780430400000,2026-06-02 20:00:00,0.00005000,0.01522000
1780444800013,2026-06-03 00:00:00,0.00005000,0.01501450
1780459200000,2026-06-03 04:00:00,0.00005000,0.01696000
1780473600000,2026-06-03 08:00:00,-0.00004210,0.01611305
1780488000000,2026-06-03 12:00:00,-0.00005277,0.01629000
1780502400001,2026-06-03 16:00:00,0.00003027,0.01576143
1780516800002,2026-06-03 20:00:00,-0.00009368,0.01564688
1780531200009,2026-06-04 00:00:00,-0.00001266,0.01540000
1780545600000,2026-06-04 04:00:00,0.00005000,0.01499300
1780560000000,2026-06-04 08:00:00,-0.00008693,0.01464000
1780574400002,2026-06-04 12:00:00,0.00005000,0.01428900
1780588800003,2026-06-04 16:00:00,0.00005000,0.01476433
1780603200001,2026-06-04 20:00:00,0.00005000,0.01459614
1780617600000,2026-06-05 00:00:00,0.00005000,0.01434000
1780632000001,2026-06-05 04:00:00,0.00005000,0.01373000
1780646400004,2026-06-05 08:00:00,-0.00011017,0.01372229
1780660800000,2026-06-05 12:00:00,0.00005000,0.01349000
1780675200009,2026-06-05 16:00:00,0.00002227,0.01316000
1780689600000,2026-06-05 20:00:00,0.00000744,0.01295188
1780704000000,2026-06-06 00:00:00,-0.00025499,0.01311429
1780718400000,2026-06-06 04:00:00,0.00005000,0.01292367
1780732800000,2026-06-06 08:00:00,0.00005000,0.01284000
1780747200002,2026-06-06 12:00:00,0.00004369,0.01291000
1780761600000,2026-06-06 16:00:00,0.00001984,0.01300176
1780776000003,2026-06-06 20:00:00,0.00005000,0.01275260
1780790400001,2026-06-07 00:00:00,0.00005000,0.01280000
1780804800000,2026-06-07 04:00:00,0.00005000,0.01322607
1780819200000,2026-06-07 08:00:00,0.00005000,0.01335000
1780833600000,2026-06-07 12:00:00,0.00005000,0.01333607
1780848000000,2026-06-07 16:00:00,0.00005000,0.01333000
1780862400000,2026-06-07 20:00:00,0.00005000,0.01298116
1780876800000,2026-06-08 00:00:00,0.00005000,0.01345000
1780891200009,2026-06-08 04:00:00,0.00005000,0.01354000
1780905600005,2026-06-08 08:00:00,0.00005000,0.01343000
1780920000001,2026-06-08 12:00:00,0.00005000,0.01367000
1780934400004,2026-06-08 16:00:00,0.00005000,0.01358000
1780948800000,2026-06-08 20:00:00,0.00005000,0.01365000
1780963200000,2026-06-09 00:00:00,-0.00004086,0.01359000
1780977600003,2026-06-09 04:00:00,-0.00007340,0.01328000
1780992000000,2026-06-09 08:00:00,0.00005000,0.01345352
1781006400000,2026-06-09 12:00:00,0.00005000,0.01320436
1781020800001,2026-06-09 16:00:00,0.00005000,0.01276000
1781035200000,2026-06-09 20:00:00,0.00005000,0.01286000
1781049600001,2026-06-10 00:00:00,0.00005000,0.01275000
1781064000002,2026-06-10 04:00:00,0.00005000,0.01275000
1781078400011,2026-06-10 08:00:00,0.00005000,0.01281983
1781092800002,2026-06-10 12:00:00,0.00005000,0.01264000
1781107200009,2026-06-10 16:00:00,0.00005000,0.01312000
1781121600003,2026-06-10 20:00:00,0.00002327,0.01280207
1781136000000,2026-06-11 00:00:00,0.00005000,0.01264286
1781150400000,2026-06-11 04:00:00,0.00005000,0.01302333
1781164800004,2026-06-11 08:00:00,0.00005000,0.01297700
1781179200005,2026-06-11 12:00:00,0.00005000,0.01319252
1781193600000,2026-06-11 16:00:00,0.00005000,0.01309000
1781208000014,2026-06-11 20:00:00,0.00005000,0.01326000
1781222400000,2026-06-12 00:00:00,0.00005000,0.01322726
1781236800000,2026-06-12 04:00:00,0.00005000,0.01327214
1781251200000,2026-06-12 08:00:00,0.00005000,0.01310000
1781265600000,2026-06-12 12:00:00,0.00005000,0.01331714
1781280000000,2026-06-12 16:00:00,0.00005000,0.01325000
1781294400000,2026-06-12 20:00:00,0.00005000,0.01324383
1781308800000,2026-06-13 00:00:00,0.00005000,0.01329000
1781323200000,2026-06-13 04:00:00,0.00005000,0.01320500
1781337600007,2026-06-13 08:00:00,0.00005000,0.01337000
1781352000004,2026-06-13 12:00:00,0.00023295,0.01347000
1781366400002,2026-06-13 16:00:00,0.00005719,0.01350000
1781380800004,2026-06-13 20:00:00,0.00005000,0.01360350
1781395200005,2026-06-14 00:00:00,0.00005000,0.01366371
1781409600012,2026-06-14 04:00:00,0.00005000,0.01371000
1781424000009,2026-06-14 08:00:00,0.00005000,0.01357000
1781438400000,2026-06-14 12:00:00,0.00005000,0.01359000
1781452800000,2026-06-14 16:00:00,0.00005000,0.01332464
1781467200010,2026-06-14 20:00:00,0.00005000,0.01340000
1781481600013,2026-06-15 00:00:00,0.00005000,0.01399000
1781496000001,2026-06-15 04:00:00,0.00005000,0.01422000
