open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1729771200000,2024-10-24 12:00:00,0.7678000,0.8222000,0.7136000,0.7481000,79657682,1729785599999,2024-10-24 15:59:59,61352381.7312000,234835,38112819,29385988.9603000
1729785600000,2024-10-24 16:00:00,0.7489000,0.8137000,0.6985000,0.7316000,58300138,1729799999999,2024-10-24 19:59:59,43950637.9872000,262638,29196450,22039269.1776000
1729800000000,2024-10-24 20:00:00,0.7319000,0.7416000,0.6350000,0.6633000,73281681,1729814399999,2024-10-24 23:59:59,49860364.2308000,265241,35381015,24085832.7926000
1729814400000,2024-10-25 00:00:00,0.6631000,0.7689000,0.6340000,0.7476000,85147090,1729828799999,2024-10-25 03:59:59,60702019.9278000,298114,42928060,30652302.3837000
1729828800000,2024-10-25 04:00:00,0.7474000,0.7476000,0.6450000,0.6555000,78592097,1729843199999,2024-10-25 07:59:59,54191457.0344000,242805,36418177,25183294.1935000
1729843200000,2024-10-25 08:00:00,0.6558000,0.6847000,0.6201000,0.6841000,126416511,1729857599999,2024-10-25 11:59:59,81980072.2297000,374758,60355054,39194756.3608000
1729857600000,2024-10-25 12:00:00,0.6842000,0.7062000,0.6135000,0.6257000,114399739,1729871999999,2024-10-25 15:59:59,76196046.4683000,320117,54570565,36414197.4674000
1729872000000,2024-10-25 16:00:00,0.6257000,0.7088000,0.6150000,0.6438000,136258604,1729886399999,2024-10-25 19:59:59,90832074.1833000,383017,67322605,44880269.3039000
1729886400000,2024-10-25 20:00:00,0.6439000,0.7345000,0.6299000,0.7062000,116832357,1729900799999,2024-10-25 23:59:59,80201113.1276000,308054,57566220,39534560.3967000
1729900800000,2024-10-26 00:00:00,0.7062000,0.7464000,0.6751000,0.7089000,98100804,1729915199999,2024-10-26 03:59:59,69472086.6770000,267097,48960177,34688335.4939000
1729915200000,2024-10-26 04:00:00,0.7096000,0.8565000,0.6808000,0.8225000,173781345,1729929599999,2024-10-26 07:59:59,137508552.0539000,470865,90067304,71301971.5483000
1729929600000,2024-10-26 08:00:00,0.8225000,0.8845000,0.7767000,0.8007000,260187264,1729943999999,2024-10-26 11:59:59,217988407.2640000,690747,130200878,109242130.2197000
1729944000000,2024-10-26 12:00:00,0.8009000,0.8259000,0.7658000,0.7885000,147925577,1729958399999,2024-10-26 15:59:59,117833134.2323000,420908,73704878,58756080.7038000
1729958400000,2024-10-26 16:00:00,0.7887000,0.8122000,0.7535000,0.7636000,107529221,1729972799999,2024-10-26 19:59:59,84136967.4758000,300910,53114663,41578883.8190000
1729972800000,2024-10-26 20:00:00,0.7637000,0.7972000,0.7070000,0.7181000,90150810,1729987199999,2024-10-26 23:59:59,67358736.9025000,245113,42786965,32059182.9041000
1729987200000,2024-10-27 00:00:00,0.7181000,0.7185000,0.6545000,0.6694000,88659125,1730001599999,2024-10-27 03:59:59,60226329.8206000,218247,41567250,28225156.2227000
1730001600000,2024-10-27 04:00:00,0.6692000,0.6880000,0.6405000,0.6849000,100132725,1730015999999,2024-10-27 07:59:59,66084438.5775000,230710,48037412,31744961.4936000
1730016000000,2024-10-27 08:00:00,0.6848000,0.7221000,0.6700000,0.6910000,135863241,1730030399999,2024-10-27 11:59:59,94327528.6560000,328155,65672881,45630887.6078000
1730030400000,2024-10-27 12:00:00,0.6910000,0.7042000,0.6300000,0.6353000,112235684,1730044799999,2024-10-27 15:59:59,74357874.4359000,254956,52083347,34520463.6124000
1730044800000,2024-10-27 16:00:00,0.6352000,0.6567000,0.6045000,0.6200000,89054908,1730059199999,2024-10-27 19:59:59,56347494.0293000,204660,42131855,26679294.6238000
1730059200000,2024-10-27 20:00:00,0.6199000,0.6211000,0.5680000,0.5969000,133550568,1730073599999,2024-10-27 23:59:59,79185436.5641000,276547,62578519,37109767.3557000
1730073600000,2024-10-28 00:00:00,0.5970000,0.6099000,0.5555000,0.5641000,112481283,1730087999999,2024-10-28 03:59:59,65203005.6674000,260896,52901405,30703303.6779000
1730088000000,2024-10-28 04:00:00,0.5640000,0.6386000,0.5586000,0.6329000,138239217,1730102399999,2024-10-28 07:59:59,81438046.2247000,299029,69420905,40975439.9054000
1730102400000,2024-10-28 08:00:00,0.6329000,0.6976000,0.6237000,0.6842000,179839703,1730116799999,2024-10-28 11:59:59,118977399.7732000,410770,87078212,57657581.3351000
1730116800000,2024-10-28 12:00:00,0.6841000,0.7068000,0.6262000,0.6470000,181811068,1730131199999,2024-10-28 15:59:59,119237730.1495000,384607,88457757,57987453.8821000
1730131200000,2024-10-28 16:00:00,0.6467000,0.6470000,0.5887000,0.5948000,105004307,1730145599999,2024-10-28 19:59:59,64830524.2652000,225088,49483217,30565921.9542000
1730145600000,2024-10-28 20:00:00,0.5874000,0.6275000,0.5769000,0.6122000,55018608,1730159999999,2024-10-28 23:59:59,33499816.6252000,121917,26550716,16153231.5420000
1730160000000,2024-10-29 00:00:00,0.6119000,0.6499000,0.6041000,0.6303000,113657213,1730174399999,2024-10-29 03:59:59,71157404.9933000,285401,55209577,34589084.9625000
1730174400000,2024-10-29 04:00:00,0.6303000,0.6950000,0.6288000,0.6528000,143955353,1730188799999,2024-10-29 07:59:59,95668631.9525000,342523,67993191,45218672.5628000
1730188800000,2024-10-29 08:00:00,0.6528000,0.6939000,0.6320000,0.6641000,113205972,1730203199999,2024-10-29 11:59:59,75073965.4977000,272719,54869776,36392532.5687000
1730203200000,2024-10-29 12:00:00,0.6644000,0.7359000,0.6571000,0.7319000,175729876,1730217599999,2024-10-29 15:59:59,121402897.2270000,433643,90743421,62742168.2545000
1730217600000,2024-10-29 16:00:00,0.7322000,0.7369000,0.6779000,0.6809000,91685542,1730231999999,2024-10-29 19:59:59,64707558.5523000,259631,44760863,31605208.2986000
1730232000000,2024-10-29 20:00:00,0.6811000,0.6825000,0.6512000,0.6635000,62697270,1730246399999,2024-10-29 23:59:59,41603447.6302000,174727,30820113,20452534.4808000
1730246400000,2024-10-30 00:00:00,0.6636000,0.7120000,0.6594000,0.6757000,82553685,1730260799999,2024-10-30 03:59:59,56394210.8540000,259458,39127026,26732486.6734000
1730260800000,2024-10-30 04:00:00,0.6758000,0.6884000,0.6174000,0.6213000,94560768,1730275199999,2024-10-30 07:59:59,61638375.0117000,227031,42276497,27591406.2281000
1730275200000,2024-10-30 08:00:00,0.6213000,0.6286000,0.5814000,0.5836000,123589742,1730289599999,2024-10-30 11:59:59,75087080.7740000,263629,57104975,34743905.4381000
1730289600000,2024-10-30 12:00:00,0.5837000,0.6174000,0.5741000,0.5932000,176391414,1730303999999,2024-10-30 15:59:59,104673535.6644000,377454,85380648,50678510.2760000
1730304000000,2024-10-30 16:00:00,0.5931000,0.6067000,0.5757000,0.5784000,76620137,1730318399999,2024-10-30 19:59:59,45590640.9036000,188037,37000611,22036422.5244000
