open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1608350400000,2020-12-19 04:00:00,0.28916,0.33627,0.28916,0.33198,22606609,1608364799999,2020-12-19 07:59:59,7193101.34710,17688,11487470,3668167.10176
1608364800000,2020-12-19 08:00:00,0.33245,0.42400,0.32037,0.39701,229489079,1608379199999,2020-12-19 11:59:59,87740031.39223,253361,117247871,44908355.24679
1608379200000,2020-12-19 12:00:00,0.39703,0.48780,0.38670,0.43900,466101053,1608393599999,2020-12-19 15:59:59,204186741.51333,697986,233354713,102492502.18606
1608393600000,2020-12-19 16:00:00,0.43895,0.44531,0.37714,0.42972,206070575,1608407999999,2020-12-19 19:59:59,85598419.31043,287504,98409691,40941597.88758
1608408000000,2020-12-19 20:00:00,0.42972,0.47660,0.42869,0.46654,97475959,1608422399999,2020-12-19 23:59:59,44350807.10343,184293,48973975,22291967.71545
1608422400000,2020-12-20 00:00:00,0.46610,0.51650,0.44123,0.51093,95216245,1608436799999,2020-12-20 03:59:59,46104738.15430,203587,47785321,23179345.54669
1608436800000,2020-12-20 04:00:00,0.51092,0.63888,0.50494,0.62749,172980011,1608451199999,2020-12-20 07:59:59,99246835.08462,314361,88773206,51009178.56095
1608451200000,2020-12-20 08:00:00,0.62733,0.71600,0.59800,0.67397,325410046,1608465599999,2020-12-20 11:59:59,211757610.97926,523077,159927298,104308231.88658
1608465600000,2020-12-20 12:00:00,0.67410,0.67990,0.56230,0.64170,223791863,1608479999999,2020-12-20 15:59:59,137534496.93410,417532,110740879,68125282.85518
1608480000000,2020-12-20 16:00:00,0.64169,0.77385,0.62500,0.71737,204627255,1608494399999,2020-12-20 19:59:59,144193636.49718,413701,104031932,73309934.02705
1608494400000,2020-12-20 20:00:00,0.71744,0.79146,0.65500,0.73419,207605377,1608508799999,2020-12-20 23:59:59,150453852.91949,447694,101496250,73694134.38545
1608508800000,2020-12-21 00:00:00,0.73309,0.77067,0.69021,0.70620,94461567,1608523199999,2020-12-21 03:59:59,68819307.83388,237449,46038313,33578823.36823
