fundingTime,fundingTime_dt,fundingRate,markPrice
1783562400000,2026-07-09 02:00:00,-0.00215091,0.08464230
1783566000000,2026-07-09 03:00:00,-0.00312437,0.08420000
1783569600002,2026-07-09 04:00:00,-0.00232199,0.08397354
1783573200000,2026-07-09 05:00:00,-0.00211703,0.08443226
1783576800000,2026-07-09 06:00:00,-0.00223249,0.08500000
1783580400009,2026-07-09 07:00:00,-0.00191641,0.08524957
1783584000001,2026-07-09 08:00:00,-0.00201604,0.08410000
1783587600000,2026-07-09 09:00:00,-0.00228496,0.08437491
1783591200000,2026-07-09 10:00:00,-0.00249205,0.08830000
1783594800000,2026-07-09 11:00:00,-0.00432595,0.08864243
1783598400002,2026-07-09 12:00:00,-0.00335452,0.08814964
1783602000000,2026-07-09 13:00:00,-0.00254436,0.08632540
1783605600003,2026-07-09 14:00:00,-0.00255720,0.08540000
1783609200000,2026-07-09 15:00:00,-0.00304223,0.08360000
1783612800001,2026-07-09 16:00:00,-0.00416726,0.08438049
1783616400000,2026-07-09 17:00:00,-0.00337685,0.08374490
1783620000004,2026-07-09 18:00:00,-0.00275962,0.08294467
1783623600006,2026-07-09 19:00:00,-0.00241500,0.08190000
1783627200000,2026-07-09 20:00:00,-0.00268925,0.08185860
1783630800000,2026-07-09 21:00:00,-0.00236285,0.08162989
1783634400001,2026-07-09 22:00:00,-0.00247273,0.07936006
1783638000000,2026-07-09 23:00:00,-0.00331030,0.08042562
1783641600000,2026-07-10 00:00:00,-0.00403352,0.07870000
1783645200000,2026-07-10 01:00:00,-0.00379960,0.07730000
1783648800005,2026-07-10 02:00:00,-0.00262831,0.07730000
1783652400001,2026-07-10 03:00:00,-0.00230925,0.07750000
1783656000000,2026-07-10 04:00:00,-0.00189283,0.07810000
1783659600003,2026-07-10 05:00:00,-0.00210330,0.07770000
1783663200000,2026-07-10 06:00:00,-0.00212567,0.07690000
1783666800000,2026-07-10 07:00:00,-0.00267197,0.07650000
1783670400005,2026-07-10 08:00:00,-0.00272939,0.07550000
1783674000001,2026-07-10 09:00:00,-0.00255622,0.07550000
1783677600001,2026-07-10 10:00:00,-0.00233972,0.07513986
1783681200006,2026-07-10 11:00:00,-0.00200262,0.07344107
1783684800002,2026-07-10 12:00:00,-0.00168941,0.07060000
1783688400005,2026-07-10 13:00:00,-0.00161963,0.07133508
1783692000004,2026-07-10 14:00:00,-0.00128777,0.07160000
1783695600000,2026-07-10 15:00:00,-0.00150147,0.07200000
1783699200005,2026-07-10 16:00:00,-0.00164750,0.07182832
1783702800001,2026-07-10 17:00:00,-0.00111808,0.07362881
1783706400000,2026-07-10 18:00:00,-0.00133939,0.07080000
1783710000000,2026-07-10 19:00:00,-0.00143332,0.06740000
1783713600000,2026-07-10 20:00:00,-0.00156706,0.06376188
1783717200001,2026-07-10 21:00:00,-0.00165922,0.06280000
1783720800000,2026-07-10 22:00:00,-0.00134645,0.06300000
1783724400000,2026-07-10 23:00:00,-0.00092185,0.06326542
1783728000000,2026-07-11 00:00:00,-0.00114424,0.06280000
1783731600003,2026-07-11 01:00:00,-0.00115292,0.06340000
1783735200000,2026-07-11 02:00:00,-0.00103362,0.06260000
1783738800000,2026-07-11 03:00:00,-0.00128810,0.06220000
1783742400000,2026-07-11 04:00:00,-0.00104373,0.06200000
1783746000001,2026-07-11 05:00:00,-0.00172783,0.05960000
1783749600001,2026-07-11 06:00:00,-0.00161242,0.05820000
1783753200000,2026-07-11 07:00:00,-0.00146144,0.05663665
1783756800000,2026-07-11 08:00:00,-0.00116157,0.06213976
1783760400000,2026-07-11 09:00:00,-0.00138623,0.05920000
1783764000001,2026-07-11 10:00:00,-0.00084183,0.05920000
1783767600000,2026-07-11 11:00:00,-0.00087719,0.05770000
1783771200008,2026-07-11 12:00:00,-0.00089304,0.05794928
1783774800000,2026-07-11 13:00:00,-0.00057783,0.05784230
1783778400002,2026-07-11 14:00:00,-0.00043445,0.05870000
1783782000004,2026-07-11 15:00:00,-0.00051679,0.05890000
1783785600000,2026-07-11 16:00:00,-0.00152570,0.06125080
1783789200001,2026-07-11 17:00:00,-0.00099354,0.06021005
1783792800000,2026-07-11 18:00:00,-0.00080213,0.05890000
1783796400008,2026-07-11 19:00:00,-0.00114208,0.05810599
1783800000000,2026-07-11 20:00:00,-0.00125058,0.05924167
1783803600000,2026-07-11 21:00:00,-0.00153042,0.05900000
1783807200004,2026-07-11 22:00:00,-0.00185752,0.06080018
1783810800000,2026-07-11 23:00:00,-0.00317664,0.06140000
1783814400000,2026-07-12 00:00:00,-0.00397798,0.06670000
1783818000000,2026-07-12 01:00:00,-0.00905491,0.06420000
1783821600000,2026-07-12 02:00:00,-0.00589093,0.06360000
1783825200003,2026-07-12 03:00:00,-0.00467300,0.06190000
1783828800000,2026-07-12 04:00:00,-0.00477964,0.06090000
1783832400000,2026-07-12 05:00:00,-0.00398778,0.06170000
1783836000001,2026-07-12 06:00:00,-0.00403367,0.06100000
1783839600000,2026-07-12 07:00:00,-0.00454116,0.05920000
1783843200003,2026-07-12 08:00:00,-0.00394782,0.05880000
1783846800001,2026-07-12 09:00:00,-0.00339730,0.05760000
1783850400004,2026-07-12 10:00:00,-0.00269220,0.05670000
1783854000004,2026-07-12 11:00:00,-0.00208590,0.05610000
1783857600000,2026-07-12 12:00:00,-0.00202865,0.05584813
1783861200000,2026-07-12 13:00:00,-0.00196903,0.05660940
1783864800000,2026-07-12 14:00:00,-0.00302387,0.05730000
1783868400002,2026-07-12 15:00:00,-0.00258203,0.05720000
1783872000000,2026-07-12 16:00:00,-0.00273077,0.05393232
1783875600002,2026-07-12 17:00:00,-0.00275107,0.05380000
1783879200000,2026-07-12 18:00:00,-0.00315568,0.05560000
1783882800002,2026-07-12 19:00:00,-0.00254073,0.05510000
1783886400002,2026-07-12 20:00:00,-0.00254412,0.05550000
1783890000002,2026-07-12 21:00:00,-0.00230424,0.05570000
1783893600002,2026-07-12 22:00:00,-0.00255173,0.05520000
1783897200000,2026-07-12 23:00:00,-0.00249116,0.05500000
1783900800000,2026-07-13 00:00:00,-0.00231051,0.05510000
1783904400001,2026-07-13 01:00:00,-0.00225003,0.05828264
1783908000000,2026-07-13 02:00:00,-0.00179354,0.05482026
