open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1758873600000,2025-09-26 08:00:00,0.2090000,0.2379900,0.0724300,0.0745100,679006749,1758887999999,2025-09-26 11:59:59,74031003.7601500,446455,337394207,36884510.8543100
1758888000000,2025-09-26 12:00:00,0.0746200,0.0875500,0.0500100,0.0564300,2093635522,1758902399999,2025-09-26 15:59:59,132017907.7093200,1260758,1005570981,63639441.9560700
1758902400000,2025-09-26 16:00:00,0.0563700,0.0608200,0.0531000,0.0561800,757020494,1758916799999,2025-09-26 19:59:59,42501646.8463300,517235,359540653,20200079.8365100
1758916800000,2025-09-26 20:00:00,0.0561800,0.0628900,0.0540000,0.0621000,530125385,1758931199999,2025-09-26 23:59:59,30703199.0623500,357914,260382643,15079048.2652900
1758931200000,2025-09-27 00:00:00,0.0621600,0.0669800,0.0563300,0.0627000,725699477,1758945599999,2025-09-27 03:59:59,44988833.6731700,501942,346814348,21522196.4141400
1758945600000,2025-09-27 04:00:00,0.0626900,0.0647600,0.0558800,0.0613000,530253219,1758959999999,2025-09-27 07:59:59,31691640.1094300,341021,249919302,14946153.7719800
1758960000000,2025-09-27 08:00:00,0.0612900,0.0622700,0.0560700,0.0586400,488325628,1758974399999,2025-09-27 11:59:59,28643089.8209300,327439,231776911,13604797.9671200
1758974400000,2025-09-27 12:00:00,0.0586300,0.0629600,0.0570000,0.0606200,432767273,1758988799999,2025-09-27 15:59:59,25889569.9519800,283637,205425819,12302180.8926800
1758988800000,2025-09-27 16:00:00,0.0606000,0.0779000,0.0605600,0.0708600,1272803136,1759003199999,2025-09-27 19:59:59,87849145.5439200,858847,615918195,42528420.8670500
1759003200000,2025-09-27 20:00:00,0.0708900,0.0810900,0.0650900,0.0675000,645068162,1759017599999,2025-09-27 23:59:59,46536252.6498700,499975,307151987,22208311.9726900
1759017600000,2025-09-28 00:00:00,0.0674800,0.0778600,0.0582000,0.0589600,609799119,1759031999999,2025-09-28 03:59:59,41450512.0786500,454174,276651011,18870083.4558200
1759032000000,2025-09-28 04:00:00,0.0589600,0.0630900,0.0585000,0.0618700,282377684,1759046399999,2025-09-28 07:59:59,17224376.8210800,201148,136554715,8335147.8198400
1759046400000,2025-09-28 08:00:00,0.0618500,0.0658100,0.0589200,0.0609400,330217485,1759060799999,2025-09-28 11:59:59,20573234.9117600,232328,152059974,9485726.6586900
1759060800000,2025-09-28 12:00:00,0.0609600,0.0654100,0.0595400,0.0611000,287548444,1759075199999,2025-09-28 15:59:59,17896788.6397600,205174,130829870,8144204.3061900
1759075200000,2025-09-28 16:00:00,0.0610700,0.0635000,0.0592900,0.0614600,221717846,1759089599999,2025-09-28 19:59:59,13577274.9915000,146732,102872348,6302107.2620900
1759089600000,2025-09-28 20:00:00,0.0614700,0.0634300,0.0609100,0.0618500,166225422,1759103999999,2025-09-28 23:59:59,10369037.6764700,124767,77085663,4811812.5856500
1759104000000,2025-09-29 00:00:00,0.0618500,0.0668800,0.0605800,0.0623500,232933209,1759118399999,2025-09-29 03:59:59,14778687.5055100,171080,108992343,6921098.4675200
1759118400000,2025-09-29 04:00:00,0.0623600,0.0644800,0.0590000,0.0611100,214661230,1759132799999,2025-09-29 07:59:59,13146059.4800200,154942,96089678,5890972.6231700
1759132800000,2025-09-29 08:00:00,0.0611000,0.0631900,0.0521100,0.0533400,395052886,1759147199999,2025-09-29 11:59:59,22709157.3470400,247905,169146444,9756850.3739400
1759147200000,2025-09-29 12:00:00,0.0533400,0.0573700,0.0521800,0.0536000,277941529,1759161599999,2025-09-29 15:59:59,15236892.5441400,189641,128800433,7062792.4048000
1759161600000,2025-09-29 16:00:00,0.0536000,0.0552200,0.0443000,0.0461200,398392160,1759175999999,2025-09-29 19:59:59,19516447.8995900,208703,165348247,8094290.1751000
1759176000000,2025-09-29 20:00:00,0.0461400,0.0473300,0.0424900,0.0467400,223767402,1759190399999,2025-09-29 23:59:59,10142921.5808700,119334,105345133,4782863.4344100
1759190400000,2025-09-30 00:00:00,0.0467600,0.0471900,0.0430000,0.0454600,234397218,1759204799999,2025-09-30 03:59:59,10483511.0276200,122431,111627881,4995253.7090500
1759204800000,2025-09-30 04:00:00,0.0454500,0.0468700,0.0443900,0.0447700,191870135,1759219199999,2025-09-30 07:59:59,8783932.9335100,100086,90468064,4148943.7568200
1759219200000,2025-09-30 08:00:00,0.0447500,0.0468700,0.0396400,0.0406700,327743355,1759233599999,2025-09-30 11:59:59,14202982.9252900,132151,145555106,6320420.2653500
1759233600000,2025-09-30 12:00:00,0.0406900,0.0422000,0.0376600,0.0400400,295206987,1759247999999,2025-09-30 15:59:59,11781648.2524300,113272,136461079,5451749.4638700
1759248000000,2025-09-30 16:00:00,0.0400500,0.0412500,0.0395400,0.0410900,137655615,1759262399999,2025-09-30 19:59:59,5572464.8644800,63680,66608709,2698921.7803600
1759262400000,2025-09-30 20:00:00,0.0410800,0.0420000,0.0405500,0.0415000,97681996,1759276799999,2025-09-30 23:59:59,4035183.5591000,47398,49559361,2049425.2700900
1759276800000,2025-10-01 00:00:00,0.0415000,0.0421700,0.0398100,0.0399800,129493012,1759291199999,2025-10-01 03:59:59,5344200.4251800,55570,59264944,2449378.1046200
1759291200000,2025-10-01 04:00:00,0.0399800,0.0417700,0.0376500,0.0415100,242255819,1759305599999,2025-10-01 07:59:59,9551247.8288300,87697,121822992,4807516.6271600
1759305600000,2025-10-01 08:00:00,0.0415400,0.0452000,0.0401600,0.0437600,208792385,1759319999999,2025-10-01 11:59:59,8935765.0213300,99201,103817748,4447754.1020900
1759320000000,2025-10-01 12:00:00,0.0437800,0.0439800,0.0409700,0.0415100,145373512,1759334399999,2025-10-01 15:59:59,6158049.3743200,79975,64010732,2712426.8454300
1759334400000,2025-10-01 16:00:00,0.0415300,0.0423500,0.0400800,0.0407800,119966448,1759348799999,2025-10-01 19:59:59,4954639.2463600,66888,53382184,2208321.8651700
1759348800000,2025-10-01 20:00:00,0.0407700,0.0435900,0.0404900,0.0412800,109337335,1759363199999,2025-10-01 23:59:59,4576236.0176700,53297,52826113,2214096.3365300
1759363200000,2025-10-02 00:00:00,0.0412800,0.0430000,0.0410300,0.0427600,107852364,1759377599999,2025-10-02 03:59:59,4548581.6911500,49287,53074030,2239507.0102800
1759377600000,2025-10-02 04:00:00,0.0427700,0.0445000,0.0422100,0.0434700,159870106,1759391999999,2025-10-02 07:59:59,6918548.5440600,72722,77835937,3368671.3223400
1759392000000,2025-10-02 08:00:00,0.0434500,0.0485000,0.0432000,0.0447600,284594537,1759406399999,2025-10-02 11:59:59,13058792.6706800,134529,130750210,6002951.5139700
1759406400000,2025-10-02 12:00:00,0.0447300,0.0449800,0.0401600,0.0419100,253719482,1759420799999,2025-10-02 15:59:59,10686239.9399300,101425,111029875,4671871.8092200
1759420800000,2025-10-02 16:00:00,0.0419100,0.0436800,0.0418200,0.0432600,145554459,1759435199999,2025-10-02 19:59:59,6248293.3236600,60425,68506128,2941924.2506100
1759435200000,2025-10-02 20:00:00,0.0432600,0.0443800,0.0420000,0.0442700,115657759,1759449599999,2025-10-02 23:59:59,5017125.2277800,48266,54221072,2355442.9979200
1759449600000,2025-10-03 00:00:00,0.0442800,0.0467000,0.0427100,0.0466700,172596299,1759463999999,2025-10-03 03:59:59,7647924.3690900,81289,81552446,3621402.5310000
1759464000000,2025-10-03 04:00:00,0.0466700,0.0526500,0.0351400,0.0414200,525796049,1759478399999,2025-10-03 07:59:59,23148220.2307500,205690,236749500,10461539.9437600
1759478400000,2025-10-03 08:00:00,0.0414100,0.0423200,0.0401400,0.0407300,140864556,1759492799999,2025-10-03 11:59:59,5782075.6988700,74110,64238549,2638415.9626200
1759492800000,2025-10-03 12:00:00,0.0407300,0.0443600,0.0407100,0.0439600,144895610,1759507199999,2025-10-03 15:59:59,6225894.0420900,76747,64451233,2769867.3581200
1759507200000,2025-10-03 16:00:00,0.0440000,0.0471600,0.0435000,0.0462900,136433767,1759521599999,2025-10-03 19:59:59,6217304.4637800,71311,64357817,2933153.0459500
1759521600000,2025-10-03 20:00:00,0.0463000,0.0465700,0.0441200,0.0454700,80674251,1759535999999,2025-10-03 23:59:59,3644198.7285600,55620,34601052,1563701.4464300
1759536000000,2025-10-04 00:00:00,0.0454500,0.0497700,0.0450100,0.0491600,122034235,1759550399999,2025-10-04 03:59:59,5784437.6479100,76951,60010479,2844236.1853600
1759550400000,2025-10-04 04:00:00,0.0491500,0.0491700,0.0448500,0.0460800,165531048,1759564799999,2025-10-04 07:59:59,7709502.7118800,95257,75033870,3495498.2801300
1759564800000,2025-10-04 08:00:00,0.0460600,0.0485200,0.0441200,0.0471400,156962007,1759579199999,2025-10-04 11:59:59,7279782.9651300,77969,72408630,3361699.9898300
1759579200000,2025-10-04 12:00:00,0.0471200,0.0485000,0.0452200,0.0464000,173501810,1759593599999,2025-10-04 15:59:59,8153879.4905800,81938,79383484,3730407.9275800
1759593600000,2025-10-04 16:00:00,0.0464000,0.0500600,0.0444300,0.0491600,187543071,1759607999999,2025-10-04 19:59:59,8910616.8278100,91723,90530362,4305551.8247400
1759608000000,2025-10-04 20:00:00,0.0491600,0.0522200,0.0463100,0.0497800,207444506,1759622399999,2025-10-04 23:59:59,10309765.6462100,110810,96839971,4815588.4069700
1759622400000,2025-10-05 00:00:00,0.0497800,0.0546500,0.0473800,0.0513300,262147444,1759636799999,2025-10-05 03:59:59,13374924.0293200,125698,127165508,6492796.8516800
1759636800000,2025-10-05 04:00:00,0.0512800,0.0751900,0.0505800,0.0738800,1285289868,1759651199999,2025-10-05 07:59:59,82456092.4411300,720892,633771470,40718078.1121800
1759651200000,2025-10-05 08:00:00,0.0738800,0.0957900,0.0523600,0.0601600,3997199214,1759665599999,2025-10-05 11:59:59,283108454.5920800,2296042,1928615583,137101410.9397100
1759665600000,2025-10-05 12:00:00,0.0601600,0.0659500,0.0563600,0.0605800,1347375166,1759679999999,2025-10-05 15:59:59,81166486.6200100,649554,652649167,39360620.6924900
