open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1727352000000,2024-09-26 12:00:00,0.0088700,0.0091200,0.0076100,0.0076270,30584435400,1727366399999,2024-09-26 15:59:59,256651042.4201200,1171518,14831534964,124643893.9172210
1727366400000,2024-09-26 16:00:00,0.0076270,0.0078300,0.0066100,0.0066920,45922248221,1727380799999,2024-09-26 19:59:59,328886200.1014130,1359576,22707133042,162721991.8490910
1727380800000,2024-09-26 20:00:00,0.0066920,0.0067630,0.0060640,0.0064960,35437465602,1727395199999,2024-09-26 23:59:59,227932715.1667630,1060942,17908483284,115218971.2772410
1727395200000,2024-09-27 00:00:00,0.0064950,0.0072900,0.0062820,0.0069430,22794750098,1727409599999,2024-09-27 03:59:59,155835343.4966410,800989,11524752838,78805216.2266970
1727409600000,2024-09-27 04:00:00,0.0069430,0.0071000,0.0066050,0.0068500,13799229234,1727423999999,2024-09-27 07:59:59,94274546.5635310,501458,6647466743,45439850.7138080
1727424000000,2024-09-27 08:00:00,0.0068500,0.0072230,0.0066200,0.0068040,20224846857,1727438399999,2024-09-27 11:59:59,139061514.9834020,638786,9913663629,68186606.9719040
1727438400000,2024-09-27 12:00:00,0.0068030,0.0069400,0.0064620,0.0066390,17463445902,1727452799999,2024-09-27 15:59:59,117311826.8279530,524413,8483637767,57028054.9638250
1727452800000,2024-09-27 16:00:00,0.0066390,0.0069130,0.0065980,0.0068040,10717612900,1727467199999,2024-09-27 19:59:59,72112861.1790280,358795,5406755145,36398896.9499930
1727467200000,2024-09-27 20:00:00,0.0068030,0.0069810,0.0066720,0.0068020,6197904651,1727481599999,2024-09-27 23:59:59,42236297.5485070,223036,2967528548,20231242.4638900
1727481600000,2024-09-28 00:00:00,0.0068010,0.0069100,0.0066000,0.0067880,4850603328,1727495999999,2024-09-28 03:59:59,32618961.5995410,192357,2352098422,15826661.4731970
1727496000000,2024-09-28 04:00:00,0.0067890,0.0070950,0.0067160,0.0067890,11609283604,1727510399999,2024-09-28 07:59:59,80043154.8166720,430124,5567401444,38409126.3576370
1727510400000,2024-09-28 08:00:00,0.0067870,0.0067970,0.0063190,0.0065760,10722098272,1727524799999,2024-09-28 11:59:59,70223934.2565180,331083,5063956803,33170330.4139770
1727524800000,2024-09-28 12:00:00,0.0065760,0.0066430,0.0064180,0.0065390,5573920868,1727539199999,2024-09-28 15:59:59,36497129.1300600,196328,2693406747,17643527.6871620
