open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1600128000000,2020-09-15 00:00:00,0.5445,0.5589,0.5058,0.5095,4149871,1600214399999,2020-09-15 23:59:59,2204519.8278,17109,2074468,1105373.2387
1600214400000,2020-09-16 00:00:00,0.5084,0.5100,0.4661,0.4953,2630273,1600300799999,2020-09-16 23:59:59,1273303.5191,9826,1328383,643378.8902
1600300800000,2020-09-17 00:00:00,0.4955,0.5114,0.4519,0.4683,6283431,1600387199999,2020-09-17 23:59:59,2961134.6573,17017,2983237,1406494.7760
1600387200000,2020-09-18 00:00:00,0.4670,0.5023,0.4569,0.4746,5301466,1600473599999,2020-09-18 23:59:59,2541203.7774,19616,2350527,1128804.6916
1600473600000,2020-09-19 00:00:00,0.4744,0.4774,0.4603,0.4676,1826497,1600559999999,2020-09-19 23:59:59,857694.5638,9867,877682,412457.7785
1600560000000,2020-09-20 00:00:00,0.4671,0.5019,0.4397,0.4586,7607842,1600646399999,2020-09-20 23:59:59,3615754.0919,30640,3585904,1708842.5008
1600646400000,2020-09-21 00:00:00,0.4577,0.4586,0.3928,0.4110,6208636,1600732799999,2020-09-21 23:59:59,2617308.7315,24969,2470914,1042128.3362
1600732800000,2020-09-22 00:00:00,0.4110,0.4285,0.4000,0.4189,3015580,1600819199999,2020-09-22 23:59:59,1254271.2647,10807,1356440,564467.6917
1600819200000,2020-09-23 00:00:00,0.4185,0.4211,0.3674,0.3704,4144708,1600905599999,2020-09-23 23:59:59,1642386.4009,12313,1800931,714797.0303
1600905600000,2020-09-24 00:00:00,0.3712,0.4071,0.3647,0.4065,3670661,1600991999999,2020-09-24 23:59:59,1411940.3423,10806,1845144,710697.7796
1600992000000,2020-09-25 00:00:00,0.4069,0.4207,0.3884,0.4117,3347605,1601078399999,2020-09-25 23:59:59,1352396.3826,10914,1410374,570357.1865
1601078400000,2020-09-26 00:00:00,0.4127,0.4293,0.4027,0.4260,4598478,1601164799999,2020-09-26 23:59:59,1913868.0350,12191,2497095,1040387.7502
1601164800000,2020-09-27 00:00:00,0.4260,0.4281,0.3968,0.4151,4452358,1601251199999,2020-09-27 23:59:59,1834339.6808,12537,1962103,808500.8944
1601251200000,2020-09-28 00:00:00,0.4151,0.4208,0.3920,0.4004,4243734,1601337599999,2020-09-28 23:59:59,1737316.4111,12595,1830620,750541.8842
1601337600000,2020-09-29 00:00:00,0.4004,0.4283,0.3967,0.4266,3908657,1601423999999,2020-09-29 23:59:59,1610302.2890,11921,1855708,764835.4122
1601424000000,2020-09-30 00:00:00,0.4268,0.4386,0.4020,0.4203,6207899,1601510399999,2020-09-30 23:59:59,2605747.3368,15293,2874890,1206952.4975
1601510400000,2020-10-01 00:00:00,0.4210,0.4505,0.4000,0.4355,10563786,1601596799999,2020-10-01 23:59:59,4507931.1817,25047,4657695,1992739.4162
1601596800000,2020-10-02 00:00:00,0.4351,0.4355,0.3768,0.3949,9753758,1601683199999,2020-10-02 23:59:59,3907373.3363,23748,4417184,1767712.2932
1601683200000,2020-10-03 00:00:00,0.3947,0.4041,0.3859,0.3905,4290570,1601769599999,2020-10-03 23:59:59,1692807.3347,11360,1989006,785435.7432
1601769600000,2020-10-04 00:00:00,0.3897,0.4004,0.3804,0.3970,4701388,1601855999999,2020-10-04 23:59:59,1841052.9875,14118,2237000,876854.8800
1601856000000,2020-10-05 00:00:00,0.3970,0.4016,0.3849,0.3956,3965864,1601942399999,2020-10-05 23:59:59,1554302.1627,12986,1738808,681749.0003
1601942400000,2020-10-06 00:00:00,0.3956,0.3971,0.3499,0.3592,8847626,1602028799999,2020-10-06 23:59:59,3287545.9927,24351,4016493,1491095.9850
1602028800000,2020-10-07 00:00:00,0.3593,0.3716,0.3453,0.3699,11494110,1602115199999,2020-10-07 23:59:59,4146140.3711,25941,6028876,2175153.2670
1602115200000,2020-10-08 00:00:00,0.3699,0.3882,0.3522,0.3803,8650362,1602201599999,2020-10-08 23:59:59,3216585.9343,20379,4091128,1521970.0323
1602201600000,2020-10-09 00:00:00,0.3806,0.4024,0.3700,0.3984,6244309,1602287999999,2020-10-09 23:59:59,2419771.6008,15246,2885036,1118309.2593
1602288000000,2020-10-10 00:00:00,0.3979,0.4107,0.3891,0.3928,7077657,1602374399999,2020-10-10 23:59:59,2829876.6338,15568,3420777,1369428.9528
