open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1679572800000,2023-03-23 12:00:00,0.4286000,0.5230000,0.4286000,0.5043000,77963499,1679587199999,2023-03-23 15:59:59,37970067.7881000,162397,38517751,18785712.1482000
1679587200000,2023-03-23 16:00:00,0.5043000,0.5252000,0.4759000,0.5097000,178559797,1679601599999,2023-03-23 19:59:59,89939706.3089000,393305,89426001,45078535.0887000
1679601600000,2023-03-23 20:00:00,0.5096000,0.5299000,0.4896000,0.5286000,105959104,1679615999999,2023-03-23 23:59:59,54052657.4241000,289656,53342550,27242211.5368000
1679616000000,2023-03-24 00:00:00,0.5287000,0.5969000,0.5204000,0.5450000,268124916,1679630399999,2023-03-24 03:59:59,151022941.6776000,556700,132165076,74488207.4427000
1679630400000,2023-03-24 04:00:00,0.5450000,0.5480000,0.5018000,0.5412000,188343467,1679644799999,2023-03-24 07:59:59,99429748.7518000,441619,91296223,48247301.5312000
1679644800000,2023-03-24 08:00:00,0.5413000,0.5655000,0.5189000,0.5421000,180868913,1679659199999,2023-03-24 11:59:59,97928762.7380000,499492,88606848,48027147.4540000
1679659200000,2023-03-24 12:00:00,0.5418000,0.5822000,0.5332000,0.5710000,226234725,1679673599999,2023-03-24 15:59:59,126536226.6264000,535699,113220900,63373319.2949000
1679673600000,2023-03-24 16:00:00,0.5710000,0.5868000,0.5124000,0.5409000,205887804,1679687999999,2023-03-24 19:59:59,112992953.8563000,530157,98857314,54291795.0148000
1679688000000,2023-03-24 20:00:00,0.5406000,0.5472000,0.4866000,0.5281000,133567683,1679702399999,2023-03-24 23:59:59,68605079.3937000,367588,65711637,33763680.2757000
1679702400000,2023-03-25 00:00:00,0.5284000,0.5310000,0.4700000,0.4903000,121344618,1679716799999,2023-03-25 03:59:59,60445953.3271000,284627,54797028,27355252.8867000
1679716800000,2023-03-25 04:00:00,0.4904000,0.5033000,0.4652000,0.4794000,71178604,1679731199999,2023-03-25 07:59:59,34450414.6729000,203735,33889617,16413448.3561000
1679731200000,2023-03-25 08:00:00,0.4793000,0.4835000,0.4632000,0.4743000,72260257,1679745599999,2023-03-25 11:59:59,34233934.7772000,176058,35385940,16772562.3669000
1679745600000,2023-03-25 12:00:00,0.4742000,0.4890000,0.4560000,0.4835000,94590706,1679759999999,2023-03-25 15:59:59,44740315.2002000,175023,45640172,21598137.0195000
1679760000000,2023-03-25 16:00:00,0.4835000,0.4950000,0.4636000,0.4665000,78712477,1679774399999,2023-03-25 19:59:59,37858527.2018000,177480,37134031,17883107.9355000
1679774400000,2023-03-25 20:00:00,0.4665000,0.4846000,0.4639000,0.4741000,35938279,1679788799999,2023-03-25 23:59:59,17071955.8253000,83376,17525307,8326977.3567000
1679788800000,2023-03-26 00:00:00,0.4741000,0.4829000,0.4651000,0.4709000,39661902,1679803199999,2023-03-26 03:59:59,18690388.6988000,75603,18907721,8912030.0896000
1679803200000,2023-03-26 04:00:00,0.4710000,0.4711000,0.4350000,0.4467000,93711346,1679817599999,2023-03-26 07:59:59,41878922.2573000,160471,43080184,19236119.1613000
1679817600000,2023-03-26 08:00:00,0.4468000,0.4828000,0.4418000,0.4744000,127568666,1679831999999,2023-03-26 11:59:59,59573073.7490000,240978,64838125,30273288.6901000
1679832000000,2023-03-26 12:00:00,0.4745000,0.5248000,0.4735000,0.4900000,204097349,1679846399999,2023-03-26 15:59:59,101806474.0134000,357760,99003092,49376520.3382000
1679846400000,2023-03-26 16:00:00,0.4900000,0.4965000,0.4830000,0.4912000,52754622,1679860799999,2023-03-26 19:59:59,25868868.8110000,96154,26070482,12789414.5457000
1679860800000,2023-03-26 20:00:00,0.4915000,0.4986000,0.4749000,0.4875000,43907307,1679875199999,2023-03-26 23:59:59,21524664.3015000,89819,20211131,9918902.1891000
1679875200000,2023-03-27 00:00:00,0.4874000,0.5147000,0.4805000,0.4950000,88713967,1679889599999,2023-03-27 03:59:59,44191025.3608000,155148,44164321,22008622.3058000
1679889600000,2023-03-27 04:00:00,0.4950000,0.5033000,0.4704000,0.4757000,81655752,1679903999999,2023-03-27 07:59:59,39762957.0015000,162472,38762119,18898988.1400000
1679904000000,2023-03-27 08:00:00,0.4757000,0.4860000,0.4680000,0.4773000,49898020,1679918399999,2023-03-27 11:59:59,23891260.2887000,112977,24499125,11741242.0085000
1679918400000,2023-03-27 12:00:00,0.4774000,0.4812000,0.4420000,0.4595000,104281092,1679932799999,2023-03-27 15:59:59,48275024.5877000,195635,48562849,22503690.0839000
1679932800000,2023-03-27 16:00:00,0.4594000,0.4680000,0.4474000,0.4488000,43046812,1679947199999,2023-03-27 19:59:59,19695682.0037000,73237,20246566,9268611.3864000
1679947200000,2023-03-27 20:00:00,0.4488000,0.4559000,0.4271000,0.4530000,49562267,1679961599999,2023-03-27 23:59:59,21875935.5295000,87625,24057537,10638274.0301000
1679961600000,2023-03-28 00:00:00,0.4531000,0.4562000,0.4382000,0.4410000,35298154,1679975999999,2023-03-28 03:59:59,15799873.3839000,71307,16756372,7508169.5462000
1679976000000,2023-03-28 04:00:00,0.4410000,0.4580000,0.4406000,0.4484000,28782199,1679990399999,2023-03-28 07:59:59,12964329.1797000,58788,14108645,6356626.9540000
1679990400000,2023-03-28 08:00:00,0.4484000,0.4508000,0.4303000,0.4440000,44150023,1680004799999,2023-03-28 11:59:59,19444851.4722000,84480,21036618,9267817.2725000
1680004800000,2023-03-28 12:00:00,0.4440000,0.4540000,0.4316000,0.4495000,48505138,1680019199999,2023-03-28 15:59:59,21516168.6266000,94380,23243555,10317097.7833000
1680019200000,2023-03-28 16:00:00,0.4494000,0.4630000,0.4414000,0.4607000,36009693,1680033599999,2023-03-28 19:59:59,16252555.6392000,81044,17354164,7839238.4254000
1680033600000,2023-03-28 20:00:00,0.4607000,0.4690000,0.4522000,0.4641000,34796487,1680047999999,2023-03-28 23:59:59,16026787.1082000,70369,17311936,7980065.5061000
1680048000000,2023-03-29 00:00:00,0.4641000,0.4749000,0.4610000,0.4652000,41628808,1680062399999,2023-03-29 03:59:59,19462091.1037000,73210,19464777,9102517.8236000
1680062400000,2023-03-29 04:00:00,0.4653000,0.4877000,0.4636000,0.4846000,49671679,1680076799999,2023-03-29 07:59:59,23686815.4261000,85358,25359262,12096050.2893000
1680076800000,2023-03-29 08:00:00,0.4845000,0.4907000,0.4731000,0.4768000,48844706,1680091199999,2023-03-29 11:59:59,23601849.6006000,92333,22309339,10787235.7594000
1680091200000,2023-03-29 12:00:00,0.4768000,0.4830000,0.4547000,0.4635000,51244356,1680105599999,2023-03-29 15:59:59,23943268.1258000,88417,22241709,10401022.1791000
1680105600000,2023-03-29 16:00:00,0.4634000,0.4652000,0.4493000,0.4613000,26032919,1680119999999,2023-03-29 19:59:59,11912769.1498000,48967,12210434,5591395.4050000
1680120000000,2023-03-29 20:00:00,0.4614000,0.4727000,0.4532000,0.4657000,24455096,1680134399999,2023-03-29 23:59:59,11297637.0216000,46527,12570451,5811089.0315000
1680134400000,2023-03-30 00:00:00,0.4656000,0.4754000,0.4433000,0.4563000,63081000,1680148799999,2023-03-30 03:59:59,28951224.0782000,111232,29195097,13401767.5206000
1680148800000,2023-03-30 04:00:00,0.4562000,0.4676000,0.4491000,0.4534000,38459164,1680163199999,2023-03-30 07:59:59,17622092.3662000,73711,17966558,8237455.7589000
1680163200000,2023-03-30 08:00:00,0.4534000,0.4930000,0.4534000,0.4868000,113809669,1680177599999,2023-03-30 11:59:59,54415846.8048000,191030,55020510,26329246.0651000
1680177600000,2023-03-30 12:00:00,0.4868000,0.5089000,0.4658000,0.4727000,113389835,1680191999999,2023-03-30 15:59:59,55202418.6020000,180002,52174974,25436871.2961000
1680192000000,2023-03-30 16:00:00,0.4726000,0.4754000,0.4555000,0.4730000,62783235,1680206399999,2023-03-30 19:59:59,29185480.8204000,103530,30039437,13971403.1279000
1680206400000,2023-03-30 20:00:00,0.4730000,0.4860000,0.4692000,0.4812000,44394029,1680220799999,2023-03-30 23:59:59,21216860.8721000,80640,21232030,10155385.8106000
1680220800000,2023-03-31 00:00:00,0.4813000,0.4900000,0.4730000,0.4820000,57747132,1680235199999,2023-03-31 03:59:59,27891471.3479000,98194,27077548,13084331.1682000
1680235200000,2023-03-31 04:00:00,0.4819000,0.4940000,0.4600000,0.4666000,63477352,1680249599999,2023-03-31 07:59:59,30245309.5200000,111955,28451665,13580232.2144000
1680249600000,2023-03-31 08:00:00,0.4666000,0.4705000,0.4583000,0.4650000,34307445,1680263999999,2023-03-31 11:59:59,15961345.4761000,67875,16360498,7616405.9785000
1680264000000,2023-03-31 12:00:00,0.4651000,0.4806000,0.4640000,0.4736000,55189669,1680278399999,2023-03-31 15:59:59,26109198.1579000,104508,27037963,12794056.9402000
