fundingTime,fundingTime_dt,fundingRate,markPrice
1628697600000,2021-08-11 16:00:00,0.00010000,
1628726400013,2021-08-12 00:00:00,0.00010000,
1628755200001,2021-08-12 08:00:00,-0.00073394,
1628784000000,2021-08-12 16:00:00,-0.00014874,
1628812800000,2021-08-13 00:00:00,-0.00034693,
1628841600000,2021-08-13 08:00:00,0.00218660,
1628870400002,2021-08-13 16:00:00,0.00020233,
1628899200006,2021-08-14 00:00:00,0.00067202,
1628928000000,2021-08-14 08:00:00,0.00091545,
1628956800000,2021-08-14 16:00:00,0.00095607,
1628985600003,2021-08-15 00:00:00,0.00083042,
1629014400000,2021-08-15 08:00:00,0.00106541,
1629043200007,2021-08-15 16:00:00,0.00098242,
1629072000012,2021-08-16 00:00:00,0.00072452,
1629100800003,2021-08-16 08:00:00,0.00037886,
1629129600010,2021-08-16 16:00:00,0.00068573,
1629158400018,2021-08-17 00:00:00,0.00010000,
1629187200015,2021-08-17 08:00:00,0.00028370,
1629216000006,2021-08-17 16:00:00,0.00048851,
1629244800000,2021-08-18 00:00:00,0.00010000,
1629273600000,2021-08-18 08:00:00,0.00010000,
1629302400011,2021-08-18 16:00:00,0.00010000,
1629331200000,2021-08-19 00:00:00,0.00010000,
1629360000014,2021-08-19 08:00:00,0.00010000,
1629388800000,2021-08-19 16:00:00,0.00010000,
1629417600000,2021-08-20 00:00:00,0.00010000,
1629446400001,2021-08-20 08:00:00,0.00016274,
1629475200001,2021-08-20 16:00:00,0.00046476,
1629504000005,2021-08-21 00:00:00,0.00045783,
1629532800001,2021-08-21 08:00:00,0.00097636,
1629561600000,2021-08-21 16:00:00,0.00038212,
1629590400005,2021-08-22 00:00:00,0.00044676,
1629619200007,2021-08-22 08:00:00,0.00064656,
1629648000002,2021-08-22 16:00:00,0.00041894,
1629676800003,2021-08-23 00:00:00,0.00020610,
1629705600005,2021-08-23 08:00:00,0.00056811,
1629734400002,2021-08-23 16:00:00,0.00050743,
1629763200006,2021-08-24 00:00:00,0.00097153,
1629792000004,2021-08-24 08:00:00,0.00101514,
1629820800000,2021-08-24 16:00:00,0.00064499,
1629849600015,2021-08-25 00:00:00,0.00022260,
1629878400000,2021-08-25 08:00:00,0.00015915,
1629907200000,2021-08-25 16:00:00,0.00010000,
1629936000001,2021-08-26 00:00:00,0.00010000,
1629964800016,2021-08-26 08:00:00,0.00012273,
1629993600004,2021-08-26 16:00:00,0.00010000,
1630022400013,2021-08-27 00:00:00,0.00010000,
1630051200001,2021-08-27 08:00:00,0.00010000,
1630080000004,2021-08-27 16:00:00,0.00010000,
1630108800000,2021-08-28 00:00:00,0.00010000,
1630137600000,2021-08-28 08:00:00,0.00024039,
1630166400000,2021-08-28 16:00:00,0.00053909,
1630195200000,2021-08-29 00:00:00,0.00019508,
1630224000002,2021-08-29 08:00:00,0.00010000,
1630252800005,2021-08-29 16:00:00,0.00031017,
1630281600013,2021-08-30 00:00:00,0.00035041,
1630310400008,2021-08-30 08:00:00,0.00022589,
1630339200000,2021-08-30 16:00:00,0.00026415,
1630368000000,2021-08-31 00:00:00,0.00045651,
1630396800007,2021-08-31 08:00:00,0.00026721,
1630425600003,2021-08-31 16:00:00,0.00055207,
1630454400000,2021-09-01 00:00:00,0.00020411,
1630483200006,2021-09-01 08:00:00,0.00050473,
1630512000000,2021-09-01 16:00:00,0.00044478,
1630540800009,2021-09-02 00:00:00,0.00041875,
1630569600006,2021-09-02 08:00:00,0.00051497,
1630598400007,2021-09-02 16:00:00,0.00079278,
1630627200011,2021-09-03 00:00:00,0.00042502,
1630656000000,2021-09-03 08:00:00,0.00086738,
1630684800002,2021-09-03 16:00:00,0.00087096,
1630713600003,2021-09-04 00:00:00,0.00066067,
1630742400008,2021-09-04 08:00:00,0.00097709,
1630771200009,2021-09-04 16:00:00,0.00113024,
1630800000002,2021-09-05 00:00:00,0.00066783,
1630828800002,2021-09-05 08:00:00,0.00037797,
1630857600000,2021-09-05 16:00:00,0.00094705,
1630886400003,2021-09-06 00:00:00,0.00122560,
1630915200008,2021-09-06 08:00:00,0.00125678,
1630944000009,2021-09-06 16:00:00,0.00049189,
1630972800004,2021-09-07 00:00:00,0.00034427,
1631001600002,2021-09-07 08:00:00,0.00058083,
1631030400001,2021-09-07 16:00:00,-0.00336563,
1631059200005,2021-09-08 00:00:00,0.00010000,
1631088000000,2021-09-08 08:00:00,-0.00025908,
1631116800000,2021-09-08 16:00:00,-0.00042810,
1631145600006,2021-09-09 00:00:00,-0.00066241,
1631174400014,2021-09-09 08:00:00,0.00010000,
1631203200002,2021-09-09 16:00:00,0.00010000,
1631232000001,2021-09-10 00:00:00,0.00010000,
1631260800018,2021-09-10 08:00:00,0.00010000,
1631289600006,2021-09-10 16:00:00,0.00010000,
1631318400000,2021-09-11 00:00:00,0.00010000,
1631347200001,2021-09-11 08:00:00,0.00010000,
1631376000000,2021-09-11 16:00:00,0.00010000,
1631404800000,2021-09-12 00:00:00,0.00010000,
1631433600002,2021-09-12 08:00:00,0.00010000,
1631462400000,2021-09-12 16:00:00,0.00010000,
1631491200000,2021-09-13 00:00:00,0.00010000,
1631520000007,2021-09-13 08:00:00,0.00010000,
1631548800005,2021-09-13 16:00:00,0.00010000,
1631577600002,2021-09-14 00:00:00,0.00010000,
1631606400000,2021-09-14 08:00:00,0.00010000,
1631635200007,2021-09-14 16:00:00,0.00010000,
1631664000012,2021-09-15 00:00:00,0.00010000,
1631692800003,2021-09-15 08:00:00,0.00010000,
1631721600006,2021-09-15 16:00:00,0.00010000,
1631750400008,2021-09-16 00:00:00,0.00010000,
1631779200005,2021-09-16 08:00:00,0.00010000,
1631808000002,2021-09-16 16:00:00,0.00010000,
1631836800000,2021-09-17 00:00:00,0.00010000,
1631865600047,2021-09-17 08:00:00,0.00010000,
1631894400013,2021-09-17 16:00:00,0.00010000,
1631923200000,2021-09-18 00:00:00,0.00010000,
1631952000010,2021-09-18 08:00:00,0.00010000,
1631980800005,2021-09-18 16:00:00,0.00010000,
1632009600006,2021-09-19 00:00:00,0.00010000,
1632038400015,2021-09-19 08:00:00,0.00010000,
1632067200007,2021-09-19 16:00:00,0.00010000,
1632096000018,2021-09-20 00:00:00,0.00010000,
1632124800000,2021-09-20 08:00:00,0.00010000,
1632153600005,2021-09-20 16:00:00,0.00010000,
1632182400005,2021-09-21 00:00:00,0.00010000,
1632211200007,2021-09-21 08:00:00,0.00010000,
1632240000000,2021-09-21 16:00:00,0.00010000,
1632268800005,2021-09-22 00:00:00,-0.00001643,
1632297600006,2021-09-22 08:00:00,0.00010000,
1632326400000,2021-09-22 16:00:00,0.00010000,
1632355200003,2021-09-23 00:00:00,0.00010000,
1632384000000,2021-09-23 08:00:00,0.00010000,
1632412800007,2021-09-23 16:00:00,0.00010000,
1632441600000,2021-09-24 00:00:00,0.00010000,
1632470400017,2021-09-24 08:00:00,0.00010000,
1632499200000,2021-09-24 16:00:00,0.00010000,
1632528000007,2021-09-25 00:00:00,0.00004247,
1632556800002,2021-09-25 08:00:00,-0.00003852,
1632585600004,2021-09-25 16:00:00,0.00004086,
1632614400013,2021-09-26 00:00:00,-0.00151830,
1632643200000,2021-09-26 08:00:00,-0.00081217,
1632672000005,2021-09-26 16:00:00,-0.00108434,
1632700800000,2021-09-27 00:00:00,0.00010000,
1632729600001,2021-09-27 08:00:00,-0.00011718,
1632758400000,2021-09-27 16:00:00,-0.00004313,
1632787200000,2021-09-28 00:00:00,0.00010000,
1632816000014,2021-09-28 08:00:00,0.00010000,
1632844800000,2021-09-28 16:00:00,0.00010000,
1632873600000,2021-09-29 00:00:00,0.00010000,
1632902400002,2021-09-29 08:00:00,0.00010000,
1632931200000,2021-09-29 16:00:00,0.00010000,
1632960000000,2021-09-30 00:00:00,0.00010000,
1632988800004,2021-09-30 08:00:00,0.00010000,
1633017600005,2021-09-30 16:00:00,0.00010000,
1633046400012,2021-10-01 00:00:00,0.00010000,
1633075200008,2021-10-01 08:00:00,0.00010000,
1633104000000,2021-10-01 16:00:00,0.00010000,
1633132800000,2021-10-02 00:00:00,0.00010000,
1633161600002,2021-10-02 08:00:00,0.00010000,
1633190400011,2021-10-02 16:00:00,0.00010000,
1633219200019,2021-10-03 00:00:00,0.00010000,
1633248000011,2021-10-03 08:00:00,0.00010000,
1633276800004,2021-10-03 16:00:00,0.00010000,
1633305600004,2021-10-04 00:00:00,0.00010000,
1633334400000,2021-10-04 08:00:00,0.00010000,
1633363200000,2021-10-04 16:00:00,0.00010000,
1633392000007,2021-10-05 00:00:00,0.00010000,
1633420800007,2021-10-05 08:00:00,0.00010000,
1633449600004,2021-10-05 16:00:00,0.00010000,
1633478400002,2021-10-06 00:00:00,0.00010000,
1633507200000,2021-10-06 08:00:00,-0.00040629,
1633536000003,2021-10-06 16:00:00,0.00010000,
1633564800007,2021-10-07 00:00:00,0.00010000,
1633593600002,2021-10-07 08:00:00,0.00052213,
1633622400000,2021-10-07 16:00:00,0.00036097,
1633651200011,2021-10-08 00:00:00,0.00028891,
1633680000003,2021-10-08 08:00:00,0.00050167,
1633708800002,2021-10-08 16:00:00,0.00066756,
1633737600006,2021-10-09 00:00:00,0.00046094,
1633766400003,2021-10-09 08:00:00,0.00038872,
1633795200000,2021-10-09 16:00:00,0.00010000,
1633824000000,2021-10-10 00:00:00,0.00010000,
1633852800008,2021-10-10 08:00:00,0.00043654,
1633881600000,2021-10-10 16:00:00,0.00010000,
1633910400002,2021-10-11 00:00:00,0.00010000,
1633939200001,2021-10-11 08:00:00,0.00010000,
1633968000006,2021-10-11 16:00:00,0.00011337,
1633996800008,2021-10-12 00:00:00,0.00010000,
1634025600013,2021-10-12 08:00:00,0.00010000,
1634054400003,2021-10-12 16:00:00,0.00010000,
1634083200003,2021-10-13 00:00:00,0.00010000,
1634112000015,2021-10-13 08:00:00,0.00010000,
1634140800000,2021-10-13 16:00:00,0.00010000,
1634169600011,2021-10-14 00:00:00,0.00010000,
1634198400017,2021-10-14 08:00:00,0.00027785,
1634227200000,2021-10-14 16:00:00,0.00013814,
1634256000005,2021-10-15 00:00:00,0.00010000,
1634284800002,2021-10-15 08:00:00,0.00020976,
1634313600005,2021-10-15 16:00:00,0.00043647,
