open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1637582400000,2021-11-22 12:00:00,0.14510000,0.36490000,0.14510000,0.21800000,508101815.20000000,1637596799999,2021-11-22 15:59:59,127187690.26994000,308797,247012352.20000000,62086344.33530000
1637596800000,2021-11-22 16:00:00,0.21760000,0.21780000,0.18660000,0.18850000,167749074.10000000,1637611199999,2021-11-22 19:59:59,33554262.37180000,91535,84042729.80000000,16833100.40613000
1637611200000,2021-11-22 20:00:00,0.18820000,0.28000000,0.18730000,0.23660000,262325424.30000000,1637625599999,2021-11-22 23:59:59,61287941.90627000,151426,123424549.20000000,28486551.00628000
1637625600000,2021-11-23 00:00:00,0.23660000,0.24460000,0.21170000,0.22160000,82396359.00000000,1637639999999,2021-11-23 03:59:59,18578994.59533000,63001,39106273.10000000,8832606.37396000
1637640000000,2021-11-23 04:00:00,0.22170000,0.22860000,0.20260000,0.20830000,60496461.80000000,1637654399999,2021-11-23 07:59:59,12908938.44842000,49111,27714158.10000000,5910980.93925000
1637654400000,2021-11-23 08:00:00,0.20830000,0.21010000,0.19550000,0.19820000,65034453.30000000,1637668799999,2021-11-23 11:59:59,13161125.97368000,46867,31234509.60000000,6325402.80048000
1637668800000,2021-11-23 12:00:00,0.19830000,0.20450000,0.19550000,0.19970000,49090199.20000000,1637683199999,2021-11-23 15:59:59,9783592.91313000,32969,23056848.40000000,4599292.80844000
1637683200000,2021-11-23 16:00:00,0.19970000,0.21170000,0.19630000,0.20190000,51194654.20000000,1637697599999,2021-11-23 19:59:59,10451271.57724000,32615,25378762.30000000,5188249.48154000
1637697600000,2021-11-23 20:00:00,0.20190000,0.20480000,0.19600000,0.20100000,27737745.10000000,1637711999999,2021-11-23 23:59:59,5509743.91561000,19924,11361679.60000000,2258362.44208000
1637712000000,2021-11-24 00:00:00,0.20110000,0.20130000,0.18170000,0.18450000,40842829.10000000,1637726399999,2021-11-24 03:59:59,7772263.98602000,20674,19045370.70000000,3607998.91734000
1637726400000,2021-11-24 04:00:00,0.18440000,0.19480000,0.18380000,0.19130000,34238895.60000000,1637740799999,2021-11-24 07:59:59,6522107.29169000,22018,16614239.60000000,3169481.35605000
1637740800000,2021-11-24 08:00:00,0.19130000,0.19200000,0.18230000,0.18620000,30441409.70000000,1637755199999,2021-11-24 11:59:59,5697891.69943000,17004,14751369.00000000,2763956.90256000
1637755200000,2021-11-24 12:00:00,0.18620000,0.18660000,0.17700000,0.17980000,31718500.40000000,1637769599999,2021-11-24 15:59:59,5765815.31939000,17042,12241300.40000000,2226015.57799000
1637769600000,2021-11-24 16:00:00,0.17980000,0.18390000,0.17260000,0.17990000,30971557.50000000,1637783999999,2021-11-24 19:59:59,5477776.18380000,16555,14838173.50000000,2627972.60699000
1637784000000,2021-11-24 20:00:00,0.17990000,0.20500000,0.17660000,0.18760000,47792745.30000000,1637798399999,2021-11-24 23:59:59,8989338.53993000,24996,23709007.40000000,4468822.24572000
1637798400000,2021-11-25 00:00:00,0.18740000,0.18760000,0.17720000,0.18120000,21350971.10000000,1637812799999,2021-11-25 03:59:59,3878975.31769000,9898,9770543.90000000,1774770.30603000
1637812800000,2021-11-25 04:00:00,0.18120000,0.18500000,0.17260000,0.18120000,28552941.20000000,1637827199999,2021-11-25 07:59:59,5104065.12140000,12568,13466701.30000000,2409500.48764000
1637827200000,2021-11-25 08:00:00,0.18120000,0.18140000,0.17500000,0.18110000,20999906.50000000,1637841599999,2021-11-25 11:59:59,3735406.30674000,10241,10139805.70000000,1804640.67558000
1637841600000,2021-11-25 12:00:00,0.18110000,0.18860000,0.17570000,0.18160000,32075918.50000000,1637855999999,2021-11-25 15:59:59,5776197.12743000,14363,14437958.50000000,2605109.77827000
1637856000000,2021-11-25 16:00:00,0.18160000,0.18770000,0.17710000,0.18340000,36371689.10000000,1637870399999,2021-11-25 19:59:59,6601525.30739000,16888,19186688.60000000,3486833.37399000
1637870400000,2021-11-25 20:00:00,0.18340000,0.24500000,0.18120000,0.20550000,152423732.30000000,1637884799999,2021-11-25 23:59:59,32348882.04831000,80574,79613374.40000000,16932599.79100000
1637884800000,2021-11-26 00:00:00,0.20550000,0.21110000,0.18850000,0.18930000,60605416.60000000,1637899199999,2021-11-26 03:59:59,12055836.79481000,28624,28166221.70000000,5603677.42487000
1637899200000,2021-11-26 04:00:00,0.18910000,0.20000000,0.18830000,0.18880000,40086061.50000000,1637913599999,2021-11-26 07:59:59,7780220.08356000,18636,20051749.00000000,3894259.67896000
1637913600000,2021-11-26 08:00:00,0.18880000,0.18880000,0.16520000,0.17020000,71151565.50000000,1637927999999,2021-11-26 11:59:59,12596380.43574000,23690,27219820.30000000,4819690.59826000
1637928000000,2021-11-26 12:00:00,0.17000000,0.18330000,0.16810000,0.18020000,35070482.30000000,1637942399999,2021-11-26 15:59:59,6191786.22883000,17606,17938084.10000000,3170335.93518000
1637942400000,2021-11-26 16:00:00,0.18030000,0.18030000,0.17250000,0.17630000,18911345.70000000,1637956799999,2021-11-26 19:59:59,3321048.87377000,8330,8134702.70000000,1428678.73782000
1637956800000,2021-11-26 20:00:00,0.17610000,0.17930000,0.16960000,0.17210000,17975926.10000000,1637971199999,2021-11-26 23:59:59,3135817.05523000,8723,8604668.10000000,1503214.26110000
1637971200000,2021-11-27 00:00:00,0.17200000,0.18140000,0.17030000,0.17970000,20542399.30000000,1637985599999,2021-11-27 03:59:59,3627505.76097000,7924,9793174.40000000,1729873.26308000
1637985600000,2021-11-27 04:00:00,0.17960000,0.18110000,0.17640000,0.17670000,12104089.50000000,1637999999999,2021-11-27 07:59:59,2162173.80080000,4259,5730340.70000000,1023651.80036000
1638000000000,2021-11-27 08:00:00,0.17670000,0.18760000,0.17650000,0.18760000,23849997.90000000,1638014399999,2021-11-27 11:59:59,4324327.39508000,8212,13615934.00000000,2470057.20019000
1638014400000,2021-11-27 12:00:00,0.18760000,0.18990000,0.17630000,0.17760000,26676727.80000000,1638028799999,2021-11-27 15:59:59,4821299.29267000,8264,11091436.70000000,2006164.85068000
1638028800000,2021-11-27 16:00:00,0.17760000,0.18060000,0.17670000,0.18020000,14112964.60000000,1638043199999,2021-11-27 19:59:59,2518741.58989000,5790,7435376.60000000,1328713.54931000
1638043200000,2021-11-27 20:00:00,0.18000000,0.18110000,0.17540000,0.17640000,11157637.20000000,1638057599999,2021-11-27 23:59:59,1981443.15815000,4011,4712497.10000000,837241.15423000
1638057600000,2021-11-28 00:00:00,0.17640000,0.17650000,0.16130000,0.16500000,30492320.20000000,1638071999999,2021-11-28 03:59:59,5120623.91105000,10003,13396278.90000000,2251928.89073000
1638072000000,2021-11-28 04:00:00,0.16510000,0.16720000,0.16330000,0.16510000,16620384.20000000,1638086399999,2021-11-28 07:59:59,2747395.46808000,4816,7431977.50000000,1229553.92242000
1638086400000,2021-11-28 08:00:00,0.16510000,0.17060000,0.16150000,0.16660000,15698328.50000000,1638100799999,2021-11-28 11:59:59,2602564.65508000,5086,8670423.40000000,1438013.10414000
1638100800000,2021-11-28 12:00:00,0.16670000,0.16720000,0.16310000,0.16580000,16323854.30000000,1638115199999,2021-11-28 15:59:59,2698087.06163000,5110,7520078.90000000,1242969.66322000
1638115200000,2021-11-28 16:00:00,0.16600000,0.16770000,0.16000000,0.16710000,15859284.20000000,1638129599999,2021-11-28 19:59:59,2601083.28035000,4746,7722715.90000000,1268544.09305000
1638129600000,2021-11-28 20:00:00,0.16700000,0.17010000,0.16410000,0.16950000,18329404.70000000,1638143999999,2021-11-28 23:59:59,3084398.21291000,4899,10284233.60000000,1734045.57654000
1638144000000,2021-11-29 00:00:00,0.16930000,0.17450000,0.16830000,0.16870000,33078092.90000000,1638158399999,2021-11-29 03:59:59,5680092.98777000,6657,21106588.70000000,3623688.95861000
1638158400000,2021-11-29 04:00:00,0.16870000,0.17270000,0.16840000,0.17030000,14617700.60000000,1638172799999,2021-11-29 07:59:59,2489945.76098000,4085,7555566.00000000,1288206.16616000
1638172800000,2021-11-29 08:00:00,0.17040000,0.17090000,0.16620000,0.16800000,12894435.70000000,1638187199999,2021-11-29 11:59:59,2170613.58680000,3871,5232568.00000000,881059.56072000
1638187200000,2021-11-29 12:00:00,0.16800000,0.17050000,0.16650000,0.16780000,18270131.00000000,1638201599999,2021-11-29 15:59:59,3085316.04110000,5191,8791204.10000000,1485569.11791000
1638201600000,2021-11-29 16:00:00,0.16780000,0.17000000,0.16670000,0.16780000,14840777.20000000,1638215999999,2021-11-29 19:59:59,2497929.87347000,4223,6926574.00000000,1166862.33542000
1638216000000,2021-11-29 20:00:00,0.16780000,0.17200000,0.16730000,0.16790000,14578494.70000000,1638230399999,2021-11-29 23:59:59,2472650.08293000,4619,7694083.60000000,1306153.07140000
1638230400000,2021-11-30 00:00:00,0.16800000,0.16930000,0.16500000,0.16620000,17627212.00000000,1638244799999,2021-11-30 03:59:59,2942498.05934000,3586,4288493.60000000,716618.93269000
1638244800000,2021-11-30 04:00:00,0.16600000,0.16620000,0.16210000,0.16250000,15774555.10000000,1638259199999,2021-11-30 07:59:59,2584919.28237000,4208,6382631.70000000,1046367.84695000
1638259200000,2021-11-30 08:00:00,0.16250000,0.16680000,0.16190000,0.16370000,15005278.90000000,1638273599999,2021-11-30 11:59:59,2462842.67583000,3652,7389690.40000000,1213493.70137000
1638273600000,2021-11-30 12:00:00,0.16380000,0.16790000,0.16380000,0.16560000,16994330.30000000,1638287999999,2021-11-30 15:59:59,2823272.25143000,4016,9019726.70000000,1498855.99656000
