fundingTime,fundingTime_dt,fundingRate,markPrice
1780070400008,2026-05-29 16:00:00,0.00005000,0.09557632
1780084800000,2026-05-29 20:00:00,-0.00003077,0.09485000
1780099200000,2026-05-30 00:00:00,0.00005000,0.09621000
1780113600004,2026-05-30 04:00:00,0.00005000,0.09617000
1780128000001,2026-05-30 08:00:00,-0.00001423,0.09582000
1780142400000,2026-05-30 12:00:00,0.00005000,0.09723357
1780156800000,2026-05-30 16:00:00,0.00005000,0.09664933
1780171200000,2026-05-30 20:00:00,-0.00000102,0.09676000
1780185600000,2026-05-31 00:00:00,0.00003662,0.09673000
1780200000006,2026-05-31 04:00:00,-0.00002752,0.09062000
1780214400000,2026-05-31 08:00:00,0.00000459,0.09202000
1780228800005,2026-05-31 12:00:00,0.00001185,0.09256946
1780243200004,2026-05-31 16:00:00,0.00005000,0.09311000
1780257600010,2026-05-31 20:00:00,0.00005000,0.09324000
1780272000001,2026-06-01 00:00:00,0.00000475,0.09342183
1780286400006,2026-06-01 04:00:00,0.00005000,0.09575000
1780300800001,2026-06-01 08:00:00,0.00005000,0.09582800
1780315200000,2026-06-01 12:00:00,0.00005000,0.09603156
1780329600000,2026-06-01 16:00:00,0.00005000,0.09642000
1780344000000,2026-06-01 20:00:00,0.00005000,0.09573276
1780358400000,2026-06-02 00:00:00,0.00005000,0.09526500
1780372800008,2026-06-02 04:00:00,0.00005000,0.09505251
1780387200000,2026-06-02 08:00:00,0.00005000,0.09643000
1780401600002,2026-06-02 12:00:00,0.00005000,0.09508104
1780416000000,2026-06-02 16:00:00,0.00005000,0.09478018
1780430400000,2026-06-02 20:00:00,0.00005000,0.09478411
1780444800013,2026-06-03 00:00:00,-0.00002467,0.09303841
1780459200000,2026-06-03 04:00:00,-0.00001656,0.09206869
1780473600000,2026-06-03 08:00:00,-0.00002501,0.08778789
1780488000000,2026-06-03 12:00:00,-0.00011959,0.08348931
1780502400001,2026-06-03 16:00:00,-0.00027860,0.07969136
1780516800002,2026-06-03 20:00:00,-0.00155006,0.07694000
1780531200009,2026-06-04 00:00:00,-0.00182007,0.07333000
1780545600000,2026-06-04 04:00:00,-0.00118832,0.07228000
1780560000000,2026-06-04 08:00:00,-0.00040584,0.07799726
