open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1579219200000,2020-01-17 00:00:00,2.669,2.896,2.592,2.696,8174258.39,1579305599999,2020-01-17 23:59:59,22425934.89725,36920,3326660.95,9138048.00338
1579305600000,2020-01-18 00:00:00,2.696,2.799,2.560,2.774,7920982.41,1579391999999,2020-01-18 23:59:59,21440910.55910,56256,3765500.97,10212237.09013
1579392000000,2020-01-19 00:00:00,2.777,2.854,2.519,2.623,9414962.40,1579478399999,2020-01-19 23:59:59,25247536.95095,62742,4394977.94,11812710.73973
1579478400000,2020-01-20 00:00:00,2.623,2.745,2.544,2.695,7244721.52,1579564799999,2020-01-20 23:59:59,19123342.09899,51894,3563417.72,9414975.62324
1579564800000,2020-01-21 00:00:00,2.694,2.745,2.561,2.673,5857502.02,1579651199999,2020-01-21 23:59:59,15706662.17502,26735,2787121.39,7484226.23111
1579651200000,2020-01-22 00:00:00,2.675,2.694,2.626,2.654,3308776.35,1579737599999,2020-01-22 23:59:59,8813676.45578,23590,1658525.68,4423141.09234
1579737600000,2020-01-23 00:00:00,2.656,2.659,2.430,2.471,5259106.64,1579823999999,2020-01-23 23:59:59,13164039.29156,24001,2278709.50,5700396.52745
1579824000000,2020-01-24 00:00:00,2.470,2.542,2.350,2.504,3786409.71,1579910399999,2020-01-24 23:59:59,9314780.46289,17604,1767894.85,4360037.97212
1579910400000,2020-01-25 00:00:00,2.506,2.515,2.436,2.448,2024211.40,1579996799999,2020-01-25 23:59:59,4994751.19487,12765,958367.54,2367145.30726
1579996800000,2020-01-26 00:00:00,2.449,2.582,2.429,2.575,1798455.47,1580083199999,2020-01-26 23:59:59,4519267.92872,11369,891444.97,2239309.26723
1580083200000,2020-01-27 00:00:00,2.579,2.683,2.561,2.608,3819200.89,1580169599999,2020-01-27 23:59:59,10004663.89104,16970,1865555.99,4892033.30792
1580169600000,2020-01-28 00:00:00,2.610,2.678,2.588,2.656,3230957.43,1580255999999,2020-01-28 23:59:59,8507284.78084,13645,1589627.64,4190398.74831
1580256000000,2020-01-29 00:00:00,2.659,2.839,2.644,2.781,5033997.71,1580342399999,2020-01-29 23:59:59,13801884.94774,20584,2427954.25,6655546.35881
1580342400000,2020-01-30 00:00:00,2.781,2.950,2.706,2.914,6791645.62,1580428799999,2020-01-30 23:59:59,19451691.89007,28002,3243700.01,9302092.88132
1580428800000,2020-01-31 00:00:00,2.917,2.929,2.762,2.825,3932003.60,1580515199999,2020-01-31 23:59:59,11247269.86853,16776,1829815.02,5240990.02612
1580515200000,2020-02-01 00:00:00,2.830,2.888,2.737,2.841,2911735.11,1580601599999,2020-02-01 23:59:59,8196149.88420,12378,1318041.29,3711310.57885
1580601600000,2020-02-02 00:00:00,2.840,2.894,2.737,2.832,3802570.97,1580687999999,2020-02-02 23:59:59,10810858.43364,18795,1810162.55,5148739.90924
1580688000000,2020-02-03 00:00:00,2.832,2.884,2.747,2.782,3581271.52,1580774399999,2020-02-03 23:59:59,10037299.89042,16967,1621178.92,4545860.78377
1580774400000,2020-02-04 00:00:00,2.780,2.806,2.676,2.741,4986574.63,1580860799999,2020-02-04 23:59:59,13644207.64028,17959,2291039.87,6267967.52050
1580860800000,2020-02-05 00:00:00,2.743,2.891,2.732,2.843,6672109.53,1580947199999,2020-02-05 23:59:59,18900536.46915,22807,3218452.92,9120534.18290
1580947200000,2020-02-06 00:00:00,2.843,2.970,2.794,2.902,6810869.82,1581033599999,2020-02-06 23:59:59,19712674.37223,21822,3151233.14,9128597.74034
1581033600000,2020-02-07 00:00:00,2.902,3.365,2.900,3.311,21498629.65,1581119999999,2020-02-07 23:59:59,68850706.69227,71514,10586725.60,33901958.48476
1581120000000,2020-02-08 00:00:00,3.310,3.480,3.110,3.420,13960201.73,1581206399999,2020-02-08 23:59:59,46362591.52324,54174,7042277.36,23435086.77828
1581206400000,2020-02-09 00:00:00,3.419,3.525,3.232,3.504,10618619.75,1581292799999,2020-02-09 23:59:59,35813340.69914,38497,5083883.30,17167315.82176
1581292800000,2020-02-10 00:00:00,3.503,3.511,3.272,3.388,12794908.32,1581379199999,2020-02-10 23:59:59,43418524.12255,49850,5794213.94,19666690.50898
1581379200000,2020-02-11 00:00:00,3.389,3.999,3.353,3.989,20242362.25,1581465599999,2020-02-11 23:59:59,74548717.47831,75307,10732729.73,39539693.00367
1581465600000,2020-02-12 00:00:00,3.992,4.200,3.861,3.988,21463540.02,1581551999999,2020-02-12 23:59:59,86826634.52592,100878,10294754.60,41669674.61632
1581552000000,2020-02-13 00:00:00,3.996,4.141,3.669,3.878,15384991.48,1581638399999,2020-02-13 23:59:59,60731868.18432,64603,7018018.08,27728737.45903
1581638400000,2020-02-14 00:00:00,3.877,4.494,3.797,4.430,16408846.63,1581724799999,2020-02-14 23:59:59,68503920.94191,83211,8214550.79,34311351.41435
1581724800000,2020-02-15 00:00:00,4.434,4.632,4.050,4.328,25198236.75,1581811199999,2020-02-15 23:59:59,110588683.66441,133255,11969645.22,52669976.81244
1581811200000,2020-02-16 00:00:00,4.327,4.884,4.000,4.454,36234506.95,1581897599999,2020-02-16 23:59:59,163125205.46949,140909,17564981.78,79300749.04363
1581897600000,2020-02-17 00:00:00,4.450,4.567,3.854,4.302,29599801.05,1581983999999,2020-02-17 23:59:59,123703898.05274,169492,14117686.95,59084729.30117
1581984000000,2020-02-18 00:00:00,4.308,4.656,4.139,4.564,22201270.68,1582070399999,2020-02-18 23:59:59,98623863.46759,115975,10866928.33,48339401.36524
1582070400000,2020-02-19 00:00:00,4.560,4.869,4.172,4.386,22940583.81,1582156799999,2020-02-19 23:59:59,106394232.85321,128265,10946383.01,50903934.72296
1582156800000,2020-02-20 00:00:00,4.386,4.481,4.066,4.267,17990206.45,1582243199999,2020-02-20 23:59:59,76620260.75259,112069,8558460.75,36501327.68855
1582243200000,2020-02-21 00:00:00,4.268,4.510,4.180,4.275,14439042.63,1582329599999,2020-02-21 23:59:59,62753120.25094,72757,6895746.31,29985765.52634
1582329600000,2020-02-22 00:00:00,4.276,4.348,4.052,4.105,13391901.76,1582415999999,2020-02-22 23:59:59,55927552.89178,91318,6475932.35,27059249.34206
1582416000000,2020-02-23 00:00:00,4.105,4.378,4.072,4.236,12543473.13,1582502399999,2020-02-23 23:59:59,53348404.71812,72905,5998040.06,25506291.58074
1582502400000,2020-02-24 00:00:00,4.239,4.295,3.801,3.923,17653202.98,1582588799999,2020-02-24 23:59:59,70972065.43254,94447,8143922.81,32786897.56828
1582588800000,2020-02-25 00:00:00,3.923,3.964,3.478,3.491,21775940.01,1582675199999,2020-02-25 23:59:59,80529163.54203,115127,10031410.30,37152513.74490
