open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1612411200000,2021-02-04 04:00:00,0.25000000,18.82640000,0.25000000,3.97610000,28206433.43000000,1612425599999,2021-02-04 07:59:59,130630184.10320500,301470,14160457.77000000,65577751.44692900
1612425600000,2021-02-04 08:00:00,3.97610000,5.36000000,3.70000000,4.45180000,12249777.33000000,1612439999999,2021-02-04 11:59:59,54376955.16026200,143491,6460445.36000000,28809460.54449100
1612440000000,2021-02-04 12:00:00,4.44810000,4.44810000,3.71090000,4.13090000,6242714.28000000,1612454399999,2021-02-04 15:59:59,25116765.96735000,71482,3027987.01000000,12206953.13539300
1612454400000,2021-02-04 16:00:00,4.13180000,4.24800000,3.32110000,3.42300000,4074278.66000000,1612468799999,2021-02-04 19:59:59,15498054.57644500,46171,1882376.66000000,7157211.46679800
1612468800000,2021-02-04 20:00:00,3.42300000,3.54600000,3.02000000,3.06050000,4171034.99000000,1612483199999,2021-02-04 23:59:59,13477081.99385900,43819,1984187.85000000,6432643.79392000
1612483200000,2021-02-05 00:00:00,3.06060000,3.85000000,3.05240000,3.31900000,4666282.44000000,1612497599999,2021-02-05 03:59:59,15973820.22359300,43682,2302660.84000000,7903090.74240000
1612497600000,2021-02-05 04:00:00,3.30410000,3.49100000,3.20000000,3.26000000,1941806.00000000,1612511999999,2021-02-05 07:59:59,6464397.29856800,22294,921554.75000000,3080501.44109100
1612512000000,2021-02-05 08:00:00,3.26300000,3.49750000,3.24010000,3.32210000,1886850.62000000,1612526399999,2021-02-05 11:59:59,6308274.76682300,18591,956339.55000000,3202182.34335900
1612526400000,2021-02-05 12:00:00,3.32210000,3.40690000,3.21000000,3.24200000,1414270.47000000,1612540799999,2021-02-05 15:59:59,4658664.01297800,14458,651986.57000000,2152275.92425800
1612540800000,2021-02-05 16:00:00,3.24210000,3.90920000,3.24200000,3.75420000,2685730.07000000,1612555199999,2021-02-05 19:59:59,9667358.68823400,32052,1504701.35000000,5416878.63017600
1612555200000,2021-02-05 20:00:00,3.75380000,5.93620000,3.62060000,5.49990000,8094264.44000000,1612569599999,2021-02-05 23:59:59,38932659.28203400,100551,4570273.75000000,21909866.08279000
