fundingTime,fundingTime_dt,fundingRate,markPrice
1611820800000,2021-01-28 08:00:00,0.00010000,
1611849600000,2021-01-28 16:00:00,-0.00050781,
1611878400009,2021-01-29 00:00:00,-0.00033569,
1611907200000,2021-01-29 08:00:00,-0.00408354,
1611936000000,2021-01-29 16:00:00,-0.00218174,
1611964800000,2021-01-30 00:00:00,0.00010000,
1611993600000,2021-01-30 08:00:00,-0.00073034,
1612022400000,2021-01-30 16:00:00,0.00010000,
1612051200009,2021-01-31 00:00:00,0.00170238,
1612080000000,2021-01-31 08:00:00,0.00078625,
1612108800000,2021-01-31 16:00:00,0.00123487,
1612137600001,2021-02-01 00:00:00,0.00023466,
1612166400014,2021-02-01 08:00:00,0.00067544,
1612195200000,2021-02-01 16:00:00,0.00037217,
1612224000000,2021-02-02 00:00:00,0.00025580,
1612252800006,2021-02-02 08:00:00,0.00039648,
1612281600000,2021-02-02 16:00:00,0.00088668,
1612310400009,2021-02-03 00:00:00,0.00170426,
1612339200006,2021-02-03 08:00:00,0.00325376,
1612368000006,2021-02-03 16:00:00,0.00298634,
1612396800005,2021-02-04 00:00:00,0.00397295,
1612425600000,2021-02-04 08:00:00,0.00352845,
1612454400011,2021-02-04 16:00:00,0.00100603,
1612483200009,2021-02-05 00:00:00,0.00271546,
1612512000004,2021-02-05 08:00:00,0.00437336,
1612540800000,2021-02-05 16:00:00,0.00369036,
1612569600008,2021-02-06 00:00:00,0.00241419,
1612598400009,2021-02-06 08:00:00,0.00028753,
1612627200000,2021-02-06 16:00:00,0.00094132,
1612656000000,2021-02-07 00:00:00,0.00198741,
1612684800005,2021-02-07 08:00:00,0.00121136,
1612713600001,2021-02-07 16:00:00,0.00041514,
1612742400000,2021-02-08 00:00:00,0.00063713,
1612771200001,2021-02-08 08:00:00,0.00125631,
1612800000000,2021-02-08 16:00:00,0.00143967,
1612828800010,2021-02-09 00:00:00,0.00393508,
1612857600006,2021-02-09 08:00:00,0.00496222,
1612886400007,2021-02-09 16:00:00,0.00385086,
1612915200009,2021-02-10 00:00:00,0.00512317,
1612944000014,2021-02-10 08:00:00,0.00537462,
1612972800005,2021-02-10 16:00:00,0.00187110,
1613001600000,2021-02-11 00:00:00,0.00199140,
1613030400000,2021-02-11 08:00:00,0.00364737,
1613059200000,2021-02-11 16:00:00,0.00508495,
1613088000000,2021-02-12 00:00:00,0.00504183,
1613116800000,2021-02-12 08:00:00,0.00380620,
1613145600000,2021-02-12 16:00:00,0.00483225,
1613174400001,2021-02-13 00:00:00,0.00427315,
1613203200003,2021-02-13 08:00:00,0.00448576,
1613232000000,2021-02-13 16:00:00,0.00293174,
1613260800013,2021-02-14 00:00:00,0.00490211,
1613289600000,2021-02-14 08:00:00,0.00347175,
1613318400008,2021-02-14 16:00:00,0.00273215,
1613347200000,2021-02-15 00:00:00,0.00070795,
1613376000006,2021-02-15 08:00:00,0.00058136,
1613404800000,2021-02-15 16:00:00,0.00085336,
1613433600001,2021-02-16 00:00:00,0.00060360,
1613462400000,2021-02-16 08:00:00,0.00093667,
1613491200010,2021-02-16 16:00:00,0.00132909,
1613520000005,2021-02-17 00:00:00,0.00085546,
1613548800010,2021-02-17 08:00:00,0.00119718,
1613577600008,2021-02-17 16:00:00,0.00135297,
1613606400012,2021-02-18 00:00:00,0.00260797,
1613635200000,2021-02-18 08:00:00,0.00180332,
1613664000009,2021-02-18 16:00:00,0.00336263,
1613692800010,2021-02-19 00:00:00,0.00137342,
1613721600002,2021-02-19 08:00:00,0.00034811,
1613750400008,2021-02-19 16:00:00,0.00317371,
1613779200000,2021-02-20 00:00:00,0.00175728,
1613808000009,2021-02-20 08:00:00,0.00390198,
1613836800000,2021-02-20 16:00:00,0.00403571,
1613865600007,2021-02-21 00:00:00,0.00010000,
1613894400012,2021-02-21 08:00:00,0.00032221,
1613923200001,2021-02-21 16:00:00,0.00010000,
1613952000006,2021-02-22 00:00:00,0.00010000,
1613980800002,2021-02-22 08:00:00,-0.00066505,
1614009600000,2021-02-22 16:00:00,-0.00152461,
1614038400000,2021-02-23 00:00:00,-0.00109022,
1614067200006,2021-02-23 08:00:00,0.00010000,
1614096000000,2021-02-23 16:00:00,0.00010000,
1614124800012,2021-02-24 00:00:00,0.00016997,
