fundingTime,fundingTime_dt,fundingRate,markPrice
1705593600000,2024-01-18 16:00:00,-0.00538034,2.14400000
1705608000000,2024-01-18 20:00:00,-0.00024888,2.11726039
1705622400000,2024-01-19 00:00:00,0.00008187,2.17120000
1705636800000,2024-01-19 04:00:00,0.00005000,2.10196297
1705651200000,2024-01-19 08:00:00,0.00005000,2.14170000
1705665600000,2024-01-19 12:00:00,0.00005000,2.18392469
1705680000002,2024-01-19 16:00:00,0.00005000,2.24069256
1705694400000,2024-01-19 20:00:00,0.00041568,2.46760000
1705708800000,2024-01-20 00:00:00,0.00017810,2.31712435
1705723200000,2024-01-20 04:00:00,0.00017254,2.31294277
1705737600003,2024-01-20 08:00:00,0.00005000,2.32811875
1705752000000,2024-01-20 12:00:00,0.00005000,2.25209655
1705766400000,2024-01-20 16:00:00,0.00005000,2.17806820
1705780800000,2024-01-20 20:00:00,0.00005000,2.28789091
1705795200000,2024-01-21 00:00:00,0.00005000,2.26750000
1705809600000,2024-01-21 04:00:00,0.00005000,2.24824283
1705824000000,2024-01-21 08:00:00,0.00005000,2.46619885
1705838400000,2024-01-21 12:00:00,0.00005000,2.39150000
1705852800000,2024-01-21 16:00:00,0.00005000,2.48071674
1705867200000,2024-01-21 20:00:00,0.00005000,2.49370000
1705881600000,2024-01-22 00:00:00,0.00000047,2.66985376
1705896000001,2024-01-22 04:00:00,-0.00083509,2.63508353
1705910400000,2024-01-22 08:00:00,0.00005419,2.41930000
1705924800000,2024-01-22 12:00:00,0.00005000,2.49629262
1705939200000,2024-01-22 16:00:00,0.00027015,2.47551974
1705953600000,2024-01-22 20:00:00,0.00023206,2.41259360
1705968000000,2024-01-23 00:00:00,0.00005000,2.44254954
1705982400000,2024-01-23 04:00:00,0.00005000,2.45709543
1705996800000,2024-01-23 08:00:00,0.00005381,2.44990000
1706011200000,2024-01-23 12:00:00,0.00005000,2.35180000
1706025600000,2024-01-23 16:00:00,0.00005000,2.30050613
1706040000000,2024-01-23 20:00:00,0.00005000,2.44284372
1706054400000,2024-01-24 00:00:00,0.00005000,2.63043594
1706068800000,2024-01-24 04:00:00,0.00012974,2.54078699
1706083200000,2024-01-24 08:00:00,0.00005000,2.66830000
1706097600000,2024-01-24 12:00:00,0.00005000,2.84909794
1706112000000,2024-01-24 16:00:00,0.00005000,2.93122964
1706126400000,2024-01-24 20:00:00,0.00005000,3.09862676
1706140800000,2024-01-25 00:00:00,0.00005000,3.24844656
1706155200000,2024-01-25 04:00:00,0.00005000,3.26099719
1706169600001,2024-01-25 08:00:00,0.00005000,3.14631544
1706184000000,2024-01-25 12:00:00,0.00005000,3.00679215
1706198400000,2024-01-25 16:00:00,0.00005000,3.10930000
1706212800000,2024-01-25 20:00:00,0.00005000,3.14751592
1706227200001,2024-01-26 00:00:00,0.00005000,2.97647010
1706241600001,2024-01-26 04:00:00,0.00005000,2.90470000
1706256000000,2024-01-26 08:00:00,0.00005000,2.90249721
1706270400000,2024-01-26 12:00:00,0.00005000,3.08584084
1706284800000,2024-01-26 16:00:00,0.00005000,3.06281693
1706299200000,2024-01-26 20:00:00,0.00010026,3.40294399
1706313600000,2024-01-27 00:00:00,0.00005000,3.48129736
1706328000000,2024-01-27 04:00:00,0.00005000,3.38740870
1706342400000,2024-01-27 08:00:00,0.00005000,3.42305870
1706356800000,2024-01-27 12:00:00,0.00005000,3.61424152
1706371200000,2024-01-27 16:00:00,0.00005000,3.74045786
1706385600000,2024-01-27 20:00:00,0.00005000,3.81522121
1706400000000,2024-01-28 00:00:00,0.00005000,3.60513867
1706414400000,2024-01-28 04:00:00,0.00005000,3.70861750
1706428800000,2024-01-28 08:00:00,0.00005000,3.63034465
1706443200000,2024-01-28 12:00:00,0.00005000,3.56198883
1706457600000,2024-01-28 16:00:00,0.00005000,3.48940000
1706472000000,2024-01-28 20:00:00,0.00005000,3.51338103
1706486400000,2024-01-29 00:00:00,0.00005000,3.47819568
1706500800001,2024-01-29 04:00:00,0.00005000,3.61550000
