fundingTime,fundingTime_dt,fundingRate,markPrice
1737374400002,2025-01-20 12:00:00,0.00139456,9.56798333
1737388800000,2025-01-20 16:00:00,0.00011318,7.68600000
1737403200001,2025-01-20 20:00:00,0.00005000,5.53000000
1737417600000,2025-01-21 00:00:00,0.00005000,3.77033333
1737432000000,2025-01-21 04:00:00,-0.00013203,4.01100000
1737446400000,2025-01-21 08:00:00,0.00005000,4.43300000
1737460800000,2025-01-21 12:00:00,0.00005000,4.41248276
1737475200000,2025-01-21 16:00:00,0.00020581,4.13600000
1737489600000,2025-01-21 20:00:00,0.00022072,4.17860000
1737504000000,2025-01-22 00:00:00,0.00005000,4.16000000
1737518400000,2025-01-22 04:00:00,0.00005000,3.97000000
1737532800000,2025-01-22 08:00:00,0.00005000,4.04300000
1737547200000,2025-01-22 12:00:00,0.00005000,4.01308333
1737561600000,2025-01-22 16:00:00,0.00005000,3.71200000
1737576000000,2025-01-22 20:00:00,0.00019759,3.71600000
1737590400001,2025-01-23 00:00:00,0.00013881,3.46300000
1737604800001,2025-01-23 04:00:00,0.00035359,3.36300000
1737619200000,2025-01-23 08:00:00,0.00039926,3.09247333
1737633600000,2025-01-23 12:00:00,0.00005000,2.82000000
1737648000000,2025-01-23 16:00:00,0.00005000,2.87917000
1737662400000,2025-01-23 20:00:00,0.00005000,2.70600000
1737676800000,2025-01-24 00:00:00,0.00005000,2.74505333
1737691200000,2025-01-24 04:00:00,0.00011534,2.63990000
1737705600000,2025-01-24 08:00:00,0.00005000,2.75349667
1737720000001,2025-01-24 12:00:00,0.00027544,2.73000000
1737734400000,2025-01-24 16:00:00,0.00005000,2.59900000
1737748800000,2025-01-24 20:00:00,0.00005000,2.57210000
1737763200000,2025-01-25 00:00:00,0.00026229,2.47800000
1737777600000,2025-01-25 04:00:00,0.00019472,2.45100000
1737792000000,2025-01-25 08:00:00,0.00024712,2.30200000
1737806400000,2025-01-25 12:00:00,0.00005000,2.35400000
1737820800001,2025-01-25 16:00:00,0.00005000,2.44516000
1737835200001,2025-01-25 20:00:00,0.00005000,2.80150000
1737849600000,2025-01-26 00:00:00,0.00005000,2.73900000
1737864000000,2025-01-26 04:00:00,0.00005000,2.71100000
1737878400000,2025-01-26 08:00:00,0.00003507,2.65362333
1737892800000,2025-01-26 12:00:00,0.00005000,2.60700000
1737907200000,2025-01-26 16:00:00,0.00005000,2.56410000
1737921600000,2025-01-26 20:00:00,0.00005000,2.59449667
1737936000000,2025-01-27 00:00:00,0.00013851,2.39210000
1737950400000,2025-01-27 04:00:00,0.00005000,2.39530000
1737964800000,2025-01-27 08:00:00,0.00018392,2.35900000
1737979200001,2025-01-27 12:00:00,0.00010822,2.43050000
1737993600000,2025-01-27 16:00:00,0.00005000,2.44950000
1738008000000,2025-01-27 20:00:00,0.00005000,2.41034333
1738022400000,2025-01-28 00:00:00,0.00028980,2.58600000
1738036800000,2025-01-28 04:00:00,0.00011604,2.57400000
1738051200000,2025-01-28 08:00:00,0.00020470,2.50320000
1738065600000,2025-01-28 12:00:00,0.00005000,2.47450000
1738080000000,2025-01-28 16:00:00,0.00005000,2.45010333
1738094400000,2025-01-28 20:00:00,0.00010111,2.38449667
1738108800000,2025-01-29 00:00:00,0.00005000,2.30700000
1738123200001,2025-01-29 04:00:00,0.00005000,2.33500000
1738137600000,2025-01-29 08:00:00,0.00011505,2.36300000
1738152000000,2025-01-29 12:00:00,0.00035593,2.36315333
1738166400000,2025-01-29 16:00:00,0.00008254,2.33640333
1738180800000,2025-01-29 20:00:00,0.00016970,2.30844667
1738195200000,2025-01-30 00:00:00,0.00005000,2.23560000
1738209600000,2025-01-30 04:00:00,0.00005000,2.24536000
1738224000000,2025-01-30 08:00:00,0.00023428,2.25600000
1738238400000,2025-01-30 12:00:00,0.00005000,2.28443000
1738252800000,2025-01-30 16:00:00,0.00005000,2.23900000
1738267200000,2025-01-30 20:00:00,0.00005000,2.18000000
1738281600000,2025-01-31 00:00:00,0.00005000,2.11000000
1738296000000,2025-01-31 04:00:00,0.00005000,2.06282333
1738310400000,2025-01-31 08:00:00,0.00012771,2.05400000
1738324800001,2025-01-31 12:00:00,0.00039666,2.12200000
1738339200000,2025-01-31 16:00:00,0.00034115,2.10350000
1738353600000,2025-01-31 20:00:00,0.00011231,1.98700000
1738368000000,2025-02-01 00:00:00,0.00005000,1.93210000
1738382400000,2025-02-01 04:00:00,0.00005000,1.84208333
1738396800000,2025-02-01 08:00:00,0.00011452,1.79650000
1738411200000,2025-02-01 12:00:00,0.00005000,1.77500000
1738425600000,2025-02-01 16:00:00,0.00005000,1.74804000
1738440000000,2025-02-01 20:00:00,-0.00058364,1.65101034
1738454400001,2025-02-02 00:00:00,-0.00008976,1.57004667
1738468800000,2025-02-02 04:00:00,-0.00041251,1.60000000
1738483200000,2025-02-02 08:00:00,-0.00025381,1.66500000
1738497600000,2025-02-02 12:00:00,0.00005000,1.62684667
1738512000000,2025-02-02 16:00:00,0.00005000,1.66850000
