fundingTime,fundingTime_dt,fundingRate,markPrice
1699027200000,2023-11-03 16:00:00,0.00005000,0.02419221
1699041600001,2023-11-03 20:00:00,0.00005000,0.02372500
1699056000000,2023-11-04 00:00:00,0.00009717,0.02623614
1699070400000,2023-11-04 04:00:00,0.00005000,0.02353101
1699084800000,2023-11-04 08:00:00,0.00035083,0.02436847
1699099200000,2023-11-04 12:00:00,0.00029250,0.02492240
1699113600000,2023-11-04 16:00:00,0.00020632,0.02476260
1699128000001,2023-11-04 20:00:00,0.00019343,0.02432900
1699142400000,2023-11-05 00:00:00,0.00036028,0.02510600
1699156800000,2023-11-05 04:00:00,0.00052198,0.02359600
1699171200000,2023-11-05 08:00:00,0.00038489,0.02339900
1699185600000,2023-11-05 12:00:00,0.00055306,0.02339056
1699200000000,2023-11-05 16:00:00,0.00031745,0.02072883
1699214400001,2023-11-05 20:00:00,0.00010629,0.01995100
1699228800000,2023-11-06 00:00:00,0.00028874,0.01986652
1699243200000,2023-11-06 04:00:00,0.00005000,0.02014553
1699257600001,2023-11-06 08:00:00,0.00005000,0.02017038
1699272000000,2023-11-06 12:00:00,0.00014848,0.02047500
1699286400000,2023-11-06 16:00:00,0.00014888,0.01996700
1699300800000,2023-11-06 20:00:00,0.00024155,0.01995497
1699315200001,2023-11-07 00:00:00,0.00036086,0.02098500
1699329600000,2023-11-07 04:00:00,0.00005112,0.01988000
1699344000000,2023-11-07 08:00:00,0.00012220,0.01980912
1699358400000,2023-11-07 12:00:00,0.00006361,0.01863854
1699372800000,2023-11-07 16:00:00,0.00011281,0.01850028
1699387200001,2023-11-07 20:00:00,0.00005000,0.01763800
1699401600000,2023-11-08 00:00:00,0.00005000,0.01778750
1699416000000,2023-11-08 04:00:00,0.00013347,0.01817900
1699430400000,2023-11-08 08:00:00,0.00016513,0.01785000
1699444800000,2023-11-08 12:00:00,0.00012995,0.01773600
1699459200000,2023-11-08 16:00:00,0.00017293,0.01820300
1699473600001,2023-11-08 20:00:00,0.00006437,0.01815800
1699488000000,2023-11-09 00:00:00,0.00016183,0.01815157
1699502400000,2023-11-09 04:00:00,0.00020855,0.01916026
1699516800000,2023-11-09 08:00:00,0.00038093,0.02068200
1699531200000,2023-11-09 12:00:00,0.00023063,0.02046295
1699545600000,2023-11-09 16:00:00,0.00035697,0.02011027
1699560000000,2023-11-09 20:00:00,0.00005000,0.01871631
1699574400000,2023-11-10 00:00:00,0.00005000,0.01942145
1699588800000,2023-11-10 04:00:00,0.00005000,0.02089415
1699603200000,2023-11-10 08:00:00,0.00036223,0.02009966
1699617600000,2023-11-10 12:00:00,0.00005406,0.02033837
1699632000000,2023-11-10 16:00:00,0.00006808,0.01922200
1699646400000,2023-11-10 20:00:00,0.00036138,0.01991874
1699660800000,2023-11-11 00:00:00,0.00055353,0.02103300
1699675200000,2023-11-11 04:00:00,0.00036671,0.02372428
1699689600000,2023-11-11 08:00:00,0.00015905,0.02202027
1699704000000,2023-11-11 12:00:00,0.00034648,0.02188600
1699718400000,2023-11-11 16:00:00,0.00054731,0.02244300
1699732800000,2023-11-11 20:00:00,0.00044754,0.02365600
1699747200000,2023-11-12 00:00:00,0.00042714,0.02224525
1699761600000,2023-11-12 04:00:00,0.00016816,0.02118400
1699776000000,2023-11-12 08:00:00,0.00017427,0.02217965
1699790400000,2023-11-12 12:00:00,0.00040570,0.02179300
1699804800001,2023-11-12 16:00:00,0.00025026,0.02148600
1699819200000,2023-11-12 20:00:00,0.00037806,0.02131600
1699833600000,2023-11-13 00:00:00,0.00050035,0.02169874
1699848000000,2023-11-13 04:00:00,0.00019459,0.02228823
1699862400000,2023-11-13 08:00:00,0.00023191,0.02394231
1699876800000,2023-11-13 12:00:00,0.00022414,0.02935165
1699891200000,2023-11-13 16:00:00,0.00005000,0.03260002
1699905600000,2023-11-13 20:00:00,0.00021494,0.03561061
1699920000000,2023-11-14 00:00:00,0.00047416,0.03403129
1699934400000,2023-11-14 04:00:00,0.00013187,0.03320742
1699948800000,2023-11-14 08:00:00,0.00005000,0.03544600
1699963200000,2023-11-14 12:00:00,0.00021558,0.03293300
1699977600001,2023-11-14 16:00:00,0.00016798,0.03590310
1699992000001,2023-11-14 20:00:00,0.00013178,0.03337600
1700006400000,2023-11-15 00:00:00,0.00021662,0.03621918
1700020800000,2023-11-15 04:00:00,0.00005000,0.03866162
1700035200000,2023-11-15 08:00:00,0.00022578,0.03845000
1700049600000,2023-11-15 12:00:00,0.00025813,0.03824500
1700064000000,2023-11-15 16:00:00,0.00026857,0.03932841
1700078400000,2023-11-15 20:00:00,0.00011952,0.03823133
1700092800000,2023-11-16 00:00:00,0.00043928,0.03386426
1700107200000,2023-11-16 04:00:00,0.00034144,0.03514472
1700121600000,2023-11-16 08:00:00,0.00036981,0.03503129
1700136000000,2023-11-16 12:00:00,0.00025488,0.03375900
