fundingTime,fundingTime_dt,fundingRate,markPrice
1710172800000,2024-03-11 16:00:00,0.00010000,135.91216601
1710201600000,2024-03-12 00:00:00,0.00010000,133.76873158
1710230400000,2024-03-12 08:00:00,0.00010000,128.14052111
1710244800000,2024-03-12 12:00:00,0.00047700,130.90000000
1710259200000,2024-03-12 16:00:00,0.00056486,130.17821039
1710273600000,2024-03-12 20:00:00,0.00048703,129.26283990
1710288000000,2024-03-13 00:00:00,0.00055891,131.58000000
1710302400000,2024-03-13 04:00:00,0.00047906,130.79000000
1710316800001,2024-03-13 08:00:00,0.00057221,133.94553467
1710331200000,2024-03-13 12:00:00,0.00068549,132.84882948
1710345600000,2024-03-13 16:00:00,0.00057546,132.35000000
1710360000000,2024-03-13 20:00:00,0.00056273,130.19000000
1710374400001,2024-03-14 00:00:00,0.00062906,133.65879766
1710388800000,2024-03-14 04:00:00,0.00067840,132.39898085
1710403200000,2024-03-14 08:00:00,0.00072260,128.86000000
1710417600000,2024-03-14 12:00:00,0.00072967,127.53000000
1710432000000,2024-03-14 16:00:00,0.00067214,123.06599753
1710446400001,2024-03-14 20:00:00,0.00066110,121.16000000
1710460800000,2024-03-15 00:00:00,0.00088143,126.68087982
1710475200000,2024-03-15 04:00:00,0.00041630,119.29916978
1710489600000,2024-03-15 08:00:00,0.00041143,117.76583148
1710504000000,2024-03-15 12:00:00,0.00014345,113.65000000
1710518400000,2024-03-15 16:00:00,0.00019186,113.35000000
1710532800000,2024-03-15 20:00:00,0.00024393,113.73087946
1710547200000,2024-03-16 00:00:00,0.00029753,114.07704878
1710561600000,2024-03-16 04:00:00,0.00016813,116.71261220
1710576000000,2024-03-16 08:00:00,0.00031086,112.90000000
1710590400000,2024-03-16 12:00:00,0.00022780,110.87000000
1710604800000,2024-03-16 16:00:00,0.00031004,108.33427734
1710619200000,2024-03-16 20:00:00,0.00005000,102.76000000
1710633600000,2024-03-17 00:00:00,0.00017284,103.67896674
1710648000000,2024-03-17 04:00:00,0.00021867,105.80713723
1710662400000,2024-03-17 08:00:00,0.00005000,100.93994870
1710676800000,2024-03-17 12:00:00,0.00022891,103.43419266
1710691200000,2024-03-17 16:00:00,0.00026159,103.80560108
1710705600000,2024-03-17 20:00:00,0.00005000,105.82000000
1710720000000,2024-03-18 00:00:00,0.00036344,105.12000000
1710734400001,2024-03-18 04:00:00,0.00009994,105.72791830
1710748800000,2024-03-18 08:00:00,0.00017594,104.94000000
1710763200000,2024-03-18 12:00:00,0.00023495,102.13000000
1710777600001,2024-03-18 16:00:00,0.00010248,97.38188592
1710792000001,2024-03-18 20:00:00,0.00011729,94.28899551
1710806400000,2024-03-19 00:00:00,0.00011136,94.90453117
1710820800000,2024-03-19 04:00:00,0.00007710,91.53000000
1710835200000,2024-03-19 08:00:00,0.00018285,89.57755146
1710849600000,2024-03-19 12:00:00,0.00008881,91.05062346
1710864000001,2024-03-19 16:00:00,0.00011392,94.91520464
1710878400000,2024-03-19 20:00:00,0.00005136,94.74000000
1710892800000,2024-03-20 00:00:00,0.00011428,89.87909380
1710907200000,2024-03-20 04:00:00,0.00005000,90.67491282
1710921600004,2024-03-20 08:00:00,0.00007164,93.35090095
1710936000001,2024-03-20 12:00:00,0.00005000,95.00000000
1710950400000,2024-03-20 16:00:00,0.00005000,97.52443377
1710964800000,2024-03-20 20:00:00,0.00025676,105.99753698
1710979200000,2024-03-21 00:00:00,0.00029525,104.66476076
1710993600000,2024-03-21 04:00:00,0.00021405,102.62000000
1711008000000,2024-03-21 08:00:00,0.00005000,103.02587545
1711022400013,2024-03-21 12:00:00,0.00005000,104.45000000
1711036800000,2024-03-21 16:00:00,0.00005741,104.24031547
1711051200000,2024-03-21 20:00:00,0.00012158,104.15452659
1711065600000,2024-03-22 00:00:00,0.00022962,105.70932170
1711080000000,2024-03-22 04:00:00,0.00011544,105.68000000
1711094400000,2024-03-22 08:00:00,0.00015076,107.41009966
1711108800000,2024-03-22 12:00:00,0.00012228,101.38057293
1711123200000,2024-03-22 16:00:00,0.00006566,99.70497208
1711137600000,2024-03-22 20:00:00,0.00005000,99.80760818
1711152000000,2024-03-23 00:00:00,0.00005000,99.81522262
1711166400000,2024-03-23 04:00:00,0.00006743,99.27000000
1711180800000,2024-03-23 08:00:00,0.00011265,100.46000000
1711195200000,2024-03-23 12:00:00,0.00010429,100.05143403
1711209600000,2024-03-23 16:00:00,0.00007186,100.59000000
1711224000000,2024-03-23 20:00:00,0.00005000,99.51576636
1711238400000,2024-03-24 00:00:00,0.00007441,96.42892038
1711252800001,2024-03-24 04:00:00,0.00005000,96.71444842
1711267200000,2024-03-24 08:00:00,0.00011326,96.29627375
1711281600000,2024-03-24 12:00:00,0.00008559,96.78046368
1711296000000,2024-03-24 16:00:00,0.00008387,98.07173272
1711310400000,2024-03-24 20:00:00,0.00015224,98.00000000
1711324800000,2024-03-25 00:00:00,0.00014384,101.18471770
1711339200000,2024-03-25 04:00:00,0.00016167,101.44739919
1711353600001,2024-03-25 08:00:00,0.00013477,100.06000000
1711368000000,2024-03-25 12:00:00,0.00005000,100.23424394
1711382400000,2024-03-25 16:00:00,0.00011086,104.32000000
1711396800000,2024-03-25 20:00:00,0.00020169,107.02000000
1711411200000,2024-03-26 00:00:00,0.00024671,108.01000000
1711425600000,2024-03-26 04:00:00,0.00024804,108.93000000
1711440000000,2024-03-26 08:00:00,0.00016038,108.13525280
1711454400000,2024-03-26 12:00:00,0.00027412,107.30158457
1711468800000,2024-03-26 16:00:00,0.00032472,104.79173644
1711483200000,2024-03-26 20:00:00,0.00033638,103.00694914
1711497600000,2024-03-27 00:00:00,0.00028725,104.20000000
1711512000000,2024-03-27 04:00:00,0.00022789,105.51568232
1711526400001,2024-03-27 08:00:00,0.00024981,102.51253444
1711540800001,2024-03-27 12:00:00,0.00027355,104.90998942
1711555200000,2024-03-27 16:00:00,0.00020553,100.97000000
1711569600000,2024-03-27 20:00:00,0.00022276,100.25000000
1711584000000,2024-03-28 00:00:00,0.00019702,101.49897145
1711598400000,2024-03-28 04:00:00,0.00020568,101.28000000
1711612800000,2024-03-28 08:00:00,0.00019749,102.46000000
1711627200000,2024-03-28 12:00:00,0.00016608,102.20776813
1711641600000,2024-03-28 16:00:00,0.00031179,101.09805297
1711656000000,2024-03-28 20:00:00,0.00038611,101.27000000
1711670400000,2024-03-29 00:00:00,0.00046238,101.90000000
1711684800000,2024-03-29 04:00:00,0.00034805,100.68000000
1711699200000,2024-03-29 08:00:00,0.00028045,97.91281407
1711713600000,2024-03-29 12:00:00,0.00046335,99.21000000
1711728000000,2024-03-29 16:00:00,0.00033498,97.83400420
1711742400000,2024-03-29 20:00:00,0.00048014,98.65000000
1711756800000,2024-03-30 00:00:00,0.00039831,98.45000000
1711771200000,2024-03-30 04:00:00,0.00042118,98.97312627
1711785600000,2024-03-30 08:00:00,0.00036519,97.74000000
1711800000001,2024-03-30 12:00:00,0.00048207,99.01000000
1711814400000,2024-03-30 16:00:00,0.00046273,97.65000000
1711828800000,2024-03-30 20:00:00,0.00040270,97.38000000
1711843200000,2024-03-31 00:00:00,0.00035163,96.82866349
1711857600000,2024-03-31 04:00:00,0.00038669,96.80000000
1711872000000,2024-03-31 08:00:00,0.00040647,99.37316344
1711886400000,2024-03-31 12:00:00,0.00049385,98.40139271
1711900800001,2024-03-31 16:00:00,0.00038574,100.66460491
1711915200000,2024-03-31 20:00:00,0.00051247,102.02147088
1711929600000,2024-04-01 00:00:00,0.00048715,103.05000000
1711944000000,2024-04-01 04:00:00,0.00053506,101.47000000
1711958400000,2024-04-01 08:00:00,0.00031309,98.00547563
1711972800000,2024-04-01 12:00:00,0.00026661,97.53000000
1711987200000,2024-04-01 16:00:00,0.00020545,95.83826337
1712001600000,2024-04-01 20:00:00,0.00020841,97.21048901
1712016000007,2024-04-02 00:00:00,0.00015591,97.67279402
1712030400000,2024-04-02 04:00:00,0.00005000,92.61000000
1712044800015,2024-04-02 08:00:00,0.00011298,91.68000000
1712059200000,2024-04-02 12:00:00,0.00014170,89.09000000
1712073600000,2024-04-02 16:00:00,0.00008010,87.86634925
1712088000000,2024-04-02 20:00:00,0.00018089,88.61000000
1712102400000,2024-04-03 00:00:00,0.00006633,89.15332757
1712116800000,2024-04-03 04:00:00,0.00012012,88.41549602
1712131200000,2024-04-03 08:00:00,0.00006415,89.15955132
1712145600000,2024-04-03 12:00:00,0.00005000,89.15973694
1712160000000,2024-04-03 16:00:00,0.00005000,88.37000000
1712174400000,2024-04-03 20:00:00,0.00012503,87.95000000
1712188800000,2024-04-04 00:00:00,0.00011232,88.08209993
1712203200000,2024-04-04 04:00:00,0.00008875,86.86840621
1712217600000,2024-04-04 08:00:00,0.00019433,88.14000000
1712232000000,2024-04-04 12:00:00,0.00031513,88.48000000
1712246400000,2024-04-04 16:00:00,0.00018976,89.56350076
1712260800000,2024-04-04 20:00:00,0.00006588,89.69930930
1712275200000,2024-04-05 00:00:00,0.00027334,89.34000000
1712289600000,2024-04-05 04:00:00,0.00027926,88.04000000
1712304000000,2024-04-05 08:00:00,0.00005000,86.21000000
1712318400000,2024-04-05 12:00:00,0.00005000,83.85218443
1712332800000,2024-04-05 16:00:00,0.00012853,85.59323524
1712347200000,2024-04-05 20:00:00,0.00006332,85.20000000
1712361600000,2024-04-06 00:00:00,0.00008917,85.10534750
1712376000000,2024-04-06 04:00:00,0.00014580,86.02000000
1712390400000,2024-04-06 08:00:00,0.00006363,86.18262636
1712404800000,2024-04-06 12:00:00,0.00018040,86.12000000
1712419200000,2024-04-06 16:00:00,0.00017668,87.28030854
1712433600000,2024-04-06 20:00:00,0.00013259,87.07000000
1712448000000,2024-04-07 00:00:00,0.00014676,87.74969845
1712462400000,2024-04-07 04:00:00,0.00008302,87.15965585
1712476800000,2024-04-07 08:00:00,0.00009378,87.63000000
1712491200001,2024-04-07 12:00:00,0.00019028,88.84750886
1712505600000,2024-04-07 16:00:00,0.00005000,88.60000000
1712520000000,2024-04-07 20:00:00,0.00005000,87.80000000
1712534400001,2024-04-08 00:00:00,0.00012622,89.76000000
1712548800000,2024-04-08 04:00:00,0.00005640,88.82000000
1712563200000,2024-04-08 08:00:00,0.00015373,90.18614863
1712577600000,2024-04-08 12:00:00,0.00013058,94.47000000
1712592000006,2024-04-08 16:00:00,0.00017701,94.90000000
1712606400001,2024-04-08 20:00:00,0.00018618,95.88000000
1712620800000,2024-04-09 00:00:00,0.00025927,96.42173783
1712635200000,2024-04-09 04:00:00,0.00011897,96.29856311
1712649600001,2024-04-09 08:00:00,0.00005000,93.63000000
1712664000000,2024-04-09 12:00:00,0.00013245,95.49276721
1712678400001,2024-04-09 16:00:00,0.00005000,91.54120158
1712692800000,2024-04-09 20:00:00,0.00005000,92.49000000
1712707200000,2024-04-10 00:00:00,0.00005000,90.86000000
1712721600000,2024-04-10 04:00:00,0.00005000,90.24096083
1712736000001,2024-04-10 08:00:00,0.00005000,90.80600987
1712750400002,2024-04-10 12:00:00,0.00013735,90.56000000
1712764800000,2024-04-10 16:00:00,0.00014812,89.11000000
1712779200000,2024-04-10 20:00:00,0.00005000,90.08639940
1712793600000,2024-04-11 00:00:00,0.00007649,90.93000000
