fundingTime,fundingTime_dt,fundingRate,markPrice
1753948800009,2025-07-31 08:00:00,0.00005000,0.00000000
1753963200003,2025-07-31 12:00:00,0.00005000,0.00000000
1753977600000,2025-07-31 16:00:00,-0.00126888,0.05153931
1753992000000,2025-07-31 20:00:00,0.00005000,0.05410000
1754006400001,2025-08-01 00:00:00,0.00005000,0.05423501
1754020800000,2025-08-01 04:00:00,0.00005000,0.05047380
1754035200003,2025-08-01 08:00:00,0.00196582,0.04630000
1754049600001,2025-08-01 12:00:00,0.00106307,0.04582949
1754064000000,2025-08-01 16:00:00,0.00054068,0.04271304
1754078400004,2025-08-01 20:00:00,0.00064083,0.04170000
1754092800004,2025-08-02 00:00:00,0.00113598,0.04124249
1754107200000,2025-08-02 04:00:00,0.00005000,0.03840000
1754121600000,2025-08-02 08:00:00,0.00053725,0.03611855
1754136000005,2025-08-02 12:00:00,0.00035374,0.03544576
1754150400000,2025-08-02 16:00:00,0.00063681,0.03430000
1754164800001,2025-08-02 20:00:00,0.00009170,0.03537509
1754179200000,2025-08-03 00:00:00,0.00005000,0.03480000
1754193600000,2025-08-03 04:00:00,0.00054864,0.03594477
1754208000000,2025-08-03 08:00:00,0.00021028,0.04312317
1754222400001,2025-08-03 12:00:00,0.00005000,0.04069544
1754236800003,2025-08-03 16:00:00,0.00005000,0.03990692
1754251200002,2025-08-03 20:00:00,0.00005000,0.03832324
1754265600004,2025-08-04 00:00:00,0.00026219,0.04030000
1754280000000,2025-08-04 04:00:00,0.00005000,0.04057448
1754294400000,2025-08-04 08:00:00,0.00015432,0.03770000
1754308800006,2025-08-04 12:00:00,0.00005000,0.03614635
1754323200002,2025-08-04 16:00:00,0.00005000,0.03658162
1754337600007,2025-08-04 20:00:00,0.00026788,0.03731293
1754352000000,2025-08-05 00:00:00,0.00062751,0.03800000
1754366400000,2025-08-05 04:00:00,0.00005000,0.03520000
1754380800000,2025-08-05 08:00:00,0.00005000,0.03420000
1754395200004,2025-08-05 12:00:00,0.00019660,0.03550252
