fundingTime,fundingTime_dt,fundingRate,markPrice
1726488000000,2024-09-16 12:00:00,0.00005000,0.00033299
1726502400000,2024-09-16 16:00:00,0.00005000,0.00040228
1726516800000,2024-09-16 20:00:00,0.00005000,0.00035664
1726531200001,2024-09-17 00:00:00,0.00005000,0.00035935
1726545600000,2024-09-17 04:00:00,-0.00002313,0.00035900
1726560000000,2024-09-17 08:00:00,0.00005000,0.00037234
1726574400000,2024-09-17 12:00:00,-0.00001726,0.00037870
1726588800000,2024-09-17 16:00:00,-0.00022831,0.00051096
1726603200000,2024-09-17 20:00:00,-0.00052499,0.00065839
1726617600000,2024-09-18 00:00:00,-0.00007679,0.00068890
1726632000000,2024-09-18 04:00:00,0.00005000,0.00082257
1726646400000,2024-09-18 08:00:00,0.00005000,0.00079797
1726660800000,2024-09-18 12:00:00,-0.00009842,0.00080327
1726675200004,2024-09-18 16:00:00,-0.00080557,0.00078545
1726689600000,2024-09-18 20:00:00,-0.00006146,0.00081580
1726704000000,2024-09-19 00:00:00,-0.00006542,0.00096267
1726718400000,2024-09-19 04:00:00,0.00005000,0.00088141
1726732800000,2024-09-19 08:00:00,0.00005000,0.00091056
1726747200000,2024-09-19 12:00:00,0.00005000,0.00085591
1726761600001,2024-09-19 16:00:00,0.00018807,0.00101600
1726776000001,2024-09-19 20:00:00,0.00005000,0.00092939
1726790400000,2024-09-20 00:00:00,0.00013520,0.00091854
1726804800000,2024-09-20 04:00:00,0.00010586,0.00090580
1726819200001,2024-09-20 08:00:00,0.00008777,0.00086882
1726833600000,2024-09-20 12:00:00,0.00070595,0.00081940
1726848000000,2024-09-20 16:00:00,0.00005000,0.00081640
1726862400001,2024-09-20 20:00:00,0.00016488,0.00082970
1726876800001,2024-09-21 00:00:00,0.00005962,0.00083874
1726891200000,2024-09-21 04:00:00,0.00005000,0.00079418
1726905600000,2024-09-21 08:00:00,0.00013234,0.00081250
1726920000000,2024-09-21 12:00:00,0.00007332,0.00082050
1726934400000,2024-09-21 16:00:00,0.00005000,0.00080220
1726948800000,2024-09-21 20:00:00,0.00005000,0.00079740
1726963200000,2024-09-22 00:00:00,0.00014936,0.00080998
1726977600000,2024-09-22 04:00:00,0.00047846,0.00081843
1726992000000,2024-09-22 08:00:00,0.00005000,0.00080595
1727006400000,2024-09-22 12:00:00,0.00005000,0.00083717
1727020800000,2024-09-22 16:00:00,0.00005000,0.00080503
1727035200000,2024-09-22 20:00:00,0.00028375,0.00083350
1727049600000,2024-09-23 00:00:00,0.00005000,0.00082960
1727064000000,2024-09-23 04:00:00,0.00005000,0.00101305
1727078400000,2024-09-23 08:00:00,0.00005000,0.00112968
1727092800001,2024-09-23 12:00:00,0.00005000,0.00114890
1727107200000,2024-09-23 16:00:00,0.00005000,0.00125759
1727121600001,2024-09-23 20:00:00,0.00005000,0.00124358
1727136000000,2024-09-24 00:00:00,0.00005000,0.00126173
1727150400000,2024-09-24 04:00:00,0.00005000,0.00117000
1727164800000,2024-09-24 08:00:00,0.00005000,0.00120310
1727179200001,2024-09-24 12:00:00,0.00005000,0.00120940
1727193600001,2024-09-24 16:00:00,0.00005000,0.00116879
1727208000006,2024-09-24 20:00:00,0.00010372,0.00118110
1727222400000,2024-09-25 00:00:00,0.00005000,0.00121553
1727236800015,2024-09-25 04:00:00,0.00005000,0.00118750
1727251200003,2024-09-25 08:00:00,0.00005000,0.00117502
1727265600002,2024-09-25 12:00:00,-0.00000913,0.00118255
1727280000000,2024-09-25 16:00:00,0.00005000,0.00118162
1727294400000,2024-09-25 20:00:00,0.00005000,0.00117310
1727308800005,2024-09-26 00:00:00,0.00005000,0.00108150
1727323200000,2024-09-26 04:00:00,0.00005000,0.00110932
1727337600000,2024-09-26 08:00:00,-0.00002471,0.00110150
1727352000005,2024-09-26 12:00:00,0.00017672,0.00104590
1727366400000,2024-09-26 16:00:00,0.00005000,0.00107251
1727380800000,2024-09-26 20:00:00,0.00009704,0.00103460
1727395200000,2024-09-27 00:00:00,0.00005000,0.00105920
1727409600000,2024-09-27 04:00:00,0.00005000,0.00107665
1727424000000,2024-09-27 08:00:00,0.00005000,0.00111890
1727438400000,2024-09-27 12:00:00,0.00005000,0.00110140
1727452800000,2024-09-27 16:00:00,0.00022610,0.00105072
1727467200000,2024-09-27 20:00:00,0.00011182,0.00105070
