open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1617235200000,2021-04-01 00:00:00,2.0000,2.0000,1.7341,1.7901,5622318,1617321599999,2021-04-01 23:59:59,10281015.1086,61790,2426242,4443030.4538
1617321600000,2021-04-02 00:00:00,1.7905,2.0525,1.7568,1.8447,8667178,1617407999999,2021-04-02 23:59:59,16309315.9422,81861,3876392,7308988.2816
1617408000000,2021-04-03 00:00:00,1.8447,1.8986,1.6610,1.6680,8029302,1617494399999,2021-04-03 23:59:59,14400039.4781,81026,3292413,5912783.8440
1617494400000,2021-04-04 00:00:00,1.6680,1.9983,1.6500,1.9688,9330381,1617580799999,2021-04-04 23:59:59,17227782.9420,87583,4264642,7910151.5222
1617580800000,2021-04-05 00:00:00,1.9684,2.8464,1.8350,2.5222,21791244,1617667199999,2021-04-05 23:59:59,50553698.0256,195430,10304816,23914788.5655
1617667200000,2021-04-06 00:00:00,2.5222,3.2141,2.3200,2.3230,56108611,1617753599999,2021-04-06 23:59:59,155115862.6478,512019,26993580,74742170.5027
1617753600000,2021-04-07 00:00:00,2.3218,3.2003,2.0174,2.9330,61593562,1617839999999,2021-04-07 23:59:59,165781945.2781,505897,30080348,81148521.2632
1617840000000,2021-04-08 00:00:00,2.9240,3.4000,2.9048,3.0909,56018917,1617926399999,2021-04-08 23:59:59,177436792.8187,466010,27448899,87033321.6446
1617926400000,2021-04-09 00:00:00,3.0916,3.2682,2.8430,2.9533,33847100,1618012799999,2021-04-09 23:59:59,102902565.3595,298825,15317501,46601285.6485
1618012800000,2021-04-10 00:00:00,2.9517,2.9673,2.5558,2.6321,20169271,1618099199999,2021-04-10 23:59:59,55220798.8069,176596,8681016,23756991.2827
1618099200000,2021-04-11 00:00:00,2.6330,2.8171,2.5029,2.5685,14937048,1618185599999,2021-04-11 23:59:59,39476475.8161,130955,7066855,18698575.5475
1618185600000,2021-04-12 00:00:00,2.5694,2.6569,2.3111,2.4188,18389434,1618271999999,2021-04-12 23:59:59,44923146.0332,148031,8068833,19728036.6916
1618272000000,2021-04-13 00:00:00,2.4188,2.8183,2.3800,2.4296,33956460,1618358399999,2021-04-13 23:59:59,87430694.2756,253094,15621308,40271925.0629
1618358400000,2021-04-14 00:00:00,2.4313,2.4531,2.0917,2.3695,25101971,1618444799999,2021-04-14 23:59:59,57975763.6921,203908,11021886,25483657.5403
1618444800000,2021-04-15 00:00:00,2.3714,2.5840,2.3211,2.4110,18849781,1618531199999,2021-04-15 23:59:59,45903541.4026,150826,8279365,20163668.2816
1618531200000,2021-04-16 00:00:00,2.4116,2.4331,2.1100,2.2740,17181726,1618617599999,2021-04-16 23:59:59,39283732.5923,149659,7662291,17532247.2565
1618617600000,2021-04-17 00:00:00,2.2767,2.3929,2.2310,2.2876,11608913,1618703999999,2021-04-17 23:59:59,26928448.7783,111991,5162226,11980874.3213
