open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1617249600000,2021-04-01 04:00:00,2.0000,2.0000,1.8540,1.8674,358485,1617263999999,2021-04-01 07:59:59,675382.1153,5602,194653,367204.4253
1617264000000,2021-04-01 08:00:00,1.8670,1.9108,1.8020,1.8294,1346873,1617278399999,2021-04-01 11:59:59,2497968.1568,15967,567778,1054226.8176
1617278400000,2021-04-01 12:00:00,1.8298,1.9063,1.8210,1.8272,1203895,1617292799999,2021-04-01 15:59:59,2232254.7896,12410,503922,936683.1197
1617292800000,2021-04-01 16:00:00,1.8272,1.8500,1.7341,1.8073,1747951,1617307199999,2021-04-01 19:59:59,3152988.7514,17543,719032,1297607.3659
1617307200000,2021-04-01 20:00:00,1.8074,1.8094,1.7659,1.7901,965114,1617321599999,2021-04-01 23:59:59,1722421.2955,10268,440857,787308.7253
1617321600000,2021-04-02 00:00:00,1.7905,1.8512,1.7568,1.8050,1098769,1617335999999,2021-04-02 03:59:59,1987960.8527,10992,502866,911128.6605
1617336000000,2021-04-02 04:00:00,1.8050,1.8747,1.7818,1.8379,1082111,1617350399999,2021-04-02 07:59:59,1966720.9714,11394,437687,796436.8121
1617350400000,2021-04-02 08:00:00,1.8375,2.0525,1.8233,1.9213,3373452,1617364799999,2021-04-02 11:59:59,6542603.9784,26019,1621738,3145181.2541
1617364800000,2021-04-02 12:00:00,1.9212,1.9411,1.8400,1.9041,1562264,1617379199999,2021-04-02 15:59:59,2954022.4667,13888,666041,1261099.4810
1617379200000,2021-04-02 16:00:00,1.9012,1.9130,1.7865,1.8242,876115,1617393599999,2021-04-02 19:59:59,1617351.8828,10676,342634,632863.7346
1617393600000,2021-04-02 20:00:00,1.8252,1.8800,1.8090,1.8447,674467,1617407999999,2021-04-02 23:59:59,1240655.7902,8892,305426,562278.3393
1617408000000,2021-04-03 00:00:00,1.8447,1.8743,1.7933,1.8044,595748,1617422399999,2021-04-03 03:59:59,1086657.5445,7839,205874,375677.9065
1617422400000,2021-04-03 04:00:00,1.8029,1.8333,1.7825,1.7888,1059997,1617436799999,2021-04-03 07:59:59,1914560.6515,11540,415356,751333.3205
1617436800000,2021-04-03 08:00:00,1.7893,1.8986,1.7500,1.8444,2130193,1617451199999,2021-04-03 11:59:59,3897633.0984,17694,883547,1622375.9195
1617451200000,2021-04-03 12:00:00,1.8434,1.8730,1.7800,1.7865,1167828,1617465599999,2021-04-03 15:59:59,2138971.7958,12263,476732,874815.2283
