fundingTime,fundingTime_dt,fundingRate,markPrice
1705766400000,2024-01-20 16:00:00,0.00054476,0.19500000
1705780800000,2024-01-20 20:00:00,0.00030230,0.19312638
1705795200000,2024-01-21 00:00:00,0.00059476,0.20610000
1705809600000,2024-01-21 04:00:00,0.00005000,0.20214000
1705824000000,2024-01-21 08:00:00,0.00017010,0.26017750
1705838400000,2024-01-21 12:00:00,0.00005000,0.26154250
1705852800000,2024-01-21 16:00:00,0.00007692,0.27484000
1705867200000,2024-01-21 20:00:00,0.00022007,0.27977750
1705881600000,2024-01-22 00:00:00,0.00081537,0.28300000
1705896000001,2024-01-22 04:00:00,0.00151350,0.26273000
1705910400000,2024-01-22 08:00:00,0.00035048,0.24749108
1705924800000,2024-01-22 12:00:00,0.00019045,0.26412250
1705939200000,2024-01-22 16:00:00,0.00050797,0.28161325
1705953600000,2024-01-22 20:00:00,0.00121482,0.26750000
1705968000000,2024-01-23 00:00:00,0.00056648,0.24374404
1705982400000,2024-01-23 04:00:00,0.00005000,0.24490000
1705996800000,2024-01-23 08:00:00,0.00016324,0.22527738
1706011200000,2024-01-23 12:00:00,0.00057203,0.23020000
1706025600000,2024-01-23 16:00:00,0.00005000,0.22511076
1706040000000,2024-01-23 20:00:00,0.00005000,0.22287750
1706054400000,2024-01-24 00:00:00,-0.00008320,0.25097079
1706068800000,2024-01-24 04:00:00,0.00005000,0.24110000
1706083200000,2024-01-24 08:00:00,0.00005000,0.23670000
1706097600000,2024-01-24 12:00:00,0.00005000,0.24165500
1706112000000,2024-01-24 16:00:00,0.00005000,0.23759750
1706126400000,2024-01-24 20:00:00,0.00027171,0.24071750
1706140800000,2024-01-25 00:00:00,0.00011192,0.25700000
1706155200000,2024-01-25 04:00:00,0.00022758,0.24730000
1706169600001,2024-01-25 08:00:00,0.00005000,0.23594171
1706184000000,2024-01-25 12:00:00,0.00006220,0.22552358
1706198400000,2024-01-25 16:00:00,0.00035079,0.22980000
1706212800000,2024-01-25 20:00:00,0.00031166,0.23677616
1706227200001,2024-01-26 00:00:00,0.00054680,0.22343333
1706241600001,2024-01-26 04:00:00,0.00048183,0.21890000
1706256000000,2024-01-26 08:00:00,0.00012531,0.21003422
1706270400000,2024-01-26 12:00:00,0.00011016,0.21817000
1706284800000,2024-01-26 16:00:00,0.00010491,0.21848539
1706299200000,2024-01-26 20:00:00,0.00035608,0.23623775
1706313600000,2024-01-27 00:00:00,0.00005783,0.22776967
1706328000000,2024-01-27 04:00:00,0.00006119,0.23290872
1706342400000,2024-01-27 08:00:00,0.00005000,0.22604156
1706356800000,2024-01-27 12:00:00,0.00025688,0.23217233
1706371200000,2024-01-27 16:00:00,0.00043387,0.25700000
1706385600000,2024-01-27 20:00:00,0.00076931,0.27451890
1706400000000,2024-01-28 00:00:00,0.00071797,0.26420275
1706414400000,2024-01-28 04:00:00,0.00037980,0.26430000
1706428800000,2024-01-28 08:00:00,0.00060246,0.28290612
1706443200000,2024-01-28 12:00:00,0.00027517,0.27538671
1706457600000,2024-01-28 16:00:00,0.00005000,0.27996000
1706472000000,2024-01-28 20:00:00,0.00017683,0.26486421
1706486400000,2024-01-29 00:00:00,0.00022683,0.25681886
1706500800001,2024-01-29 04:00:00,0.00005000,0.25495000
1706515200001,2024-01-29 08:00:00,0.00009002,0.24666517
1706529600000,2024-01-29 12:00:00,0.00005000,0.24830000
1706544000000,2024-01-29 16:00:00,0.00005000,0.26095148
1706558400000,2024-01-29 20:00:00,0.00005000,0.27620000
1706572800000,2024-01-30 00:00:00,0.00005000,0.26751912
1706587200000,2024-01-30 04:00:00,0.00005000,0.25721442
1706601600000,2024-01-30 08:00:00,0.00005000,0.25338089
1706616000000,2024-01-30 12:00:00,0.00005000,0.25270000
1706630400001,2024-01-30 16:00:00,0.00005000,0.25150976
1706644800000,2024-01-30 20:00:00,0.00007634,0.25163650
1706659200000,2024-01-31 00:00:00,0.00005000,0.24000000
1706673600001,2024-01-31 04:00:00,0.00011805,0.22780000
1706688000000,2024-01-31 08:00:00,0.00005000,0.22716000
1706702400000,2024-01-31 12:00:00,0.00005434,0.23110000
1706716800000,2024-01-31 16:00:00,0.00030452,0.21928250
1706731200000,2024-01-31 20:00:00,0.00007448,0.22494906
1706745600000,2024-02-01 00:00:00,0.00069973,0.21620000
1706760000000,2024-02-01 04:00:00,0.00049330,0.20237108
1706774400000,2024-02-01 08:00:00,0.00019414,0.20677750
1706788800000,2024-02-01 12:00:00,0.00043776,0.20615250
1706803200002,2024-02-01 16:00:00,0.00019619,0.21558192
1706817600000,2024-02-01 20:00:00,0.00033192,0.21629150
1706832000000,2024-02-02 00:00:00,0.00062617,0.20930000
1706846400000,2024-02-02 04:00:00,0.00032505,0.21240000
1706860800000,2024-02-02 08:00:00,0.00046349,0.21061500
1706875200000,2024-02-02 12:00:00,0.00071296,0.21301500
1706889600000,2024-02-02 16:00:00,0.00037487,0.21660000
1706904000000,2024-02-02 20:00:00,0.00052311,0.21480000
1706918400000,2024-02-03 00:00:00,0.00030065,0.22170000
1706932800000,2024-02-03 04:00:00,0.00056460,0.21328131
1706947200000,2024-02-03 08:00:00,0.00021371,0.20961142
1706961600000,2024-02-03 12:00:00,0.00051879,0.20922950
1706976000001,2024-02-03 16:00:00,0.00051958,0.20916500
1706990400000,2024-02-03 20:00:00,0.00058190,0.20909225
1707004800000,2024-02-04 00:00:00,0.00049627,0.20750000
1707019200000,2024-02-04 04:00:00,0.00030634,0.20836988
1707033600004,2024-02-04 08:00:00,0.00049289,0.20289297
1707048000001,2024-02-04 12:00:00,0.00034442,0.20630000
1707062400000,2024-02-04 16:00:00,0.00005000,0.21785138
1707076800000,2024-02-04 20:00:00,0.00026142,0.21022250
1707091200000,2024-02-05 00:00:00,0.00023404,0.20706826
1707105600000,2024-02-05 04:00:00,0.00032826,0.21550000
1707120000000,2024-02-05 08:00:00,0.00046908,0.21938506
1707134400000,2024-02-05 12:00:00,0.00032798,0.22752921
1707148800000,2024-02-05 16:00:00,0.00013166,0.21579262
1707163200000,2024-02-05 20:00:00,0.00024928,0.21463496
1707177600000,2024-02-06 00:00:00,0.00005894,0.21353750
1707192000000,2024-02-06 04:00:00,0.00013559,0.21717000
1707206400001,2024-02-06 08:00:00,0.00052365,0.21500000
1707220800000,2024-02-06 12:00:00,0.00055296,0.22082638
1707235200000,2024-02-06 16:00:00,0.00039369,0.22600000
1707249600000,2024-02-06 20:00:00,0.00018135,0.23590750
1707264000000,2024-02-07 00:00:00,0.00013978,0.22387421
1707278400000,2024-02-07 04:00:00,0.00038849,0.22390000
1707292800000,2024-02-07 08:00:00,0.00055871,0.23109398
1707307200000,2024-02-07 12:00:00,0.00041945,0.23610138
1707321600000,2024-02-07 16:00:00,0.00023532,0.23520000
1707336000000,2024-02-07 20:00:00,0.00023210,0.23202725
1707350400000,2024-02-08 00:00:00,0.00005000,0.24166412
1707364800001,2024-02-08 04:00:00,0.00022139,0.24026478
1707379200000,2024-02-08 08:00:00,0.00035163,0.24330000
1707393600000,2024-02-08 12:00:00,0.00013137,0.24385658
1707408000000,2024-02-08 16:00:00,0.00016187,0.23407800
1707422400000,2024-02-08 20:00:00,0.00027074,0.23080000
1707436800000,2024-02-09 00:00:00,0.00036971,0.22855571
1707451200000,2024-02-09 04:00:00,0.00033391,0.23143404
1707465600000,2024-02-09 08:00:00,0.00013382,0.23227403
1707480000000,2024-02-09 12:00:00,0.00038538,0.23926838
1707494400001,2024-02-09 16:00:00,0.00041753,0.22762126
1707508800000,2024-02-09 20:00:00,0.00038495,0.22690000
1707523200001,2024-02-10 00:00:00,0.00067753,0.22312112
1707537600000,2024-02-10 04:00:00,0.00041943,0.22750867
1707552000000,2024-02-10 08:00:00,0.00075229,0.22810000
1707566400001,2024-02-10 12:00:00,0.00037190,0.22160000
1707580800000,2024-02-10 16:00:00,0.00030272,0.22443149
1707595200000,2024-02-10 20:00:00,0.00057130,0.22710000
1707609600000,2024-02-11 00:00:00,0.00056036,0.22300000
1707624000000,2024-02-11 04:00:00,0.00057402,0.22828438
1707638400001,2024-02-11 08:00:00,0.00081757,0.23000000
1707652800001,2024-02-11 12:00:00,0.00065463,0.23320000
1707667200000,2024-02-11 16:00:00,0.00059074,0.23090000
1707681600001,2024-02-11 20:00:00,0.00044208,0.24170000
1707696000000,2024-02-12 00:00:00,0.00039248,0.24080000
1707710400001,2024-02-12 04:00:00,0.00020156,0.23207583
1707724800000,2024-02-12 08:00:00,0.00030700,0.23431062
1707739200000,2024-02-12 12:00:00,0.00039731,0.22830000
1707753600000,2024-02-12 16:00:00,0.00023588,0.23418500
1707768000000,2024-02-12 20:00:00,0.00067747,0.23670000
1707782400000,2024-02-13 00:00:00,0.00085500,0.24280000
1707796800000,2024-02-13 04:00:00,0.00091028,0.23589929
1707811200000,2024-02-13 08:00:00,0.00019652,0.24091217
1707825600000,2024-02-13 12:00:00,0.00041977,0.25580000
1707840000000,2024-02-13 16:00:00,0.00068629,0.25511071
1707854400000,2024-02-13 20:00:00,0.00014354,0.25040000
1707868800000,2024-02-14 00:00:00,0.00050753,0.25001716
1707883200000,2024-02-14 04:00:00,0.00011827,0.26504725
1707897600000,2024-02-14 08:00:00,0.00043264,0.27090000
1707912000000,2024-02-14 12:00:00,0.00063645,0.27491000
1707926400000,2024-02-14 16:00:00,0.00068573,0.26920000
1707940800000,2024-02-14 20:00:00,0.00050278,0.27567667
1707955200000,2024-02-15 00:00:00,0.00029844,0.28666929
1707969600000,2024-02-15 04:00:00,0.00055876,0.28640000
1707984000000,2024-02-15 08:00:00,0.00037025,0.27360000
1707998400000,2024-02-15 12:00:00,0.00055647,0.27280399
