fundingTime,fundingTime_dt,fundingRate,markPrice
1735560000000,2024-12-30 12:00:00,-0.00082931,0.44354000
1735574400000,2024-12-30 16:00:00,0.00005000,0.44608988
1735588800000,2024-12-30 20:00:00,0.00005000,0.43919559
1735603200000,2024-12-31 00:00:00,0.00005000,0.41180938
1735617600000,2024-12-31 04:00:00,-0.00025484,0.42772952
1735632000000,2024-12-31 08:00:00,0.00005000,0.41068000
1735646400001,2024-12-31 12:00:00,0.00005000,0.36259000
1735660800000,2024-12-31 16:00:00,0.00005000,0.38090568
1735675200000,2024-12-31 20:00:00,-0.00094108,0.40256000
1735689600015,2025-01-01 00:00:00,-0.00125136,0.39294677
1735704000004,2025-01-01 04:00:00,0.00005000,0.40618400
1735718400000,2025-01-01 08:00:00,0.00005000,0.39653389
1735732800002,2025-01-01 12:00:00,-0.00043431,0.38940351
1735747200001,2025-01-01 16:00:00,0.00005000,0.36965589
1735761600000,2025-01-01 20:00:00,0.00005000,0.35816000
1735776000000,2025-01-02 00:00:00,-0.00076852,0.36034000
1735790400000,2025-01-02 04:00:00,0.00005000,0.36315541
1735804800006,2025-01-02 08:00:00,0.00005000,0.36783046
1735819200007,2025-01-02 12:00:00,0.00005000,0.37260413
1735833600000,2025-01-02 16:00:00,0.00005000,0.34531000
1735848000001,2025-01-02 20:00:00,0.00005000,0.34071000
1735862400000,2025-01-03 00:00:00,0.00005000,0.33663077
1735876800001,2025-01-03 04:00:00,0.00005000,0.34242892
1735891200000,2025-01-03 08:00:00,0.00005000,0.33875518
1735905600000,2025-01-03 12:00:00,0.00005000,0.33288843
1735920000000,2025-01-03 16:00:00,0.00005000,0.32414000
1735934400001,2025-01-03 20:00:00,0.00005000,0.34193000
1735948800000,2025-01-04 00:00:00,0.00005000,0.35065218
1735963200000,2025-01-04 04:00:00,0.00005000,0.34501000
1735977600000,2025-01-04 08:00:00,0.00005000,0.31647383
1735992000000,2025-01-04 12:00:00,0.00008574,0.34064156
1736006400000,2025-01-04 16:00:00,0.00005000,0.34979430
1736020800001,2025-01-04 20:00:00,0.00005000,0.35504154
1736035200000,2025-01-05 00:00:00,0.00005000,0.34886502
1736049600000,2025-01-05 04:00:00,0.00005000,0.35300765
1736064000000,2025-01-05 08:00:00,0.00005000,0.37024031
1736078400000,2025-01-05 12:00:00,0.00005000,0.37525785
1736092800000,2025-01-05 16:00:00,0.00005000,0.36081000
1736107200000,2025-01-05 20:00:00,0.00005000,0.35423000
1736121600000,2025-01-06 00:00:00,0.00005000,0.35668256
1736136000000,2025-01-06 04:00:00,0.00005000,0.37221692
1736150400001,2025-01-06 08:00:00,0.00005000,0.35842978
1736164800000,2025-01-06 12:00:00,0.00005000,0.35656000
1736179200000,2025-01-06 16:00:00,0.00005000,0.36494877
1736193600000,2025-01-06 20:00:00,0.00005000,0.36735046
1736208000000,2025-01-07 00:00:00,0.00005000,0.36510000
1736222400000,2025-01-07 04:00:00,0.00005000,0.34742000
1736236800000,2025-01-07 08:00:00,0.00005000,0.34663882
1736251200001,2025-01-07 12:00:00,0.00005000,0.33412487
1736265600008,2025-01-07 16:00:00,0.00005000,0.33052388
1736280000000,2025-01-07 20:00:00,0.00005000,0.31815600
1736294400001,2025-01-08 00:00:00,0.00005000,0.31211619
1736308800006,2025-01-08 04:00:00,0.00005000,0.31709000
1736323200000,2025-01-08 08:00:00,0.00005000,0.32551415
1736337600000,2025-01-08 12:00:00,0.00005000,0.34453696
1736352000000,2025-01-08 16:00:00,0.00005000,0.34022000
1736366400000,2025-01-08 20:00:00,0.00005000,0.32194818
1736380800000,2025-01-09 00:00:00,0.00005000,0.32086000
1736395200001,2025-01-09 04:00:00,0.00005000,0.31016000
1736409600000,2025-01-09 08:00:00,0.00005000,0.29718748
1736424000000,2025-01-09 12:00:00,0.00005000,0.30397538
1736438400000,2025-01-09 16:00:00,0.00005000,0.30957000
1736452800000,2025-01-09 20:00:00,0.00005000,0.29507000
