open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1765008000000,2025-12-06 08:00:00,0.1864700,0.2560000,0.1700000,0.2191900,500152588,1765022399999,2025-12-06 11:59:59,112339661.0478900,1328087,245826902,55249196.5238100
1765022400000,2025-12-06 12:00:00,0.2190800,0.2409200,0.2063500,0.2142500,266507818,1765036799999,2025-12-06 15:59:59,59342166.5673400,759309,132017389,29424935.5730300
1765036800000,2025-12-06 16:00:00,0.2142500,0.2829400,0.2115500,0.2658500,195911351,1765051199999,2025-12-06 19:59:59,47497380.9452100,584164,97953939,23761597.9611300
1765051200000,2025-12-06 20:00:00,0.2657300,0.2759200,0.2058000,0.2286400,203127173,1765065599999,2025-12-06 23:59:59,51016281.9378000,666069,100622671,25309973.1949500
1765065600000,2025-12-07 00:00:00,0.2286500,0.2404200,0.2067400,0.2289200,126485590,1765079999999,2025-12-07 03:59:59,28159901.8343400,475555,62008447,13815193.7473800
1765080000000,2025-12-07 04:00:00,0.2290200,0.2460000,0.2252200,0.2370700,113984829,1765094399999,2025-12-07 07:59:59,26767623.3307200,424768,56270083,13220839.1892300
1765094400000,2025-12-07 08:00:00,0.2372000,0.2389200,0.1880000,0.1985000,147825651,1765108799999,2025-12-07 11:59:59,31296478.5518300,454892,71612921,15163748.4015300
1765108800000,2025-12-07 12:00:00,0.1983700,0.2071900,0.1856900,0.1959600,121224941,1765123199999,2025-12-07 15:59:59,23578403.3235500,346659,59936726,11663023.3075600
1765123200000,2025-12-07 16:00:00,0.1960400,0.2123300,0.1870000,0.2048800,93127754,1765137599999,2025-12-07 19:59:59,18334845.5849500,270526,46694938,9199145.5278000
1765137600000,2025-12-07 20:00:00,0.2048200,0.2077600,0.1583100,0.1796000,107735939,1765151999999,2025-12-07 23:59:59,19512710.6865700,276929,50294214,9110023.4600000
1765152000000,2025-12-08 00:00:00,0.1796100,0.2160000,0.1731800,0.2067900,110325471,1765166399999,2025-12-08 03:59:59,22172801.4219100,393052,55594498,11180777.6507000
1765166400000,2025-12-08 04:00:00,0.2067300,0.2258800,0.1978000,0.2074400,70674191,1765180799999,2025-12-08 07:59:59,14758022.2956100,236482,35609477,7436921.8487300
1765180800000,2025-12-08 08:00:00,0.2074100,0.2665900,0.2034700,0.2571500,230478999,1765195199999,2025-12-08 11:59:59,56575825.1970400,724778,116544044,28620450.9551700
1765195200000,2025-12-08 12:00:00,0.2571900,0.2815000,0.2391200,0.2657000,397709399,1765209599999,2025-12-08 15:59:59,104279602.1423200,1181833,201767031,52931516.6684500
1765209600000,2025-12-08 16:00:00,0.2657000,0.3142000,0.2635800,0.2919400,449111551,1765223999999,2025-12-08 19:59:59,129161080.1082600,1392368,233097401,67051821.2047400
1765224000000,2025-12-08 20:00:00,0.2920100,0.3292000,0.2820000,0.2989700,271351553,1765238399999,2025-12-08 23:59:59,81305477.5980200,912569,140327621,42095038.7908200
1765238400000,2025-12-09 00:00:00,0.2989700,0.3130000,0.2653000,0.2730400,264235264,1765252799999,2025-12-09 03:59:59,76149376.6529500,859154,132402366,38172281.7097400
1765252800000,2025-12-09 04:00:00,0.2729700,0.2820000,0.2547600,0.2630200,190360307,1765267199999,2025-12-09 07:59:59,50962625.7742700,623040,97016882,25988364.4329500
1765267200000,2025-12-09 08:00:00,0.2630200,0.2714300,0.2500000,0.2642600,127563935,1765281599999,2025-12-09 11:59:59,33406270.7730100,404489,65234725,17092328.7897400
1765281600000,2025-12-09 12:00:00,0.2642100,0.2747500,0.2432700,0.2523800,126064092,1765295999999,2025-12-09 15:59:59,32569567.9757000,409561,64065945,16570268.9430600
1765296000000,2025-12-09 16:00:00,0.2523900,0.2547200,0.2286400,0.2339300,81008463,1765310399999,2025-12-09 19:59:59,19567477.8318600,239546,39997798,9669821.4839200
1765310400000,2025-12-09 20:00:00,0.2340000,0.2413400,0.2200000,0.2206700,56211649,1765324799999,2025-12-09 23:59:59,12837691.3769500,173738,28006813,6402211.2777200
1765324800000,2025-12-10 00:00:00,0.2207200,0.2264000,0.2106300,0.2109000,65089211,1765339199999,2025-12-10 03:59:59,14198163.9506000,196636,32413704,7073017.9327700
1765339200000,2025-12-10 04:00:00,0.2108900,0.2172400,0.1940000,0.1953800,87095640,1765353599999,2025-12-10 07:59:59,17762502.0530400,227944,42888455,8751986.5229900
1765353600000,2025-12-10 08:00:00,0.1953600,0.2200000,0.1945800,0.2061000,122908057,1765367999999,2025-12-10 11:59:59,25781524.0500600,304723,62574562,13125936.6936200
1765368000000,2025-12-10 12:00:00,0.2060900,0.2166500,0.2003200,0.2076800,66701408,1765382399999,2025-12-10 15:59:59,13937902.5530200,163709,32509773,6789297.5545700
1765382400000,2025-12-10 16:00:00,0.2077500,0.2254600,0.1949200,0.2039800,82459235,1765396799999,2025-12-10 19:59:59,17395301.1468100,209195,40876329,8632770.0393400
1765396800000,2025-12-10 20:00:00,0.2039700,0.2143000,0.2005300,0.2056000,33740363,1765411199999,2025-12-10 23:59:59,7024008.0626500,106305,16321203,3398226.4588700
1765411200000,2025-12-11 00:00:00,0.2055700,0.2157700,0.1875000,0.2111000,50457545,1765425599999,2025-12-11 03:59:59,10204545.1053300,165664,23676284,4787540.1646400
1765425600000,2025-12-11 04:00:00,0.2111100,0.2505800,0.2104000,0.2275700,110414961,1765439999999,2025-12-11 07:59:59,25637330.0324500,318302,54664291,12694380.7630300
1765440000000,2025-12-11 08:00:00,0.2276000,0.2315000,0.1987800,0.2089700,75607360,1765454399999,2025-12-11 11:59:59,15796510.4157800,195379,36542146,7628567.9080800
1765454400000,2025-12-11 12:00:00,0.2090200,0.2251800,0.2050800,0.2148900,59513432,1765468799999,2025-12-11 15:59:59,12841077.9664000,153050,29148405,6285889.4826000
1765468800000,2025-12-11 16:00:00,0.2149100,0.2186300,0.2057900,0.2138000,37237445,1765483199999,2025-12-11 19:59:59,7926546.0686100,104393,17077023,3636574.1031500
1765483200000,2025-12-11 20:00:00,0.2137900,0.2249700,0.2124200,0.2195500,25304960,1765497599999,2025-12-11 23:59:59,5557179.9799200,91176,12595292,2766183.5464900
1765497600000,2025-12-12 00:00:00,0.2196300,0.2230400,0.2071300,0.2077800,25320737,1765511999999,2025-12-12 03:59:59,5439964.1054500,94131,12383911,2661947.0680300
1765512000000,2025-12-12 04:00:00,0.2078500,0.2245300,0.1990000,0.2208000,36119286,1765526399999,2025-12-12 07:59:59,7574492.6917200,113435,17535868,3678114.9406600
1765526400000,2025-12-12 08:00:00,0.2208200,0.2284600,0.2071000,0.2282300,50879315,1765540799999,2025-12-12 11:59:59,11107797.0380900,150517,24830661,5425302.0158900
1765540800000,2025-12-12 12:00:00,0.2282900,0.2310000,0.2151600,0.2184300,52134480,1765555199999,2025-12-12 15:59:59,11576070.7272300,159863,25479794,5654934.0415300
1765555200000,2025-12-12 16:00:00,0.2184100,0.2262500,0.2091700,0.2196400,43245161,1765569599999,2025-12-12 19:59:59,9412032.3084400,108473,21148351,4597687.4651300
1765569600000,2025-12-12 20:00:00,0.2197200,0.2215100,0.2154300,0.2175600,22002586,1765583999999,2025-12-12 23:59:59,4803895.3649000,62807,11425357,2494913.2813200
1765584000000,2025-12-13 00:00:00,0.2175600,0.2522100,0.2123500,0.2300800,54138421,1765598399999,2025-12-13 03:59:59,12586169.1103300,154904,25406196,5904025.2528500
1765598400000,2025-12-13 04:00:00,0.2302000,0.2313500,0.2169400,0.2185100,55540591,1765612799999,2025-12-13 07:59:59,12419117.2806400,160859,28563890,6386007.5982200
1765612800000,2025-12-13 08:00:00,0.2185100,0.2219800,0.2141100,0.2175300,26809985,1765627199999,2025-12-13 11:59:59,5827674.9024000,72635,13667715,2970801.8676700
1765627200000,2025-12-13 12:00:00,0.2174900,0.2225500,0.2051000,0.2183600,26810943,1765641599999,2025-12-13 15:59:59,5708288.5988800,89330,11980756,2549218.6276900
1765641600000,2025-12-13 16:00:00,0.2183900,0.2650000,0.2181700,0.2374800,80561318,1765655999999,2025-12-13 19:59:59,19723266.3115900,253858,39055348,9558816.0263500
1765656000000,2025-12-13 20:00:00,0.2374500,0.2545100,0.2315300,0.2380400,44183561,1765670399999,2025-12-13 23:59:59,10724704.3939800,135099,21848715,5298822.6848900
1765670400000,2025-12-14 00:00:00,0.2380900,0.2456600,0.2119200,0.2438700,46049084,1765684799999,2025-12-14 03:59:59,10368001.1977300,154390,23055876,5182556.2987500
1765684800000,2025-12-14 04:00:00,0.2439100,0.2516300,0.2306200,0.2379700,44245077,1765699199999,2025-12-14 07:59:59,10644052.5772500,151431,21396636,5148558.4453800
1765699200000,2025-12-14 08:00:00,0.2380100,0.2510800,0.2309000,0.2377000,37028082,1765713599999,2025-12-14 11:59:59,8895374.0880600,118492,18874705,4534607.8135100
1765713600000,2025-12-14 12:00:00,0.2376600,0.2554200,0.2206900,0.2217200,53883747,1765727999999,2025-12-14 15:59:59,13119597.2847300,167960,27060704,6589519.6672900
1765728000000,2025-12-14 16:00:00,0.2217000,0.2351500,0.2191300,0.2253700,22615182,1765742399999,2025-12-14 19:59:59,5129760.5060200,79072,11629939,2638693.6025700
1765742400000,2025-12-14 20:00:00,0.2253400,0.2415000,0.2223800,0.2229500,19329162,1765756799999,2025-12-14 23:59:59,4453213.2486700,76927,9460927,2177428.2471000
1765756800000,2025-12-15 00:00:00,0.2230000,0.2383700,0.2203300,0.2257400,24989524,1765771199999,2025-12-15 03:59:59,5736973.8910400,86478,12203647,2797590.4749500
1765771200000,2025-12-15 04:00:00,0.2257600,0.2600000,0.2229200,0.2442500,33421384,1765785599999,2025-12-15 07:59:59,8125443.9328000,131239,16208876,3940680.3855300
1765785600000,2025-12-15 08:00:00,0.2442500,0.2569700,0.2413600,0.2526700,21448612,1765799999999,2025-12-15 11:59:59,5342076.3254700,103652,10512180,2618483.8795900
1765800000000,2025-12-15 12:00:00,0.2527000,0.2584000,0.2400000,0.2442900,22746791,1765814399999,2025-12-15 15:59:59,5626738.8089300,115431,11252140,2783359.3401200
1765814400000,2025-12-15 16:00:00,0.2442900,0.2545700,0.2341200,0.2371200,20230890,1765828799999,2025-12-15 19:59:59,4903497.8965100,100177,9858634,2387680.5570300
1765828800000,2025-12-15 20:00:00,0.2371000,0.2949000,0.2350000,0.2949000,34939231,1765843199999,2025-12-15 23:59:59,9208014.9628600,156488,18099723,4774130.4712400
1765843200000,2025-12-16 00:00:00,0.2946300,0.2975700,0.2560000,0.2598100,59647757,1765857599999,2025-12-16 03:59:59,16563360.2773700,259205,29432128,8166328.2931500
