fundingTime,fundingTime_dt,fundingRate,markPrice
1780070400008,2026-05-29 16:00:00,0.00005000,0.01202000
1780084800000,2026-05-29 20:00:00,0.00005000,0.01192000
1780099200000,2026-05-30 00:00:00,0.00005000,0.01198500
1780113600004,2026-05-30 04:00:00,0.00005000,0.01219862
1780128000001,2026-05-30 08:00:00,0.00005000,0.01239228
1780142400000,2026-05-30 12:00:00,0.00005000,0.01234000
1780156800000,2026-05-30 16:00:00,0.00005000,0.01245000
1780171200000,2026-05-30 20:00:00,0.00005000,0.01274000
1780185600000,2026-05-31 00:00:00,0.00005000,0.01243888
1780200000006,2026-05-31 04:00:00,0.00005000,0.01262600
1780214400000,2026-05-31 08:00:00,0.00005000,0.01238000
1780228800005,2026-05-31 12:00:00,0.00005000,0.01233000
1780243200004,2026-05-31 16:00:00,0.00005000,0.01238000
1780257600010,2026-05-31 20:00:00,0.00005000,0.01232000
1780272000001,2026-06-01 00:00:00,0.00005000,0.01283483
1780286400006,2026-06-01 04:00:00,0.00005000,0.01313000
1780300800001,2026-06-01 08:00:00,0.00005000,0.01298000
1780315200000,2026-06-01 12:00:00,0.00005000,0.01307133
1780329600000,2026-06-01 16:00:00,0.00005000,0.01281633
1780344000000,2026-06-01 20:00:00,0.00009927,0.01276000
1780358400000,2026-06-02 00:00:00,0.00005000,0.01283974
1780372800008,2026-06-02 04:00:00,0.00005000,0.01264846
1780387200000,2026-06-02 08:00:00,0.00005000,0.01236000
1780401600002,2026-06-02 12:00:00,0.00005000,0.01240000
1780416000000,2026-06-02 16:00:00,0.00005000,0.01182000
1780430400000,2026-06-02 20:00:00,0.00005000,0.01176000
1780444800013,2026-06-03 00:00:00,0.00020716,0.01161000
1780459200000,2026-06-03 04:00:00,0.00005000,0.01143000
1780473600000,2026-06-03 08:00:00,0.00038698,0.01217000
1780488000000,2026-06-03 12:00:00,0.00011946,0.01219491
1780502400001,2026-06-03 16:00:00,0.00005000,0.01221000
1780516800002,2026-06-03 20:00:00,0.00005000,0.01179000
1780531200009,2026-06-04 00:00:00,0.00005000,0.01156488
1780545600000,2026-06-04 04:00:00,0.00009424,0.01087000
1780560000000,2026-06-04 08:00:00,0.00011401,0.01060000
1780574400002,2026-06-04 12:00:00,0.00025322,0.01044500
1780588800003,2026-06-04 16:00:00,0.00038756,0.01079000
1780603200001,2026-06-04 20:00:00,0.00011401,0.01082000
1780617600000,2026-06-05 00:00:00,0.00036747,0.01046000
1780632000001,2026-06-05 04:00:00,0.00005000,0.01011000
1780646400004,2026-06-05 08:00:00,0.00040546,0.01001000
1780660800000,2026-06-05 12:00:00,0.00012967,0.00993000
1780675200009,2026-06-05 16:00:00,0.00005000,0.00961000
1780689600000,2026-06-05 20:00:00,0.00007136,0.00961900
1780704000000,2026-06-06 00:00:00,0.00035753,0.00983183
1780718400000,2026-06-06 04:00:00,0.00005000,0.00967000
1780732800000,2026-06-06 08:00:00,0.00059161,0.00976000
1780747200002,2026-06-06 12:00:00,0.00012510,0.00976812
1780761600000,2026-06-06 16:00:00,0.00024232,0.00982845
1780776000003,2026-06-06 20:00:00,0.00006183,0.00967175
1780790400001,2026-06-07 00:00:00,0.00005000,0.00975762
1780804800000,2026-06-07 04:00:00,0.00028355,0.01010000
1780819200000,2026-06-07 08:00:00,0.00015614,0.01005888
