fundingTime,fundingTime_dt,fundingRate,markPrice
1780070400008,2026-05-29 16:00:00,0.00005000,0.04138582
1780084800000,2026-05-29 20:00:00,0.00005000,0.04058000
1780099200000,2026-05-30 00:00:00,0.00000664,0.04055000
1780113600004,2026-05-30 04:00:00,0.00003033,0.04103729
1780128000001,2026-05-30 08:00:00,0.00005000,0.04120278
1780142400000,2026-05-30 12:00:00,0.00005000,0.04199946
1780156800000,2026-05-30 16:00:00,0.00005000,0.04150000
1780171200000,2026-05-30 20:00:00,0.00005000,0.04180000
1780185600000,2026-05-31 00:00:00,0.00005000,0.04239475
1780200000006,2026-05-31 04:00:00,0.00005000,0.04156000
1780214400000,2026-05-31 08:00:00,0.00005000,0.04088251
1780228800005,2026-05-31 12:00:00,0.00005000,0.04084212
1780243200004,2026-05-31 16:00:00,0.00004268,0.04015000
1780257600010,2026-05-31 20:00:00,0.00002551,0.04035029
1780272000001,2026-06-01 00:00:00,0.00005000,0.04120000
1780286400006,2026-06-01 04:00:00,0.00005000,0.04210000
1780300800001,2026-06-01 08:00:00,0.00005000,0.04017600
1780315200000,2026-06-01 12:00:00,0.00005000,0.04050000
1780329600000,2026-06-01 16:00:00,0.00005000,0.04032000
1780344000000,2026-06-01 20:00:00,0.00005000,0.04243000
1780358400000,2026-06-02 00:00:00,0.00005000,0.04243309
1780372800008,2026-06-02 04:00:00,0.00005000,0.04201000
1780387200000,2026-06-02 08:00:00,0.00005000,0.04114113
1780401600002,2026-06-02 12:00:00,0.00005000,0.04078236
1780416000000,2026-06-02 16:00:00,0.00003614,0.03868968
1780430400000,2026-06-02 20:00:00,0.00005000,0.03881126
1780444800013,2026-06-03 00:00:00,0.00001180,0.03838000
1780459200000,2026-06-03 04:00:00,0.00003398,0.03780000
1780473600000,2026-06-03 08:00:00,0.00005000,0.03995000
1780488000000,2026-06-03 12:00:00,0.00005000,0.04003364
1780502400001,2026-06-03 16:00:00,0.00005000,0.03893000
1780516800002,2026-06-03 20:00:00,0.00005000,0.03745061
1780531200009,2026-06-04 00:00:00,0.00005000,0.03695840
1780545600000,2026-06-04 04:00:00,0.00005000,0.03608000
1780560000000,2026-06-04 08:00:00,-0.00000044,0.03432964
1780574400002,2026-06-04 12:00:00,0.00000120,0.03405222
1780588800003,2026-06-04 16:00:00,0.00005000,0.03618953
1780603200001,2026-06-04 20:00:00,0.00004144,0.03551000
1780617600000,2026-06-05 00:00:00,0.00005000,0.03450000
1780632000001,2026-06-05 04:00:00,0.00005000,0.03300000
1780646400004,2026-06-05 08:00:00,0.00004048,0.03266000
1780660800000,2026-06-05 12:00:00,-0.00000006,0.03272022
1780675200009,2026-06-05 16:00:00,0.00002641,0.03168090
1780689600000,2026-06-05 20:00:00,0.00002226,0.03125615
1780704000000,2026-06-06 00:00:00,0.00004010,0.03184856
1780718400000,2026-06-06 04:00:00,0.00001214,0.03105434
1780732800000,2026-06-06 08:00:00,0.00005000,0.03130000
1780747200002,2026-06-06 12:00:00,0.00001666,0.03161000
1780761600000,2026-06-06 16:00:00,0.00002288,0.03142313
1780776000003,2026-06-06 20:00:00,0.00001110,0.03090000
1780790400001,2026-06-07 00:00:00,0.00005000,0.03125529
1780804800000,2026-06-07 04:00:00,0.00002687,0.03174549
1780819200000,2026-06-07 08:00:00,0.00005000,0.03192000
1780833600000,2026-06-07 12:00:00,0.00005000,0.03198332
1780848000000,2026-06-07 16:00:00,0.00005000,0.03159000
1780862400000,2026-06-07 20:00:00,0.00001462,0.03048923
1780876800000,2026-06-08 00:00:00,0.00004174,0.03191000
1780891200009,2026-06-08 04:00:00,0.00005000,0.03183000
1780905600005,2026-06-08 08:00:00,0.00005000,0.03141348
1780920000001,2026-06-08 12:00:00,0.00002700,0.03201224
1780934400004,2026-06-08 16:00:00,0.00002359,0.03185819
1780948800000,2026-06-08 20:00:00,0.00001070,0.03200067
1780963200000,2026-06-09 00:00:00,-0.00001486,0.03154191
1780977600003,2026-06-09 04:00:00,-0.00003386,0.03076961
1780992000000,2026-06-09 08:00:00,-0.00000637,0.03123812
1781006400000,2026-06-09 12:00:00,0.00005000,0.03092196
1781020800001,2026-06-09 16:00:00,0.00005000,0.03036063
1781035200000,2026-06-09 20:00:00,0.00005000,0.03111000
1781049600001,2026-06-10 00:00:00,0.00000268,0.03162384
1781064000002,2026-06-10 04:00:00,0.00005000,0.03147076
1781078400011,2026-06-10 08:00:00,0.00005000,0.03120371
1781092800002,2026-06-10 12:00:00,0.00004453,0.03040000
1781107200009,2026-06-10 16:00:00,-0.00001293,0.03212000
1781121600003,2026-06-10 20:00:00,0.00005000,0.03102757
1781136000000,2026-06-11 00:00:00,0.00004241,0.03104827
1781150400000,2026-06-11 04:00:00,0.00005000,0.03309056
1781164800004,2026-06-11 08:00:00,-0.00023757,0.03453670
1781179200005,2026-06-11 12:00:00,0.00001968,0.03434736
1781193600000,2026-06-11 16:00:00,0.00005000,0.03631793
1781208000014,2026-06-11 20:00:00,0.00005000,0.03663000
1781222400000,2026-06-12 00:00:00,0.00005000,0.03797581
1781236800000,2026-06-12 04:00:00,0.00005000,0.03810000
1781251200000,2026-06-12 08:00:00,0.00005000,0.03861839
1781265600000,2026-06-12 12:00:00,0.00005000,0.03877579
1781280000000,2026-06-12 16:00:00,0.00005000,0.03746000
1781294400000,2026-06-12 20:00:00,0.00005000,0.03714818
1781308800000,2026-06-13 00:00:00,0.00005000,0.03704000
1781323200000,2026-06-13 04:00:00,0.00005000,0.03739674
1781337600007,2026-06-13 08:00:00,0.00005000,0.03814000
1781352000004,2026-06-13 12:00:00,0.00005000,0.03774015
1781366400002,2026-06-13 16:00:00,0.00005000,0.03990000
1781380800004,2026-06-13 20:00:00,0.00005000,0.03840121
1781395200005,2026-06-14 00:00:00,0.00005000,0.03804000
1781409600012,2026-06-14 04:00:00,0.00005000,0.03854694
1781424000009,2026-06-14 08:00:00,0.00005000,0.03896000
1781438400000,2026-06-14 12:00:00,0.00005000,0.03901969
1781452800000,2026-06-14 16:00:00,0.00005000,0.03920103
1781467200010,2026-06-14 20:00:00,0.00005000,0.03800648
1781481600013,2026-06-15 00:00:00,0.00005000,0.03944000
1781496000001,2026-06-15 04:00:00,0.00005000,0.03882000
1781510400013,2026-06-15 08:00:00,0.00005000,0.03939000
1781524800000,2026-06-15 12:00:00,0.00005000,0.04073716
1781539200004,2026-06-15 16:00:00,0.00005000,0.04101520
1781553600002,2026-06-15 20:00:00,0.00005000,0.03899000
1781568000000,2026-06-16 00:00:00,0.00005000,0.03880000
1781582400000,2026-06-16 04:00:00,0.00005000,0.03960000
1781596800000,2026-06-16 08:00:00,0.00005000,0.03971000
1781611200000,2026-06-16 12:00:00,0.00005000,0.03989000
1781625600001,2026-06-16 16:00:00,0.00005000,0.03901276
1781640000000,2026-06-16 20:00:00,0.00005000,0.03936000
1781654400012,2026-06-17 00:00:00,0.00005000,0.03909000
1781668800000,2026-06-17 04:00:00,-0.00000584,0.03947000
1781683200000,2026-06-17 08:00:00,0.00003567,0.03932000
1781697600000,2026-06-17 12:00:00,0.00002953,0.03872031
1781712000000,2026-06-17 16:00:00,-0.00000129,0.04048000
1781726400000,2026-06-17 20:00:00,0.00005000,0.03904000
