fundingTime,fundingTime_dt,fundingRate,markPrice
1750939200005,2025-06-26 12:00:00,0.00005000,0.00000000
1750953600007,2025-06-26 16:00:00,-0.02000000,0.09281000
1750957200000,2025-06-26 17:00:00,-0.01513301,0.09886245
1750960800007,2025-06-26 18:00:00,-0.00598948,0.09040938
1750964400001,2025-06-26 19:00:00,-0.01158679,0.08622000
1750968000000,2025-06-26 20:00:00,-0.00333176,0.08870575
1750971600004,2025-06-26 21:00:00,-0.00013502,0.08896000
1750975200001,2025-06-26 22:00:00,-0.00410812,0.09047102
1750978800000,2025-06-26 23:00:00,-0.00487167,0.09107000
1750982400000,2025-06-27 00:00:00,-0.00646718,0.09352000
1750986000000,2025-06-27 01:00:00,-0.00121419,0.08219423
1750989600000,2025-06-27 02:00:00,-0.00461803,0.08325000
1750993200000,2025-06-27 03:00:00,-0.00085986,0.08461000
1750996800001,2025-06-27 04:00:00,-0.00343232,0.08067000
1751000400005,2025-06-27 05:00:00,-0.00114046,0.08095000
1751004000010,2025-06-27 06:00:00,-0.00084012,0.08023984
1751007600002,2025-06-27 07:00:00,-0.00126048,0.08019479
1751011200000,2025-06-27 08:00:00,-0.00243940,0.08232127
1751014800006,2025-06-27 09:00:00,-0.00487703,0.08362000
1751018400000,2025-06-27 10:00:00,-0.00334107,0.08676368
1751022000001,2025-06-27 11:00:00,-0.00439964,0.08821957
1751025600003,2025-06-27 12:00:00,-0.00478042,0.08551606
1751029200000,2025-06-27 13:00:00,-0.00095822,0.08296000
1751032800000,2025-06-27 14:00:00,-0.00113337,0.08421000
1751036400003,2025-06-27 15:00:00,-0.00059363,0.08183383
1751040000009,2025-06-27 16:00:00,-0.00086617,0.08126546
1751043600000,2025-06-27 17:00:00,-0.00128733,0.08254000
1751047200003,2025-06-27 18:00:00,-0.00121045,0.08278000
1751050800000,2025-06-27 19:00:00,-0.00019196,0.08184000
1751054400002,2025-06-27 20:00:00,-0.00152438,0.08149050
1751058000001,2025-06-27 21:00:00,-0.00149780,0.08324240
1751061600000,2025-06-27 22:00:00,-0.00015034,0.08359097
1751065200003,2025-06-27 23:00:00,-0.00015044,0.08401000
1751068800001,2025-06-28 00:00:00,-0.00085775,0.08418958
1751072400000,2025-06-28 01:00:00,-0.00506118,0.08560009
1751076000000,2025-06-28 02:00:00,-0.00240063,0.08472427
1751079600000,2025-06-28 03:00:00,-0.00150881,0.08311574
1751083200000,2025-06-28 04:00:00,-0.00403603,0.08553203
1751086800006,2025-06-28 05:00:00,-0.00145771,0.08737000
1751090400000,2025-06-28 06:00:00,-0.00075936,0.08662000
1751094000000,2025-06-28 07:00:00,-0.00038848,0.08428719
1751097600002,2025-06-28 08:00:00,-0.00061043,0.08455897
1751101200000,2025-06-28 09:00:00,-0.00212228,0.08397000
1751104800001,2025-06-28 10:00:00,-0.00139563,0.08458866
1751108400000,2025-06-28 11:00:00,-0.00072724,0.08513939
1751112000000,2025-06-28 12:00:00,-0.00092154,0.08540588
1751115600004,2025-06-28 13:00:00,-0.00163504,0.08553000
1751119200002,2025-06-28 14:00:00,-0.00147729,0.08585000
1751122800004,2025-06-28 15:00:00,-0.00108520,0.08599128
1751126400000,2025-06-28 16:00:00,-0.00032514,0.08591000
1751130000007,2025-06-28 17:00:00,-0.00038609,0.08811994
1751133600000,2025-06-28 18:00:00,-0.00036099,0.08795708
1751137200000,2025-06-28 19:00:00,-0.00061546,0.08765382
1751140800007,2025-06-28 20:00:00,-0.00045933,0.08926000
1751144400001,2025-06-28 21:00:00,-0.00010030,0.08949000
1751148000000,2025-06-28 22:00:00,-0.00008836,0.08808336
1751151600008,2025-06-28 23:00:00,-0.00029073,0.08882000
1751155200004,2025-06-29 00:00:00,-0.00057493,0.08811000
1751158800000,2025-06-29 01:00:00,-0.00129593,0.09180000
1751162400000,2025-06-29 02:00:00,-0.00102284,0.09269000
1751166000000,2025-06-29 03:00:00,-0.00254333,0.10290997
1751169600003,2025-06-29 04:00:00,-0.00208794,0.10648381
1751173200001,2025-06-29 05:00:00,-0.00217529,0.10649000
1751176800002,2025-06-29 06:00:00,0.00001250,0.09651984
1751180400000,2025-06-29 07:00:00,-0.00217340,0.10230706
1751184000001,2025-06-29 08:00:00,-0.00112673,0.10104534
1751187600000,2025-06-29 09:00:00,-0.00028746,0.09951144
1751191200006,2025-06-29 10:00:00,-0.00092086,0.10146000
1751194800007,2025-06-29 11:00:00,-0.00066676,0.10059450
1751198400003,2025-06-29 12:00:00,-0.00146712,0.10353000
1751202000000,2025-06-29 13:00:00,-0.00190171,0.10357000
1751205600000,2025-06-29 14:00:00,-0.00180274,0.10319000
1751209200000,2025-06-29 15:00:00,-0.00253083,0.10754000
1751212800001,2025-06-29 16:00:00,0.00001250,0.10107589
1751216400001,2025-06-29 17:00:00,0.00001250,0.10110270
1751220000000,2025-06-29 18:00:00,-0.00003696,0.09881357
1751223600003,2025-06-29 19:00:00,0.00000027,0.09995000
1751227200003,2025-06-29 20:00:00,0.00001250,0.09922766
1751230800000,2025-06-29 21:00:00,0.00001250,0.09533000
1751234400000,2025-06-29 22:00:00,-0.00013547,0.09592259
1751238000000,2025-06-29 23:00:00,-0.00006624,0.09959244
1751241600000,2025-06-30 00:00:00,-0.00008468,0.10013366
1751245200000,2025-06-30 01:00:00,0.00001250,0.10154000
1751248800006,2025-06-30 02:00:00,-0.00038209,0.10320000
1751252400000,2025-06-30 03:00:00,-0.00030759,0.10355000
1751256000003,2025-06-30 04:00:00,-0.00034307,0.09999000
1751259600000,2025-06-30 05:00:00,-0.00051224,0.09871328
1751263200000,2025-06-30 06:00:00,-0.00006363,0.09986000
1751266800000,2025-06-30 07:00:00,0.00001250,0.09808000
1751270400005,2025-06-30 08:00:00,-0.00004737,0.09917140
1751274000003,2025-06-30 09:00:00,-0.00010413,0.09739000
1751277600000,2025-06-30 10:00:00,0.00001250,0.09264331
1751281200002,2025-06-30 11:00:00,-0.00029150,0.09179000
1751284800000,2025-06-30 12:00:00,-0.00019503,0.09057346
1751288400000,2025-06-30 13:00:00,-0.00005019,0.09036090
1751292000000,2025-06-30 14:00:00,-0.00017541,0.08972000
1751295600000,2025-06-30 15:00:00,-0.00007504,0.08950000
1751299200002,2025-06-30 16:00:00,-0.00013825,0.08886939
1751302800003,2025-06-30 17:00:00,-0.00017277,0.08646227
1751306400009,2025-06-30 18:00:00,-0.00022028,0.08673090
1751310000007,2025-06-30 19:00:00,-0.00000231,0.08595166
1751313600000,2025-06-30 20:00:00,-0.00016080,0.08704691
1751317200002,2025-06-30 21:00:00,-0.00020027,0.08584001
1751320800000,2025-06-30 22:00:00,-0.00011479,0.08461000
1751324400001,2025-06-30 23:00:00,-0.00005284,0.08293000
1751328000007,2025-07-01 00:00:00,-0.00044121,0.08461261
1751331600000,2025-07-01 01:00:00,-0.00127973,0.08501042
1751335200009,2025-07-01 02:00:00,-0.00116893,0.08490319
1751338800005,2025-07-01 03:00:00,-0.00133082,0.08632625
1751342400000,2025-07-01 04:00:00,-0.00163573,0.08630000
1751346000000,2025-07-01 05:00:00,-0.00144640,0.08528190
1751349600000,2025-07-01 06:00:00,-0.00092824,0.08540001
1751353200000,2025-07-01 07:00:00,-0.00090636,0.08667868
1751356800002,2025-07-01 08:00:00,-0.00066043,0.08585497
1751360400000,2025-07-01 09:00:00,-0.00044439,0.08426268
1751364000000,2025-07-01 10:00:00,-0.00016746,0.08386000
1751367600000,2025-07-01 11:00:00,-0.00055244,0.08353000
1751371200000,2025-07-01 12:00:00,-0.00053474,0.08311526
1751374800000,2025-07-01 13:00:00,-0.00050378,0.08264762
1751378400000,2025-07-01 14:00:00,-0.00058677,0.08398247
1751382000000,2025-07-01 15:00:00,-0.00041609,0.08441000
1751385600000,2025-07-01 16:00:00,-0.00039356,0.08530000
1751389200007,2025-07-01 17:00:00,0.00001250,0.08390089
1751392800000,2025-07-01 18:00:00,-0.00009712,0.08401770
1751396400000,2025-07-01 19:00:00,-0.00019429,0.08322000
1751400000000,2025-07-01 20:00:00,-0.00014584,0.08429822
1751403600000,2025-07-01 21:00:00,0.00001250,0.08492017
1751407200002,2025-07-01 22:00:00,0.00001250,0.08422182
1751410800002,2025-07-01 23:00:00,-0.00004342,0.08555361
1751414400001,2025-07-02 00:00:00,0.00000499,0.08449911
1751418000002,2025-07-02 01:00:00,-0.00004628,0.08290000
1751421600004,2025-07-02 02:00:00,-0.00002312,0.08260701
1751425200001,2025-07-02 03:00:00,0.00001250,0.08096826
1751428800001,2025-07-02 04:00:00,0.00001250,0.07871152
1751432400000,2025-07-02 05:00:00,-0.00000701,0.07964910
1751436000005,2025-07-02 06:00:00,-0.00009972,0.07879806
1751439600000,2025-07-02 07:00:00,-0.00014253,0.07732445
1751443200000,2025-07-02 08:00:00,-0.00014761,0.07662000
1751446800000,2025-07-02 09:00:00,-0.00018115,0.07474435
1751450400000,2025-07-02 10:00:00,-0.00027684,0.07586000
1751454000000,2025-07-02 11:00:00,-0.00012609,0.07590159
1751457600001,2025-07-02 12:00:00,-0.00034458,0.07522657
1751461200001,2025-07-02 13:00:00,-0.00034398,0.07592580
1751464800000,2025-07-02 14:00:00,-0.00065080,0.07637000
1751468400003,2025-07-02 15:00:00,-0.00052112,0.07953157
1751472000003,2025-07-02 16:00:00,-0.00056212,0.07911000
1751475600000,2025-07-02 17:00:00,-0.00016806,0.08094408
1751479200000,2025-07-02 18:00:00,-0.00004846,0.07892056
1751482800000,2025-07-02 19:00:00,-0.00012388,0.07942000
1751486400000,2025-07-02 20:00:00,-0.00031154,0.08005514
1751490000000,2025-07-02 21:00:00,-0.00030602,0.08106000
1751493600004,2025-07-02 22:00:00,0.00001250,0.08194000
