fundingTime,fundingTime_dt,fundingRate,markPrice
1780070400008,2026-05-29 16:00:00,-0.00006806,0.01189146
1780084800000,2026-05-29 20:00:00,-0.00009315,0.01186467
1780099200000,2026-05-30 00:00:00,-0.00001046,0.01171491
1780113600004,2026-05-30 04:00:00,0.00000785,0.01173000
1780128000001,2026-05-30 08:00:00,0.00000407,0.01180128
1780142400000,2026-05-30 12:00:00,0.00004209,0.01171817
1780156800000,2026-05-30 16:00:00,-0.00002043,0.01161000
1780171200000,2026-05-30 20:00:00,-0.00010703,0.01165000
1780185600000,2026-05-31 00:00:00,-0.00019261,0.01162000
1780200000006,2026-05-31 04:00:00,-0.00009821,0.01165000
1780214400000,2026-05-31 08:00:00,-0.00025741,0.01190000
1780228800005,2026-05-31 12:00:00,-0.00777153,0.01221254
1780243200004,2026-05-31 16:00:00,-0.00097647,0.01152000
1780257600010,2026-05-31 20:00:00,-0.00193791,0.01173576
1780272000001,2026-06-01 00:00:00,-0.00116444,0.01183910
1780286400006,2026-06-01 04:00:00,-0.00075711,0.01176000
1780300800001,2026-06-01 08:00:00,-0.00023355,0.01134000
1780315200000,2026-06-01 12:00:00,-0.00047241,0.01119030
1780329600000,2026-06-01 16:00:00,-0.00017750,0.01107367
1780344000000,2026-06-01 20:00:00,-0.00003469,0.01122000
1780358400000,2026-06-02 00:00:00,-0.00077133,0.01115000
1780372800008,2026-06-02 04:00:00,-0.00215493,0.01131500
1780387200000,2026-06-02 08:00:00,-0.00050379,0.01104765
1780401600002,2026-06-02 12:00:00,-0.00127825,0.01104507
1780416000000,2026-06-02 16:00:00,-0.00094191,0.01073238
1780430400000,2026-06-02 20:00:00,-0.00036227,0.01063510
1780444800013,2026-06-03 00:00:00,-0.00007442,0.01048500
1780459200000,2026-06-03 04:00:00,-0.00012749,0.01045086
1780473600000,2026-06-03 08:00:00,-0.00001535,0.01078507
1780488000000,2026-06-03 12:00:00,-0.00004593,0.01068507
1780502400001,2026-06-03 16:00:00,0.00005000,0.01064200
1780516800002,2026-06-03 20:00:00,-0.00001286,0.01058500
1780531200009,2026-06-04 00:00:00,-0.00015831,0.01049433
1780545600000,2026-06-04 04:00:00,0.00003433,0.00993497
1780560000000,2026-06-04 08:00:00,-0.00008232,0.00963320
1780574400002,2026-06-04 12:00:00,-0.00004196,0.00952500
1780588800003,2026-06-04 16:00:00,0.00001582,0.00979630
1780603200001,2026-06-04 20:00:00,-0.00011918,0.00978894
1780617600000,2026-06-05 00:00:00,-0.00011469,0.00969502
1780632000001,2026-06-05 04:00:00,-0.00012669,0.00940000
1780646400004,2026-06-05 08:00:00,-0.00014378,0.00922000
1780660800000,2026-06-05 12:00:00,-0.00023646,0.00912000
1780675200009,2026-06-05 16:00:00,-0.00025413,0.00898500
1780689600000,2026-06-05 20:00:00,0.00001359,0.00881900
1780704000000,2026-06-06 00:00:00,-0.00008837,0.00887384
1780718400000,2026-06-06 04:00:00,-0.00012965,0.00874000
1780732800000,2026-06-06 08:00:00,-0.00006718,0.00875000
1780747200002,2026-06-06 12:00:00,0.00005000,0.00874515
1780761600000,2026-06-06 16:00:00,0.00002449,0.00874000
1780776000003,2026-06-06 20:00:00,0.00004099,0.00864000
1780790400001,2026-06-07 00:00:00,0.00005000,0.00867000
1780804800000,2026-06-07 04:00:00,0.00005000,0.00889000
1780819200000,2026-06-07 08:00:00,0.00002921,0.00888000
1780833600000,2026-06-07 12:00:00,-0.00034009,0.00882146
1780848000000,2026-06-07 16:00:00,-0.00002712,0.00871000
1780862400000,2026-06-07 20:00:00,-0.00022495,0.00844508
1780876800000,2026-06-08 00:00:00,-0.00029867,0.00872995
1780891200009,2026-06-08 04:00:00,-0.00010577,0.00871000
1780905600005,2026-06-08 08:00:00,0.00005000,0.00863000
1780920000001,2026-06-08 12:00:00,0.00003942,0.00869040
1780934400004,2026-06-08 16:00:00,0.00001964,0.00887146
1780948800000,2026-06-08 20:00:00,-0.00012113,0.00897000
1780963200000,2026-06-09 00:00:00,-0.00007694,0.00895000
1780977600003,2026-06-09 04:00:00,0.00005000,0.00850498
1780992000000,2026-06-09 08:00:00,0.00005000,0.00862000
1781006400000,2026-06-09 12:00:00,0.00005000,0.00864949
1781020800001,2026-06-09 16:00:00,-0.00004759,0.00843000
1781035200000,2026-06-09 20:00:00,0.00005000,0.00865535
1781049600001,2026-06-10 00:00:00,0.00005000,0.00859000
1781064000002,2026-06-10 04:00:00,0.00005000,0.00835501
1781078400011,2026-06-10 08:00:00,0.00005000,0.00846000
1781092800002,2026-06-10 12:00:00,0.00003993,0.00829549
1781107200009,2026-06-10 16:00:00,0.00005000,0.00860000
1781121600003,2026-06-10 20:00:00,0.00005000,0.00837878
1781136000000,2026-06-11 00:00:00,0.00005000,0.00829233
1781150400000,2026-06-11 04:00:00,0.00005000,0.00845666
1781164800004,2026-06-11 08:00:00,0.00005000,0.00847000
1781179200005,2026-06-11 12:00:00,0.00005000,0.00844000
1781193600000,2026-06-11 16:00:00,0.00005000,0.00847000
1781208000014,2026-06-11 20:00:00,0.00005000,0.00861000
1781222400000,2026-06-12 00:00:00,0.00001493,0.00856000
1781236800000,2026-06-12 04:00:00,0.00005000,0.00850500
1781251200000,2026-06-12 08:00:00,0.00005000,0.00849000
1781265600000,2026-06-12 12:00:00,-0.00011072,0.00868000
1781280000000,2026-06-12 16:00:00,0.00005000,0.00853312
1781294400000,2026-06-12 20:00:00,0.00005000,0.00850000
1781308800000,2026-06-13 00:00:00,0.00005000,0.00856768
1781323200000,2026-06-13 04:00:00,0.00000674,0.00846000
1781337600007,2026-06-13 08:00:00,0.00005000,0.00855099
1781352000004,2026-06-13 12:00:00,0.00000089,0.00858723
1781366400002,2026-06-13 16:00:00,-0.00020467,0.00864900
1781380800004,2026-06-13 20:00:00,0.00003316,0.00863091
1781395200005,2026-06-14 00:00:00,-0.00009760,0.00857200
1781409600012,2026-06-14 04:00:00,-0.00032931,0.00856100
