open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1607400000000,2020-12-08 04:00:00,0.13780,0.13780,0.12099,0.12460,3888665,1607414399999,2020-12-08 07:59:59,489818.65269,5203,1342745,169728.65689
1607414400000,2020-12-08 08:00:00,0.12422,0.12553,0.11032,0.11294,21588968,1607428799999,2020-12-08 11:59:59,2509705.70139,18198,9358666,1091171.24046
1607428800000,2020-12-08 12:00:00,0.11294,0.11946,0.10681,0.11518,23560197,1607443199999,2020-12-08 15:59:59,2673865.57878,14727,10840047,1234298.66418
1607443200000,2020-12-08 16:00:00,0.11506,0.13489,0.11160,0.12804,53981794,1607457599999,2020-12-08 19:59:59,6755014.99408,24474,23246087,2907946.96730
1607457600000,2020-12-08 20:00:00,0.12805,0.13876,0.11751,0.12341,50310989,1607471999999,2020-12-08 23:59:59,6423970.40418,20304,21668353,2777519.07844
1607472000000,2020-12-09 00:00:00,0.12314,0.12352,0.10990,0.11788,14381626,1607486399999,2020-12-09 03:59:59,1669125.62743,7985,6052727,704652.21036
1607486400000,2020-12-09 04:00:00,0.11780,0.12560,0.11287,0.11880,18549260,1607500799999,2020-12-09 07:59:59,2209079.14890,10752,9270035,1107233.36768
1607500800000,2020-12-09 08:00:00,0.11882,0.13535,0.11400,0.13056,52096700,1607515199999,2020-12-09 11:59:59,6569157.64933,25167,24504548,3097216.42355
1607515200000,2020-12-09 12:00:00,0.13031,0.14393,0.12394,0.13853,69924442,1607529599999,2020-12-09 15:59:59,9409715.83046,45279,33433181,4513340.54981
1607529600000,2020-12-09 16:00:00,0.13854,0.14500,0.13328,0.13962,54569930,1607543999999,2020-12-09 19:59:59,7628206.79305,44101,26131711,3662602.87331
1607544000000,2020-12-09 20:00:00,0.13994,0.14566,0.13129,0.13799,32482192,1607558399999,2020-12-09 23:59:59,4487470.60732,27403,15384015,2133342.65687
1607558400000,2020-12-10 00:00:00,0.13800,0.15012,0.13436,0.14041,38425353,1607572799999,2020-12-10 03:59:59,5527958.81776,24098,18827016,2713035.45291
1607572800000,2020-12-10 04:00:00,0.14041,0.14499,0.13721,0.14467,25159477,1607587199999,2020-12-10 07:59:59,3571047.97644,18484,12934731,1839513.61163
1607587200000,2020-12-10 08:00:00,0.14467,0.14480,0.13000,0.13487,40078393,1607601599999,2020-12-10 11:59:59,5429584.14441,33394,17687372,2398391.83510
1607601600000,2020-12-10 12:00:00,0.13487,0.14195,0.12402,0.12899,61783660,1607615999999,2020-12-10 15:59:59,8216686.58647,49548,27563802,3679573.36690
1607616000000,2020-12-10 16:00:00,0.12903,0.13443,0.12653,0.13013,19484646,1607630399999,2020-12-10 19:59:59,2539660.55637,25017,9336100,1218595.55352
1607630400000,2020-12-10 20:00:00,0.13030,0.13367,0.12420,0.12450,13227773,1607644799999,2020-12-10 23:59:59,1720961.72956,11235,5050592,657901.57968
1607644800000,2020-12-11 00:00:00,0.12455,0.12693,0.11880,0.12349,23427692,1607659199999,2020-12-11 03:59:59,2856215.68574,16928,9853097,1203842.23261
1607659200000,2020-12-11 04:00:00,0.12349,0.12646,0.11857,0.12078,17971788,1607673599999,2020-12-11 07:59:59,2205339.29149,18305,7788064,957700.77358
1607673600000,2020-12-11 08:00:00,0.12080,0.12721,0.11364,0.11583,24411063,1607687999999,2020-12-11 11:59:59,2933630.88815,27308,10282220,1241220.86917
1607688000000,2020-12-11 12:00:00,0.11571,0.12526,0.11533,0.12409,23642849,1607702399999,2020-12-11 15:59:59,2861191.34343,24547,11713279,1418131.78860
1607702400000,2020-12-11 16:00:00,0.12410,0.12485,0.11647,0.11671,15747140,1607716799999,2020-12-11 19:59:59,1902878.59929,16224,6660042,806870.20915
1607716800000,2020-12-11 20:00:00,0.11671,0.11959,0.11477,0.11546,7402635,1607731199999,2020-12-11 23:59:59,868231.18364,5516,3347848,393214.42160
1607731200000,2020-12-12 00:00:00,0.11552,0.12400,0.11533,0.12263,9086678,1607745599999,2020-12-12 03:59:59,1096389.66398,7285,4313257,520584.38749
1607745600000,2020-12-12 04:00:00,0.12257,0.12789,0.12067,0.12738,9722289,1607759999999,2020-12-12 07:59:59,1205727.69734,8211,4998668,621772.02791
1607760000000,2020-12-12 08:00:00,0.12737,0.13187,0.12361,0.12936,24864265,1607774399999,2020-12-12 11:59:59,3181634.19393,25845,11259999,1443201.01010
1607774400000,2020-12-12 12:00:00,0.12936,0.12999,0.11725,0.12214,22937073,1607788799999,2020-12-12 15:59:59,2840613.66409,24558,8882734,1099952.89471
1607788800000,2020-12-12 16:00:00,0.12198,0.12452,0.11900,0.12118,8882551,1607803199999,2020-12-12 19:59:59,1079609.37817,11960,3710077,451362.91289
1607803200000,2020-12-12 20:00:00,0.12104,0.12513,0.12000,0.12321,6966276,1607817599999,2020-12-12 23:59:59,856835.11603,5153,3352364,412512.83462
1607817600000,2020-12-13 00:00:00,0.12307,0.12430,0.11785,0.11988,5534160,1607831999999,2020-12-13 03:59:59,665413.34507,4792,1979834,238790.53249
1607832000000,2020-12-13 04:00:00,0.11986,0.12319,0.11903,0.12193,5943462,1607846399999,2020-12-13 07:59:59,722385.29975,6899,2479388,301484.31149
1607846400000,2020-12-13 08:00:00,0.12200,0.12700,0.12163,0.12569,13481343,1607860799999,2020-12-13 11:59:59,1679799.92337,14897,6522064,812901.37517
1607860800000,2020-12-13 12:00:00,0.12564,0.12642,0.11522,0.11963,27693932,1607875199999,2020-12-13 15:59:59,3345810.57202,19478,10410395,1259055.95500
1607875200000,2020-12-13 16:00:00,0.11969,0.12175,0.11860,0.11940,9273789,1607889599999,2020-12-13 19:59:59,1112880.47853,11248,3429383,412056.09533
1607889600000,2020-12-13 20:00:00,0.11941,0.12010,0.11616,0.11829,6454277,1607903999999,2020-12-13 23:59:59,761194.12806,11123,2468397,291250.74136
1607904000000,2020-12-14 00:00:00,0.11836,0.11861,0.10989,0.11411,21632031,1607918399999,2020-12-14 03:59:59,2463624.21553,14115,9279910,1058809.13135
1607918400000,2020-12-14 04:00:00,0.11411,0.11664,0.11250,0.11534,7357531,1607932799999,2020-12-14 07:59:59,843585.02074,9162,3501025,401807.64640
1607932800000,2020-12-14 08:00:00,0.11537,0.12054,0.11283,0.11598,22392738,1607947199999,2020-12-14 11:59:59,2627175.66393,26202,10246526,1204772.82953
1607947200000,2020-12-14 12:00:00,0.11598,0.11701,0.11310,0.11519,9094358,1607961599999,2020-12-14 15:59:59,1045797.12044,11372,3905772,449588.11429
1607961600000,2020-12-14 16:00:00,0.11541,0.11633,0.11356,0.11421,5066300,1607975999999,2020-12-14 19:59:59,580724.04491,9827,2243148,257506.14431
1607976000000,2020-12-14 20:00:00,0.11437,0.11669,0.11355,0.11585,4422003,1607990399999,2020-12-14 23:59:59,509938.08018,7268,2135806,246560.92068
1607990400000,2020-12-15 00:00:00,0.11565,0.11637,0.11307,0.11531,5004634,1608004799999,2020-12-15 03:59:59,573614.79167,5294,1949472,223649.73397
1608004800000,2020-12-15 04:00:00,0.11513,0.11846,0.11347,0.11742,10670855,1608019199999,2020-12-15 07:59:59,1235741.50352,11679,4717838,547992.90036
1608019200000,2020-12-15 08:00:00,0.11751,0.12380,0.11408,0.12205,26474972,1608033599999,2020-12-15 11:59:59,3159331.77199,24436,13508753,1614029.47904
1608033600000,2020-12-15 12:00:00,0.12204,0.12205,0.11828,0.12025,10878802,1608047999999,2020-12-15 15:59:59,1306165.35062,15797,4500015,541003.79792
1608048000000,2020-12-15 16:00:00,0.12022,0.12206,0.11578,0.11771,9861463,1608062399999,2020-12-15 19:59:59,1170094.62786,11355,3960193,470420.19852
1608062400000,2020-12-15 20:00:00,0.11767,0.11812,0.11532,0.11680,3599820,1608076799999,2020-12-15 23:59:59,419268.53237,4012,1576400,183828.22845
1608076800000,2020-12-16 00:00:00,0.11679,0.11693,0.11132,0.11362,8307167,1608091199999,2020-12-16 03:59:59,945854.34888,8755,2792637,317950.41197
1608091200000,2020-12-16 04:00:00,0.11362,0.11981,0.11318,0.11661,7309247,1608105599999,2020-12-16 07:59:59,856728.31827,16787,3758325,441100.96826
1608105600000,2020-12-16 08:00:00,0.11662,0.11755,0.11271,0.11444,7844499,1608119999999,2020-12-16 11:59:59,901036.27278,6840,3309823,380452.87989
1608120000000,2020-12-16 12:00:00,0.11444,0.11846,0.10708,0.11740,28557557,1608134399999,2020-12-16 15:59:59,3236149.10396,23283,12715445,1444849.60027
1608134400000,2020-12-16 16:00:00,0.11749,0.11957,0.11300,0.11558,11697057,1608148799999,2020-12-16 19:59:59,1352752.37695,9716,5243939,607551.83053
1608148800000,2020-12-16 20:00:00,0.11541,0.11543,0.11108,0.11331,8026802,1608163199999,2020-12-16 23:59:59,907539.69668,6717,3381496,382755.93005
