fundingTime,fundingTime_dt,fundingRate,markPrice
1769083200000,2026-01-22 12:00:00,-0.00041244,0.03836000
1769097600005,2026-01-22 16:00:00,-0.00285089,0.04748149
1769112000000,2026-01-22 20:00:00,-0.00122760,0.04463384
1769126400005,2026-01-23 00:00:00,-0.00131889,0.04264500
1769140800000,2026-01-23 04:00:00,-0.00116850,0.04158958
1769155200000,2026-01-23 08:00:00,-0.00106894,0.03635731
1769169600002,2026-01-23 12:00:00,-0.00320245,0.03775600
1769184000011,2026-01-23 16:00:00,-0.00136776,0.03295058
1769198400000,2026-01-23 20:00:00,-0.00060674,0.03199902
1769212800011,2026-01-24 00:00:00,-0.00064838,0.03084829
1769227200008,2026-01-24 04:00:00,-0.00107237,0.03069900
1769241600002,2026-01-24 08:00:00,-0.00028447,0.02832015
1769256000000,2026-01-24 12:00:00,-0.00051451,0.03065900
1769270400001,2026-01-24 16:00:00,-0.00061552,0.03400700
1769284800008,2026-01-24 20:00:00,-0.00053652,0.03254862
1769299200002,2026-01-25 00:00:00,-0.00103686,0.03089589
1769313600000,2026-01-25 04:00:00,-0.00037978,0.02944692
1769328000011,2026-01-25 08:00:00,-0.00038130,0.02813000
1769342400000,2026-01-25 12:00:00,-0.00009775,0.02759100
1769356800005,2026-01-25 16:00:00,-0.00002126,0.02478545
1769371200001,2026-01-25 20:00:00,-0.00050671,0.02280300
1769385600000,2026-01-26 00:00:00,-0.00005881,0.02228400
1769400000000,2026-01-26 04:00:00,-0.00014888,0.02212324
1769414400003,2026-01-26 08:00:00,-0.00037043,0.02312500
1769428800000,2026-01-26 12:00:00,-0.00011956,0.02311911
1769443200000,2026-01-26 16:00:00,-0.00020277,0.02319000
1769457600000,2026-01-26 20:00:00,-0.00025063,0.02712410
1769472000002,2026-01-27 00:00:00,-0.00071783,0.02853451
1769486400002,2026-01-27 04:00:00,-0.00027681,0.02573543
1769500800000,2026-01-27 08:00:00,0.00003865,0.02518600
1769515200006,2026-01-27 12:00:00,0.00005000,0.02439640
1769529600000,2026-01-27 16:00:00,-0.00036644,0.02520000
1769544000000,2026-01-27 20:00:00,-0.00000183,0.02429199
1769558400000,2026-01-28 00:00:00,-0.00038416,0.02513600
1769572800008,2026-01-28 04:00:00,-0.00027605,0.02538800
1769587200000,2026-01-28 08:00:00,-0.00007392,0.02389796
1769601600005,2026-01-28 12:00:00,0.00005000,0.02320846
1769616000000,2026-01-28 16:00:00,-0.00033455,0.02151200
