open_time,open_time_dt,open,high,low,close,volume,close_time,close_time_dt,quote_volume,trades_count,taker_buy_base,taker_buy_quote
1753228800000,2025-07-23 00:00:00,0.0025650,0.0025650,0.0020530,0.0022930,23384166167,1753315199999,2025-07-23 23:59:59,52423070.4307880,294075,11469580738,25708503.4555720
1753315200000,2025-07-24 00:00:00,0.0022930,0.0024060,0.0019430,0.0019740,18466807330,1753401599999,2025-07-24 23:59:59,38619731.4774170,259147,8768756389,18359438.8608320
1753401600000,2025-07-25 00:00:00,0.0019740,0.0020840,0.0019010,0.0019900,9108948877,1753487999999,2025-07-25 23:59:59,18177705.7604390,164471,4254921742,8503869.4785610
1753488000000,2025-07-26 00:00:00,0.0019910,0.0024000,0.0019700,0.0022850,20043841278,1753574399999,2025-07-26 23:59:59,44692590.2515990,303081,9903623566,22098390.0644780
1753574400000,2025-07-27 00:00:00,0.0022870,0.0023480,0.0020910,0.0021460,9622588081,1753660799999,2025-07-27 23:59:59,21189045.8623280,158313,4499401928,9914881.6867100
1753660800000,2025-07-28 00:00:00,0.0021470,0.0022830,0.0020520,0.0020700,6544153690,1753747199999,2025-07-28 23:59:59,14189473.3040330,122034,3034229372,6592834.2278770
1753747200000,2025-07-29 00:00:00,0.0020700,0.0021080,0.0019580,0.0020220,3781813685,1753833599999,2025-07-29 23:59:59,7690331.3707670,67514,1830821766,3729771.7316760
1753833600000,2025-07-30 00:00:00,0.0020230,0.0020290,0.0017840,0.0019030,3693698053,1753919999999,2025-07-30 23:59:59,7059811.1265370,68221,1627975904,3117693.6473480
1753920000000,2025-07-31 00:00:00,0.0019020,0.0019680,0.0017920,0.0018040,2471900517,1754006399999,2025-07-31 23:59:59,4694394.1006840,52687,1157527193,2199656.6263110
1754006400000,2025-08-01 00:00:00,0.0018030,0.0018280,0.0017070,0.0017650,2886627211,1754092799999,2025-08-01 23:59:59,5142276.1163010,52898,1444339136,2574613.1663320
1754092800000,2025-08-02 00:00:00,0.0017640,0.0017770,0.0016270,0.0016730,2163175848,1754179199999,2025-08-02 23:59:59,3669634.6842060,36654,1010871321,1716029.7499050
1754179200000,2025-08-03 00:00:00,0.0016740,0.0017640,0.0016520,0.0017220,1674061743,1754265599999,2025-08-03 23:59:59,2887085.4975300,28279,775242531,1336600.7459690
1754265600000,2025-08-04 00:00:00,0.0017230,0.0018150,0.0017130,0.0017930,1757045712,1754351999999,2025-08-04 23:59:59,3088012.8441750,30829,869822344,1528945.3557740
1754352000000,2025-08-05 00:00:00,0.0017940,0.0018110,0.0016370,0.0016830,2524548148,1754438399999,2025-08-05 23:59:59,4322726.9024910,37500,1188458205,2036179.1075370
1754438400000,2025-08-06 00:00:00,0.0016830,0.0017630,0.0016300,0.0017160,1970177408,1754524799999,2025-08-06 23:59:59,3336110.1092280,33666,958778155,1625718.7377050
1754524800000,2025-08-07 00:00:00,0.0017170,0.0018270,0.0016900,0.0018270,2304475369,1754611199999,2025-08-07 23:59:59,4015310.1820410,36438,1116910867,1948596.8054350
1754611200000,2025-08-08 00:00:00,0.0018270,0.0019110,0.0017870,0.0018900,2681922608,1754697599999,2025-08-08 23:59:59,4912269.8183250,48172,1282457283,2352504.8582070
1754697600000,2025-08-09 00:00:00,0.0018890,0.0022640,0.0018650,0.0020750,13093187257,1754783999999,2025-08-09 23:59:59,27995740.0071570,171360,6178162422,13221251.6605190
1754784000000,2025-08-10 00:00:00,0.0020750,0.0021520,0.0019900,0.0020290,3636734717,1754870399999,2025-08-10 23:59:59,7524939.3866440,57365,1794321620,3715790.8366750
1754870400000,2025-08-11 00:00:00,0.0020300,0.0020850,0.0018750,0.0018950,2871338542,1754956799999,2025-08-11 23:59:59,5722885.7442850,44347,1347251447,2689729.0332380
1754956800000,2025-08-12 00:00:00,0.0018940,0.0020380,0.0018630,0.0019960,1954580697,1755043199999,2025-08-12 23:59:59,3810551.7369040,34526,958101828,1869165.0408450
1755043200000,2025-08-13 00:00:00,0.0019970,0.0020740,0.0019660,0.0020330,2324548979,1755129599999,2025-08-13 23:59:59,4696397.3531060,34306,1106617881,2237629.9841450
1755129600000,2025-08-14 00:00:00,0.0020350,0.0020570,0.0017680,0.0018630,2638675967,1755215999999,2025-08-14 23:59:59,5083138.6073990,58328,1186828961,2285527.8534710
1755216000000,2025-08-15 00:00:00,0.0018630,0.0019100,0.0017840,0.0018400,1649593139,1755302399999,2025-08-15 23:59:59,3066249.3670640,30320,795159731,1478380.8949450
1755302400000,2025-08-16 00:00:00,0.0018390,0.0018720,0.0018020,0.0018520,995212146,1755388799999,2025-08-16 23:59:59,1833476.2426980,31460,493778313,910165.4079670
1755388800000,2025-08-17 00:00:00,0.0018530,0.0020230,0.0018330,0.0020010,5628512910,1755475199999,2025-08-17 23:59:59,10944066.2737210,81846,2830654663,5504857.9481780
1755475200000,2025-08-18 00:00:00,0.0020020,0.0020210,0.0017740,0.0018430,4818218404,1755561599999,2025-08-18 23:59:59,8979124.3202890,90653,2191591603,4084644.4360690
1755561600000,2025-08-19 00:00:00,0.0018430,0.0018760,0.0017200,0.0017300,3126242717,1755647999999,2025-08-19 23:59:59,5653678.4655340,51523,1531752899,2769962.2388370
1755648000000,2025-08-20 00:00:00,0.0017300,0.0018340,0.0017170,0.0018120,1799677736,1755734399999,2025-08-20 23:59:59,3197328.2472330,34797,896264831,1592889.2688310
1755734400000,2025-08-21 00:00:00,0.0018110,0.0018440,0.0017250,0.0017310,1158303610,1755820799999,2025-08-21 23:59:59,2060438.5857880,21787,602634047,1073063.3504350
1755820800000,2025-08-22 00:00:00,0.0017320,0.0019330,0.0016830,0.0019290,1864774475,1755907199999,2025-08-22 23:59:59,3378766.4277640,35739,994792679,1802655.9663920
1755907200000,2025-08-23 00:00:00,0.0019290,0.0019340,0.0018300,0.0018660,1169166592,1755993599999,2025-08-23 23:59:59,2190999.1719330,24424,554137777,1036715.6552130
1755993600000,2025-08-24 00:00:00,0.0018680,0.0019020,0.0017900,0.0018360,1097979265,1756079999999,2025-08-24 23:59:59,2015309.0389610,26014,525847976,966660.6308790
1756080000000,2025-08-25 00:00:00,0.0018360,0.0018450,0.0016450,0.0016760,1319532473,1756166399999,2025-08-25 23:59:59,2286457.8145690,29137,608960854,1056546.4457880
1756166400000,2025-08-26 00:00:00,0.0016760,0.0017600,0.0016560,0.0017490,930811756,1756252799999,2025-08-26 23:59:59,1596164.5546050,27206,439673275,753792.3005070
1756252800000,2025-08-27 00:00:00,0.0017490,0.0017830,0.0017140,0.0017330,735399920,1756339199999,2025-08-27 23:59:59,1285544.9374930,21846,355950186,622414.8749740
1756339200000,2025-08-28 00:00:00,0.0017320,0.0018090,0.0017190,0.0017950,1378102013,1756425599999,2025-08-28 23:59:59,2450098.1609360,28629,703920699,1252080.8981160
1756425600000,2025-08-29 00:00:00,0.0017960,0.0018040,0.0016650,0.0017170,1464345704,1756511999999,2025-08-29 23:59:59,2511973.3452240,29589,717126176,1231442.2467430
1756512000000,2025-08-30 00:00:00,0.0017180,0.0017680,0.0016830,0.0017490,801917886,1756598399999,2025-08-30 23:59:59,1393440.9934090,21233,392093584,682109.8547550
1756598400000,2025-08-31 00:00:00,0.0017490,0.0018290,0.0017150,0.0017170,3143283365,1756684799999,2025-08-31 23:59:59,5614450.7477790,45727,1456236791,2603660.1734260
1756684800000,2025-09-01 00:00:00,0.0017170,0.0017640,0.0016170,0.0016700,1461453019,1756771199999,2025-09-01 23:59:59,2475905.7908910,33977,675242727,1147230.9241180
1756771200000,2025-09-02 00:00:00,0.0016700,0.0017200,0.0016550,0.0017070,672216030,1756857599999,2025-09-02 23:59:59,1136850.4976050,23863,330602762,558931.6263570
1756857600000,2025-09-03 00:00:00,0.0017070,0.0017640,0.0016860,0.0017460,515287038,1756943999999,2025-09-03 23:59:59,887316.7972870,21999,253466556,436979.7129080
1756944000000,2025-09-04 00:00:00,0.0017470,0.0017530,0.0016510,0.0016660,585237888,1757030399999,2025-09-04 23:59:59,988905.3166550,21286,265569183,448923.1012640
